network_connection,fc,within_network
ContA-ContA,0.29224179343189827,True
ContA-ContB,0.21042779251737023,False
ContA-ContC,0.12889267532683346,False
ContA-DefaultA,0.1566613034750823,False
ContA-DefaultB,0.1521614805147962,False
ContA-DefaultC,0.09295782282763865,False
ContA-DorsAttnA,-0.06690145550269035,False
ContA-DorsAttnB,0.06813371753864154,False
ContA-LimbicA,0.29194186800152966,False
ContA-LimbicB,0.17654478781828245,False
ContA-SalVentAttnA,-0.02085239104008338,False
ContA-SalVentAttnB,0.1593102477266808,False
ContA-SomMotA,-0.12203283040805865,False
ContA-SomMotB,-0.09188702547444944,False
ContA-TempPar,0.08735644588770071,False
ContA-VisCent,0.04398351872853505,False
ContA-VisPeri,-0.1182774946656327,False
ContB-ContB,0.28642278138007543,True
ContB-ContC,0.16442267200228583,False
ContB-DefaultA,0.14337943543111958,False
ContB-DefaultB,0.15870410707385008,False
ContB-DefaultC,0.16754440916557864,False
ContB-DorsAttnA,-0.040321933721349866,False
ContB-DorsAttnB,0.06529101102340606,False
ContB-LimbicA,0.17005660848796866,False
ContB-LimbicB,0.07275287401105188,False
ContB-SalVentAttnA,-0.05102730927185314,False
ContB-SalVentAttnB,0.059571798073391656,False
ContB-SomMotA,-0.1365481992877285,False
ContB-SomMotB,-0.12041954603233083,False
ContB-TempPar,0.2379005617080217,False
ContB-VisCent,0.025776699208904783,False
ContB-VisPeri,-0.14353496088176756,False
ContC-ContC,0.3073007532561492,True
ContC-DefaultA,0.2907021092595341,False
ContC-DefaultB,0.22463965276683348,False
ContC-DefaultC,0.08703230482596057,False
ContC-DorsAttnA,-0.0612126688729505,False
ContC-DorsAttnB,0.03615960473631189,False
ContC-LimbicA,0.16128200418434083,False
ContC-LimbicB,0.11705828573841176,False
ContC-SalVentAttnA,-0.02243030421356874,False
ContC-SalVentAttnB,0.1711323142019945,False
ContC-SomMotA,-0.08975786078239395,False
ContC-SomMotB,-0.13279856707824256,False
ContC-TempPar,0.09680448536056678,False
ContC-VisCent,0.036559490673918775,False
ContC-VisPeri,-0.10237282802606074,False
DefaultA-DefaultA,0.3098997721467085,True
DefaultA-DefaultB,0.2613456561264395,False
DefaultA-DefaultC,0.11913269805597393,False
DefaultA-DorsAttnA,-0.06674729074848951,False
DefaultA-DorsAttnB,0.03122735726060789,False
DefaultA-LimbicA,0.17721274356416222,False
DefaultA-LimbicB,0.13254852948998433,False
DefaultA-SalVentAttnA,-0.022807479739149223,False
DefaultA-SalVentAttnB,0.1748202022323026,False
DefaultA-SomMotA,-0.09768181071771102,False
DefaultA-SomMotB,-0.12887563167598087,False
DefaultA-TempPar,0.0862244623972857,False
DefaultA-VisCent,0.05278318530950676,False
DefaultA-VisPeri,-0.1163796504800917,False
DefaultB-DefaultB,0.28523761399395714,True
DefaultB-DefaultC,0.2240745056978102,False
DefaultB-DorsAttnA,-0.0959157536649897,False
DefaultB-DorsAttnB,-0.0078042730020564215,False
DefaultB-LimbicA,0.14463396368834341,False
DefaultB-LimbicB,0.09187172832121569,False
DefaultB-SalVentAttnA,-0.030219610594623754,False
DefaultB-SalVentAttnB,0.12017610044335016,False
DefaultB-SomMotA,-0.1095191917451657,False
DefaultB-SomMotB,-0.12874474852382153,False
DefaultB-TempPar,0.1388440216735678,False
DefaultB-VisCent,0.02941232127029791,False
DefaultB-VisPeri,-0.11328695679317673,False
DefaultC-DefaultC,0.31511539886632156,True
DefaultC-DorsAttnA,-0.10608347303769562,False
DefaultC-DorsAttnB,-0.04493905237816516,False
DefaultC-LimbicA,0.05203217357347702,False
DefaultC-LimbicB,0.036245365293081575,False
