network_connection,fc,within_network
ContA-ContA,0.21001389667407933,True
ContA-ContB,0.168130369493599,False
ContA-ContC,0.15146748267844617,False
ContA-DefaultA,0.13347482482159945,False
ContA-DefaultB,0.11847225673156392,False
ContA-DefaultC,0.03509922110846405,False
ContA-DorsAttnA,0.05834641996639211,False
ContA-DorsAttnB,0.11765004408541273,False
ContA-LimbicA,0.21882837963167523,False
ContA-LimbicB,0.10724457579146807,False
ContA-SalVentAttnA,0.030193270794491158,False
ContA-SalVentAttnB,0.13558544977956835,False
ContA-SomMotA,0.05060970821304531,False
ContA-SomMotB,0.010941943312247564,False
ContA-TempPar,0.013151481089288904,False
ContA-VisCent,0.10778670353781156,False
ContA-VisPeri,0.058855374419542625,False
ContB-ContB,0.22025737367178877,True
ContB-ContC,0.19173142156529652,False
ContB-DefaultA,0.12959420846543296,False
ContB-DefaultB,0.10354547052590242,False
ContB-DefaultC,0.04462442760704531,False
ContB-DorsAttnA,0.09662781421976106,False
ContB-DorsAttnB,0.11837619257939916,False
ContB-LimbicA,0.13530950458736393,False
ContB-LimbicB,0.03588700873878014,False
ContB-SalVentAttnA,-0.003507614960053231,False
ContB-SalVentAttnB,0.039839638103625064,False
ContB-SomMotA,0.07321934283010474,False
ContB-SomMotB,0.020291229608965244,False
ContB-TempPar,0.12561500582216176,False
ContB-VisCent,0.10496173413607125,False
ContB-VisPeri,0.053835612796826214,False
ContC-ContC,0.4566343782699199,True
ContC-DefaultA,0.35636861711393525,False
ContC-DefaultB,0.21561081652310699,False
ContC-DefaultC,-0.03333884021458428,False
ContC-DorsAttnA,0.12630742554368377,False
ContC-DorsAttnB,0.20104004866828282,False
ContC-LimbicA,0.20803324849351454,False
ContC-LimbicB,0.17525143844073116,False
ContC-SalVentAttnA,0.05086137428931372,False
ContC-SalVentAttnB,0.21015733481711116,False
ContC-SomMotA,0.1511772180137971,False
ContC-SomMotB,0.020007930173558473,False
ContC-TempPar,-0.018502816649326022,False
ContC-VisCent,0.20102838297778178,False
ContC-VisPeri,0.13024996938342168,False
DefaultA-DefaultA,0.3186831633104394,True
DefaultA-DefaultB,0.21677951286724648,False
DefaultA-DefaultC,-0.006866217209677339,False
DefaultA-DorsAttnA,0.08130116682246148,False
DefaultA-DorsAttnB,0.13535754403395536,False
DefaultA-LimbicA,0.18546032181422928,False
DefaultA-LimbicB,0.18530854578328196,False
DefaultA-SalVentAttnA,0.062281877030525366,False
DefaultA-SalVentAttnB,0.2151557567777399,False
DefaultA-SomMotA,0.10287580686313327,False
DefaultA-SomMotB,0.023005693718295344,False
DefaultA-TempPar,-0.047807393482095666,False
DefaultA-VisCent,0.15558156951829086,False
DefaultA-VisPeri,0.07969287458855022,False
DefaultB-DefaultB,0.22982285956960058,True
DefaultB-DefaultC,0.13857908915718165,False
DefaultB-DorsAttnA,0.010479764024811504,False
DefaultB-DorsAttnB,0.05864396789217802,False
DefaultB-LimbicA,0.14435938345380567,False
DefaultB-LimbicB,0.1558711296226958,False
DefaultB-SalVentAttnA,0.034122178847167006,False
DefaultB-SalVentAttnB,0.14901735472756344,False
DefaultB-SomMotA,0.029469583493111972,False
DefaultB-SomMotB,-0.0031013510948446105,False
DefaultB-TempPar,0.011615962138965262,False
DefaultB-VisCent,0.09673666949715938,False
DefaultB-VisPeri,0.012709639577480992,False
DefaultC-DefaultC,0.24017105234616892,True
DefaultC-DorsAttnA,-0.08109964938465626,False
