network_connection,fc,within_network
ContA-ContA,0.22742684412489758,True
ContA-ContB,0.14026100799275226,False
ContA-ContC,0.07328704865488689,False
ContA-DefaultA,0.08777752458358813,False
ContA-DefaultB,0.08843926303523185,False
ContA-DefaultC,0.04578156098198611,False
ContA-DorsAttnA,-0.0479804183607566,False
ContA-DorsAttnB,0.047304937756630555,False
ContA-LimbicA,0.1927457679353901,False
ContA-LimbicB,0.0963256156403973,False
ContA-SalVentAttnA,-0.0001569560116887692,False
ContA-SalVentAttnB,0.1154032750021622,False
ContA-SomMotA,-0.05290834594152182,False
ContA-SomMotB,-0.08297393655265324,False
ContA-TempPar,0.0427992350387603,False
ContA-VisCent,0.007529919019854964,False
ContA-VisPeri,-0.006895755013953127,False
ContB-ContB,0.15933215166914833,True
ContB-ContC,0.06868036520853468,False
ContB-DefaultA,0.04497299289869581,False
ContB-DefaultB,0.04952723658664912,False
ContB-DefaultC,0.05553743305049761,False
ContB-DorsAttnA,-0.023717851402602467,False
ContB-DorsAttnB,0.022886526728181828,False
ContB-LimbicA,0.08517731226551047,False
ContB-LimbicB,0.026394696418540944,False
ContB-SalVentAttnA,-0.02502974715014877,False
ContB-SalVentAttnB,0.03124640806965005,False
ContB-SomMotA,-0.05042619547008556,False
ContB-SomMotB,-0.06793513301310898,False
ContB-TempPar,0.13757033998693674,False
ContB-VisCent,0.008666769304485353,False
ContB-VisPeri,-0.034025441091264125,False
ContC-ContC,0.1885330421019833,True
ContC-DefaultA,0.14664026736653085,False
ContC-DefaultB,0.07791831334026227,False
ContC-DefaultC,-0.014046801300404295,False
ContC-DorsAttnA,-0.043242841346569444,False
ContC-DorsAttnB,0.020164422097693927,False
ContC-LimbicA,0.06957655144338222,False
ContC-LimbicB,0.05726288002409128,False
ContC-SalVentAttnA,-0.0199263204947367,False
ContC-SalVentAttnB,0.05639537835914066,False
ContC-SomMotA,0.018630375272073146,False
ContC-SomMotB,-0.012723930838338155,False
ContC-TempPar,-0.01739319034028351,False
ContC-VisCent,0.05846830609822091,False
ContC-VisPeri,0.06351912161656526,False
DefaultA-DefaultA,0.1486980893685233,True
DefaultA-DefaultB,0.10194143815237132,False
DefaultA-DefaultC,-0.011171001867486027,False
DefaultA-DorsAttnA,-0.057347947443252285,False
DefaultA-DorsAttnB,0.024701196424857148,False
DefaultA-LimbicA,0.07418108612375585,False
DefaultA-LimbicB,0.06872810046161545,False
DefaultA-SalVentAttnA,-0.013300816588614017,False
DefaultA-SalVentAttnB,0.07306154001844861,False
DefaultA-SomMotA,0.010223479185241913,False
DefaultA-SomMotB,-0.026482163770994216,False
DefaultA-TempPar,-0.028223357250445814,False
DefaultA-VisCent,0.051177802274419294,False
DefaultA-VisPeri,0.03843994950982658,False
DefaultB-DefaultB,0.16823908599008872,True
DefaultB-DefaultC,0.15149381879530657,False
DefaultB-DorsAttnA,-0.07686503447022339,False
DefaultB-DorsAttnB,-0.02484745647472608,False
DefaultB-LimbicA,0.05000339765455744,False
DefaultB-LimbicB,0.03747121961666808,False
DefaultB-SalVentAttnA,-0.029523794841503092,False
DefaultB-SalVentAttnB,0.01005502673139288,False
DefaultB-SomMotA,-0.029615820090197118,False
DefaultB-SomMotB,-0.028826911793531994,False
DefaultB-TempPar,0.049336328160913386,False
DefaultB-VisCent,0.027640840759893787,False
DefaultB-VisPeri,-0.024490450054825374,False
DefaultC-DefaultC,0.3242234860796587,True
DefaultC-DorsAttnA,-0.08443917088552311,False
DefaultC-DorsAttnB,-0.03960325716876709,False
DefaultC-LimbicA,-0.010371034948319301,False
DefaultC-LimbicB,0.017387841923468206,False
DefaultC-SalVentAttnA,-0.0315093514409959,False
DefaultC-SalVentAttnB,-0.022728541432859246,False
DefaultC-SomMotA,-0.07837668269252837,False
DefaultC-SomMotB,-0.06079308891411519,False
DefaultC-TempPar,0.23738972192119484,False
DefaultC-VisCent,0.0013328246928788494,False
DefaultC-VisPeri,-0.10482312603997908,False
DorsAttnA-DorsAttnA,0.2521674464368937,True
DorsAttnA-DorsAttnB,0.06432931225289246,False
DorsAttnA-LimbicA,-0.02446663688749047,False
DorsAttnA-LimbicB,-0.07388407288328036,False
DorsAttnA-SalVentAttnA,0.040218387553206496,False
DorsAttnA-SalVentAttnB,-0.039473617432678056,False
DorsAttnA-SomMotA,0.013794619971773253,False
DorsAttnA-SomMotB,0.06882482478786484,False
DorsAttnA-TempPar,-0.08671196626146284,False
DorsAttnA-VisCent,-0.04069639624962072,False
DorsAttnA-VisPeri,-0.027890647116951304,False
DorsAttnB-DorsAttnB,0.11769364923835371,True
DorsAttnB-LimbicA,0.04270122161847622,False
DorsAttnB-LimbicB,0.04835242711922235,False
DorsAttnB-SalVentAttnA,0.028648711597153535,False
DorsAttnB-SalVentAttnB,0.08578599562721827,False
DorsAttnB-SomMotA,-0.00682130748497234,False
DorsAttnB-SomMotB,-0.02823945391715316,False
DorsAttnB-TempPar,-0.027982176615149967,False
DorsAttnB-VisCent,0.03218774126190119,False
DorsAttnB-VisPeri,0.005272339328122784,False
LimbicA-LimbicA,0.1938520556937643,True
LimbicA-LimbicB,0.1381371560251017,False
LimbicA-SalVentAttnA,0.02915512726077384,False
LimbicA-SalVentAttnB,0.163947817512781,False
LimbicA-SomMotA,-0.05757583471903833,False
LimbicA-SomMotB,-0.052093811759476576,False
LimbicA-TempPar,-0.027827843774510173,False
LimbicA-VisCent,-0.012725663676206101,False
LimbicA-VisPeri,-0.02504997548662294,False
LimbicB-LimbicB,0.2053797099916553,True
LimbicB-SalVentAttnA,0.05862499522685602,False
LimbicB-SalVentAttnB,0.2155127682442729,False
LimbicB-SomMotA,-0.08596263276265785,False
LimbicB-SomMotB,-0.03978694113621775,False
LimbicB-TempPar,-0.02923215141759672,False
LimbicB-VisCent,0.012221893922736524,False
LimbicB-VisPeri,-0.07389283339069852,False
SalVentAttnA-SalVentAttnA,0.054475600019549784,True
SalVentAttnA-SalVentAttnB,0.07502752847015645,False
SalVentAttnA-SomMotA,-0.015628292772409562,False
SalVentAttnA-SomMotB,0.025396821564244224,False
SalVentAttnA-TempPar,-0.05319208358618988,False
SalVentAttnA-VisCent,-0.015280774514148403,False
SalVentAttnA-VisPeri,-0.013836563267019679,False
SalVentAttnB-SalVentAttnB,0.2519177091343256,True
SalVentAttnB-SomMotA,-0.08852255048415095,False
