network_connection,fc,within_network
ContA-ContA,0.25765057439105593,True
ContA-ContB,0.12594428759243406,False
ContA-ContC,0.025507893192262748,False
ContA-DefaultA,0.07052922784123174,False
ContA-DefaultB,0.07177547923511868,False
ContA-DefaultC,-0.02878872093932177,False
ContA-DorsAttnA,0.04038746801738279,False
ContA-DorsAttnB,0.0497320648851189,False
ContA-LimbicA,0.2086604495216141,False
ContA-LimbicB,0.10411286698196147,False
ContA-SalVentAttnA,0.014472478527254145,False
ContA-SalVentAttnB,0.09030317071854768,False
ContA-SomMotA,-0.08910054194575523,False
ContA-SomMotB,-0.01466791590464269,False
ContA-TempPar,-0.06181257624899746,False
ContA-VisCent,-0.08209778523783616,False
ContA-VisPeri,-0.0802967452557491,False
ContB-ContB,0.1418224723743821,True
ContB-ContC,0.024420336935242683,False
ContB-DefaultA,-0.0009653119529116435,False
ContB-DefaultB,0.01494779409321697,False
ContB-DefaultC,0.04859206186790584,False
ContB-DorsAttnA,0.03435534193660609,False
ContB-DorsAttnB,0.046178404025072305,False
ContB-LimbicA,0.07764241733072155,False
ContB-LimbicB,0.014101094494261045,False
ContB-SalVentAttnA,-0.020605797097889598,False
ContB-SalVentAttnB,-0.004898937260982772,False
ContB-SomMotA,-0.09035526237903602,False
ContB-SomMotB,-0.043579200804400926,False
ContB-TempPar,0.07145806019998627,False
ContB-VisCent,-0.05347271558822515,False
ContB-VisPeri,-0.09607829410471365,False
ContC-ContC,0.2591369220081864,True
ContC-DefaultA,0.1807873122742991,False
ContC-DefaultB,0.09980265358237295,False
ContC-DefaultC,0.01968097197822704,False
ContC-DorsAttnA,-0.11002155665417865,False
ContC-DorsAttnB,0.012125018863252917,False
ContC-LimbicA,0.1237474793255328,False
ContC-LimbicB,0.1948328610737394,False
ContC-SalVentAttnA,0.022989374338649504,False
ContC-SalVentAttnB,0.19558083110347194,False
ContC-SomMotA,-0.03425703719102306,False
ContC-SomMotB,-0.044291944969075465,False
ContC-TempPar,-0.01062432133103147,False
ContC-VisCent,0.05352714986100682,False
ContC-VisPeri,-0.023092341336381945,False
DefaultA-DefaultA,0.18797696605043704,True
DefaultA-DefaultB,0.1491288904620053,False
