network_connection,fc,within_network
ContA-ContA,0.26419977662840105,True
ContA-ContB,0.16053726592896875,False
ContA-ContC,0.14706486937143487,False
ContA-DefaultA,0.13162474106372188,False
ContA-DefaultB,0.12719213138463167,False
ContA-DefaultC,0.07285271824506216,False
ContA-DorsAttnA,0.0339545206260044,False
ContA-DorsAttnB,0.09869173612682519,False
ContA-LimbicA,0.260594910353081,False
ContA-LimbicB,0.20078710737493918,False
ContA-SalVentAttnA,0.03222312639265532,False
ContA-SalVentAttnB,0.19725402290877506,False
ContA-SomMotA,-0.0960521400106762,False
ContA-SomMotB,-0.01569309551450938,False
ContA-TempPar,-0.03199879989526641,False
ContA-VisCent,0.034941899882223924,False
ContA-VisPeri,-0.09369464652033405,False
ContB-ContB,0.18734964383582223,True
ContB-ContC,0.10646480075315395,False
ContB-DefaultA,0.07220925726310408,False
ContB-DefaultB,0.07473760182063778,False
ContB-DefaultC,0.08432922135925243,False
ContB-DorsAttnA,0.03730177048024085,False
ContB-DorsAttnB,0.06169178469854901,False
ContB-LimbicA,0.12132103179540632,False
ContB-LimbicB,0.05530279237401412,False
ContB-SalVentAttnA,-0.023865510825903574,False
ContB-SalVentAttnB,0.03400642136309819,False
ContB-SomMotA,-0.0694911082983052,False
ContB-SomMotB,-0.01726132077456239,False
ContB-TempPar,0.0400711271729314,False
ContB-VisCent,0.02932955223697771,False
ContB-VisPeri,-0.09771170111492752,False
ContC-ContC,0.29484836747512455,True
ContC-DefaultA,0.24090268446258328,False
ContC-DefaultB,0.14289141979520978,False
ContC-DefaultC,0.03896679860360187,False
ContC-DorsAttnA,-0.02748773679183809,False
ContC-DorsAttnB,0.06532923688490894,False
ContC-LimbicA,0.15977511273940342,False
ContC-LimbicB,0.19984813862480266,False
ContC-SalVentAttnA,0.020414281867632837,False
ContC-SalVentAttnB,0.18988446818780905,False
ContC-SomMotA,-0.03693111433443532,False
ContC-SomMotB,-0.04786253732536207,False
ContC-TempPar,-0.02418522539243571,False
ContC-VisCent,0.049838897638624376,False
ContC-VisPeri,-0.036275421715395106,False
DefaultA-DefaultA,0.22501146392174423,True
DefaultA-DefaultB,0.15360020874215688,False
DefaultA-DefaultC,0.049278042385057015,False
DefaultA-DorsAttnA,-0.022539691945860228,False
DefaultA-DorsAttnB,0.05773204642253595,False
DefaultA-LimbicA,0.1346617113969207,False
DefaultA-LimbicB,0.18333161641908705,False
DefaultA-SalVentAttnA,0.03374645464280218,False
DefaultA-SalVentAttnB,0.17105948704334384,False
DefaultA-SomMotA,-0.03139802809635992,False
DefaultA-SomMotB,-0.037396807772226974,False
DefaultA-TempPar,-0.026360256509991357,False
DefaultA-VisCent,0.05124796698077673,False
DefaultA-VisPeri,-0.03449654785905079,False
DefaultB-DefaultB,0.196631780537926,True
DefaultB-DefaultC,0.20512725917282135,False
DefaultB-DorsAttnA,-0.05930819558504113,False
