network_connection,fc,within_network
ContA-ContA,0.2919482091124205,True
ContA-ContB,0.16539499734519142,False
ContA-ContC,0.10164220376804017,False
ContA-DefaultA,0.13730366458773777,False
ContA-DefaultB,0.12135499231855368,False
ContA-DefaultC,0.06457631992973585,False
ContA-DorsAttnA,-0.06037654518798566,False
ContA-DorsAttnB,0.011445000443672958,False
ContA-LimbicA,0.294971723479342,False
ContA-LimbicB,0.21200371900042314,False
ContA-SalVentAttnA,0.029947838869572686,False
ContA-SalVentAttnB,0.18036762795195643,False
ContA-SomMotA,-0.13495178138808206,False
ContA-SomMotB,-0.0366688848275214,False
ContA-TempPar,0.03766960448814901,False
ContA-VisCent,0.017868047729968507,False
ContA-VisPeri,-0.14681256494211767,False
ContB-ContB,0.18131480774864092,True
ContB-ContC,0.14311417795953035,False
ContB-DefaultA,0.13337974391589794,False
ContB-DefaultB,0.13465781035031876,False
ContB-DefaultC,0.1397148609530306,False
ContB-DorsAttnA,-0.08390215119532025,False
ContB-DorsAttnB,-0.0011638762698021029,False
ContB-LimbicA,0.17596995159424156,False
ContB-LimbicB,0.15271449415124325,False
ContB-SalVentAttnA,-0.027927555233247442,False
ContB-SalVentAttnB,0.0892161113161051,False
ContB-SomMotA,-0.11666450959620325,False
ContB-SomMotB,-0.06262661681518664,False
ContB-TempPar,0.16610287096814078,False
ContB-VisCent,0.012370120234969969,False
ContB-VisPeri,-0.15258366062070927,False
ContC-ContC,0.28123476279838566,True
ContC-DefaultA,0.25814860959199076,False
ContC-DefaultB,0.167987065945668,False
ContC-DefaultC,0.027416171419646657,False
ContC-DorsAttnA,-0.12741932291546054,False
ContC-DorsAttnB,-0.013598625999982218,False
ContC-LimbicA,0.15447411012023837,False
ContC-LimbicB,0.16676126668453053,False
ContC-SalVentAttnA,-0.026917956867393983,False
ContC-SalVentAttnB,0.11907107174395712,False
ContC-SomMotA,-0.08574292976887246,False
ContC-SomMotB,-0.07342050816084589,False
ContC-TempPar,0.04964705709289794,False
ContC-VisCent,0.022517423122669036,False
ContC-VisPeri,-0.1129288821969316,False
DefaultA-DefaultA,0.28411372039524047,True
DefaultA-DefaultB,0.2166099715290533,False
DefaultA-DefaultC,0.05450593340373923,False
DefaultA-DorsAttnA,-0.13310126492016947,False
DefaultA-DorsAttnB,-0.030949090616122284,False
DefaultA-LimbicA,0.1862740618369473,False
DefaultA-LimbicB,0.20751118256991508,False
DefaultA-SalVentAttnA,-0.017483681552359687,False
DefaultA-SalVentAttnB,0.12650767765209095,False
DefaultA-SomMotA,-0.0991436052567712,False
DefaultA-SomMotB,-0.06603309641451882,False
DefaultA-TempPar,0.06851467876910033,False
DefaultA-VisCent,0.038142376972,False
DefaultA-VisPeri,-0.14708596934806362,False
DefaultB-DefaultB,0.25548566095340763,True
DefaultB-DefaultC,0.2385460737687415,False
DefaultB-DorsAttnA,-0.17321112808982253,False
DefaultB-DorsAttnB,-0.05693963358323118,False
DefaultB-LimbicA,0.12750536113910435,False
DefaultB-LimbicB,0.15136940779294147,False
DefaultB-SalVentAttnA,-0.054706798610833704,False
DefaultB-SalVentAttnB,0.0586020558176967,False
DefaultB-SomMotA,-0.11871503475353438,False
DefaultB-SomMotB,-0.09447001623202757,False
DefaultB-TempPar,0.18311466516789054,False
DefaultB-VisCent,0.024580324360421343,False
DefaultB-VisPeri,-0.14910732675533753,False
DefaultC-DefaultC,0.5097521969950585,True
