network_connection,fc,within_network
ContA-ContA,0.2074223612984335,True
ContA-ContB,0.12789615620210468,False
ContA-ContC,0.14259906235217396,False
ContA-DefaultA,0.17095534433457396,False
ContA-DefaultB,0.12466667493091708,False
ContA-DefaultC,-0.014676263866854092,False
ContA-DorsAttnA,0.056498021316838905,False
ContA-DorsAttnB,0.0736193448533992,False
ContA-LimbicA,0.22011234543451985,False
ContA-LimbicB,0.1456427847261446,False
ContA-SalVentAttnA,0.035158589333297095,False
ContA-SalVentAttnB,0.17401050660591158,False
ContA-SomMotA,-0.030769636226445022,False
ContA-SomMotB,0.02195851741470654,False
ContA-TempPar,-0.07506073664262182,False
ContA-VisCent,0.04744458740332984,False
ContA-VisPeri,-0.07165597969492046,False
ContB-ContB,0.18241158910243707,True
ContB-ContC,0.11630095224939696,False
ContB-DefaultA,0.11146344423185454,False
ContB-DefaultB,0.12382646885014272,False
ContB-DefaultC,0.13119253113443866,False
ContB-DorsAttnA,0.03959024961003224,False
ContB-DorsAttnB,0.0733348785948452,False
ContB-LimbicA,0.09640984265477676,False
ContB-LimbicB,0.0687096501734046,False
ContB-SalVentAttnA,0.015180054946482122,False
ContB-SalVentAttnB,0.08316383112726342,False
ContB-SomMotA,-0.014873426176599454,False
ContB-SomMotB,0.01896623794508731,False
ContB-TempPar,0.11486447658288239,False
ContB-VisCent,0.06111886163672708,False
ContB-VisPeri,-0.017618551285073218,False
ContC-ContC,0.2057789455159256,True
ContC-DefaultA,0.20064842664943708,False
ContC-DefaultB,0.12196107985447753,False
ContC-DefaultC,-0.05983922247161269,False
ContC-DorsAttnA,-0.007402067388610514,False
ContC-DorsAttnB,0.036889587215143065,False
ContC-LimbicA,0.15838629130845713,False
ContC-LimbicB,0.13337158326826656,False
ContC-SalVentAttnA,0.005404889161789926,False
ContC-SalVentAttnB,0.139547304201881,False
ContC-SomMotA,-0.046880330263227854,False
ContC-SomMotB,-0.0264229167866088,False
ContC-TempPar,-0.11665073358062235,False
ContC-VisCent,0.02670300712143022,False
ContC-VisPeri,-0.06616722515244329,False
DefaultA-DefaultA,0.2326802957244483,True
DefaultA-DefaultB,0.15196278030072205,False
DefaultA-DefaultC,-0.05726983155789519,False
DefaultA-DorsAttnA,-0.01999070022916105,False
DefaultA-DorsAttnB,0.03087408428452942,False
DefaultA-LimbicA,0.1836175488952191,False
DefaultA-LimbicB,0.16261017125205748,False
DefaultA-SalVentAttnA,0.009407123846861562,False
DefaultA-SalVentAttnB,0.16062127584532548,False
DefaultA-SomMotA,-0.04355466614005567,False
DefaultA-SomMotB,-0.016090615269733252,False
DefaultA-TempPar,-0.12971581144578967,False
DefaultA-VisCent,0.03503745274833836,False
DefaultA-VisPeri,-0.08377457492121584,False
DefaultB-DefaultB,0.17699301729251146,True
DefaultB-DefaultC,0.15199987523190372,False
DefaultB-DorsAttnA,0.007488457588140702,False
DefaultB-DorsAttnB,0.049874656726657605,False
DefaultB-LimbicA,0.10575099843363325,False
DefaultB-LimbicB,0.10465165901835416,False
DefaultB-SalVentAttnA,0.0253098406380044,False
DefaultB-SalVentAttnB,0.1256485841366338,False
DefaultB-SomMotA,-0.00013103921954942714,False
DefaultB-SomMotB,0.01829506383865342,False
DefaultB-TempPar,0.04331637503499496,False
DefaultB-VisCent,0.05833623530582158,False
DefaultB-VisPeri,-0.0022243452754721026,False
DefaultC-DefaultC,0.4790103293685309,True
DefaultC-DorsAttnA,0.08483883605835164,False
DefaultC-DorsAttnB,0.08607824441780547,False
DefaultC-LimbicA,-0.08046845551015168,False
DefaultC-LimbicB,-0.022423710819157276,False
DefaultC-SalVentAttnA,0.05895241035598243,False
DefaultC-SalVentAttnB,0.018205971761068244,False
DefaultC-SomMotA,0.08092388373889381,False
DefaultC-SomMotB,0.10080721148534391,False
DefaultC-TempPar,0.4533220038627904,False
DefaultC-VisCent,0.09669574575097216,False
DefaultC-VisPeri,0.12832534717799132,False
DorsAttnA-DorsAttnA,0.22687147838435615,True
DorsAttnA-DorsAttnB,0.1104949040738812,False
DorsAttnA-LimbicA,0.046041680771454284,False
DorsAttnA-LimbicB,0.0016619027793114537,False
DorsAttnA-SalVentAttnA,0.06890731749841222,False
DorsAttnA-SalVentAttnB,0.020656593698107045,False
DorsAttnA-SomMotA,0.0781830592210868,False
DorsAttnA-SomMotB,0.13615101615485142,False
DorsAttnA-TempPar,0.09864652672430763,False
DorsAttnA-VisCent,0.07728648732054215,False
DorsAttnA-VisPeri,0.07020943610467398,False
DorsAttnB-DorsAttnB,0.11463014290921618,True
DorsAttnB-LimbicA,0.059783384110172595,False
DorsAttnB-LimbicB,0.0705783613566152,False
DorsAttnB-SalVentAttnA,0.0577171367567523,False
DorsAttnB-SalVentAttnB,0.10847329760748513,False
DorsAttnB-SomMotA,0.016035385025554894,False
DorsAttnB-SomMotB,0.04848604797571546,False
DorsAttnB-TempPar,0.08794497683350742,False
DorsAttnB-VisCent,0.054296415719587494,False
DorsAttnB-VisPeri,0.024924181344424267,False
LimbicA-LimbicA,0.25751692705496354,True
LimbicA-LimbicB,0.17961498861897135,False
LimbicA-SalVentAttnA,0.04722441812992245,False
LimbicA-SalVentAttnB,0.1987010785607314,False
LimbicA-SomMotA,-0.04007570050615559,False
LimbicA-SomMotB,0.020785749103990534,False
LimbicA-TempPar,-0.14178886172758912,False
LimbicA-VisCent,0.03291073903390385,False
LimbicA-VisPeri,-0.10706475914955228,False
LimbicB-LimbicB,0.21821704536146153,True
LimbicB-SalVentAttnA,0.07945555733265786,False
LimbicB-SalVentAttnB,0.2536080996499609,False
LimbicB-SomMotA,-0.040225317944092065,False
LimbicB-SomMotB,0.01942438167670727,False
LimbicB-TempPar,-0.08246888129188551,False
LimbicB-VisCent,0.0422483847910039,False
LimbicB-VisPeri,-0.10207405528632256,False
SalVentAttnA-SalVentAttnA,0.0897076378937316,True
SalVentAttnA-SalVentAttnB,0.10764342894811842,False
SalVentAttnA-SomMotA,0.04983209040770722,False
SalVentAttnA-SomMotB,0.08764519967323553,False
SalVentAttnA-TempPar,0.035269381192326414,False
SalVentAttnA-VisCent,0.04542862480801643,False
SalVentAttnA-VisPeri,0.03457331038442891,False
SalVentAttnB-SalVentAttnB,0.31208747379653695,True
SalVentAttnB-SomMotA,-0.040939891743629477,False
SalVentAttnB-SomMotB,0.01239146096783416,False
SalVentAttnB-TempPar,-0.056922801978393785,False
SalVentAttnB-VisCent,0.04791275163052343,False
SalVentAttnB-VisPeri,-0.07814624044765975,False
SomMotA-SomMotA,0.161950783582193,True
SomMotA-SomMotB,0.14627100699514822,False
SomMotA-TempPar,0.08089534589679725,False
SomMotA-VisCent,0.07520997341021729,False
SomMotA-VisPeri,0.1951054149632085,False
SomMotB-SomMotB,0.2061579456116405,True
SomMotB-TempPar,0.08507106094089026,False
SomMotB-VisCent,0.09935902505500455,False
SomMotB-VisPeri,0.10938314990578886,False
TempPar-TempPar,0.6641124443926748,True
TempPar-VisCent,0.07813633440009882,False
TempPar-VisPeri,0.13958116465893858,False
VisCent-VisCent,0.07387648880995429,True
VisCent-VisPeri,0.06493114451885308,False
VisPeri-VisPeri,0.3109073668467541,True
