network_connection,fc,within_network
ContA-ContA,0.3116867432226531,True
ContA-ContB,0.1857562588249189,False
ContA-ContC,0.12145489699948582,False
ContA-DefaultA,0.1407974389146615,False
ContA-DefaultB,0.1648906301433368,False
ContA-DefaultC,0.08573368153771387,False
ContA-DorsAttnA,-0.0872944339241043,False
ContA-DorsAttnB,0.05614765649373517,False
ContA-LimbicA,0.23166804500038352,False
ContA-LimbicB,0.24435556729832425,False
ContA-SalVentAttnA,0.022302190949941594,False
ContA-SalVentAttnB,0.22368353187309667,False
ContA-SomMotA,-0.18062362755850417,False
ContA-SomMotB,-0.06647871527568627,False
ContA-TempPar,-0.04199720167073906,False
ContA-VisCent,-0.02597625715448376,False
ContA-VisPeri,-0.17724897668256878,False
ContB-ContB,0.17912103816339067,True
ContB-ContC,0.08535730362280476,False
ContB-DefaultA,0.06254173417374313,False
ContB-DefaultB,0.1117282679123949,False
ContB-DefaultC,0.14227023826365398,False
ContB-DorsAttnA,-0.008832195460919023,False
ContB-DorsAttnB,0.06059909360021377,False
ContB-LimbicA,0.15036168570087716,False
ContB-LimbicB,0.15551238874092532,False
ContB-SalVentAttnA,0.010988752553020505,False
ContB-SalVentAttnB,0.1367071447839554,False
ContB-SomMotA,-0.15195393912900185,False
ContB-SomMotB,-0.04946565462948923,False
ContB-TempPar,0.0408177118233518,False
ContB-VisCent,-0.029225205361268644,False
ContB-VisPeri,-0.17851826452221853,False
ContC-ContC,0.15014652781176788,True
ContC-DefaultA,0.14640418578173595,False
ContC-DefaultB,0.10917705998509909,False
ContC-DefaultC,0.009068760785455342,False
ContC-DorsAttnA,-0.09001611679567052,False
ContC-DorsAttnB,0.005462841272020388,False
ContC-LimbicA,0.09189647394730309,False
ContC-LimbicB,0.15438306364284712,False
ContC-SalVentAttnA,0.011405160548176467,False
ContC-SalVentAttnB,0.1479525790285346,False
ContC-SomMotA,-0.0767170319973251,False
ContC-SomMotB,-0.03706819019960876,False
ContC-TempPar,-0.04377758501591342,False
ContC-VisCent,-0.014911234739329898,False
ContC-VisPeri,-0.08802118513578061,False
DefaultA-DefaultA,0.15387509143041006,True
DefaultA-DefaultB,0.1266778245518507,False
DefaultA-DefaultC,0.005661662986781873,False
DefaultA-DorsAttnA,-0.09809620073058758,False
DefaultA-DorsAttnB,-0.002383840450000869,False
DefaultA-LimbicA,0.09922809743624637,False
DefaultA-LimbicB,0.1656024907113871,False
DefaultA-SalVentAttnA,0.017723208930015208,False
DefaultA-SalVentAttnB,0.1591450480674826,False
DefaultA-SomMotA,-0.08660562964075989,False
DefaultA-SomMotB,-0.03512460197491224,False
DefaultA-TempPar,-0.051382545918774836,False
DefaultA-VisCent,-0.015387547925719237,False
DefaultA-VisPeri,-0.09586803755080164,False
DefaultB-DefaultB,0.20608039002977566,True
DefaultB-DefaultC,0.2412134476358287,False
DefaultB-DorsAttnA,-0.13909515273844406,False
DefaultB-DorsAttnB,-0.0084512378040436,False
DefaultB-LimbicA,0.10811058592967447,False
DefaultB-LimbicB,0.17642739124760787,False
DefaultB-SalVentAttnA,-0.01754355704270506,False
DefaultB-SalVentAttnB,0.14192381837138268,False
DefaultB-SomMotA,-0.13287763655447227,False
DefaultB-SomMotB,-0.07117803674826122,False
DefaultB-TempPar,0.12296899054670418,False
DefaultB-VisCent,-0.02182707008061049,False
DefaultB-VisPeri,-0.1426816436723802,False
DefaultC-DefaultC,0.6016008595079476,True
DefaultC-DorsAttnA,-0.1190384381796418,False
DefaultC-DorsAttnB,-0.02284398525124113,False
DefaultC-LimbicA,0.07961396287672025,False
DefaultC-LimbicB,0.09989255685749955,False
DefaultC-SalVentAttnA,-0.05281759332689587,False
DefaultC-SalVentAttnB,0.04725707221121053,False
DefaultC-SomMotA,-0.1675482609992094,False
DefaultC-SomMotB,-0.08998276478487038,False
DefaultC-TempPar,0.4836268967835775,False
DefaultC-VisCent,-0.03281639550314481,False
DefaultC-VisPeri,-0.18567314899444132,False
DorsAttnA-DorsAttnA,0.3610421228463518,True
DorsAttnA-DorsAttnB,0.1330037789794083,False
DorsAttnA-LimbicA,-0.006338770922052175,False
DorsAttnA-LimbicB,-0.11123900884548808,False
DorsAttnA-SalVentAttnA,0.04833560011895834,False
DorsAttnA-SalVentAttnB,-0.03394880859129018,False
DorsAttnA-SomMotA,0.004274614633888471,False
DorsAttnA-SomMotB,0.02891959058957653,False
DorsAttnA-TempPar,-0.09652009249378757,False
DorsAttnA-VisCent,-0.04038773170482819,False
DorsAttnA-VisPeri,-0.05770133498968315,False
DorsAttnB-DorsAttnB,0.11436699142988348,True
DorsAttnB-LimbicA,0.0614161290073716,False
DorsAttnB-LimbicB,0.04737379035106811,False
DorsAttnB-SalVentAttnA,0.029444451361268466,False
DorsAttnB-SalVentAttnB,0.07183977874364994,False
DorsAttnB-SomMotA,-0.04619582275723734,False
DorsAttnB-SomMotB,-0.024413966511706593,False
DorsAttnB-TempPar,-0.06003442531665388,False
DorsAttnB-VisCent,-0.0005820449090803612,False
DorsAttnB-VisPeri,-0.072001323986606,False
LimbicA-LimbicA,0.1846036611968607,True
LimbicA-LimbicB,0.18169232314520248,False
LimbicA-SalVentAttnA,0.038502876210317685,False
LimbicA-SalVentAttnB,0.18011715384304766,False
LimbicA-SomMotA,-0.15514811181477622,False
LimbicA-SomMotB,-0.047444622885356835,False
LimbicA-TempPar,-0.013540013579449981,False
LimbicA-VisCent,-0.03467057449043005,False
LimbicA-VisPeri,-0.16558436992927533,False
LimbicB-LimbicB,0.29553033477897084,True
LimbicB-SalVentAttnA,0.048389376271530136,False
LimbicB-SalVentAttnB,0.27348249093351024,False
LimbicB-SomMotA,-0.17728782665692497,False
LimbicB-SomMotB,-0.04827243937161281,False
LimbicB-TempPar,-0.03183679881143523,False
LimbicB-VisCent,-0.00845615338617247,False
LimbicB-VisPeri,-0.1939059153768315,False
SalVentAttnA-SalVentAttnA,0.05261812867692012,True
SalVentAttnA-SalVentAttnB,0.06639508620858975,False
SalVentAttnA-SomMotA,-0.03052172289477227,False
SalVentAttnA-SomMotB,0.02788435863203023,False
SalVentAttnA-TempPar,-0.06682534344424236,False
SalVentAttnA-VisCent,-0.0015210779644258044,False
SalVentAttnA-VisPeri,-0.03813551464586521,False
SalVentAttnB-SalVentAttnB,0.26688319592026366,True
SalVentAttnB-SomMotA,-0.1768515353866935,False
SalVentAttnB-SomMotB,-0.049794661439952016,False
SalVentAttnB-TempPar,-0.0667062318858328,False
SalVentAttnB-VisCent,-0.02576879103292185,False
SalVentAttnB-VisPeri,-0.18751465215928528,False
SomMotA-SomMotA,0.20454679552353985,True
SomMotA-SomMotB,0.0664006202391457,False
