network_connection,fc,within_network
ContA-ContA,0.25321190277703093,True
ContA-ContB,0.09608056908775083,False
ContA-ContC,0.01190222189017942,False
ContA-DefaultA,0.039559255314285266,False
ContA-DefaultB,0.128119520845603,False
ContA-DefaultC,0.08957537432367785,False
ContA-DorsAttnA,0.04498956287153911,False
ContA-DorsAttnB,0.01960947297326349,False
ContA-LimbicA,0.25211916249943456,False
ContA-LimbicB,0.10007330918343792,False
ContA-SalVentAttnA,0.05828266218030604,False
ContA-SalVentAttnB,0.11591055822041642,False
ContA-SomMotA,-0.08741582573753962,False
ContA-SomMotB,0.006023980875154518,False
ContA-TempPar,0.034696476791717314,False
ContA-VisCent,-0.06631708555733941,False
ContA-VisPeri,-0.0804092280986387,False
ContB-ContB,0.11226489527607422,True
ContB-ContC,0.015611770618367963,False
ContB-DefaultA,-0.005856936337495598,False
ContB-DefaultB,0.025524627565085337,False
ContB-DefaultC,0.09831169024032309,False
ContB-DorsAttnA,0.05066859181260531,False
ContB-DorsAttnB,0.03271266771641203,False
ContB-LimbicA,0.08004181099661656,False
ContB-LimbicB,0.014519507577312038,False
ContB-SalVentAttnA,0.007135969458218452,False
ContB-SalVentAttnB,0.022299130975228933,False
ContB-SomMotA,-0.04060110343104378,False
ContB-SomMotB,-0.007574525898126518,False
ContB-TempPar,0.16569330075319652,False
ContB-VisCent,-0.00045523209742338264,False
ContB-VisPeri,-0.05332857433915701,False
ContC-ContC,0.22628694041305797,True
ContC-DefaultA,0.21550847127939546,False
ContC-DefaultB,0.17644250505101713,False
ContC-DefaultC,0.013454924822532533,False
ContC-DorsAttnA,-0.12339050407717561,False
ContC-DorsAttnB,-0.06429024608315217,False
ContC-LimbicA,0.06879321509513711,False
ContC-LimbicB,0.12193665122084536,False
ContC-SalVentAttnA,-0.03196423820003532,False
ContC-SalVentAttnB,0.12283304471255081,False
ContC-SomMotA,-0.08207012848417622,False
ContC-SomMotB,-0.0839205718010246,False
ContC-TempPar,-0.10720716971606119,False
ContC-VisCent,-0.031016987394291602,False
ContC-VisPeri,-0.0945039859615287,False
DefaultA-DefaultA,0.20800802630624182,True
DefaultA-DefaultB,0.19688053695848606,False
DefaultA-DefaultC,0.0233875440646952,False
DefaultA-DorsAttnA,-0.13052275478200165,False
DefaultA-DorsAttnB,-0.08413204826510173,False
DefaultA-LimbicA,0.07928304470221166,False
DefaultA-LimbicB,0.13289435420561493,False
DefaultA-SalVentAttnA,-0.020684776430005006,False
DefaultA-SalVentAttnB,0.11966798282318708,False
DefaultA-SomMotA,-0.09086968609527157,False
DefaultA-SomMotB,-0.07507934395915035,False
DefaultA-TempPar,-0.12298114126287099,False
DefaultA-VisCent,-0.03566122262622781,False
DefaultA-VisPeri,-0.09964713113780369,False
DefaultB-DefaultB,0.35865644697416915,True
DefaultB-DefaultC,0.25092350035917727,False
DefaultB-DorsAttnA,-0.11123176355555435,False
DefaultB-DorsAttnB,-0.07308156227156559,False
DefaultB-LimbicA,0.17127492018180357,False
DefaultB-LimbicB,0.12632431484864484,False
DefaultB-SalVentAttnA,-0.00857491379560209,False
DefaultB-SalVentAttnB,0.1247686715154422,False
DefaultB-SomMotA,-0.11910644965760953,False
DefaultB-SomMotB,-0.06351555882580481,False
DefaultB-TempPar,0.013148292712722415,False
DefaultB-VisCent,-0.06964041892165913,False
DefaultB-VisPeri,-0.08472369154217362,False
DefaultC-DefaultC,0.39291360438049333,True
DefaultC-DorsAttnA,-0.055486987939244184,False
DefaultC-DorsAttnB,-0.0537723074531603,False
DefaultC-LimbicA,0.08024355900336265,False
DefaultC-LimbicB,-0.004598373611363752,False
DefaultC-SalVentAttnA,-0.03392364364946664,False
DefaultC-SalVentAttnB,-0.03218087707605767,False
DefaultC-SomMotA,-0.08988419709358313,False
DefaultC-SomMotB,-0.03995099336522413,False
DefaultC-TempPar,0.3034209909179181,False
DefaultC-VisCent,-0.029839168054939434,False
DefaultC-VisPeri,-0.05581901808862026,False
DorsAttnA-DorsAttnA,0.27376277729686854,True
DorsAttnA-DorsAttnB,0.11084962832316124,False
DorsAttnA-LimbicA,0.03454577320172033,False
DorsAttnA-LimbicB,-0.06497121884901526,False
DorsAttnA-SalVentAttnA,0.07521838193647866,False
DorsAttnA-SalVentAttnB,-0.011880208750287453,False
DorsAttnA-SomMotA,0.01749652967864553,False
DorsAttnA-SomMotB,0.1078657117421759,False
DorsAttnA-TempPar,0.03747587093581453,False
DorsAttnA-VisCent,-0.009448801851118868,False
DorsAttnA-VisPeri,-0.0034070218009994544,False
DorsAttnB-DorsAttnB,0.1534119262949694,True
DorsAttnB-LimbicA,0.02619305701109819,False
DorsAttnB-LimbicB,-0.02562122427879946,False
DorsAttnB-SalVentAttnA,0.05598825753688077,False
DorsAttnB-SalVentAttnB,0.009256551565417919,False
DorsAttnB-SomMotA,0.08835052601729076,False
DorsAttnB-SomMotB,0.04020763354679165,False
DorsAttnB-TempPar,0.0393136117135439,False
DorsAttnB-VisCent,0.0369911443927408,False
DorsAttnB-VisPeri,0.08981627081602203,False
LimbicA-LimbicA,0.24576356649884432,True
LimbicA-LimbicB,0.12548292270146924,False
LimbicA-SalVentAttnA,0.05547382909816178,False
LimbicA-SalVentAttnB,0.14702176914384738,False
LimbicA-SomMotA,-0.08370300844045907,False
LimbicA-SomMotB,-0.0023027328231422345,False
LimbicA-TempPar,-0.010501534051671483,False
LimbicA-VisCent,-0.0744014699884439,False
LimbicA-VisPeri,-0.07049511714635122,False
LimbicB-LimbicB,0.1532431840730168,True
LimbicB-SalVentAttnA,0.039229680833258215,False
LimbicB-SalVentAttnB,0.1742370193221581,False
LimbicB-SomMotA,-0.06982500166071504,False
LimbicB-SomMotB,-0.016629619998233303,False
