network_connection,fc,within_network
ContA-ContA,0.25140079872649695,True
ContA-ContB,0.16695665858058228,False
ContA-ContC,0.09104564377141987,False
ContA-DefaultA,0.10576085454925886,False
ContA-DefaultB,0.15834481188488195,False
ContA-DefaultC,0.10036012552711614,False
ContA-DorsAttnA,0.005153502841614949,False
ContA-DorsAttnB,0.043958134446863854,False
ContA-LimbicA,0.23163259514790155,False
ContA-LimbicB,0.1064866791434948,False
ContA-SalVentAttnA,0.004859095264225776,False
ContA-SalVentAttnB,0.13611544647441776,False
ContA-SomMotA,-0.13539967638618405,False
ContA-SomMotB,-0.0556374920318976,False
ContA-TempPar,0.008532437702463867,False
ContA-VisCent,-0.05262516944250457,False
ContA-VisPeri,-0.09339406225245588,False
ContB-ContB,0.17447418470041298,True
ContB-ContC,0.07347187361000339,False
ContB-DefaultA,0.08063038438052998,False
ContB-DefaultB,0.1426756781496187,False
ContB-DefaultC,0.1387446596956233,False
ContB-DorsAttnA,-0.001070873837874209,False
ContB-DorsAttnB,0.005465683625212946,False
ContB-LimbicA,0.12431549946255818,False
ContB-LimbicB,0.02844860970356802,False
ContB-SalVentAttnA,-0.027755714799594683,False
ContB-SalVentAttnB,0.03477975582468985,False
ContB-SomMotA,-0.10690484448477793,False
ContB-SomMotB,-0.059968840979042516,False
ContB-TempPar,0.04769170642060782,False
ContB-VisCent,-0.05012163628701075,False
ContB-VisPeri,-0.10196512426909188,False
ContC-ContC,0.12604765624609593,True
ContC-DefaultA,0.12019456807400644,False
ContC-DefaultB,0.09698696715300502,False
ContC-DefaultC,0.0007397272622377532,False
ContC-DorsAttnA,-0.019369223442345544,False
ContC-DorsAttnB,0.007368843589020595,False
ContC-LimbicA,0.09161002776157426,False
ContC-LimbicB,0.02819396081142549,False
ContC-SalVentAttnA,-0.010643353334886188,False
ContC-SalVentAttnB,0.04519450400518578,False
ContC-SomMotA,-0.05051208526590793,False
ContC-SomMotB,-0.06547483541691727,False
ContC-TempPar,-0.00784069635245855,False
ContC-VisCent,-0.029494300834322584,False
ContC-VisPeri,-0.02915334776054993,False
DefaultA-DefaultA,0.12163087542721678,True
DefaultA-DefaultB,0.12198923268352271,False
DefaultA-DefaultC,0.0165709766534316,False
DefaultA-DorsAttnA,-0.027011087809683972,False
DefaultA-DorsAttnB,-0.008633292063008828,False
DefaultA-LimbicA,0.09569772259706467,False
DefaultA-LimbicB,0.024450502383887584,False
DefaultA-SalVentAttnA,-0.017782661613142185,False
DefaultA-SalVentAttnB,0.032428496421290726,False
DefaultA-SomMotA,-0.05178026461441494,False
DefaultA-SomMotB,-0.05910344139938937,False
DefaultA-TempPar,-0.016381645443145323,False
DefaultA-VisCent,-0.03312945323169632,False
DefaultA-VisPeri,-0.03694102806296494,False
DefaultB-DefaultB,0.20524413144421938,True
DefaultB-DefaultC,0.1749556386385502,False
DefaultB-DorsAttnA,-0.06476502152077207,False
DefaultB-DorsAttnB,-0.034482378225922004,False
DefaultB-LimbicA,0.11799649162137921,False
DefaultB-LimbicB,0.03231593855069054,False
DefaultB-SalVentAttnA,-0.04676821494788673,False
DefaultB-SalVentAttnB,0.01740031713024603,False
DefaultB-SomMotA,-0.09979034513079983,False
DefaultB-SomMotB,-0.07351424508980041,False
DefaultB-TempPar,0.03793906903958183,False
DefaultB-VisCent,-0.05552668208587458,False
DefaultB-VisPeri,-0.0895233345794314,False
DefaultC-DefaultC,0.4058121041293294,True
DefaultC-DorsAttnA,-0.10689274634152574,False
DefaultC-DorsAttnB,-0.04793536014711847,False
DefaultC-LimbicA,0.06699819840286753,False
DefaultC-LimbicB,0.06172377583870782,False
DefaultC-SalVentAttnA,-0.032855343526559784,False
DefaultC-SalVentAttnB,0.04101331981924315,False
DefaultC-SomMotA,-0.15624192791333674,False
DefaultC-SomMotB,-0.07633407893570324,False
DefaultC-TempPar,0.301192551173586,False
DefaultC-VisCent,-0.05096766386533115,False
DefaultC-VisPeri,-0.1482446981858138,False
DorsAttnA-DorsAttnA,0.18837423898502337,True
DorsAttnA-DorsAttnB,0.07116091265793309,False
DorsAttnA-LimbicA,0.03848920204841603,False
DorsAttnA-LimbicB,0.01128397032616424,False
DorsAttnA-SalVentAttnA,0.0427940551237735,False
DorsAttnA-SalVentAttnB,0.046394051847572004,False
DorsAttnA-SomMotA,0.008195493013095105,False
DorsAttnA-SomMotB,0.0485451240864208,False
DorsAttnA-TempPar,-0.0866570906608276,False
DorsAttnA-VisCent,0.010077254403241809,False
DorsAttnA-VisPeri,0.008986844476191557,False
DorsAttnB-DorsAttnB,0.07120137567040113,True
DorsAttnB-LimbicA,0.05329242712516971,False
DorsAttnB-LimbicB,0.04508069821355494,False
DorsAttnB-SalVentAttnA,0.039171207956354835,False
DorsAttnB-SalVentAttnB,0.08604369287613929,False
DorsAttnB-SomMotA,-0.020812654747702237,False
DorsAttnB-SomMotB,0.0008601748665018274,False
DorsAttnB-TempPar,-0.014870917588600147,False
DorsAttnB-VisCent,0.01127034939731521,False
DorsAttnB-VisPeri,0.01947749427524512,False
LimbicA-LimbicA,0.24446011593577616,True
LimbicA-LimbicB,0.14660643610780835,False
LimbicA-SalVentAttnA,0.0388084518622781,False
LimbicA-SalVentAttnB,0.1831390448060999,False
LimbicA-SomMotA,-0.13043086959997102,False
LimbicA-SomMotB,-0.023767861301183375,False
LimbicA-TempPar,0.0051501965522202315,False
LimbicA-VisCent,-0.04865079182681999,False
LimbicA-VisPeri,-0.09131400487115,False
LimbicB-LimbicB,0.13563558787347044,True
LimbicB-SalVentAttnA,0.05671356440400936,False
LimbicB-SalVentAttnB,0.17279403240127963,False
LimbicB-SomMotA,-0.09271203497118087,False
LimbicB-SomMotB,0.007944521802322357,False
LimbicB-TempPar,0.03837384347676625,False
LimbicB-VisCent,-0.014788927294866763,False
LimbicB-VisPeri,-0.0600269896004939,False
SalVentAttnA-SalVentAttnA,0.059672477495869694,True
SalVentAttnA-SalVentAttnB,0.09452715432086359,False
SalVentAttnA-SomMotA,-0.013782730458781745,False
SalVentAttnA-SomMotB,0.027767633483636787,False
SalVentAttnA-TempPar,-0.006085447172432962,False
SalVentAttnA-VisCent,-0.0007687298772526763,False
SalVentAttnA-VisPeri,0.01449886512468251,False
SalVentAttnB-SalVentAttnB,0.24554349600150793,True
SalVentAttnB-SomMotA,-0.11879012721378246,False
SalVentAttnB-SomMotB,0.0001207186698382491,False
SalVentAttnB-TempPar,0.030128008405574797,False
SalVentAttnB-VisCent,-0.024032767164692513,False
SalVentAttnB-VisPeri,-0.03776715519152995,False
SomMotA-SomMotA,0.15670132778567855,True
SomMotA-SomMotB,0.07167540371802364,False
SomMotA-TempPar,-0.13155396862274363,False
SomMotA-VisCent,0.06316515835397411,False
SomMotA-VisPeri,0.13471889195555986,False
SomMotB-SomMotB,0.1116834066642023,True
SomMotB-TempPar,-0.09784391660398606,False
SomMotB-VisCent,0.04578251200190073,False
SomMotB-VisPeri,0.04032683634422309,False
TempPar-TempPar,0.47362332300602655,True
TempPar-VisCent,-0.04383782565239308,False
TempPar-VisPeri,-0.12484394307649628,False
VisCent-VisCent,0.04625608705343168,True
VisCent-VisPeri,0.058924063020491295,False
VisPeri-VisPeri,0.17993681179826843,True
