network_connection,fc,within_network
ContA-ContA,0.2897500403269974,True
ContA-ContB,0.1692958091296096,False
ContA-ContC,0.1835011362501809,False
ContA-DefaultA,0.2011455163188925,False
ContA-DefaultB,0.17694111514003305,False
ContA-DefaultC,-0.001576649019206069,False
ContA-DorsAttnA,-0.07558345641560965,False
ContA-DorsAttnB,0.07095375819203015,False
ContA-LimbicA,0.23783788174455722,False
ContA-LimbicB,0.1918543485458881,False
ContA-SalVentAttnA,0.004627345695936228,False
ContA-SalVentAttnB,0.18414602879968386,False
ContA-SomMotA,-0.1032225390296863,False
ContA-SomMotB,-0.06982291727869001,False
ContA-TempPar,-0.12726897576510862,False
ContA-VisCent,0.016361493782366992,False
ContA-VisPeri,-0.08514199620908564,False
ContB-ContB,0.25021624055869507,True
ContB-ContC,0.1665876419797499,False
ContB-DefaultA,0.1334699210642479,False
ContB-DefaultB,0.1576890262283766,False
ContB-DefaultC,0.10813574552972481,False
ContB-DorsAttnA,-0.04955179907424945,False
ContB-DorsAttnB,0.08274276161342137,False
ContB-LimbicA,0.1234539079173319,False
ContB-LimbicB,0.09164234502479646,False
ContB-SalVentAttnA,-0.02198406914030191,False
ContB-SalVentAttnB,0.062183935090331884,False
ContB-SomMotA,-0.08164551352123135,False
ContB-SomMotB,-0.07275475696801904,False
ContB-TempPar,0.061093994117810836,False
ContB-VisCent,0.06382650903254565,False
ContB-VisPeri,-0.01785073039641875,False
ContC-ContC,0.28636935987324397,True
ContC-DefaultA,0.26810240334951996,False
ContC-DefaultB,0.20859083835507083,False
ContC-DefaultC,0.009831034014350306,False
ContC-DorsAttnA,-0.11487125699446037,False
ContC-DorsAttnB,0.04940962366442357,False
ContC-LimbicA,0.15770881078067278,False
ContC-LimbicB,0.18126272908201294,False
ContC-SalVentAttnA,-0.005632153125006215,False
ContC-SalVentAttnB,0.14854276873584202,False
ContC-SomMotA,-0.0647453875216194,False
ContC-SomMotB,-0.09649538701138724,False
ContC-TempPar,-0.07653668001469925,False
ContC-VisCent,0.03295364094147696,False
ContC-VisPeri,-0.06921483738246159,False
DefaultA-DefaultA,0.2644539887731012,True
DefaultA-DefaultB,0.21814502241450895,False
DefaultA-DefaultC,0.0003876313586509842,False
DefaultA-DorsAttnA,-0.1305869465253364,False
DefaultA-DorsAttnB,0.026419361314877113,False
DefaultA-LimbicA,0.15364347150232502,False
DefaultA-LimbicB,0.1800788941820554,False
DefaultA-SalVentAttnA,-0.010847829540681548,False
DefaultA-SalVentAttnB,0.14040706328079428,False
DefaultA-SomMotA,-0.06533489007962835,False
DefaultA-SomMotB,-0.08406775248067422,False
DefaultA-TempPar,-0.0791916808444214,False
