network_connection,fc,within_network
ContA-ContA,0.1758725627218367,True
ContA-ContB,0.1387390182329133,False
ContA-ContC,0.12261082333751745,False
ContA-DefaultA,0.1356656922877325,False
ContA-DefaultB,0.16723671700405385,False
ContA-DefaultC,0.06370588045561383,False
ContA-DorsAttnA,0.03767646034407311,False
ContA-DorsAttnB,0.04927440707232381,False
ContA-LimbicA,0.17861145118772367,False
ContA-LimbicB,0.0742578031185832,False
ContA-SalVentAttnA,0.022384196765703458,False
ContA-SalVentAttnB,0.10519015475386859,False
ContA-SomMotA,0.00023842643991602095,False
ContA-SomMotB,0.00804146695688606,False
ContA-TempPar,0.04813409717479699,False
ContA-VisCent,0.047395417516418376,False
ContA-VisPeri,-0.03390496899703952,False
ContB-ContB,0.19632296789506448,True
ContB-ContC,0.12825846251445736,False
ContB-DefaultA,0.11345143825017898,False
ContB-DefaultB,0.15338978209688958,False
ContB-DefaultC,0.11852694873374149,False
ContB-DorsAttnA,0.06239569735500895,False
ContB-DorsAttnB,0.08033027818082403,False
ContB-LimbicA,0.12058968070889954,False
ContB-LimbicB,0.03758364390083484,False
ContB-SalVentAttnA,0.014797187635615286,False
ContB-SalVentAttnB,0.056412889217269585,False
ContB-SomMotA,-0.00242976268373491,False
ContB-SomMotB,-0.004051101370688552,False
ContB-TempPar,0.11073125954892465,False
ContB-VisCent,0.06561013692887266,False
ContB-VisPeri,-0.02218452712206635,False
ContC-ContC,0.21051226647560453,True
ContC-DefaultA,0.18085410368594623,False
ContC-DefaultB,0.20361171529712832,False
ContC-DefaultC,0.1363022758176924,False
ContC-DorsAttnA,-0.01129123856287812,False
ContC-DorsAttnB,0.03568326853725584,False
ContC-LimbicA,0.14049230376663874,False
ContC-LimbicB,0.08927576940909059,False
ContC-SalVentAttnA,0.035206917300133964,False
ContC-SalVentAttnB,0.11968043016173396,False
ContC-SomMotA,0.009138167876637966,False
ContC-SomMotB,-0.0045264873297242705,False
ContC-TempPar,0.07572784411305973,False
ContC-VisCent,0.0604444750635449,False
ContC-VisPeri,-0.017605715053731222,False
DefaultA-DefaultA,0.16881005109186506,True
DefaultA-DefaultB,0.20255249272748097,False
DefaultA-DefaultC,0.1109950454412147,False
DefaultA-DorsAttnA,-0.008322122631643745,False
DefaultA-DorsAttnB,0.028908352092835942,False
DefaultA-LimbicA,0.14339463051367773,False
DefaultA-LimbicB,0.08963021107383962,False
DefaultA-SalVentAttnA,0.02950906156186733,False
DefaultA-SalVentAttnB,0.11034908540425807,False
DefaultA-SomMotA,0.006189551120980801,False
DefaultA-SomMotB,-0.00958866767910217,False
DefaultA-TempPar,0.05292320357129343,False
DefaultA-VisCent,0.058195976982273655,False
DefaultA-VisPeri,-0.02562268299089053,False
DefaultB-DefaultB,0.27551831438535906,True
DefaultB-DefaultC,0.23152494137445656,False
DefaultB-DorsAttnA,-0.013318452328949928,False
DefaultB-DorsAttnB,0.01207193862710171,False
DefaultB-LimbicA,0.16210600315217677,False
DefaultB-LimbicB,0.10015079135739362,False
DefaultB-SalVentAttnA,0.026555517288145578,False
DefaultB-SalVentAttnB,0.12103942662631008,False
DefaultB-SomMotA,-0.017827292930101126,False
DefaultB-SomMotB,-0.011675006338776729,False
DefaultB-TempPar,0.12690919045646962,False
DefaultB-VisCent,0.06678224518520608,False
DefaultB-VisPeri,-0.05109258477103356,False
DefaultC-DefaultC,0.4264757833933727,True
DefaultC-DorsAttnA,-0.019618969689517003,False
DefaultC-DorsAttnB,-0.023329694650086802,False
DefaultC-LimbicA,0.04682453923932431,False
DefaultC-LimbicB,0.07827961788327689,False
DefaultC-SalVentAttnA,0.03032732937445551,False
DefaultC-SalVentAttnB,0.09695374621553658,False
DefaultC-SomMotA,-0.052112338002846356,False
DefaultC-SomMotB,0.024359143077659393,False
DefaultC-TempPar,0.32231410752183326,False
DefaultC-VisCent,0.05467077135829594,False
DefaultC-VisPeri,-0.05356466876149882,False
DorsAttnA-DorsAttnA,0.18064248635930716,True
DorsAttnA-DorsAttnB,0.08115537445886267,False
DorsAttnA-LimbicA,0.028031018376455788,False
DorsAttnA-LimbicB,-0.001457501359210806,False
DorsAttnA-SalVentAttnA,0.03611816152197349,False
DorsAttnA-SalVentAttnB,-0.006209216775252963,False
DorsAttnA-SomMotA,0.0795995630985065,False
DorsAttnA-SomMotB,0.10791881003692727,False
DorsAttnA-TempPar,-0.023478547248567155,False
DorsAttnA-VisCent,0.05871641280370029,False
DorsAttnA-VisPeri,0.05082804554425365,False
DorsAttnB-DorsAttnB,0.09515979287072339,True
DorsAttnB-LimbicA,0.05012685493633828,False
DorsAttnB-LimbicB,0.024645575659715327,False
DorsAttnB-SalVentAttnA,0.042241800777051065,False
DorsAttnB-SalVentAttnB,0.03408552371135279,False
DorsAttnB-SomMotA,0.03681043904830278,False
DorsAttnB-SomMotB,0.009235846025691883,False
DorsAttnB-TempPar,-0.019282431410563253,False
DorsAttnB-VisCent,0.04987166075314675,False
DorsAttnB-VisPeri,0.03669933239876473,False
LimbicA-LimbicA,0.18277846193277147,True
LimbicA-LimbicB,0.08579596889000166,False
LimbicA-SalVentAttnA,0.025258903043381672,False
LimbicA-SalVentAttnB,0.12120594078896432,False
LimbicA-SomMotA,0.001153129929403184,False
LimbicA-SomMotB,0.002056210545831211,False
LimbicA-TempPar,0.008702325226083146,False
LimbicA-VisCent,0.05144991924995495,False
LimbicA-VisPeri,-0.04159465058327596,False
LimbicB-LimbicB,0.09005098417788523,True
LimbicB-SalVentAttnA,0.041473799181054295,False
LimbicB-SalVentAttnB,0.10409530171471697,False
LimbicB-SomMotA,-0.002252364482889049,False
LimbicB-SomMotB,0.010959757667906005,False
LimbicB-TempPar,0.02693999948695951,False
LimbicB-VisCent,0.05363762255441303,False
LimbicB-VisPeri,-0.008677049814591647,False
SalVentAttnA-SalVentAttnA,0.07105861058445208,True
SalVentAttnA-SalVentAttnB,0.07198211766011618,False
SalVentAttnA-SomMotA,0.04114693789055589,False
SalVentAttnA-SomMotB,0.052488507467381935,False
SalVentAttnA-TempPar,0.003809611591787784,False
SalVentAttnA-VisCent,0.03139995086475824,False
SalVentAttnA-VisPeri,0.06430158426766706,False
SalVentAttnB-SalVentAttnB,0.15318478737895558,True
SalVentAttnB-SomMotA,-0.0028949565446548162,False
SalVentAttnB-SomMotB,0.028708841632429944,False
SalVentAttnB-TempPar,0.061312142256419656,False
SalVentAttnB-VisCent,0.03613192573491216,False
SalVentAttnB-VisPeri,0.014942464923533112,False
SomMotA-SomMotA,0.1433134371677499,True
SomMotA-SomMotB,0.10693028382908912,False
SomMotA-TempPar,-0.06846634809040876,False
SomMotA-VisCent,0.06978688746933114,False
SomMotA-VisPeri,0.12984699600435312,False
SomMotB-SomMotB,0.15612847954416884,True
SomMotB-TempPar,0.0008895223113476389,False
SomMotB-VisCent,0.05169805172335314,False
SomMotB-VisPeri,0.09263779298796951,False
TempPar-TempPar,0.41996618985601886,True
TempPar-VisCent,-0.011307302637223654,False
TempPar-VisPeri,-0.024664029060413834,False
VisCent-VisCent,0.09881225240035336,True
VisCent-VisPeri,0.04287068397486395,False
VisPeri-VisPeri,0.1928302288867556,True
