network_connection,fc,within_network
ContA-ContA,0.3384340045200316,True
ContA-ContB,0.23919332169743693,False
ContA-ContC,0.13237210411470895,False
ContA-DefaultA,0.14154482605854565,False
ContA-DefaultB,0.1629129300700997,False
ContA-DefaultC,0.16975496148491226,False
ContA-DorsAttnA,-0.052011519831844454,False
ContA-DorsAttnB,0.06198810103853808,False
ContA-LimbicA,0.310590942706387,False
ContA-LimbicB,0.20204314096506587,False
ContA-SalVentAttnA,-0.014021605351557814,False
ContA-SalVentAttnB,0.1910963895927548,False
ContA-SomMotA,-0.1588049946383231,False
ContA-SomMotB,-0.06822351904167442,False
ContA-TempPar,0.036718957779685105,False
ContA-VisCent,0.02035388128408365,False
ContA-VisPeri,-0.18964112162774835,False
ContB-ContB,0.24991077092383027,True
ContB-ContC,0.10730977412404148,False
ContB-DefaultA,0.09158712133029724,False
ContB-DefaultB,0.13853247017056117,False
ContB-DefaultC,0.1883088328639723,False
ContB-DorsAttnA,0.0004197214101338235,False
ContB-DorsAttnB,0.07267260496095194,False
ContB-LimbicA,0.18128326674902068,False
ContB-LimbicB,0.11325229257576834,False
ContB-SalVentAttnA,-0.03473526683381167,False
ContB-SalVentAttnB,0.07680155090554774,False
ContB-SomMotA,-0.11267022513275876,False
ContB-SomMotB,-0.058112587274034,False
ContB-TempPar,0.10782887691555669,False
ContB-VisCent,0.04571915191810434,False
ContB-VisPeri,-0.1466981537694249,False
ContC-ContC,0.27032936229397264,True
ContC-DefaultA,0.2607809574246639,False
ContC-DefaultB,0.15601352092888018,False
ContC-DefaultC,0.0029197737187913655,False
ContC-DorsAttnA,-0.09633471455878151,False
ContC-DorsAttnB,0.02450016998700006,False
ContC-LimbicA,0.14131859647294337,False
ContC-LimbicB,0.14802529209713555,False
ContC-SalVentAttnA,-0.004830595131023972,False
ContC-SalVentAttnB,0.14321173442319304,False
ContC-SomMotA,-0.041412240775373366,False
ContC-SomMotB,-0.0651449773128601,False
ContC-TempPar,-0.057350857996548765,False
ContC-VisCent,0.03053961305185984,False
ContC-VisPeri,-0.09120451899204918,False
DefaultA-DefaultA,0.2593078489531093,True
DefaultA-DefaultB,0.1654081350353791,False
DefaultA-DefaultC,0.009267356310109099,False
DefaultA-DorsAttnA,-0.10235368780672595,False
DefaultA-DorsAttnB,0.010798109960088167,False
DefaultA-LimbicA,0.1446719043122843,False
DefaultA-LimbicB,0.14885805852508643,False
DefaultA-SalVentAttnA,-0.006674279150404534,False
DefaultA-SalVentAttnB,0.13193875814596126,False
DefaultA-SomMotA,-0.04611979495076858,False
DefaultA-SomMotB,-0.057744342995139385,False
DefaultA-TempPar,-0.06601979655979073,False
DefaultA-VisCent,0.026760230342375405,False
DefaultA-VisPeri,-0.10725866501572558,False
DefaultB-DefaultB,0.21107412158613897,True
DefaultB-DefaultC,0.21193357650942435,False
DefaultB-DorsAttnA,-0.10735459273381105,False
DefaultB-DorsAttnB,-4.533917686633196e-05,False
DefaultB-LimbicA,0.12358879482696805,False
DefaultB-LimbicB,0.1297188740579944,False
DefaultB-SalVentAttnA,-0.021974228072537575,False
