network_connection,fc,within_network
ContA-ContA,0.19168081500056078,True
ContA-ContB,0.09681480226064489,False
ContA-ContC,0.03952288975297671,False
ContA-DefaultA,0.04210727065398471,False
ContA-DefaultB,0.0036835138848266918,False
ContA-DefaultC,-0.08381375939536502,False
ContA-DorsAttnA,0.006302784342442325,False
ContA-DorsAttnB,0.035332270221319684,False
ContA-LimbicA,0.17852114338167022,False
ContA-LimbicB,0.07642129991317717,False
ContA-SalVentAttnA,0.00821114366774215,False
ContA-SalVentAttnB,0.11528073486846237,False
ContA-SomMotA,-0.03718584657425446,False
ContA-SomMotB,-0.05729709029022683,False
ContA-TempPar,-0.045839749021013086,False
ContA-VisCent,-0.02941688351532689,False
ContA-VisPeri,-0.009402286949515755,False
ContB-ContB,0.11621441587435939,True
ContB-ContC,0.036367699779322235,False
ContB-DefaultA,-0.01558983096691012,False
ContB-DefaultB,-0.05119234913126003,False
ContB-DefaultC,-0.027272769084267644,False
ContB-DorsAttnA,0.05884011335774501,False
ContB-DorsAttnB,0.08327863390449727,False
ContB-LimbicA,0.04729572884809561,False
ContB-LimbicB,-0.0006495336359259034,False
ContB-SalVentAttnA,-0.0017317822190623879,False
ContB-SalVentAttnB,0.020797754083825393,False
ContB-SomMotA,-0.025845259708898814,False
ContB-SomMotB,-0.054547476345115524,False
ContB-TempPar,0.05955193147332044,False
ContB-VisCent,-0.011443251952587687,False
ContB-VisPeri,-0.02956553409038481,False
ContC-ContC,0.24436682217741076,True
ContC-DefaultA,0.1875556612971763,False
ContC-DefaultB,0.10387505777727912,False
ContC-DefaultC,-0.0709624829745832,False
ContC-DorsAttnA,-0.08384803205556127,False
ContC-DorsAttnB,0.01176465531672247,False
ContC-LimbicA,0.08955590525882352,False
ContC-LimbicB,0.11195633528027188,False
ContC-SalVentAttnA,-0.014680342405181712,False
ContC-SalVentAttnB,0.09874474858780133,False
ContC-SomMotA,-0.006836341125096516,False
ContC-SomMotB,-0.08957679481901792,False
ContC-TempPar,-0.06208335674405253,False
ContC-VisCent,0.0017212493722203852,False
ContC-VisPeri,0.020472575653661347,False
DefaultA-DefaultA,0.1998575472862468,True
DefaultA-DefaultB,0.16601455598104684,False
DefaultA-DefaultC,-0.03789122685800317,False
DefaultA-DorsAttnA,-0.08931380230690451,False
DefaultA-DorsAttnB,-0.04211328675829072,False
DefaultA-LimbicA,0.08238982896523817,False
DefaultA-LimbicB,0.11223370957429626,False
DefaultA-SalVentAttnA,-0.002155532973249936,False
DefaultA-SalVentAttnB,0.10599760977237126,False
DefaultA-SomMotA,-0.028961310964333572,False
DefaultA-SomMotB,-0.05560354825463241,False
DefaultA-TempPar,-0.07850362526050386,False
DefaultA-VisCent,-0.02036062440465911,False
DefaultA-VisPeri,-0.017363487687454816,False
DefaultB-DefaultB,0.2977103750372514,True
DefaultB-DefaultC,0.19088824876936147,False
DefaultB-DorsAttnA,-0.16137481041106744,False
DefaultB-DorsAttnB,-0.1461760472912102,False
DefaultB-LimbicA,0.060474377681295106,False
DefaultB-LimbicB,0.0943018762718415,False
DefaultB-SalVentAttnA,-0.0451318984215961,False
DefaultB-SalVentAttnB,0.04105717307466256,False
DefaultB-SomMotA,-0.11824750685954061,False
DefaultB-SomMotB,-0.05087912410095563,False
DefaultB-TempPar,-0.04937834337568081,False
DefaultB-VisCent,-0.056173589421530584,False
DefaultB-VisPeri,-0.11927540143321268,False
DefaultC-DefaultC,0.38585815735709444,True
DefaultC-DorsAttnA,-0.11595610213219433,False
DefaultC-DorsAttnB,-0.11972609961638868,False
DefaultC-LimbicA,-0.06429104775905796,False
DefaultC-LimbicB,-0.020572642036360445,False
DefaultC-SalVentAttnA,-0.06322889359816757,False
DefaultC-SalVentAttnB,-0.1029173472179903,False
DefaultC-SomMotA,-0.13128046070864058,False
DefaultC-SomMotB,-0.03373115196548068,False
DefaultC-TempPar,0.20472168174432318,False
DefaultC-VisCent,-0.03626962052435639,False
DefaultC-VisPeri,-0.1459388033585456,False
DorsAttnA-DorsAttnA,0.2744590313124472,True
DorsAttnA-DorsAttnB,0.14163058792806188,False
DorsAttnA-LimbicA,-0.03310828973706751,False
DorsAttnA-LimbicB,-0.054384801120733385,False
DorsAttnA-SalVentAttnA,0.096666123243833,False
DorsAttnA-SalVentAttnB,0.02410824133599189,False
DorsAttnA-SomMotA,0.02834371348326005,False
DorsAttnA-SomMotB,0.05997341450077844,False
DorsAttnA-TempPar,-0.0032002926018765265,False
DorsAttnA-VisCent,-0.03161753046178742,False
DorsAttnA-VisPeri,-0.017284599733778445,False
DorsAttnB-DorsAttnB,0.20550518502617524,True
DorsAttnB-LimbicA,-0.02233071158837983,False
DorsAttnB-LimbicB,-0.012737309437581954,False
DorsAttnB-SalVentAttnA,0.04791696722034234,False
DorsAttnB-SalVentAttnB,0.03334794660494573,False
DorsAttnB-SomMotA,0.03602683624913608,False
DorsAttnB-SomMotB,-0.032675807639435415,False
DorsAttnB-TempPar,0.07327233910114002,False
DorsAttnB-VisCent,0.03701092824094661,False
DorsAttnB-VisPeri,0.04385403695730957,False
LimbicA-LimbicA,0.19620022692911895,True
LimbicA-LimbicB,0.12157902275273726,False
LimbicA-SalVentAttnA,0.011457841393487633,False
LimbicA-SalVentAttnB,0.13919882571394346,False
LimbicA-SomMotA,-0.03756395773402558,False
LimbicA-SomMotB,-0.03718667557527138,False
LimbicA-TempPar,-0.1349957524799835,False
LimbicA-VisCent,-0.03554759830987102,False
LimbicA-VisPeri,-0.015538423106807801,False
LimbicB-LimbicB,0.1731373875253038,True
LimbicB-SalVentAttnA,0.04995590930757644,False
LimbicB-SalVentAttnB,0.17854950874178854,False
LimbicB-SomMotA,-0.07931644373936321,False
LimbicB-SomMotB,-0.020789578355432874,False
LimbicB-TempPar,-0.08709745200613896,False
LimbicB-VisCent,-0.032837069238706794,False
LimbicB-VisPeri,-0.053902658945224814,False
SalVentAttnA-SalVentAttnA,0.0944467257351478,True
SalVentAttnA-SalVentAttnB,0.08652038163231787,False
SalVentAttnA-SomMotA,-0.0009771515009169391,False
SalVentAttnA-SomMotB,0.04914625552407212,False
SalVentAttnA-TempPar,-0.046462769120993765,False
SalVentAttnA-VisCent,-0.02410153706931952,False
SalVentAttnA-VisPeri,-0.0008604719559221727,False
SalVentAttnB-SalVentAttnB,0.20393684468771664,True
SalVentAttnB-SomMotA,-0.061105455927859494,False
SalVentAttnB-SomMotB,-0.025949724299179088,False
SalVentAttnB-TempPar,-0.1094894183130583,False
SalVentAttnB-VisCent,-0.05554241300516881,False
SalVentAttnB-VisPeri,-0.03335788772276195,False
SomMotA-SomMotA,0.17272133742734744,True
SomMotA-SomMotB,0.07341116878115114,False
SomMotA-TempPar,-0.05231929406848151,False
SomMotA-VisCent,0.08711338242792704,False
SomMotA-VisPeri,0.1736032126874812,False
SomMotB-SomMotB,0.15442417652795298,True
SomMotB-TempPar,-0.08928588822410238,False
SomMotB-VisCent,0.02716150898052006,False
SomMotB-VisPeri,0.06319162351077187,False
TempPar-TempPar,0.5228713828415353,True
TempPar-VisCent,-0.01279970260134868,False
TempPar-VisPeri,-0.05494990379288519,False
VisCent-VisCent,0.12524518848186514,True
VisCent-VisPeri,0.11671465838557255,False
VisPeri-VisPeri,0.2539526765858767,True
