network_connection,fc,within_network
ContA-ContA,0.18661735983466793,True
ContA-ContB,0.11084696516251823,False
ContA-ContC,0.028169269642002653,False
ContA-DefaultA,0.03642604152545579,False
ContA-DefaultB,0.03505037714225488,False
ContA-DefaultC,0.0344574427108314,False
ContA-DorsAttnA,-0.043685436353948365,False
ContA-DorsAttnB,0.056072312853266755,False
ContA-LimbicA,0.15859832962478476,False
ContA-LimbicB,0.09389100585215368,False
ContA-SalVentAttnA,0.001277578878604939,False
ContA-SalVentAttnB,0.0860891395013109,False
ContA-SomMotA,-0.08177320855611273,False
ContA-SomMotB,-0.047948230154218785,False
ContA-TempPar,-0.004053051369936865,False
ContA-VisCent,-0.0007355109948264976,False
ContA-VisPeri,-0.08499579249951375,False
ContB-ContB,0.146562548140745,True
ContB-ContC,0.058325308020990826,False
ContB-DefaultA,0.0403130128567188,False
ContB-DefaultB,0.07392746569005199,False
ContB-DefaultC,0.1131776074229898,False
ContB-DorsAttnA,-0.030138091110241388,False
ContB-DorsAttnB,0.03734636301616664,False
ContB-LimbicA,0.08229206987491662,False
ContB-LimbicB,0.0487775162108298,False
ContB-SalVentAttnA,-0.023748055170645092,False
ContB-SalVentAttnB,0.016211183061738597,False
ContB-SomMotA,-0.0900023241507124,False
ContB-SomMotB,-0.06214539418256713,False
ContB-TempPar,0.07257583127557285,False
ContB-VisCent,-0.0212499470248669,False
ContB-VisPeri,-0.11197701434050086,False
ContC-ContC,0.18603565936349734,True
ContC-DefaultA,0.12858789990512362,False
ContC-DefaultB,0.05801726788533848,False
ContC-DefaultC,-0.008310188386811837,False
ContC-DorsAttnA,-0.009540512255542772,False
ContC-DorsAttnB,0.02012860795678396,False
ContC-LimbicA,0.061529738766476764,False
ContC-LimbicB,0.05903120192950214,False
ContC-SalVentAttnA,-0.0013290180624885883,False
ContC-SalVentAttnB,0.04319779243746462,False
ContC-SomMotA,-0.04449147123027933,False
ContC-SomMotB,-0.044257577538401274,False
ContC-TempPar,-0.005021030692223348,False
ContC-VisCent,-0.014739684917605503,False
ContC-VisPeri,-0.07847358281853968,False
DefaultA-DefaultA,0.11273282084389696,True
DefaultA-DefaultB,0.08101454512059171,False
DefaultA-DefaultC,0.02281272631925676,False
DefaultA-DorsAttnA,-0.015576227823675484,False
DefaultA-DorsAttnB,0.01776947462660145,False
DefaultA-LimbicA,0.05351321947444129,False
DefaultA-LimbicB,0.04181756707320435,False
DefaultA-SalVentAttnA,-0.004172664786551553,False
DefaultA-SalVentAttnB,0.02166192599750111,False
DefaultA-SomMotA,-0.03555635714896809,False
DefaultA-SomMotB,-0.03966142962650191,False
DefaultA-TempPar,0.004037069512437052,False
DefaultA-VisCent,-0.0024581674701149255,False
DefaultA-VisPeri,-0.0739573171911011,False
DefaultB-DefaultB,0.1393386797846081,True
DefaultB-DefaultC,0.1885538501081248,False
DefaultB-DorsAttnA,-0.0549419159799316,False
DefaultB-DorsAttnB,0.0025554726268312805,False
DefaultB-LimbicA,0.027963256554059405,False
DefaultB-LimbicB,0.030156448858921114,False
DefaultB-SalVentAttnA,-0.017848443739004818,False
DefaultB-SalVentAttnB,-0.010825153191672406,False
DefaultB-SomMotA,-0.06383671022408118,False
DefaultB-SomMotB,-0.05712654338386135,False
DefaultB-TempPar,0.0954663969905025,False
DefaultB-VisCent,-0.013025938175731706,False
DefaultB-VisPeri,-0.10178572218856685,False
DefaultC-DefaultC,0.4217406202543633,True
DefaultC-DorsAttnA,-0.09352424668410357,False
DefaultC-DorsAttnB,0.0021192233768881205,False
DefaultC-LimbicA,-0.0017843669347508495,False
DefaultC-LimbicB,0.08051867824795436,False
DefaultC-SalVentAttnA,-0.012985377240161074,False
DefaultC-SalVentAttnB,0.023872961307756475,False
DefaultC-SomMotA,-0.1444532654765056,False
DefaultC-SomMotB,-0.08148771165050174,False
DefaultC-TempPar,0.31678106567874764,False
DefaultC-VisCent,-0.03498877398409744,False
DefaultC-VisPeri,-0.185931971944454,False
DorsAttnA-DorsAttnA,0.1764712377169795,True
DorsAttnA-DorsAttnB,0.054353147072355466,False
DorsAttnA-LimbicA,-0.03001323086492514,False
DorsAttnA-LimbicB,-0.032051282352963326,False
DorsAttnA-SalVentAttnA,0.027794960984891426,False
DorsAttnA-SalVentAttnB,0.007185113120951644,False
DorsAttnA-SomMotA,-0.010630619652028966,False
DorsAttnA-SomMotB,0.03785445872217896,False
DorsAttnA-TempPar,-0.07494381796871576,False
DorsAttnA-VisCent,-0.009467634832701594,False
DorsAttnA-VisPeri,-0.023137472016989596,False
DorsAttnB-DorsAttnB,0.12314119523487674,True
DorsAttnB-LimbicA,0.048894016998532776,False
DorsAttnB-LimbicB,0.072792396110351,False
DorsAttnB-SalVentAttnA,0.02731442546503678,False
DorsAttnB-SalVentAttnB,0.08858757198498844,False
DorsAttnB-SomMotA,-0.06721893805456892,False
DorsAttnB-SomMotB,-0.05331496509941136,False
DorsAttnB-TempPar,-0.01767080251793336,False
DorsAttnB-VisCent,0.01305552691451666,False
DorsAttnB-VisPeri,-0.07219043237509012,False
LimbicA-LimbicA,0.15261409465736392,True
LimbicA-LimbicB,0.0743754758601037,False
LimbicA-SalVentAttnA,-0.005106425313339974,False
LimbicA-SalVentAttnB,0.07386734206660901,False
LimbicA-SomMotA,-0.06342596743120242,False
LimbicA-SomMotB,-0.049527573774211395,False
LimbicA-TempPar,-0.012209806640687505,False
LimbicA-VisCent,-0.006502770422669682,False
LimbicA-VisPeri,-0.0744213456680178,False
LimbicB-LimbicB,0.20212014018722574,True
LimbicB-SalVentAttnA,0.0718344133473662,False
LimbicB-SalVentAttnB,0.2176975858471497,False
LimbicB-SomMotA,-0.09063640894899269,False
LimbicB-SomMotB,-0.02444060640295706,False
LimbicB-TempPar,0.020471111983217525,False
LimbicB-VisCent,0.008665336190221392,False
LimbicB-VisPeri,-0.09386593966801281,False
SalVentAttnA-SalVentAttnA,0.05676827989240339,True
SalVentAttnA-SalVentAttnB,0.09456706170017246,False
SalVentAttnA-SomMotA,-0.021555234425357766,False
SalVentAttnA-SomMotB,0.019601340578174732,False
SalVentAttnA-TempPar,-0.025106007113531364,False
SalVentAttnA-VisCent,0.004852656764480188,False
SalVentAttnA-VisPeri,-0.01289713468675906,False
SalVentAttnB-SalVentAttnB,0.25022407473739355,True
SalVentAttnB-SomMotA,-0.09122657323101724,False
SalVentAttnB-SomMotB,-0.01922607263316163,False
SalVentAttnB-TempPar,-0.005319446531515816,False
SalVentAttnB-VisCent,-0.00102302203457582,False
SalVentAttnB-VisPeri,-0.07699583714456813,False
SomMotA-SomMotA,0.14181290351371603,True
SomMotA-SomMotB,0.06604222139885121,False
SomMotA-TempPar,-0.11050209924659966,False
SomMotA-VisCent,0.028399316039568037,False
SomMotA-VisPeri,0.17934261139771296,False
SomMotB-SomMotB,0.12169763536866894,True
SomMotB-TempPar,-0.0714359694024819,False
SomMotB-VisCent,0.0278800268538845,False
SomMotB-VisPeri,0.05495823237358374,False
TempPar-TempPar,0.4090934260768002,True
TempPar-VisCent,-0.051099148380564764,False
TempPar-VisPeri,-0.14826390094172612,False
VisCent-VisCent,0.02420711309158734,True
VisCent-VisPeri,0.03288191119689974,False
VisPeri-VisPeri,0.30025253790574374,True
