network_connection,fc,within_network
ContA-ContA,0.2197029154409519,True
ContA-ContB,0.10874288329655019,False
ContA-ContC,0.11002336980596691,False
ContA-DefaultA,0.14725036956053397,False
ContA-DefaultB,0.16886184723770747,False
ContA-DefaultC,0.07356074580596958,False
ContA-DorsAttnA,-0.020567651573712414,False
ContA-DorsAttnB,0.023138133363632383,False
ContA-LimbicA,0.2284403408177822,False
ContA-LimbicB,0.12558240319600888,False
ContA-SalVentAttnA,0.03497354997526371,False
ContA-SalVentAttnB,0.1297112681835049,False
ContA-SomMotA,0.014456732131263821,False
ContA-SomMotB,0.023660133793072264,False
ContA-TempPar,-0.024729938638366113,False
ContA-VisCent,0.02449246489999026,False
ContA-VisPeri,0.06613291373564825,False
ContB-ContB,0.17068438216031348,True
ContB-ContC,0.15071683905123187,False
ContB-DefaultA,0.10341793919227595,False
ContB-DefaultB,0.10548324469700403,False
ContB-DefaultC,0.09860809407898466,False
ContB-DorsAttnA,0.007740354629016881,False
ContB-DorsAttnB,0.09053035084248601,False
ContB-LimbicA,0.11733029330487427,False
ContB-LimbicB,0.0837103002949581,False
ContB-SalVentAttnA,0.014045082152492944,False
ContB-SalVentAttnB,0.06286875689851905,False
ContB-SomMotA,0.0282129208318822,False
ContB-SomMotB,0.006249597457221964,False
ContB-TempPar,0.11447251514967643,False
ContB-VisCent,0.06776063723703292,False
ContB-VisPeri,0.06654837797721555,False
ContC-ContC,0.33271627381579233,True
ContC-DefaultA,0.2972914243408498,False
ContC-DefaultB,0.24286191774817534,False
ContC-DefaultC,0.08486360167789511,False
ContC-DorsAttnA,-0.09603949902703128,False
ContC-DorsAttnB,0.0879099999767213,False
ContC-LimbicA,0.17344724984759793,False
ContC-LimbicB,0.23202035929135387,False
ContC-SalVentAttnA,0.05035921844706717,False
ContC-SalVentAttnB,0.1900911231769327,False
ContC-SomMotA,0.037729192410221116,False
ContC-SomMotB,0.021178083311033394,False
ContC-TempPar,0.04048572240538644,False
ContC-VisCent,0.117154235627217,False
ContC-VisPeri,0.10144904797892858,False
DefaultA-DefaultA,0.32491762551619013,True
DefaultA-DefaultB,0.30197567126272307,False
DefaultA-DefaultC,0.09753904022590694,False
DefaultA-DorsAttnA,-0.12177402709499542,False
DefaultA-DorsAttnB,0.0538545081425052,False
DefaultA-LimbicA,0.19341338423962298,False
DefaultA-LimbicB,0.24137923532589722,False
DefaultA-SalVentAttnA,0.045409658234802384,False
DefaultA-SalVentAttnB,0.19852674029382938,False
DefaultA-SomMotA,0.0192392967947896,False
DefaultA-SomMotB,0.011628620082421203,False
DefaultA-TempPar,0.016851994040559724,False
DefaultA-VisCent,0.10654720769872236,False
DefaultA-VisPeri,0.07447868441460744,False
DefaultB-DefaultB,0.376989032084581,True
DefaultB-DefaultC,0.23471231268068835,False
DefaultB-DorsAttnA,-0.1405094066161367,False
DefaultB-DorsAttnB,-0.010689875308264372,False
DefaultB-LimbicA,0.2010004299241472,False
DefaultB-LimbicB,0.23774547033604793,False
DefaultB-SalVentAttnA,0.01985416026675094,False
DefaultB-SalVentAttnB,0.16230056747513671,False
DefaultB-SomMotA,-0.014572139203324043,False
DefaultB-SomMotB,0.03632784537785116,False
DefaultB-TempPar,0.03403493487683462,False
DefaultB-VisCent,0.08731965184109901,False
DefaultB-VisPeri,0.02959664697245772,False
DefaultC-DefaultC,0.31820305778907343,True
DefaultC-DorsAttnA,-0.09075197089383809,False
DefaultC-DorsAttnB,-0.02748931516540733,False
DefaultC-LimbicA,0.0779263541636263,False
DefaultC-LimbicB,0.10607200122592159,False
DefaultC-SalVentAttnA,-0.01015782894741585,False
DefaultC-SalVentAttnB,0.03984893270711536,False
DefaultC-SomMotA,-0.06022620112325507,False
DefaultC-SomMotB,0.02243552728988022,False
DefaultC-TempPar,0.22869055114824952,False
DefaultC-VisCent,0.03309126852227596,False
DefaultC-VisPeri,-0.05949993363015288,False
DorsAttnA-DorsAttnA,0.27669171585364954,True
DorsAttnA-DorsAttnB,0.08411601390283611,False
DorsAttnA-LimbicA,-0.03332217796852141,False
DorsAttnA-LimbicB,-0.10032363482063927,False
