network_connection,fc,within_network
ContA-ContA,0.30928171875542565,True
ContA-ContB,0.20806986810466188,False
ContA-ContC,0.1694866461015588,False
ContA-DefaultA,0.18976374905977791,False
ContA-DefaultB,0.16031447393525342,False
ContA-DefaultC,0.034185068259812365,False
ContA-DorsAttnA,-0.08519708662072902,False
ContA-DorsAttnB,0.07851245595876645,False
ContA-LimbicA,0.276066305408049,False
ContA-LimbicB,0.1472361225308455,False
ContA-SalVentAttnA,-0.02041547890521154,False
ContA-SalVentAttnB,0.16220683914528436,False
ContA-SomMotA,-0.09399644602471446,False
ContA-SomMotB,-0.13278611450204317,False
ContA-TempPar,0.038596734826498176,False
ContA-VisCent,0.04941384711614388,False
ContA-VisPeri,-0.03805422106068682,False
ContB-ContB,0.25881777618400414,True
ContB-ContC,0.18334338234834416,False
ContB-DefaultA,0.13639164312499502,False
ContB-DefaultB,0.14507331883928137,False
ContB-DefaultC,0.1285799882566769,False
ContB-DorsAttnA,-0.07105325564986952,False
ContB-DorsAttnB,0.0779279904116404,False
ContB-LimbicA,0.17314326276009492,False
ContB-LimbicB,0.025023629439534515,False
ContB-SalVentAttnA,-0.07557478899990545,False
ContB-SalVentAttnB,0.02230480779118858,False
ContB-SomMotA,-0.059294413780057204,False
ContB-SomMotB,-0.15087437816262705,False
ContB-TempPar,0.18861973531173465,False
ContB-VisCent,0.060572066865288494,False
ContB-VisPeri,-0.023460590335480182,False
ContC-ContC,0.30521479134958834,True
ContC-DefaultA,0.25713753740182765,False
ContC-DefaultB,0.14685760185213828,False
ContC-DefaultC,0.01989491432918088,False
ContC-DorsAttnA,-0.030700977124917372,False
ContC-DorsAttnB,0.10580275540758947,False
ContC-LimbicA,0.18258160503837495,False
ContC-LimbicB,0.1117759591673239,False
ContC-SalVentAttnA,-0.008548729642833472,False
ContC-SalVentAttnB,0.14077116006617818,False
ContC-SomMotA,-0.020198130665713746,False
ContC-SomMotB,-0.11618432196461081,False
ContC-TempPar,0.0026900686748836064,False
ContC-VisCent,0.0967232033799807,False
ContC-VisPeri,0.017312800241999556,False
DefaultA-DefaultA,0.25446406362031215,True
DefaultA-DefaultB,0.1625309707824274,False
DefaultA-DefaultC,0.013378145841470285,False
DefaultA-DorsAttnA,-0.04344017664632106,False
DefaultA-DorsAttnB,0.07621925799684817,False
DefaultA-LimbicA,0.18754306561069115,False
DefaultA-LimbicB,0.14010989825485118,False
DefaultA-SalVentAttnA,0.005177760395707154,False
DefaultA-SalVentAttnB,0.15681118895112592,False
DefaultA-SomMotA,-0.038869978802455296,False
DefaultA-SomMotB,-0.09202582439489988,False
DefaultA-TempPar,-0.0179509387493241,False
DefaultA-VisCent,0.08089166634741747,False
DefaultA-VisPeri,-0.013881530663941146,False
DefaultB-DefaultB,0.18681232647736748,True
DefaultB-DefaultC,0.1790805742894534,False
DefaultB-DorsAttnA,-0.0734495815265642,False
DefaultB-DorsAttnB,0.03337903032421105,False
DefaultB-LimbicA,0.12999750618934336,False
DefaultB-LimbicB,0.07604834313087915,False
DefaultB-SalVentAttnA,-0.043880223205694124,False
DefaultB-SalVentAttnB,0.06482638961861763,False
DefaultB-SomMotA,-0.08915208454653227,False
DefaultB-SomMotB,-0.12076387111219593,False
DefaultB-TempPar,0.1359480020698919,False
DefaultB-VisCent,0.029926062988616747,False
DefaultB-VisPeri,-0.061384662909111036,False
DefaultC-DefaultC,0.41703537474115787,True
DefaultC-DorsAttnA,-0.10339363868199039,False
DefaultC-DorsAttnB,-0.02749138311444055,False
DefaultC-LimbicA,-0.004861148299527991,False
