network_connection,fc,within_network
ContA-ContA,0.2851029495827183,True
ContA-ContB,0.15895465275801068,False
ContA-ContC,0.1359884053855746,False
ContA-DefaultA,0.11609318508632029,False
ContA-DefaultB,0.12031496409365357,False
ContA-DefaultC,0.05620797818452598,False
ContA-DorsAttnA,-0.0751725153477381,False
ContA-DorsAttnB,0.016451795897892196,False
ContA-LimbicA,0.26677144144374054,False
ContA-LimbicB,0.23412333300110963,False
ContA-SalVentAttnA,0.00975716409590824,False
ContA-SalVentAttnB,0.2242669092174744,False
ContA-SomMotA,-0.14608929857269418,False
ContA-SomMotB,-0.08690688484051964,False
ContA-TempPar,-0.06148156376615652,False
ContA-VisCent,0.006701588095780781,False
ContA-VisPeri,-0.13827096926691462,False
ContB-ContB,0.17530962426331634,True
ContB-ContC,0.09781316975488005,False
ContB-DefaultA,0.06245325731186016,False
ContB-DefaultB,0.09684267347332376,False
ContB-DefaultC,0.08462157640244979,False
ContB-DorsAttnA,-0.050125216295786666,False
ContB-DorsAttnB,0.02273375061969014,False
ContB-LimbicA,0.13516471341372893,False
ContB-LimbicB,0.08808744246486591,False
ContB-SalVentAttnA,-0.020646021845118667,False
ContB-SalVentAttnB,0.07539068808429597,False
ContB-SomMotA,-0.10461651261238578,False
ContB-SomMotB,-0.08753455854037545,False
ContB-TempPar,0.02501880916978211,False
ContB-VisCent,-0.005006974983580632,False
ContB-VisPeri,-0.11055643825233213,False
ContC-ContC,0.1841885043136872,True
ContC-DefaultA,0.1429473515267637,False
ContC-DefaultB,0.0841407004682521,False
ContC-DefaultC,0.00040983667998117094,False
ContC-DorsAttnA,-0.06398243873568674,False
ContC-DorsAttnB,0.03874943038111309,False
ContC-LimbicA,0.12505005974826525,False
ContC-LimbicB,0.13944052407644633,False
ContC-SalVentAttnA,-0.00484690102394926,False
ContC-SalVentAttnB,0.12133325888985605,False
ContC-SomMotA,-0.05385046133837765,False
ContC-SomMotB,-0.07629792165768942,False
ContC-TempPar,-0.05366162435438259,False
ContC-VisCent,0.022897347549277674,False
ContC-VisPeri,-0.05286922151522186,False
DefaultA-DefaultA,0.13505152916640562,True
DefaultA-DefaultB,0.09363394523834825,False
DefaultA-DefaultC,-0.0028819537430124324,False
DefaultA-DorsAttnA,-0.05530247194558831,False
DefaultA-DorsAttnB,0.016839355997643878,False
DefaultA-LimbicA,0.1097151600515321,False
DefaultA-LimbicB,0.14517577452615485,False
DefaultA-SalVentAttnA,0.005069821173870699,False
DefaultA-SalVentAttnB,0.12193155053479678,False
DefaultA-SomMotA,-0.06260698724473059,False
DefaultA-SomMotB,-0.0540558948402707,False
DefaultA-TempPar,-0.039207175221806154,False
DefaultA-VisCent,0.010959799735935683,False
DefaultA-VisPeri,-0.07838613969007376,False
DefaultB-DefaultB,0.180909319097432,True
DefaultB-DefaultC,0.19998428596078519,False
DefaultB-DorsAttnA,-0.11337941660042113,False
DefaultB-DorsAttnB,-0.0350208207873287,False
DefaultB-LimbicA,0.08675037848345497,False
DefaultB-LimbicB,0.1020439659156769,False
DefaultB-SalVentAttnA,-0.02106689654288916,False
DefaultB-SalVentAttnB,0.0834377964554179,False
DefaultB-SomMotA,-0.0984616640156992,False
DefaultB-SomMotB,-0.07946389717331492,False
DefaultB-TempPar,0.031729303743839435,False
DefaultB-VisCent,-0.005149959081745518,False
DefaultB-VisPeri,-0.1110035480292592,False
DefaultC-DefaultC,0.41823707918286884,True
DefaultC-DorsAttnA,-0.14957722730753376,False
DefaultC-DorsAttnB,-0.1055205814841406,False
DefaultC-LimbicA,-0.013774674792445228,False
DefaultC-LimbicB,0.026974426648199736,False
DefaultC-SalVentAttnA,-0.03412255819028188,False
DefaultC-SalVentAttnB,-0.0046708324410229905,False
DefaultC-SomMotA,-0.09918431648844625,False
DefaultC-SomMotB,-0.070928821066402,False
DefaultC-TempPar,0.20547300936329463,False
DefaultC-VisCent,-0.017897207431373127,False
DefaultC-VisPeri,-0.10523405273778094,False
DorsAttnA-DorsAttnA,0.29517723233557425,True
DorsAttnA-DorsAttnB,0.11420134149797188,False
DorsAttnA-LimbicA,-0.022950216918416623,False
DorsAttnA-LimbicB,-0.05605169904761573,False
DorsAttnA-SalVentAttnA,0.047812002665636344,False
DorsAttnA-SalVentAttnB,0.003677658584129737,False
DorsAttnA-SomMotA,-0.03326755729485314,False
DorsAttnA-SomMotB,0.07439512250383325,False
DorsAttnA-TempPar,-0.10358525799556023,False
DorsAttnA-VisCent,-0.032424984118235446,False
DorsAttnA-VisPeri,-0.06652295021781839,False
DorsAttnB-DorsAttnB,0.12676109561662982,True
DorsAttnB-LimbicA,0.03835088718972718,False
DorsAttnB-LimbicB,0.02418389573098165,False
DorsAttnB-SalVentAttnA,0.006894458328864264,False
DorsAttnB-SalVentAttnB,0.05562647816845075,False
DorsAttnB-SomMotA,-0.01893918475075831,False
DorsAttnB-SomMotB,-0.03285878347523054,False
DorsAttnB-TempPar,-0.10394486836851448,False
DorsAttnB-VisCent,0.021213335139064073,False
DorsAttnB-VisPeri,-0.001667846483992649,False
LimbicA-LimbicA,0.2684322645054215,True
LimbicA-LimbicB,0.24684097948146536,False
LimbicA-SalVentAttnA,0.027629265787399528,False
LimbicA-SalVentAttnB,0.25547436838249155,False
LimbicA-SomMotA,-0.1507341508064387,False
LimbicA-SomMotB,-0.06373949883008358,False
LimbicA-TempPar,-0.07876175391913291,False
LimbicA-VisCent,-0.003072890178685548,False
LimbicA-VisPeri,-0.14335780882148028,False
LimbicB-LimbicB,0.31229125356450427,True
LimbicB-SalVentAttnA,0.05471954372657417,False
LimbicB-SalVentAttnB,0.3004408743463039,False
LimbicB-SomMotA,-0.13213433374648081,False
LimbicB-SomMotB,-0.042316899683190363,False
LimbicB-TempPar,-0.08170761513553532,False
LimbicB-VisCent,0.021882822873480305,False
LimbicB-VisPeri,-0.14796235697512933,False
SalVentAttnA-SalVentAttnA,0.06585916989626225,True
SalVentAttnA-SalVentAttnB,0.07182410231409636,False
SalVentAttnA-SomMotA,-0.03314402264939173,False
SalVentAttnA-SomMotB,0.05207488406620124,False
SalVentAttnA-TempPar,-0.05315536591762361,False
SalVentAttnA-VisCent,-0.01027526655637277,False
SalVentAttnA-VisPeri,-0.02876352730062084,False
SalVentAttnB-SalVentAttnB,0.30015437268635814,True
SalVentAttnB-SomMotA,-0.1463428883141792,False
SalVentAttnB-SomMotB,-0.04433579328400438,False
SalVentAttnB-TempPar,-0.11144936202354694,False
SalVentAttnB-VisCent,0.007597056401808645,False
SalVentAttnB-VisPeri,-0.13094578930547818,False
SomMotA-SomMotA,0.19548339597783573,True
SomMotA-SomMotB,0.05516931047145321,False
SomMotA-TempPar,-0.017439785827914934,False
SomMotA-VisCent,0.044086248291125035,False
SomMotA-VisPeri,0.2187496517097105,False
SomMotB-SomMotB,0.13481998585385205,True
SomMotB-TempPar,-0.031134184189213234,False
SomMotB-VisCent,0.019300779409243865,False
SomMotB-VisPeri,0.03221864439539969,False
TempPar-TempPar,0.31435055691460595,True
TempPar-VisCent,-0.026858742956143798,False
TempPar-VisPeri,-0.03363326223321655,False
VisCent-VisCent,0.0608397372465276,True
VisCent-VisPeri,0.06528061517427815,False
VisPeri-VisPeri,0.3164705838424824,True
