network_connection,fc,within_network
ContA-ContA,0.2960826217040206,True
ContA-ContB,0.17206700082492737,False
ContA-ContC,0.04592334372662808,False
ContA-DefaultA,0.06487628576335232,False
ContA-DefaultB,0.07956079461303221,False
ContA-DefaultC,0.020569904099618223,False
ContA-DorsAttnA,-0.011359201793905937,False
ContA-DorsAttnB,0.05745094910470227,False
ContA-LimbicA,0.2796398198888406,False
ContA-LimbicB,0.1978145306888215,False
ContA-SalVentAttnA,0.01540592598730082,False
ContA-SalVentAttnB,0.179548822290919,False
ContA-SomMotA,-0.14784927011344326,False
ContA-SomMotB,-0.08678204359698201,False
ContA-TempPar,-0.050058530448136296,False
ContA-VisCent,-0.019997625987904628,False
ContA-VisPeri,-0.14996793735274683,False
ContB-ContB,0.18074588187955132,True
ContB-ContC,0.060197839554649316,False
ContB-DefaultA,0.04427319593677082,False
ContB-DefaultB,0.08173188874657836,False
ContB-DefaultC,0.1311248126200322,False
ContB-DorsAttnA,-0.01859984832882067,False
ContB-DorsAttnB,0.041265911298165356,False
ContB-LimbicA,0.12616606663590535,False
ContB-LimbicB,0.09790807476993951,False
ContB-SalVentAttnA,-0.022003082438605225,False
ContB-SalVentAttnB,0.07347496503950533,False
ContB-SomMotA,-0.14324357903840335,False
ContB-SomMotB,-0.09148524554425898,False
ContB-TempPar,0.08356949468585104,False
ContB-VisCent,-0.017524668467068984,False
ContB-VisPeri,-0.14630023735065373,False
ContC-ContC,0.23818762532073576,True
ContC-DefaultA,0.2120849844069054,False
ContC-DefaultB,0.11193118718226146,False
ContC-DefaultC,0.01695091974615683,False
ContC-DorsAttnA,-0.08086113827732806,False
ContC-DorsAttnB,0.0019709941609933096,False
ContC-LimbicA,0.07345637613387138,False
ContC-LimbicB,0.15777697323442988,False
ContC-SalVentAttnA,0.01474744543076428,False
ContC-SalVentAttnB,0.15892306605073345,False
ContC-SomMotA,-0.07400188259438548,False
ContC-SomMotB,-0.06197986806590496,False
ContC-TempPar,0.013083120464415399,False
ContC-VisCent,0.00428639120600477,False
ContC-VisPeri,-0.06539351484603317,False
DefaultA-DefaultA,0.21730446759467217,True
DefaultA-DefaultB,0.14234502168509766,False
DefaultA-DefaultC,0.01954019956700085,False
DefaultA-DorsAttnA,-0.09815340498542754,False
DefaultA-DorsAttnB,-0.008013128301913624,False
DefaultA-LimbicA,0.083991415602406,False
DefaultA-LimbicB,0.180865229778713,False
DefaultA-SalVentAttnA,0.017966603672005466,False
DefaultA-SalVentAttnB,0.17079583884515845,False
DefaultA-SomMotA,-0.07764766575623391,False
DefaultA-SomMotB,-0.0638619388249692,False
DefaultA-TempPar,0.0067439079712217475,False
DefaultA-VisCent,0.010789504672835152,False
DefaultA-VisPeri,-0.06931068085471664,False
DefaultB-DefaultB,0.1838085573705637,True
DefaultB-DefaultC,0.19707510125447195,False
DefaultB-DorsAttnA,-0.119010559184248,False
DefaultB-DorsAttnB,-0.035066501603487434,False
DefaultB-LimbicA,0.05873368793137457,False
DefaultB-LimbicB,0.14157098615923103,False
DefaultB-SalVentAttnA,-0.008221232508751829,False
DefaultB-SalVentAttnB,0.12536739981718426,False
DefaultB-SomMotA,-0.11762903144940094,False
DefaultB-SomMotB,-0.07879176549757659,False
DefaultB-TempPar,0.0868175310704845,False
DefaultB-VisCent,-0.007572925978464117,False
DefaultB-VisPeri,-0.10560883571133672,False
DefaultC-DefaultC,0.46575938065852496,True
DefaultC-DorsAttnA,-0.16216736985434355,False
DefaultC-DorsAttnB,-0.06422722415146127,False
DefaultC-LimbicA,-0.04886839408903019,False
DefaultC-LimbicB,0.05597817928231292,False
DefaultC-SalVentAttnA,-0.05036649754175734,False
DefaultC-SalVentAttnB,0.027790990441340153,False
DefaultC-SomMotA,-0.16143449418169567,False
DefaultC-SomMotB,-0.08404513532531116,False
DefaultC-TempPar,0.3141449654001884,False
DefaultC-VisCent,-0.01922284895163152,False
DefaultC-VisPeri,-0.1541160827055568,False
DorsAttnA-DorsAttnA,0.3067962568470231,True
DorsAttnA-DorsAttnB,0.1079510532894986,False
DorsAttnA-LimbicA,0.020879756924070677,False
DorsAttnA-LimbicB,-0.10798419503865286,False
DorsAttnA-SalVentAttnA,0.03317299553715094,False
DorsAttnA-SalVentAttnB,-0.04359574082081562,False
DorsAttnA-SomMotA,-0.0020741782289083804,False
DorsAttnA-SomMotB,0.0600711186861277,False
DorsAttnA-TempPar,-0.12263765730797041,False
DorsAttnA-VisCent,-0.04337890630671041,False
DorsAttnA-VisPeri,-0.03295090431536796,False
DorsAttnB-DorsAttnB,0.13159950584889488,True
DorsAttnB-LimbicA,0.07609451999936884,False
DorsAttnB-LimbicB,0.025240056527808155,False
DorsAttnB-SalVentAttnA,0.013098337611035628,False
DorsAttnB-SalVentAttnB,0.04344465216245819,False
DorsAttnB-SomMotA,-0.05011366843361528,False
DorsAttnB-SomMotB,-0.0532822565886508,False
DorsAttnB-TempPar,-0.04014164193756197,False
DorsAttnB-VisCent,-0.0009966089957554713,False
DorsAttnB-VisPeri,-0.05632664666031847,False
LimbicA-LimbicA,0.2954672843292801,True
LimbicA-LimbicB,0.22666949303188055,False
LimbicA-SalVentAttnA,0.04200753286403345,False
LimbicA-SalVentAttnB,0.22227538099413732,False
LimbicA-SomMotA,-0.12378554318785394,False
LimbicA-SomMotB,-0.0697410022435632,False
LimbicA-TempPar,-0.11263249573643529,False
LimbicA-VisCent,-0.017637950605456195,False
LimbicA-VisPeri,-0.12952503311247004,False
LimbicB-LimbicB,0.31424609929182123,True
LimbicB-SalVentAttnA,0.07254570050683286,False
LimbicB-SalVentAttnB,0.30942797760115115,False
LimbicB-SomMotA,-0.14008702860962016,False
LimbicB-SomMotB,-0.07803122750837156,False
LimbicB-TempPar,-0.036744382899177315,False
LimbicB-VisCent,0.02019478192315236,False
LimbicB-VisPeri,-0.12117316014598788,False
SalVentAttnA-SalVentAttnA,0.07401592761788665,True
SalVentAttnA-SalVentAttnB,0.09976888611812823,False
SalVentAttnA-SomMotA,-0.016874324963861063,False
SalVentAttnA-SomMotB,0.026085556258670057,False
SalVentAttnA-TempPar,-0.05530242762465111,False
SalVentAttnA-VisCent,-0.0024222427834941457,False
SalVentAttnA-VisPeri,0.00504468904927529,False
SalVentAttnB-SalVentAttnB,0.3246355052876474,True
SalVentAttnB-SomMotA,-0.1564052515873019,False
SalVentAttnB-SomMotB,-0.07856061348438549,False
SalVentAttnB-TempPar,-0.05652566764769827,False
SalVentAttnB-VisCent,-0.007006038969261459,False
SalVentAttnB-VisPeri,-0.12561316400991387,False
SomMotA-SomMotA,0.2165541250099474,True
SomMotA-SomMotB,0.10573125325319503,False
SomMotA-TempPar,-0.1069009705781496,False
SomMotA-VisCent,0.039708647894121166,False
SomMotA-VisPeri,0.21834629411853165,False
SomMotB-SomMotB,0.161541725496212,True
SomMotB-TempPar,-0.078708022576328,False
SomMotB-VisCent,0.028027705683740613,False
SomMotB-VisPeri,0.0701960436069629,False
TempPar-TempPar,0.4390324724522556,True
TempPar-VisCent,-0.020730555414462077,False
TempPar-VisPeri,-0.10469299804859765,False
VisCent-VisCent,0.04096395226365136,True
VisCent-VisPeri,0.05108516533945992,False
VisPeri-VisPeri,0.30995112931723356,True
