network_connection,fc,within_network
ContA-ContA,0.16158023011578976,True
ContA-ContB,0.11830810734555844,False
ContA-ContC,0.007208698860164726,False
ContA-DefaultA,0.03579667964255815,False
ContA-DefaultB,0.04987763420546861,False
ContA-DefaultC,0.06966684952618,False
ContA-DorsAttnA,-0.003311782642712265,False
ContA-DorsAttnB,0.049140531561235996,False
ContA-LimbicA,0.17379451682724853,False
ContA-LimbicB,0.09054857754812747,False
ContA-SalVentAttnA,0.0229044487652315,False
ContA-SalVentAttnB,0.08746924224221102,False
ContA-SomMotA,-0.06266719197294515,False
ContA-SomMotB,-0.015404960682645253,False
ContA-TempPar,0.07034843312615023,False
ContA-VisCent,0.0037938803393657997,False
ContA-VisPeri,-0.059011197064804774,False
ContB-ContB,0.1465825618386096,True
ContB-ContC,0.048756099583782506,False
ContB-DefaultA,0.01076146563047295,False
ContB-DefaultB,0.051391967175034685,False
ContB-DefaultC,0.13778643088267958,False
ContB-DorsAttnA,0.02449506143266273,False
ContB-DorsAttnB,0.03750086602129314,False
ContB-LimbicA,0.10116393091991402,False
ContB-LimbicB,0.026942486335133617,False
ContB-SalVentAttnA,-0.002080446868961452,False
ContB-SalVentAttnB,0.02095244012378941,False
ContB-SomMotA,-0.06264164352206239,False
ContB-SomMotB,-0.022963237151225224,False
ContB-TempPar,0.12149367598203675,False
ContB-VisCent,-0.006726893584676555,False
ContB-VisPeri,-0.0804450087537405,False
ContC-ContC,0.20678695121986543,True
ContC-DefaultA,0.13221529612493096,False
ContC-DefaultB,0.054602733197134525,False
ContC-DefaultC,-0.0011290018523404462,False
ContC-DorsAttnA,-0.08858196439492033,False
ContC-DorsAttnB,-0.010706102947001804,False
ContC-LimbicA,0.0439988787391261,False
ContC-LimbicB,0.15026671512868447,False
ContC-SalVentAttnA,0.018814729591703938,False
ContC-SalVentAttnB,0.15782591823148248,False
ContC-SomMotA,-0.10412835687215705,False
ContC-SomMotB,-0.08054610486155424,False
ContC-TempPar,-0.05261847816752425,False
ContC-VisCent,-0.014410402948496347,False
ContC-VisPeri,-0.10155721997822685,False
DefaultA-DefaultA,0.12455883668622796,True
DefaultA-DefaultB,0.044901764046260687,False
DefaultA-DefaultC,-0.0500158714779213,False
DefaultA-DorsAttnA,-0.061238680356373795,False
DefaultA-DorsAttnB,0.00623643331203573,False
DefaultA-LimbicA,0.07530820421187456,False
DefaultA-LimbicB,0.14817288300433964,False
DefaultA-SalVentAttnA,0.03456631505311535,False
DefaultA-SalVentAttnB,0.15320078211106872,False
DefaultA-SomMotA,-0.0770369670577242,False
DefaultA-SomMotB,-0.055004077394958634,False
DefaultA-TempPar,-0.059086260576443346,False
DefaultA-VisCent,-0.010500748130195773,False
DefaultA-VisPeri,-0.07282162086653918,False
DefaultB-DefaultB,0.07982716222173324,True
DefaultB-DefaultC,0.13729753898497235,False
DefaultB-DorsAttnA,-0.04421228114503153,False
DefaultB-DorsAttnB,-0.005842017174295495,False
DefaultB-LimbicA,0.03779554030873758,False
DefaultB-LimbicB,0.06132490865246174,False
DefaultB-SalVentAttnA,0.003995840275441788,False
DefaultB-SalVentAttnB,0.06438309689854224,False
DefaultB-SomMotA,-0.06960112967343855,False
DefaultB-SomMotB,-0.02952954407248876,False
DefaultB-TempPar,0.08219785833694271,False
DefaultB-VisCent,-0.012392672436728988,False
DefaultB-VisPeri,-0.0782922329767636,False
DefaultC-DefaultC,0.3873862926094726,True
DefaultC-DorsAttnA,-0.05165130666969146,False
DefaultC-DorsAttnB,-0.020724721335848417,False
DefaultC-LimbicA,0.0023330422290674096,False
DefaultC-LimbicB,-0.03031372741898851,False
DefaultC-SalVentAttnA,-0.037402282058847894,False
DefaultC-SalVentAttnB,-0.037294969685412446,False
DefaultC-SomMotA,-0.09207384554926988,False
DefaultC-SomMotB,-0.0280769920210681,False
