network_connection,fc,within_network
ContA-ContA,0.22827425043046198,True
ContA-ContB,0.09654595560165358,False
ContA-ContC,0.08496926482874771,False
ContA-DefaultA,0.09219193725113103,False
ContA-DefaultB,0.08737675947624186,False
ContA-DefaultC,0.024642208466250516,False
ContA-DorsAttnA,-0.0021659586098149875,False
ContA-DorsAttnB,0.08477346072064817,False
ContA-LimbicA,0.2276770756946774,False
ContA-LimbicB,0.19782161313322236,False
ContA-SalVentAttnA,0.0266419659787588,False
ContA-SalVentAttnB,0.17105083378628813,False
ContA-SomMotA,-0.10414492968802348,False
ContA-SomMotB,-0.003111646327056547,False
ContA-TempPar,-0.0784808813451429,False
ContA-VisCent,0.0417300376037811,False
ContA-VisPeri,-0.11040953027773383,False
ContB-ContB,0.18555238053734685,True
ContB-ContC,0.07287676731028914,False
ContB-DefaultA,0.0273721501429164,False
ContB-DefaultB,0.06536218986226128,False
ContB-DefaultC,0.1500412933836767,False
ContB-DorsAttnA,-0.02564045836900216,False
ContB-DorsAttnB,0.046767672431478044,False
ContB-LimbicA,0.06300068153804635,False
ContB-LimbicB,0.04085635101283294,False
ContB-SalVentAttnA,-0.02102860027153949,False
ContB-SalVentAttnB,0.009849149336789136,False
ContB-SomMotA,-0.06639946703939463,False
ContB-SomMotB,-0.008404497261811729,False
ContB-TempPar,0.18776180941213025,False
ContB-VisCent,0.009631338031183408,False
ContB-VisPeri,-0.07751541618275065,False
ContC-ContC,0.18178785271677028,True
ContC-DefaultA,0.14352741804674005,False
ContC-DefaultB,0.07833017514740365,False
ContC-DefaultC,0.025925687255722956,False
ContC-DorsAttnA,-0.010000132668800402,False
ContC-DorsAttnB,0.032642073492771026,False
ContC-LimbicA,0.09288031793323819,False
ContC-LimbicB,0.13810900329998632,False
ContC-SalVentAttnA,0.030080209338429125,False
ContC-SalVentAttnB,0.12207649781883963,False
ContC-SomMotA,-0.048183671096398636,False
ContC-SomMotB,0.006020612117288596,False
ContC-TempPar,-0.026460263482068258,False
ContC-VisCent,0.03079966937224884,False
ContC-VisPeri,-0.07298539822299657,False
DefaultA-DefaultA,0.1381619896619669,True
DefaultA-DefaultB,0.09631101204755865,False
DefaultA-DefaultC,0.017119910807116,False
DefaultA-DorsAttnA,-0.00893500785885374,False
DefaultA-DorsAttnB,0.02602080188026996,False
DefaultA-LimbicA,0.09489290158709718,False
DefaultA-LimbicB,0.1494516674288038,False
DefaultA-SalVentAttnA,0.03642853633990178,False
DefaultA-SalVentAttnB,0.13493612067041888,False
DefaultA-SomMotA,-0.0494338478993519,False
DefaultA-SomMotB,0.004560267831849212,False
DefaultA-TempPar,-0.06315503314096939,False
DefaultA-VisCent,0.028977661130738026,False
DefaultA-VisPeri,-0.07493822552375443,False
DefaultB-DefaultB,0.14673510726404576,True
DefaultB-DefaultC,0.1480049892906485,False
DefaultB-DorsAttnA,-0.05123420985920171,False
DefaultB-DorsAttnB,0.004501047889661417,False
DefaultB-LimbicA,0.06628062572679236,False
DefaultB-LimbicB,0.114708997975898,False
DefaultB-SalVentAttnA,0.011857231732468415,False
DefaultB-SalVentAttnB,0.09815445865438407,False
DefaultB-SomMotA,-0.07288545982046475,False
DefaultB-SomMotB,-0.0041057380492436745,False
DefaultB-TempPar,0.033414290000733836,False
DefaultB-VisCent,0.005195380203020837,False
DefaultB-VisPeri,-0.07991271537955603,False
DefaultC-DefaultC,0.30507534908847805,True
DefaultC-DorsAttnA,-0.11436218502166498,False
DefaultC-DorsAttnB,-0.020062719457806105,False
DefaultC-LimbicA,-0.01719530893518441,False
DefaultC-LimbicB,0.026764485694962772,False
DefaultC-SalVentAttnA,-0.026104131560255105,False
DefaultC-SalVentAttnB,-0.003248294044880051,False
DefaultC-SomMotA,-0.06670969302144066,False
DefaultC-SomMotB,-0.021415345484017936,False
DefaultC-TempPar,0.2910852436097337,False
DefaultC-VisCent,-0.023086279404611533,False
DefaultC-VisPeri,-0.06901435258874815,False
DorsAttnA-DorsAttnA,0.2563808309493854,True
DorsAttnA-DorsAttnB,0.10900934440975311,False
DorsAttnA-LimbicA,0.033275697991851,False
DorsAttnA-LimbicB,-0.02431561280352581,False
DorsAttnA-SalVentAttnA,0.06790485749238641,False
DorsAttnA-SalVentAttnB,0.024139122736541268,False
DorsAttnA-SomMotA,0.025460287934790302,False
DorsAttnA-SomMotB,0.047480850552008645,False
DorsAttnA-TempPar,-0.12772920919835523,False
DorsAttnA-VisCent,0.021398437811529922,False
DorsAttnA-VisPeri,0.010314475764706805,False
DorsAttnB-DorsAttnB,0.13140000185164016,True
DorsAttnB-LimbicA,0.09259798264670778,False
DorsAttnB-LimbicB,0.07721908122559705,False
DorsAttnB-SalVentAttnA,0.043244069823353944,False
DorsAttnB-SalVentAttnB,0.09273338040737893,False
DorsAttnB-SomMotA,-0.04128274958336696,False
DorsAttnB-SomMotB,-0.01293169506550346,False
DorsAttnB-TempPar,-0.047015969675302145,False
DorsAttnB-VisCent,0.04906927508529483,False
DorsAttnB-VisPeri,-0.035150288079100415,False
LimbicA-LimbicA,0.24508835177965466,True
LimbicA-LimbicB,0.19652964382227592,False
LimbicA-SalVentAttnA,0.03641125330301821,False
LimbicA-SalVentAttnB,0.17956595696854602,False
LimbicA-SomMotA,-0.07773191981350705,False
LimbicA-SomMotB,0.0074573052285340355,False
LimbicA-TempPar,-0.12971123627034845,False
LimbicA-VisCent,0.047094153604665547,False
LimbicA-VisPeri,-0.09110726149730317,False
LimbicB-LimbicB,0.2548611317086427,True
LimbicB-SalVentAttnA,0.060693396856755684,False
LimbicB-SalVentAttnB,0.23902293326724985,False
LimbicB-SomMotA,-0.10139476315324772,False
LimbicB-SomMotB,-0.004099568024289818,False
LimbicB-TempPar,-0.12432217611880106,False
LimbicB-VisCent,0.057336592409484174,False
LimbicB-VisPeri,-0.1162176814480994,False
SalVentAttnA-SalVentAttnA,0.0564693066562914,True
SalVentAttnA-SalVentAttnB,0.08056156877060335,False
SalVentAttnA-SomMotA,-0.0015200128340687737,False
SalVentAttnA-SomMotB,0.028884837583868478,False
SalVentAttnA-TempPar,-0.07042491893014664,False
SalVentAttnA-VisCent,0.01729386884218897,False
SalVentAttnA-VisPeri,-0.002186286256307285,False
SalVentAttnB-SalVentAttnB,0.2346271562778281,True
SalVentAttnB-SomMotA,-0.09050943640982148,False
SalVentAttnB-SomMotB,-0.01140427102256818,False
SalVentAttnB-TempPar,-0.14590117246201426,False
SalVentAttnB-VisCent,0.04349093019484365,False
SalVentAttnB-VisPeri,-0.08818592050182113,False
