network_connection,fc,within_network
ContA-ContA,0.2971999514956021,True
ContA-ContB,0.2210958576219277,False
ContA-ContC,0.09067489829535288,False
ContA-DefaultA,0.10352174752538416,False
ContA-DefaultB,0.11775228398254907,False
ContA-DefaultC,0.12658277718867975,False
ContA-DorsAttnA,-0.03877687997089995,False
ContA-DorsAttnB,0.08196959341096925,False
ContA-LimbicA,0.22636440043320705,False
ContA-LimbicB,0.1720690424370247,False
ContA-SalVentAttnA,0.02411194742277952,False
ContA-SalVentAttnB,0.20156665203656368,False
ContA-SomMotA,-0.21758133351086723,False
ContA-SomMotB,-0.12778361551841616,False
ContA-TempPar,0.12147897598598241,False
ContA-VisCent,-0.0478252978515836,False
ContA-VisPeri,-0.22975567503697972,False
ContB-ContB,0.2352659123409839,True
ContB-ContC,0.05895466907905128,False
ContB-DefaultA,0.05741313277860412,False
ContB-DefaultB,0.08569740317897179,False
ContB-DefaultC,0.13253714655866355,False
ContB-DorsAttnA,-0.0012086623770313726,False
ContB-DorsAttnB,0.08271063754714193,False
ContB-LimbicA,0.13900366628348224,False
ContB-LimbicB,0.0715993336779177,False
ContB-SalVentAttnA,-0.020212026769388894,False
ContB-SalVentAttnB,0.0761835719914171,False
ContB-SomMotA,-0.16520365635266201,False
ContB-SomMotB,-0.07821156389730839,False
ContB-TempPar,0.19248164293764497,False
ContB-VisCent,-0.024829313727774742,False
ContB-VisPeri,-0.17937364757457447,False
ContC-ContC,0.12967291377939208,True
ContC-DefaultA,0.14009028597429063,False
ContC-DefaultB,0.08660678128998289,False
ContC-DefaultC,0.00437047919854825,False
ContC-DorsAttnA,-0.039993592600908616,False
ContC-DorsAttnB,0.018579649184685413,False
ContC-LimbicA,0.09872370998187771,False
ContC-LimbicB,0.12047600879585442,False
ContC-SalVentAttnA,0.023924918869925368,False
ContC-SalVentAttnB,0.13246232566268698,False
ContC-SomMotA,-0.05382534259465988,False
ContC-SomMotB,-0.06487758087428605,False
ContC-TempPar,-0.032183969558896026,False
ContC-VisCent,-0.004283574916622555,False
ContC-VisPeri,-0.06945745661243084,False
DefaultA-DefaultA,0.1740578752706242,True
DefaultA-DefaultB,0.11273935610345073,False
DefaultA-DefaultC,0.016153536398677545,False
DefaultA-DorsAttnA,-0.050511122293502624,False
DefaultA-DorsAttnB,0.017889745463721546,False
DefaultA-LimbicA,0.10292457204001401,False
DefaultA-LimbicB,0.12552089736889896,False
DefaultA-SalVentAttnA,0.017432086613760542,False
DefaultA-SalVentAttnB,0.12943225212277887,False
DefaultA-SomMotA,-0.0514311221191644,False
DefaultA-SomMotB,-0.07222011234168264,False
DefaultA-TempPar,-0.01175922900311649,False
DefaultA-VisCent,0.0027518311964149825,False
DefaultA-VisPeri,-0.07736353286336733,False
DefaultB-DefaultB,0.12859482525870974,True
DefaultB-DefaultC,0.13574742983566396,False
DefaultB-DorsAttnA,-0.06442894705080211,False
DefaultB-DorsAttnB,0.00797994360947877,False
DefaultB-LimbicA,0.08725293475168698,False
DefaultB-LimbicB,0.09827870479853945,False
DefaultB-SalVentAttnA,0.010209379855830633,False
DefaultB-SalVentAttnB,0.09407260315117467,False
DefaultB-SomMotA,-0.07913936217554171,False
DefaultB-SomMotB,-0.0635321394365284,False
DefaultB-TempPar,0.06527847149684307,False
DefaultB-VisCent,-0.00798659536345969,False
DefaultB-VisPeri,-0.10199694373974073,False
DefaultC-DefaultC,0.2829662302245641,True
DefaultC-DorsAttnA,-0.0972802365022767,False
DefaultC-DorsAttnB,0.010967663506183396,False
DefaultC-LimbicA,0.05822762263098195,False
DefaultC-LimbicB,0.0658122051830248,False
DefaultC-SalVentAttnA,-0.0054080369542938355,False
DefaultC-SalVentAttnB,0.048932691506248786,False
DefaultC-SomMotA,-0.14011092932947952,False
DefaultC-SomMotB,-0.07153893546523896,False
DefaultC-TempPar,0.25089606557992394,False
DefaultC-VisCent,-0.022748549122268657,False
DefaultC-VisPeri,-0.14071025453326408,False
DorsAttnA-DorsAttnA,0.22849491962181753,True
DorsAttnA-DorsAttnB,0.08221269800617517,False
DorsAttnA-LimbicA,-0.02039697582837998,False
DorsAttnA-LimbicB,-0.10929713318663957,False
DorsAttnA-SalVentAttnA,-0.01978116955320469,False
DorsAttnA-SalVentAttnB,-0.05340081551655367,False
DorsAttnA-SomMotA,0.052744099810200444,False
DorsAttnA-SomMotB,0.040787039647902035,False
DorsAttnA-TempPar,-0.057259219605280715,False
DorsAttnA-VisCent,0.008036236187756755,False
DorsAttnA-VisPeri,0.07462522409431883,False
DorsAttnB-DorsAttnB,0.10336321058210775,True
