network_connection,fc,within_network
ContA-ContA,0.27110078019242484,True
ContA-ContB,0.08106562973556365,False
ContA-ContC,0.1196104559942206,False
ContA-DefaultA,0.11302507927265701,False
ContA-DefaultB,0.09828096831389899,False
ContA-DefaultC,-0.0021051054729938692,False
ContA-DorsAttnA,-0.04368261478244995,False
ContA-DorsAttnB,0.07140275464884507,False
ContA-LimbicA,0.26984681357137263,False
ContA-LimbicB,0.23997599167066364,False
ContA-SalVentAttnA,0.05950716799176013,False
ContA-SalVentAttnB,0.2510073415494812,False
ContA-SomMotA,-0.10886656022798889,False
ContA-SomMotB,-0.07017041283706381,False
ContA-TempPar,-0.06220030082254977,False
ContA-VisCent,0.02256896338237328,False
ContA-VisPeri,-0.09348731361183324,False
ContB-ContB,0.09867649578147739,True
ContB-ContC,0.07983070219723366,False
ContB-DefaultA,0.056916149610829456,False
ContB-DefaultB,0.05910602554410686,False
ContB-DefaultC,0.0686612870433644,False
ContB-DorsAttnA,0.03470084063483445,False
ContB-DorsAttnB,0.035592736332017635,False
ContB-LimbicA,0.09180361233235948,False
ContB-LimbicB,0.04817257643237943,False
ContB-SalVentAttnA,0.006165539985606099,False
ContB-SalVentAttnB,0.052676830252829106,False
ContB-SomMotA,-0.054960188200048554,False
ContB-SomMotB,-0.019121101276098982,False
ContB-TempPar,0.06352909727965796,False
ContB-VisCent,-0.008718843737960044,False
ContB-VisPeri,-0.05764846416744794,False
ContC-ContC,0.24240229478889325,True
ContC-DefaultA,0.1754423499990784,False
ContC-DefaultB,0.08810844960544145,False
ContC-DefaultC,-0.05841594468662363,False
ContC-DorsAttnA,0.009205643606104269,False
ContC-DorsAttnB,0.055618764052708575,False
ContC-LimbicA,0.14964765351634304,False
ContC-LimbicB,0.14437183259567324,False
ContC-SalVentAttnA,0.05301239756108068,False
ContC-SalVentAttnB,0.1655097986419752,False
ContC-SomMotA,-0.05096197145750383,False
ContC-SomMotB,-0.04329913750854123,False
ContC-TempPar,-0.07288795546298603,False
ContC-VisCent,0.005918720585349986,False
ContC-VisPeri,-0.024093136231809826,False
DefaultA-DefaultA,0.151743081510376,True
DefaultA-DefaultB,0.09309855787534016,False
DefaultA-DefaultC,-0.039365066763980036,False
DefaultA-DorsAttnA,0.012980830475637398,False
DefaultA-DorsAttnB,0.04682285887359645,False
DefaultA-LimbicA,0.12602541223571428,False
DefaultA-LimbicB,0.12871607119241604,False
DefaultA-SalVentAttnA,0.04630899482000449,False
DefaultA-SalVentAttnB,0.14070208398559753,False
DefaultA-SomMotA,-0.03554630563113184,False
DefaultA-SomMotB,-0.02705495644871703,False
DefaultA-TempPar,-0.06562427366332373,False
DefaultA-VisCent,0.018933879679717915,False
DefaultA-VisPeri,-0.019702202962096804,False
DefaultB-DefaultB,0.1591425046483083,True
DefaultB-DefaultC,0.19008139045438072,False
DefaultB-DorsAttnA,-0.06496666198899952,False
DefaultB-DorsAttnB,-0.011857750897566046,False
DefaultB-LimbicA,0.08419874213362145,False
DefaultB-LimbicB,0.10359389495713715,False
DefaultB-SalVentAttnA,0.006270178819228318,False
DefaultB-SalVentAttnB,0.11134700914551483,False
DefaultB-SomMotA,-0.09268269722081719,False
DefaultB-SomMotB,-0.041109928556224605,False
DefaultB-TempPar,0.07891898021763367,False
DefaultB-VisCent,-0.00838617507378737,False
DefaultB-VisPeri,-0.07819383348754617,False
DefaultC-DefaultC,0.5626576910669124,True
DefaultC-DorsAttnA,-0.11524219647265062,False
DefaultC-DorsAttnB,-0.08804201398423567,False
DefaultC-LimbicA,-0.029351565822113523,False
DefaultC-LimbicB,-0.00030007125296283054,False
DefaultC-SalVentAttnA,-0.062484718097850805,False
DefaultC-SalVentAttnB,-0.001019986361980448,False
DefaultC-SomMotA,-0.13893108505817442,False
DefaultC-SomMotB,-0.03738689539334858,False
DefaultC-TempPar,0.4480113277661154,False
DefaultC-VisCent,-0.054811989662901135,False
DefaultC-VisPeri,-0.13018902553207135,False
DorsAttnA-DorsAttnA,0.23630580532645976,True
DorsAttnA-DorsAttnB,0.10437587589734708,False
DorsAttnA-LimbicA,-0.0012832664231224372,False
DorsAttnA-LimbicB,-0.07702236841697792,False
DorsAttnA-SalVentAttnA,0.04365663802634544,False
DorsAttnA-SalVentAttnB,-0.046039571405031426,False
DorsAttnA-SomMotA,0.05522513480033544,False
DorsAttnA-SomMotB,0.05809757915819063,False
DorsAttnA-TempPar,-0.07331494052765414,False
DorsAttnA-VisCent,-0.0032830640286302857,False
DorsAttnA-VisPeri,0.03563683533610028,False
DorsAttnB-DorsAttnB,0.15930971690306625,True
DorsAttnB-LimbicA,0.12491240227550376,False
DorsAttnB-LimbicB,0.11705140490590259,False
DorsAttnB-SalVentAttnA,0.0571245972051209,False
DorsAttnB-SalVentAttnB,0.1284121284897581,False
DorsAttnB-SomMotA,-0.012717035221464211,False
DorsAttnB-SomMotB,-0.022779000670130455,False
DorsAttnB-TempPar,-0.08655916918073213,False
DorsAttnB-VisCent,0.04065699771674039,False
DorsAttnB-VisPeri,0.0051011000358101265,False
LimbicA-LimbicA,0.28675269300440565,True
LimbicA-LimbicB,0.2791104978358817,False
LimbicA-SalVentAttnA,0.0790886204727465,False
LimbicA-SalVentAttnB,0.29356979202344397,False
LimbicA-SomMotA,-0.11625356455098879,False
LimbicA-SomMotB,-0.07139558407612238,False
LimbicA-TempPar,-0.08497756573582,False
LimbicA-VisCent,0.028502534881612175,False
LimbicA-VisPeri,-0.10028626024100568,False
LimbicB-LimbicB,0.36282511561629094,True
LimbicB-SalVentAttnA,0.09845855307720906,False
LimbicB-SalVentAttnB,0.3569168831894808,False
LimbicB-SomMotA,-0.1181944722676897,False
LimbicB-SomMotB,-0.06298748570273084,False
LimbicB-TempPar,-0.08238663172363624,False
LimbicB-VisCent,0.055160485896816845,False
LimbicB-VisPeri,-0.10434243375858195,False
SalVentAttnA-SalVentAttnA,0.0837625532011542,True
SalVentAttnA-SalVentAttnB,0.12007137562570909,False
SalVentAttnA-SomMotA,-0.0038539351953884894,False
SalVentAttnA-SomMotB,0.01498133669108709,False
SalVentAttnA-TempPar,-0.07806074133585819,False
SalVentAttnA-VisCent,0.018387433617976793,False
SalVentAttnA-VisPeri,-0.004757306996715052,False
SalVentAttnB-SalVentAttnB,0.36382154700053215,True
SalVentAttnB-SomMotA,-0.13278879788865797,False
SalVentAttnB-SomMotB,-0.07745911598076403,False
SalVentAttnB-TempPar,-0.08401364776188378,False
SalVentAttnB-VisCent,0.037995290108370994,False
SalVentAttnB-VisPeri,-0.10088084489954857,False
SomMotA-SomMotA,0.19455010131105765,True
SomMotA-SomMotB,0.11809728544652903,False
SomMotA-TempPar,-0.0824090287201893,False
SomMotA-VisCent,0.08127483395683124,False
SomMotA-VisPeri,0.21720478420504527,False
SomMotB-SomMotB,0.1290805894149588,True
SomMotB-TempPar,-0.03309785100073993,False
SomMotB-VisCent,0.05173562654462229,False
SomMotB-VisPeri,0.0874696079638844,False
TempPar-TempPar,0.49347611824564647,True
TempPar-VisCent,-0.057088831714844086,False
TempPar-VisPeri,-0.07523673151883202,False
VisCent-VisCent,0.08570269802963815,True
VisCent-VisPeri,0.10150295502601159,False
VisPeri-VisPeri,0.29579087400958914,True
