network_connection,fc,within_network
ContA-ContA,0.23493240340644703,True
ContA-ContB,0.1848877265769108,False
ContA-ContC,0.11383134856722811,False
ContA-DefaultA,0.11970526511134313,False
ContA-DefaultB,0.13382514404655896,False
ContA-DefaultC,0.14653095859285012,False
ContA-DorsAttnA,-0.03885356841254572,False
ContA-DorsAttnB,0.06000894533811915,False
ContA-LimbicA,0.236901281976593,False
ContA-LimbicB,0.10361485559262297,False
ContA-SalVentAttnA,-0.022227923132373862,False
ContA-SalVentAttnB,0.11874079594631246,False
ContA-SomMotA,-0.1368309243857378,False
ContA-SomMotB,-0.117259161621467,False
ContA-TempPar,0.12015388713993308,False
ContA-VisCent,0.008323356369576913,False
ContA-VisPeri,-0.15198548547739082,False
ContB-ContB,0.234060413799495,True
ContB-ContC,0.16212730442713078,False
ContB-DefaultA,0.13558213620109152,False
ContB-DefaultB,0.16566576363948424,False
ContB-DefaultC,0.24553676194105103,False
ContB-DorsAttnA,-0.031804677908276624,False
ContB-DorsAttnB,0.05557844223816859,False
ContB-LimbicA,0.17164064214195743,False
ContB-LimbicB,0.09568349357302905,False
ContB-SalVentAttnA,-0.037849824872892755,False
ContB-SalVentAttnB,0.10378807451195997,False
ContB-SomMotA,-0.1661446769897883,False
ContB-SomMotB,-0.1333765369666906,False
ContB-TempPar,0.24733418193730722,False
ContB-VisCent,0.019483246138738388,False
ContB-VisPeri,-0.20259537082060536,False
ContC-ContC,0.3072221434142956,True
ContC-DefaultA,0.2763861233360564,False
ContC-DefaultB,0.2135827820569389,False
ContC-DefaultC,0.1767042508977145,False
ContC-DorsAttnA,-0.10623774722725023,False
ContC-DorsAttnB,0.0349816850828801,False
ContC-LimbicA,0.15470804043118394,False
ContC-LimbicB,0.17303808299919649,False
ContC-SalVentAttnA,-0.007296326112015181,False
ContC-SalVentAttnB,0.16412396740412602,False
ContC-SomMotA,-0.1255589332807858,False
ContC-SomMotB,-0.13603424442409284,False
ContC-TempPar,0.14746339923150803,False
ContC-VisCent,0.044508698608685116,False
ContC-VisPeri,-0.1747151709870339,False
DefaultA-DefaultA,0.26267330417586404,True
DefaultA-DefaultB,0.21347346186060942,False
DefaultA-DefaultC,0.15536954412620685,False
DefaultA-DorsAttnA,-0.10860026581157703,False
DefaultA-DorsAttnB,0.027222730344367216,False
DefaultA-LimbicA,0.14240559715530532,False
DefaultA-LimbicB,0.15630256454155406,False
DefaultA-SalVentAttnA,-0.00429212021252438,False
DefaultA-SalVentAttnB,0.14498178302599019,False
DefaultA-SomMotA,-0.11227270771336753,False
DefaultA-SomMotB,-0.1236863709201065,False
DefaultA-TempPar,0.12536737725257477,False
DefaultA-VisCent,0.042979297612746305,False
DefaultA-VisPeri,-0.1514764265912898,False
DefaultB-DefaultB,0.2524793424875095,True
DefaultB-DefaultC,0.283115463443684,False
DefaultB-DorsAttnA,-0.1332286537121702,False
DefaultB-DorsAttnB,0.0017010143761115282,False
DefaultB-LimbicA,0.12655339767975665,False
DefaultB-LimbicB,0.11227175847325079,False
DefaultB-SalVentAttnA,-0.039600073628553424,False
DefaultB-SalVentAttnB,0.11180805659520662,False
DefaultB-SomMotA,-0.11833416747956758,False
DefaultB-SomMotB,-0.13218700845534945,False
DefaultB-TempPar,0.2424559425152428,False
DefaultB-VisCent,0.034845131529717376,False
DefaultB-VisPeri,-0.13275123592612725,False
DefaultC-DefaultC,0.49645896287105973,True
DefaultC-DorsAttnA,-0.15603084630962458,False
DefaultC-DorsAttnB,-0.010172232672192682,False
DefaultC-LimbicA,0.1135921731104292,False
DefaultC-LimbicB,0.0683738590561231,False
DefaultC-SalVentAttnA,-0.08509546675834383,False
DefaultC-SalVentAttnB,0.08306117180197718,False
DefaultC-SomMotA,-0.17927779344018732,False
DefaultC-SomMotB,-0.17620916403461265,False
DefaultC-TempPar,0.5078495771706107,False
DefaultC-VisCent,0.030600079048900462,False
DefaultC-VisPeri,-0.17997313888131483,False
DorsAttnA-DorsAttnA,0.25948069672637164,True
DorsAttnA-DorsAttnB,0.06700807358534512,False
DorsAttnA-LimbicA,-0.032559838553424265,False
DorsAttnA-LimbicB,-0.10351812187620123,False
DorsAttnA-SalVentAttnA,0.01705252581697677,False
DorsAttnA-SalVentAttnB,-0.10438867577989204,False
DorsAttnA-SomMotA,0.03360343249981231,False
DorsAttnA-SomMotB,0.09155940309681984,False
DorsAttnA-TempPar,-0.18848377574226607,False
DorsAttnA-VisCent,-0.02259991855232375,False
DorsAttnA-VisPeri,-0.0072679457271257915,False
DorsAttnB-DorsAttnB,0.09620989939219586,True
DorsAttnB-LimbicA,0.06319946157983715,False
DorsAttnB-LimbicB,0.03702196867566315,False
DorsAttnB-SalVentAttnA,0.019208387554003184,False
DorsAttnB-SalVentAttnB,0.05576236657148986,False
DorsAttnB-SomMotA,-0.036462820259532056,False
DorsAttnB-SomMotB,-0.04755287595425495,False
DorsAttnB-TempPar,-0.03771739919306495,False
DorsAttnB-VisCent,0.018115740262847884,False
DorsAttnB-VisPeri,-0.03767314756489759,False
LimbicA-LimbicA,0.26638701952202604,True
LimbicA-LimbicB,0.15710362778509157,False
LimbicA-SalVentAttnA,0.004358894140827274,False
LimbicA-SalVentAttnB,0.171848240013116,False
LimbicA-SomMotA,-0.15405744176210645,False
LimbicA-SomMotB,-0.11388939759953537,False
LimbicA-TempPar,0.08444522958748107,False
LimbicA-VisCent,0.004348647567728959,False
LimbicA-VisPeri,-0.19286538080639098,False
LimbicB-LimbicB,0.2388289241908513,True
LimbicB-SalVentAttnA,0.07019077438924556,False
LimbicB-SalVentAttnB,0.255749410542681,False
LimbicB-SomMotA,-0.1387777044374229,False
LimbicB-SomMotB,-0.09251064778932229,False
LimbicB-TempPar,0.07448680033695369,False
LimbicB-VisCent,0.013267489137825638,False
LimbicB-VisPeri,-0.17807502697550046,False
SalVentAttnA-SalVentAttnA,0.06916858322359312,True
SalVentAttnA-SalVentAttnB,0.07648723781791868,False
SalVentAttnA-SomMotA,-0.004548737834927986,False
SalVentAttnA-SomMotB,0.021838733218808005,False
SalVentAttnA-TempPar,-0.09130247417928639,False
SalVentAttnA-VisCent,-0.00034462811767268695,False
