network_connection,fc,within_network
ContA-ContA,0.10884988954743179,True
ContA-ContB,0.10630404711818287,False
ContA-ContC,0.07210653889981003,False
ContA-DefaultA,0.07714886545729706,False
ContA-DefaultB,0.08657958359107394,False
ContA-DefaultC,0.13064909346744555,False
ContA-DorsAttnA,-0.041969132878334627,False
ContA-DorsAttnB,0.0152674286243792,False
ContA-LimbicA,0.11011961041513146,False
ContA-LimbicB,0.08533910327408518,False
ContA-SalVentAttnA,0.012385251652698489,False
ContA-SalVentAttnB,0.09838937432682045,False
ContA-SomMotA,-0.08959218135974138,False
ContA-SomMotB,-0.03485247752758958,False
ContA-TempPar,0.09455960732343828,False
ContA-VisCent,-0.009219639693611751,False
ContA-VisPeri,-0.10226074724586785,False
ContB-ContB,0.15408374720270476,True
ContB-ContC,0.108806422457921,False
ContB-DefaultA,0.1047965791837399,False
ContB-DefaultB,0.12500152627648745,False
ContB-DefaultC,0.20114134480068938,False
ContB-DorsAttnA,-0.003956555095570781,False
ContB-DorsAttnB,0.017225049781673194,False
ContB-LimbicA,0.11630241677892172,False
ContB-LimbicB,0.07569152687184004,False
ContB-SalVentAttnA,0.0023475854033905065,False
ContB-SalVentAttnB,0.07844407216794326,False
ContB-SomMotA,-0.10660538198287653,False
ContB-SomMotB,-0.03944624079393594,False
ContB-TempPar,0.14612048750274056,False
ContB-VisCent,-0.020359915877519133,False
ContB-VisPeri,-0.14258013285219226,False
ContC-ContC,0.14933137663598062,True
ContC-DefaultA,0.11890019171247013,False
ContC-DefaultB,0.08159329161778353,False
ContC-DefaultC,0.1209275289984924,False
ContC-DorsAttnA,-0.04345489036660922,False
ContC-DorsAttnB,-0.003321034422593378,False
ContC-LimbicA,0.08812308517601944,False
ContC-LimbicB,0.11458326874819084,False
ContC-SalVentAttnA,0.018480145636710354,False
ContC-SalVentAttnB,0.12098251006336995,False
ContC-SomMotA,-0.0814856049503972,False
ContC-SomMotB,-0.01865157759504145,False
ContC-TempPar,0.08983748320371786,False
ContC-VisCent,-0.013156441700181877,False
ContC-VisPeri,-0.09784798661075546,False
DefaultA-DefaultA,0.11653339808521343,True
DefaultA-DefaultB,0.10445884086295869,False
DefaultA-DefaultC,0.13754719904941926,False
DefaultA-DorsAttnA,-0.03872693672225767,False
DefaultA-DorsAttnB,-0.006463460836984524,False
DefaultA-LimbicA,0.08264106636249943,False
DefaultA-LimbicB,0.09491412990704438,False
