network_connection,fc,within_network
ContA-ContA,0.3207142641612609,True
ContA-ContB,0.19970195657308043,False
ContA-ContC,0.148371101958186,False
ContA-DefaultA,0.14996285198847356,False
ContA-DefaultB,0.12735011396489626,False
ContA-DefaultC,0.05681482123365292,False
ContA-DorsAttnA,-0.0009726833426271437,False
ContA-DorsAttnB,0.06402297732585462,False
ContA-LimbicA,0.35805215163582926,False
ContA-LimbicB,0.21265106944589396,False
ContA-SalVentAttnA,0.01298738828961753,False
ContA-SalVentAttnB,0.21385744492871744,False
ContA-SomMotA,-0.1426548944353186,False
ContA-SomMotB,-0.04494982491039532,False
ContA-TempPar,0.028818833254460063,False
ContA-VisCent,-0.0182970519612836,False
ContA-VisPeri,-0.16908147154177788,False
ContB-ContB,0.2197629631102988,True
ContB-ContC,0.12440212405473436,False
ContB-DefaultA,0.09658880438153565,False
ContB-DefaultB,0.11471206269803118,False
ContB-DefaultC,0.16712345444376855,False
ContB-DorsAttnA,0.03322581955906,False
ContB-DorsAttnB,0.07578541918264176,False
ContB-LimbicA,0.20050962679367523,False
ContB-LimbicB,0.12402694002016386,False
ContB-SalVentAttnA,-0.005129800555417164,False
ContB-SalVentAttnB,0.11305639739980376,False
ContB-SomMotA,-0.12701804822096896,False
ContB-SomMotB,-0.04204657167100402,False
ContB-TempPar,0.1424564279326205,False
ContB-VisCent,0.005547084937030832,False
ContB-VisPeri,-0.14931420035917248,False
ContC-ContC,0.26160767759236503,True
ContC-DefaultA,0.2142126017568948,False
ContC-DefaultB,0.15738554527113968,False
ContC-DefaultC,0.09658404995018913,False
ContC-DorsAttnA,-0.041327529692456635,False
ContC-DorsAttnB,0.04788018089114461,False
ContC-LimbicA,0.17132332170377854,False
ContC-LimbicB,0.21175545336687263,False
ContC-SalVentAttnA,0.047182243499887505,False
ContC-SalVentAttnB,0.23872267803209557,False
ContC-SomMotA,-0.110546848263273,False
ContC-SomMotB,-0.05422708181609271,False
ContC-TempPar,0.06062227285883123,False
ContC-VisCent,-0.0009141436283609381,False
ContC-VisPeri,-0.12527917891194476,False
DefaultA-DefaultA,0.2004983016052647,True
DefaultA-DefaultB,0.15181376893217882,False
DefaultA-DefaultC,0.08920258266754419,False
DefaultA-DorsAttnA,-0.03326687689009081,False
DefaultA-DorsAttnB,0.0417794491068952,False
DefaultA-LimbicA,0.1631867243124529,False
DefaultA-LimbicB,0.1830591965747174,False
DefaultA-SalVentAttnA,0.03890229628071369,False
DefaultA-SalVentAttnB,0.20070762395180164,False
DefaultA-SomMotA,-0.10030585467236292,False
DefaultA-SomMotB,-0.05282208273275786,False
DefaultA-TempPar,0.06718033442602879,False
DefaultA-VisCent,0.00699390255783551,False
DefaultA-VisPeri,-0.11771536464408644,False
DefaultB-DefaultB,0.19061136867137393,True
DefaultB-DefaultC,0.2134994032216836,False
DefaultB-DorsAttnA,-0.04580745508025395,False
DefaultB-DorsAttnB,0.011940834916248654,False
DefaultB-LimbicA,0.11204586870352154,False
DefaultB-LimbicB,0.14251869232055958,False
DefaultB-SalVentAttnA,0.029388556517412665,False
DefaultB-SalVentAttnB,0.1656825327700025,False
DefaultB-SomMotA,-0.10366926842355421,False
DefaultB-SomMotB,-0.0435062015437466,False
DefaultB-TempPar,0.15795319528978505,False
DefaultB-VisCent,0.001073630498102052,False
DefaultB-VisPeri,-0.11458119507067681,False
DefaultC-DefaultC,0.46306707755840887,True
DefaultC-DorsAttnA,-0.06648917983078183,False
DefaultC-DorsAttnB,0.0148311298333688,False
DefaultC-LimbicA,0.01390237341195064,False
DefaultC-LimbicB,0.08718162278224398,False
DefaultC-SalVentAttnA,0.010694274669817806,False
DefaultC-SalVentAttnB,0.08781312408605144,False
DefaultC-SomMotA,-0.13830081988636062,False
DefaultC-SomMotB,-0.06855239562262706,False
DefaultC-TempPar,0.3932667124594626,False
DefaultC-VisCent,0.017807318909185105,False
DefaultC-VisPeri,-0.13673631767668393,False
DorsAttnA-DorsAttnA,0.20283271362762803,True
DorsAttnA-DorsAttnB,0.08893953141005978,False
DorsAttnA-LimbicA,0.017679850233698374,False
DorsAttnA-LimbicB,-0.04613745672536132,False
DorsAttnA-SalVentAttnA,0.008738144472374922,False
DorsAttnA-SalVentAttnB,-0.042612725070096766,False
DorsAttnA-SomMotA,0.015020776693167922,False
DorsAttnA-SomMotB,0.044776350276277715,False
DorsAttnA-TempPar,-0.06840743596512062,False
DorsAttnA-VisCent,0.015583445500647367,False
DorsAttnA-VisPeri,-0.0079372458179596,False
DorsAttnB-DorsAttnB,0.13427140695143397,True
DorsAttnB-LimbicA,0.07189783300744519,False
DorsAttnB-LimbicB,0.06205491191300564,False
DorsAttnB-SalVentAttnA,0.004968180668039451,False
DorsAttnB-SalVentAttnB,0.06277357799894552,False
DorsAttnB-SomMotA,-0.04715233282564866,False
DorsAttnB-SomMotB,-0.02643125440684577,False
DorsAttnB-TempPar,-0.0010244725050910972,False
DorsAttnB-VisCent,0.03852106273063449,False
DorsAttnB-VisPeri,-0.049695556645436297,False
LimbicA-LimbicA,0.3977204034119484,True
LimbicA-LimbicB,0.2441502530039396,False
LimbicA-SalVentAttnA,0.02197653898575998,False
LimbicA-SalVentAttnB,0.24268643771841497,False
LimbicA-SomMotA,-0.15307642601453378,False
LimbicA-SomMotB,-0.0422891168634252,False
LimbicA-TempPar,-0.007880785244632756,False
LimbicA-VisCent,-0.028317145433774026,False
LimbicA-VisPeri,-0.18299432919330114,False
LimbicB-LimbicB,0.2870114895248939,True
LimbicB-SalVentAttnA,0.06787853926710756,False
LimbicB-SalVentAttnB,0.3004786030895541,False
LimbicB-SomMotA,-0.14883932817130532,False
LimbicB-SomMotB,-0.03351540831586644,False
LimbicB-TempPar,0.028389285049142513,False
LimbicB-VisCent,-0.00027735720036318947,False
LimbicB-VisPeri,-0.16211889888403128,False
SalVentAttnA-SalVentAttnA,0.06540633760686061,True
SalVentAttnA-SalVentAttnB,0.08925350295070472,False
SalVentAttnA-SomMotA,-0.006717347210372136,False
SalVentAttnA-SomMotB,0.01665266286126965,False
SalVentAttnA-TempPar,0.0037461051264749356,False
SalVentAttnA-VisCent,-0.005378037828005483,False
SalVentAttnA-VisPeri,0.013907225928953921,False
SalVentAttnB-SalVentAttnB,0.31597818217445706,True
SalVentAttnB-SomMotA,-0.15616188796625535,False
SalVentAttnB-SomMotB,-0.0516937641326107,False
SalVentAttnB-TempPar,0.030539915755733116,False
SalVentAttnB-VisCent,-0.0222907856780039,False
SalVentAttnB-VisPeri,-0.15419803962303505,False
SomMotA-SomMotA,0.18853861965359633,True
SomMotA-SomMotB,0.10369835964257898,False
SomMotA-TempPar,-0.09205860618008498,False
SomMotA-VisCent,0.04945080571360352,False
SomMotA-VisPeri,0.20809005480753906,False
SomMotB-SomMotB,0.11295689441751063,True
SomMotB-TempPar,-0.06300549319376242,False
SomMotB-VisCent,0.037945261458730645,False
SomMotB-VisPeri,0.08147811971479617,False
TempPar-TempPar,0.40043998404550724,True
TempPar-VisCent,0.013145554370798609,False
TempPar-VisPeri,-0.07144486389661076,False
VisCent-VisCent,0.05442305588005986,True
VisCent-VisPeri,0.0472277672172295,False
VisPeri-VisPeri,0.27918628506775,True
