network_connection,fc,within_network
ContA-ContA,0.32298803541261556,True
ContA-ContB,0.18289164523346263,False
ContA-ContC,0.1527034711177277,False
ContA-DefaultA,0.20643094096923514,False
ContA-DefaultB,0.1522819200404895,False
ContA-DefaultC,-0.01687734556064186,False
ContA-DorsAttnA,0.039113802474518906,False
ContA-DorsAttnB,0.11441962687394851,False
ContA-LimbicA,0.2862238819118197,False
ContA-LimbicB,0.1839451561792904,False
ContA-SalVentAttnA,0.04432238672837342,False
ContA-SalVentAttnB,0.2055879564258603,False
ContA-SomMotA,-0.04392509936076143,False
ContA-SomMotB,0.03971043587078873,False
ContA-TempPar,0.0066742899901931,False
ContA-VisCent,0.02873715737431627,False
ContA-VisPeri,-0.0491931742535419,False
ContB-ContB,0.16351294452863138,True
ContB-ContC,0.09854934119117653,False
ContB-DefaultA,0.10085675558042013,False
ContB-DefaultB,0.08668269267818214,False
ContB-DefaultC,0.029041061871549905,False
ContB-DorsAttnA,0.04432875519908029,False
ContB-DorsAttnB,0.08562677299588645,False
ContB-LimbicA,0.14014315460935164,False
ContB-LimbicB,0.056987353783245265,False
ContB-SalVentAttnA,0.00554487763299033,False
ContB-SalVentAttnB,0.06282820418248902,False
ContB-SomMotA,-0.0012057735552852512,False
ContB-SomMotB,-0.003266252973395661,False
ContB-TempPar,0.024726072069252248,False
ContB-VisCent,0.044561268738276594,False
ContB-VisPeri,-0.008505353796226677,False
ContC-ContC,0.16470533437311938,True
ContC-DefaultA,0.15770723472448303,False
ContC-DefaultB,0.09295386625118723,False
ContC-DefaultC,0.0019479620225602923,False
ContC-DorsAttnA,-0.010743445398637285,False
ContC-DorsAttnB,0.0468335280324947,False
ContC-LimbicA,0.1559936144436644,False
ContC-LimbicB,0.13063995868015943,False
ContC-SalVentAttnA,0.024827611529478134,False
ContC-SalVentAttnB,0.14851797150822044,False
ContC-SomMotA,-0.02167922110142178,False
ContC-SomMotB,-0.009980346804702594,False
ContC-TempPar,-0.006486902090963504,False
ContC-VisCent,0.04320847751341959,False
ContC-VisPeri,-0.02934411109568857,False
DefaultA-DefaultA,0.17835180530057448,True
DefaultA-DefaultB,0.1375805960651101,False
DefaultA-DefaultC,0.018039020174094533,False
DefaultA-DorsAttnA,0.010700345348627953,False
DefaultA-DorsAttnB,0.07260381532333521,False
DefaultA-LimbicA,0.189657209144486,False
DefaultA-LimbicB,0.156446905945896,False
DefaultA-SalVentAttnA,0.04170376421648645,False
DefaultA-SalVentAttnB,0.1838202473631962,False
DefaultA-SomMotA,-0.025685343195210444,False
DefaultA-SomMotB,0.03795977810795094,False
DefaultA-TempPar,0.013683581736698877,False
DefaultA-VisCent,0.03805091782048791,False
DefaultA-VisPeri,-0.026093055693086807,False
DefaultB-DefaultB,0.2463983902779607,True
DefaultB-DefaultC,0.3259779016242951,False
DefaultB-DorsAttnA,-0.05456938106067363,False
DefaultB-DorsAttnB,0.019792029041501777,False
DefaultB-LimbicA,0.11065785592778872,False
DefaultB-LimbicB,0.08255693486465533,False
DefaultB-SalVentAttnA,0.008542538147475642,False
DefaultB-SalVentAttnB,0.10062220119271038,False
DefaultB-SomMotA,-0.08591511837173499,False
DefaultB-SomMotB,0.01642280491839904,False
DefaultB-TempPar,0.24312555544549092,False
DefaultB-VisCent,0.004049071995841054,False
DefaultB-VisPeri,-0.061267839311002936,False
DefaultC-DefaultC,0.6823160509497852,True
DefaultC-DorsAttnA,-0.1336318765803307,False
DefaultC-DorsAttnB,-0.05934685151679365,False
DefaultC-LimbicA,-0.06554174989432253,False
DefaultC-LimbicB,-0.07326877994303264,False
DefaultC-SalVentAttnA,-0.036162981150007774,False
DefaultC-SalVentAttnB,-0.07093638327554057,False
DefaultC-SomMotA,-0.10548588771265476,False
DefaultC-SomMotB,-0.027712639855052415,False
DefaultC-TempPar,0.500155200396441,False
DefaultC-VisCent,-0.015041119391153502,False
DefaultC-VisPeri,-0.07070803797940217,False
DorsAttnA-DorsAttnA,0.15795506979974053,True
DorsAttnA-DorsAttnB,0.07668567293617289,False
DorsAttnA-LimbicA,0.030838007059208212,False
DorsAttnA-LimbicB,0.008098437892761951,False
DorsAttnA-SalVentAttnA,0.04350565944636179,False
