network_connection,fc,within_network
ContA-ContA,0.09534819471314662,True
ContA-ContB,0.06168830052114714,False
ContA-ContC,0.012767382468977873,False
ContA-DefaultA,0.024779288313809926,False
ContA-DefaultB,0.03179328866338774,False
ContA-DefaultC,0.011428370259499642,False
ContA-DorsAttnA,-0.003333241116539402,False
ContA-DorsAttnB,-0.010488263571112148,False
ContA-LimbicA,0.10627875610467619,False
ContA-LimbicB,0.041501637191233974,False
ContA-SalVentAttnA,0.006442402787063825,False
ContA-SalVentAttnB,0.05948061849966134,False
ContA-SomMotA,-0.05866902717030841,False
ContA-SomMotB,-0.011120680519890363,False
ContA-TempPar,0.015614390128750856,False
ContA-VisCent,-0.03329129168787611,False
ContA-VisPeri,-0.07251494127373127,False
ContB-ContB,0.06763436771256501,True
ContB-ContC,0.034730791682292546,False
ContB-DefaultA,0.007624700467748329,False
ContB-DefaultB,0.0028312242766812064,False
ContB-DefaultC,0.018345323878142535,False
ContB-DorsAttnA,0.011586016450376603,False
ContB-DorsAttnB,-0.0030307178606470467,False
ContB-LimbicA,0.07454942191525726,False
ContB-LimbicB,0.025234833974934638,False
ContB-SalVentAttnA,0.00072535745258105,False
ContB-SalVentAttnB,0.027280905489620595,False
ContB-SomMotA,-0.04185160380533178,False
ContB-SomMotB,-0.0023037479079606755,False
ContB-TempPar,0.012457193241466822,False
ContB-VisCent,-0.024818257196204584,False
ContB-VisPeri,-0.0616279738133947,False
ContC-ContC,0.13820108171730588,True
ContC-DefaultA,0.0914706465015485,False
ContC-DefaultB,0.027368351855857554,False
ContC-DefaultC,-0.0029377088813417477,False
ContC-DorsAttnA,-0.029836195752610994,False
ContC-DorsAttnB,-0.00024398877071098946,False
ContC-LimbicA,0.030930295595869472,False
ContC-LimbicB,0.04785815869083783,False
ContC-SalVentAttnA,0.00764852958670171,False
ContC-SalVentAttnB,0.06764827699438793,False
ContC-SomMotA,-0.037467102438508273,False
ContC-SomMotB,-0.02506424692450052,False
ContC-TempPar,-0.0031954510483032644,False
ContC-VisCent,0.0023942389467376114,False
ContC-VisPeri,-0.04830811418056034,False
DefaultA-DefaultA,0.11560214016051754,True
DefaultA-DefaultB,0.0742991688744845,False
DefaultA-DefaultC,0.01785719610552038,False
DefaultA-DorsAttnA,-0.039982900109203266,False
DefaultA-DorsAttnB,-0.02577418747654235,False
DefaultA-LimbicA,0.03461301240207471,False
DefaultA-LimbicB,0.058935585064395224,False
DefaultA-SalVentAttnA,-0.0017198530860927457,False
DefaultA-SalVentAttnB,0.0648743913202822,False
DefaultA-SomMotA,-0.04516557592887751,False
DefaultA-SomMotB,-0.023482303801277513,False
DefaultA-TempPar,0.014374009501940345,False
DefaultA-VisCent,0.0017665832729440176,False
DefaultA-VisPeri,-0.05372776875928094,False
DefaultB-DefaultB,0.10525134244531165,True
DefaultB-DefaultC,0.07893364180300338,False
DefaultB-DorsAttnA,-0.061784239102300124,False
DefaultB-DorsAttnB,-0.0506785433194917,False
DefaultB-LimbicA,0.027015070629830835,False
DefaultB-LimbicB,0.044545768286818214,False
DefaultB-SalVentAttnA,-0.012558960912525651,False
DefaultB-SalVentAttnB,0.03225079064015807,False
DefaultB-SomMotA,-0.056468609866281355,False
DefaultB-SomMotB,-0.01699909176657253,False
DefaultB-TempPar,0.050894399632792235,False
DefaultB-VisCent,-0.017609115332865844,False
DefaultB-VisPeri,-0.0600506087634389,False
DefaultC-DefaultC,0.12886538560783664,True
DefaultC-DorsAttnA,-0.05076222060258999,False
DefaultC-DorsAttnB,-0.042636292794680064,False
DefaultC-LimbicA,0.010187185978888184,False
DefaultC-LimbicB,0.026178100352826174,False
DefaultC-SalVentAttnA,-0.010202380081922313,False
DefaultC-SalVentAttnB,-0.004356560395328538,False
DefaultC-SomMotA,-0.04754472523035803,False
DefaultC-SomMotB,-0.017734614249217955,False
DefaultC-TempPar,0.07835434806459068,False
DefaultC-VisCent,-0.01660634333502187,False
DefaultC-VisPeri,-0.06634093894867109,False
DorsAttnA-DorsAttnA,0.1722849609832156,True
DorsAttnA-DorsAttnB,0.034232755927122716,False
DorsAttnA-LimbicA,0.008441141835007647,False
DorsAttnA-LimbicB,-0.028834271729733223,False
DorsAttnA-SalVentAttnA,0.032931494699172524,False
DorsAttnA-SalVentAttnB,-0.028837522988433582,False
DorsAttnA-SomMotA,0.029794343678600094,False
DorsAttnA-SomMotB,0.05203055371249802,False
DorsAttnA-TempPar,-0.051843667496132124,False
DorsAttnA-VisCent,-0.013651185412563313,False
DorsAttnA-VisPeri,0.017673484060545374,False
DorsAttnB-DorsAttnB,0.04708397379682038,True
DorsAttnB-LimbicA,-0.011283371254577007,False
DorsAttnB-LimbicB,-0.011577973036604607,False
DorsAttnB-SalVentAttnA,0.011716250951478886,False
DorsAttnB-SalVentAttnB,-0.0022945990196799955,False
DorsAttnB-SomMotA,0.029263960849385307,False
DorsAttnB-SomMotB,-0.003914692413819492,False
DorsAttnB-TempPar,-0.030142691414090025,False
DorsAttnB-VisCent,0.02028758379907893,False
DorsAttnB-VisPeri,0.04310530687201462,False
LimbicA-LimbicA,0.156466346331978,True
LimbicA-LimbicB,0.06495252423188325,False
LimbicA-SalVentAttnA,0.018057140970018454,False
LimbicA-SalVentAttnB,0.0921740722246625,False
LimbicA-SomMotA,-0.07248298190686943,False
LimbicA-SomMotB,-0.010742348046209604,False
LimbicA-TempPar,0.01204530127576034,False
LimbicA-VisCent,-0.0526896446700527,False
LimbicA-VisPeri,-0.09184996549658303,False
LimbicB-LimbicB,0.06547107840350425,True
LimbicB-SalVentAttnA,0.022541428037497795,False
LimbicB-SalVentAttnB,0.0889121774677324,False
LimbicB-SomMotA,-0.05729240723298959,False
LimbicB-SomMotB,-0.01700371240850413,False
LimbicB-TempPar,0.01632994301472723,False
LimbicB-VisCent,-0.01588520184964883,False
LimbicB-VisPeri,-0.07342940901460866,False
SalVentAttnA-SalVentAttnA,0.04713339576600334,True
SalVentAttnA-SalVentAttnB,0.04969156139384503,False
SalVentAttnA-SomMotA,-0.018879302436120887,False
SalVentAttnA-SomMotB,0.011233759064209757,False
SalVentAttnA-TempPar,-0.00766163552123613,False
SalVentAttnA-VisCent,-0.019894717228896273,False
