network_connection,fc,within_network
ContA-ContA,0.15202512427742493,True
ContA-ContB,0.10472936339122833,False
ContA-ContC,0.027604513241859915,False
ContA-DefaultA,0.0304327615532323,False
ContA-DefaultB,0.05739509613325028,False
ContA-DefaultC,0.08673104497475728,False
ContA-DorsAttnA,-0.05299542776568372,False
ContA-DorsAttnB,0.027811481893745955,False
ContA-LimbicA,0.14675695951777798,False
ContA-LimbicB,0.07040541349850668,False
ContA-SalVentAttnA,-0.001635491312205894,False
ContA-SalVentAttnB,0.09003032460863217,False
ContA-SomMotA,-0.08903866255506049,False
ContA-SomMotB,-0.05013716254515432,False
ContA-TempPar,0.07175372092955341,False
ContA-VisCent,-0.01918769563929381,False
ContA-VisPeri,-0.09461694137476191,False
ContB-ContB,0.14857754570907739,True
ContB-ContC,0.05197352894463967,False
ContB-DefaultA,0.012583613689267747,False
ContB-DefaultB,0.07172318867950438,False
ContB-DefaultC,0.18824339756427655,False
ContB-DorsAttnA,-0.03906550260150656,False
ContB-DorsAttnB,0.02449640613381397,False
ContB-LimbicA,0.07228692430712816,False
ContB-LimbicB,0.05827048921578319,False
ContB-SalVentAttnA,-0.029910763301827542,False
ContB-SalVentAttnB,0.04614779040382169,False
ContB-SomMotA,-0.10671515820516389,False
ContB-SomMotB,-0.04445216417882692,False
ContB-TempPar,0.1542471976821137,False
ContB-VisCent,-0.01740638759930856,False
ContB-VisPeri,-0.13766475841014947,False
ContC-ContC,0.13428229524327276,True
ContC-DefaultA,0.07276552595054286,False
ContC-DefaultB,0.03921075787568359,False
ContC-DefaultC,-0.007963809334719104,False
ContC-DorsAttnA,-0.07024775190343598,False
ContC-DorsAttnB,-0.010612510825099465,False
ContC-LimbicA,0.03971713185771856,False
ContC-LimbicB,0.04556113472397151,False
ContC-SalVentAttnA,-0.0013099028673791476,False
ContC-SalVentAttnB,0.07117806185565541,False
ContC-SomMotA,-0.047356581758481814,False
ContC-SomMotB,-0.044465611481260936,False
ContC-TempPar,0.016838890319212662,False
ContC-VisCent,-0.022770989766277193,False
ContC-VisPeri,-0.04965758564690558,False
DefaultA-DefaultA,0.0829144957182218,True
DefaultA-DefaultB,0.04827404786760751,False
DefaultA-DefaultC,-0.027943833002890862,False
DefaultA-DorsAttnA,-0.05890359264567842,False
DefaultA-DorsAttnB,-0.02388919735041394,False
DefaultA-LimbicA,0.03193770103380123,False
DefaultA-LimbicB,0.022334427211571174,False
DefaultA-SalVentAttnA,-0.007791019642150074,False
DefaultA-SalVentAttnB,0.03778950784211372,False
DefaultA-SomMotA,-0.028067431506139284,False
DefaultA-SomMotB,-0.0365757120390686,False
DefaultA-TempPar,0.0009664365035087404,False
DefaultA-VisCent,-0.014605586713743048,False
DefaultA-VisPeri,-0.039976197881607514,False
DefaultB-DefaultB,0.08713169299456228,True
DefaultB-DefaultC,0.15089142412324652,False
DefaultB-DorsAttnA,-0.0738794845562376,False
DefaultB-DorsAttnB,-0.012411642478745323,False
DefaultB-LimbicA,0.01838054754082826,False
DefaultB-LimbicB,0.040117695286734846,False
DefaultB-SalVentAttnA,-0.021072505535190925,False
DefaultB-SalVentAttnB,0.03445569425043947,False
DefaultB-SomMotA,-0.06911345505349216,False
DefaultB-SomMotB,-0.041668905380990655,False
DefaultB-TempPar,0.10296367572959228,False
DefaultB-VisCent,-0.014434181071612685,False
DefaultB-VisPeri,-0.0880758155468767,False
DefaultC-DefaultC,0.46170775140424525,True
DefaultC-DorsAttnA,-0.08149828027619285,False
DefaultC-DorsAttnB,-0.0017320722781780495,False
DefaultC-LimbicA,-0.014692317302536858,False
DefaultC-LimbicB,0.056604171283416986,False
DefaultC-SalVentAttnA,-0.047041624181557225,False
DefaultC-SalVentAttnB,0.015354318091901816,False
DefaultC-SomMotA,-0.16220874528113424,False
DefaultC-SomMotB,-0.05703900942043114,False
DefaultC-TempPar,0.3244043565418233,False
DefaultC-VisCent,-0.034268959118398855,False
DefaultC-VisPeri,-0.21458871725365633,False
DorsAttnA-DorsAttnA,0.2715242997508797,True
DorsAttnA-DorsAttnB,0.066785103538285,False
DorsAttnA-LimbicA,-0.023326414538299752,False
DorsAttnA-LimbicB,-0.07880288739098876,False
DorsAttnA-SalVentAttnA,0.030567798885657173,False
DorsAttnA-SalVentAttnB,-0.06602004861945378,False
DorsAttnA-SomMotA,0.03496545590215925,False
DorsAttnA-SomMotB,0.06928565370033084,False
DorsAttnA-TempPar,-0.0844245072236583,False
DorsAttnA-VisCent,-0.015609597730360456,False
DorsAttnA-VisPeri,0.008441716025528578,False
DorsAttnB-DorsAttnB,0.07242535765466786,True
DorsAttnB-LimbicA,0.056176628527546235,False
DorsAttnB-LimbicB,0.04675318452026953,False
DorsAttnB-SalVentAttnA,0.025486081397317197,False
DorsAttnB-SalVentAttnB,0.06339799914383243,False
DorsAttnB-SomMotA,-0.022635060967008177,False
DorsAttnB-SomMotB,0.0016993519161000476,False
DorsAttnB-TempPar,-0.023784666682340454,False
DorsAttnB-VisCent,0.0043468658517016034,False
DorsAttnB-VisPeri,-0.027707539657140776,False
LimbicA-LimbicA,0.16671680505252026,True
LimbicA-LimbicB,0.09417241954116436,False
LimbicA-SalVentAttnA,0.023208850698888842,False
LimbicA-SalVentAttnB,0.13327716663750536,False
LimbicA-SomMotA,-0.0759952130246329,False
LimbicA-SomMotB,-0.03472005376953244,False
LimbicA-TempPar,-0.018828618488515067,False
LimbicA-VisCent,-0.008521984115640183,False
LimbicA-VisPeri,-0.07800117590994507,False
LimbicB-LimbicB,0.11928805771653049,True
LimbicB-SalVentAttnA,0.026871698870844788,False
LimbicB-SalVentAttnB,0.138561463603086,False
LimbicB-SomMotA,-0.07701345556909987,False
LimbicB-SomMotB,-0.0336761167178431,False
LimbicB-TempPar,0.0014520047763372087,False
LimbicB-VisCent,0.0042954328826143055,False
LimbicB-VisPeri,-0.08819392141597565,False
