network_connection,fc,within_network
ContA-ContA,0.29247134021079924,True
ContA-ContB,0.14946094030980225,False
ContA-ContC,0.20570314711303445,False
ContA-DefaultA,0.2414700916446969,False
ContA-DefaultB,0.19639511939452267,False
ContA-DefaultC,0.0037685328016507235,False
ContA-DorsAttnA,0.04098982021963158,False
ContA-DorsAttnB,0.1146850189917437,False
ContA-LimbicA,0.2921221391498559,False
ContA-LimbicB,0.2078785461987022,False
ContA-SalVentAttnA,0.06154177324783401,False
ContA-SalVentAttnB,0.1963671842413379,False
ContA-SomMotA,0.03165170292048412,False
ContA-SomMotB,-0.003584305661352338,False
ContA-TempPar,-0.08611098025207063,False
ContA-VisCent,0.12235087714714976,False
ContA-VisPeri,0.07160993187579894,False
ContB-ContB,0.16298621546734998,True
ContB-ContC,0.09709927608084724,False
ContB-DefaultA,0.09476855909093233,False
ContB-DefaultB,0.120757672789083,False
ContB-DefaultC,0.09888343906299162,False
ContB-DorsAttnA,0.004989378499149754,False
ContB-DorsAttnB,0.044185632844161014,False
ContB-LimbicA,0.12050607235569087,False
ContB-LimbicB,0.07531859173709955,False
ContB-SalVentAttnA,-0.005359721927241945,False
ContB-SalVentAttnB,0.02949356264403756,False
ContB-SomMotA,-0.0076280416913398685,False
ContB-SomMotB,-0.012825127588876844,False
ContB-TempPar,0.08659865758233132,False
ContB-VisCent,0.036271182016496636,False
ContB-VisPeri,-0.013199730193036585,False
ContC-ContC,0.34515498642338954,True
ContC-DefaultA,0.3675615967349904,False
ContC-DefaultB,0.2501777347193523,False
ContC-DefaultC,-0.03715548640170425,False
ContC-DorsAttnA,0.019094873932050088,False
ContC-DorsAttnB,0.10592890320083415,False
ContC-LimbicA,0.24414066740387952,False
ContC-LimbicB,0.2518487514392157,False
ContC-SalVentAttnA,0.0733234742801694,False
ContC-SalVentAttnB,0.2295801285642983,False
ContC-SomMotA,0.08109199804630683,False
ContC-SomMotB,0.0021406983673616423,False
ContC-TempPar,-0.15493226331218254,False
ContC-VisCent,0.14938017093818617,False
ContC-VisPeri,0.12775983927766194,False
DefaultA-DefaultA,0.39398772934685033,True
DefaultA-DefaultB,0.2804185367330053,False
DefaultA-DefaultC,-0.03521218999801275,False
DefaultA-DorsAttnA,0.019934369247039497,False
DefaultA-DorsAttnB,0.11281386601025718,False
DefaultA-LimbicA,0.26893099072249893,False
DefaultA-LimbicB,0.2745269190183478,False
DefaultA-SalVentAttnA,0.08703057121257582,False
DefaultA-SalVentAttnB,0.24166123527636213,False
DefaultA-SomMotA,0.1039266672865042,False
DefaultA-SomMotB,0.016945516146912837,False
DefaultA-TempPar,-0.16874603639780905,False
DefaultA-VisCent,0.17765052556829047,False
DefaultA-VisPeri,0.1618993939063383,False
DefaultB-DefaultB,0.2726039567606135,True
DefaultB-DefaultC,0.11821122377671676,False
DefaultB-DorsAttnA,-0.033943323454094905,False
DefaultB-DorsAttnB,0.0388612995568149,False
DefaultB-LimbicA,0.1851194693768643,False
DefaultB-LimbicB,0.19724584615916918,False
DefaultB-SalVentAttnA,0.02979346549337228,False
DefaultB-SalVentAttnB,0.12638453313667722,False
DefaultB-SomMotA,0.02559815467117177,False
DefaultB-SomMotB,0.001023336771602303,False
DefaultB-TempPar,-0.03305533745703849,False
DefaultB-VisCent,0.09966407417260621,False
DefaultB-VisPeri,0.049127979081835506,False
DefaultC-DefaultC,0.30216115394899656,True
DefaultC-DorsAttnA,-0.08452131674362597,False
DefaultC-DorsAttnB,-0.0819117016252297,False
DefaultC-LimbicA,-0.038357763962521184,False
DefaultC-LimbicB,0.005618749249346063,False
DefaultC-SalVentAttnA,-0.063238718844561,False
DefaultC-SalVentAttnB,-0.08602586783321962,False
DefaultC-SomMotA,-0.11766668921748427,False
DefaultC-SomMotB,-0.01558546692755151,False
DefaultC-TempPar,0.2602631341949577,False
DefaultC-VisCent,-0.08398219151497664,False
DefaultC-VisPeri,-0.14747125600690172,False
DorsAttnA-DorsAttnA,0.19501648932597665,True
DorsAttnA-DorsAttnB,0.11718323005084909,False
DorsAttnA-LimbicA,0.07870285102012732,False
DorsAttnA-LimbicB,0.03852852594813475,False
DorsAttnA-SalVentAttnA,0.041238759838428035,False
DorsAttnA-SalVentAttnB,0.0747827943400851,False
DorsAttnA-SomMotA,0.053395759193394746,False
DorsAttnA-SomMotB,0.04277133116618689,False
DorsAttnA-TempPar,-0.08267247055319123,False
DorsAttnA-VisCent,0.058307557201037835,False
DorsAttnA-VisPeri,0.04668374524812224,False
DorsAttnB-DorsAttnB,0.15690947410426895,True
DorsAttnB-LimbicA,0.14442782568308832,False
DorsAttnB-LimbicB,0.12277054298987942,False
DorsAttnB-SalVentAttnA,0.07643379717076558,False
DorsAttnB-SalVentAttnB,0.15216192825285801,False
DorsAttnB-SomMotA,0.07244501933368185,False
DorsAttnB-SomMotB,0.014398119357183081,False
DorsAttnB-TempPar,-0.10273501366711497,False
DorsAttnB-VisCent,0.11062327276810933,False
DorsAttnB-VisPeri,0.10399017325640926,False
LimbicA-LimbicA,0.3246513223634447,True
LimbicA-LimbicB,0.25880721207774926,False
LimbicA-SalVentAttnA,0.08469620265354944,False
LimbicA-SalVentAttnB,0.27120665799948296,False
LimbicA-SomMotA,0.04514185875626787,False
LimbicA-SomMotB,-0.006190086832412156,False
LimbicA-TempPar,-0.1534914508542517,False
LimbicA-VisCent,0.14586237145404254,False
LimbicA-VisPeri,0.0814725638195846,False
LimbicB-LimbicB,0.3011472161386048,True
LimbicB-SalVentAttnA,0.10673008936914127,False
LimbicB-SalVentAttnB,0.2797922939662015,False
LimbicB-SomMotA,0.028817342312616023,False
LimbicB-SomMotB,0.02469254335653924,False
LimbicB-TempPar,-0.14030149851148854,False
LimbicB-VisCent,0.13376012029576012,False
LimbicB-VisPeri,0.05466095289315954,False
SalVentAttnA-SalVentAttnA,0.08592675845929583,True
SalVentAttnA-SalVentAttnB,0.12653587106781303,False
SalVentAttnA-SomMotA,0.05475824274996881,False
SalVentAttnA-SomMotB,0.045894556955894776,False
SalVentAttnA-TempPar,-0.0971350370546944,False
SalVentAttnA-VisCent,0.05652603775488314,False
SalVentAttnA-VisPeri,0.08089200485935494,False
SalVentAttnB-SalVentAttnB,0.3466861710714696,True
SalVentAttnB-SomMotA,0.0024775696623160455,False
SalVentAttnB-SomMotB,-0.0016970483993567866,False
SalVentAttnB-TempPar,-0.1875192609771191,False
SalVentAttnB-VisCent,0.10231910123036897,False
SalVentAttnB-VisPeri,0.06280704693812221,False
SomMotA-SomMotA,0.2459782566634265,True
SomMotA-SomMotB,0.08154512345853941,False
SomMotA-TempPar,-0.11624559708111971,False
SomMotA-VisCent,0.17180817814410634,False
SomMotA-VisPeri,0.2608733894528553,False
SomMotB-SomMotB,0.08539316072938789,True
SomMotB-TempPar,-0.02901798049159473,False
SomMotB-VisCent,0.040948628365536865,False
SomMotB-VisPeri,0.06843183968065504,False
TempPar-TempPar,0.5141783573887022,True
TempPar-VisCent,-0.1524896723313669,False
