network_connection,fc,within_network
ContA-ContA,0.3435667753446115,True
ContA-ContB,0.22525729359034974,False
ContA-ContC,0.17045916261556712,False
ContA-DefaultA,0.18164252465650357,False
ContA-DefaultB,0.14677094779165475,False
ContA-DefaultC,0.011382388090835228,False
ContA-DorsAttnA,-0.09580461700612633,False
ContA-DorsAttnB,0.06722584158723299,False
ContA-LimbicA,0.3008763749852879,False
ContA-LimbicB,0.21804760116611363,False
ContA-SalVentAttnA,-0.005305164464640787,False
ContA-SalVentAttnB,0.24149978315260953,False
ContA-SomMotA,-0.10167506583703702,False
ContA-SomMotB,-0.11720373461690307,False
ContA-TempPar,0.06115426749226238,False
ContA-VisCent,0.03794142485976388,False
ContA-VisPeri,-0.03491615880227405,False
ContB-ContB,0.2894985857501119,True
ContB-ContC,0.2082009219433101,False
ContB-DefaultA,0.1746749680374621,False
ContB-DefaultB,0.14155285838884132,False
ContB-DefaultC,0.10553333921985641,False
ContB-DorsAttnA,-0.0020512005482282106,False
ContB-DorsAttnB,0.12584521665932147,False
ContB-LimbicA,0.19879503512227623,False
ContB-LimbicB,0.11272323401684206,False
ContB-SalVentAttnA,-0.03811240753282881,False
ContB-SalVentAttnB,0.11897333396944894,False
ContB-SomMotA,-0.11553656152724534,False
ContB-SomMotB,-0.12092412622438696,False
ContB-TempPar,0.1880122354575878,False
ContB-VisCent,0.04057795056697236,False
ContB-VisPeri,-0.08070803259352177,False
ContC-ContC,0.4111799259356736,True
ContC-DefaultA,0.346456906449076,False
ContC-DefaultB,0.18955500768014802,False
ContC-DefaultC,0.014052494183663305,False
ContC-DorsAttnA,-0.0867342303676115,False
ContC-DorsAttnB,0.07334410319356817,False
ContC-LimbicA,0.17977104595601873,False
ContC-LimbicB,0.18602926500673445,False
ContC-SalVentAttnA,-0.03479882884319807,False
ContC-SalVentAttnB,0.20251393749590543,False
ContC-SomMotA,-0.0644574796073048,False
ContC-SomMotB,-0.14983407340889676,False
ContC-TempPar,0.1053924552214624,False
ContC-VisCent,0.05563659805723423,False
ContC-VisPeri,-0.052619078603664556,False
DefaultA-DefaultA,0.3179873235555277,True
DefaultA-DefaultB,0.2011619396206223,False
DefaultA-DefaultC,0.028178087298069292,False
DefaultA-DorsAttnA,-0.1065317853831556,False
DefaultA-DorsAttnB,0.05286341893954773,False
DefaultA-LimbicA,0.17378306333527427,False
DefaultA-LimbicB,0.1997016020907256,False
DefaultA-SalVentAttnA,-0.016340674568183004,False
DefaultA-SalVentAttnB,0.20791074069470897,False
DefaultA-SomMotA,-0.06256134743783444,False
DefaultA-SomMotB,-0.13018384146476591,False
DefaultA-TempPar,0.1064895439326682,False
DefaultA-VisCent,0.0606717202392851,False
DefaultA-VisPeri,-0.05169088133815466,False
DefaultB-DefaultB,0.20351273763743888,True
DefaultB-DefaultC,0.15959204042787878,False
DefaultB-DorsAttnA,-0.1057078859078176,False
DefaultB-DorsAttnB,0.0073337179510526785,False
DefaultB-LimbicA,0.11876094720238153,False
DefaultB-LimbicB,0.11504136446394604,False
DefaultB-SalVentAttnA,-0.03583246050866971,False
DefaultB-SalVentAttnB,0.11132875500980519,False
DefaultB-SomMotA,-0.06816152855031025,False
DefaultB-SomMotB,-0.09768727005666344,False
DefaultB-TempPar,0.15943046402302766,False
DefaultB-VisCent,0.029166847683870522,False
DefaultB-VisPeri,-0.056589052684243704,False
DefaultC-DefaultC,0.35691883918867273,True
DefaultC-DorsAttnA,-0.10307082129673548,False
DefaultC-DorsAttnB,-0.015494568917715517,False
DefaultC-LimbicA,-0.008216984772930353,False
DefaultC-LimbicB,0.007871874195654268,False
DefaultC-SalVentAttnA,-0.03663610022225672,False
DefaultC-SalVentAttnB,-0.016439942360470652,False
DefaultC-SomMotA,-0.07697255399916611,False
DefaultC-SomMotB,-0.06968952306999836,False
DefaultC-TempPar,0.36492986920097015,False
DefaultC-VisCent,-0.005050741608269018,False
DefaultC-VisPeri,-0.07335113851964932,False
DorsAttnA-DorsAttnA,0.32686792642227847,True
DorsAttnA-DorsAttnB,0.12133707577301851,False
DorsAttnA-LimbicA,-0.06472781028427721,False
DorsAttnA-LimbicB,-0.12859609078812964,False
DorsAttnA-SalVentAttnA,0.033255180930751194,False
DorsAttnA-SalVentAttnB,-0.12310149094390829,False
DorsAttnA-SomMotA,0.03056757664300605,False
DorsAttnA-SomMotB,0.11476992402216893,False
DorsAttnA-TempPar,-0.12853204571608778,False
DorsAttnA-VisCent,-0.02809374308005472,False
DorsAttnA-VisPeri,-0.002324744885251816,False
DorsAttnB-DorsAttnB,0.15046723471447485,True
DorsAttnB-LimbicA,0.07213004832980183,False
DorsAttnB-LimbicB,0.024253121010971684,False
DorsAttnB-SalVentAttnA,0.003280863183374454,False
DorsAttnB-SalVentAttnB,0.039096953889909324,False
DorsAttnB-SomMotA,-0.018055868641157356,False
DorsAttnB-SomMotB,-0.05040916614055485,False
DorsAttnB-TempPar,0.017974431268992286,False
DorsAttnB-VisCent,0.03121631878074659,False
DorsAttnB-VisPeri,0.009798557748964824,False
LimbicA-LimbicA,0.26231352682641806,True
LimbicA-LimbicB,0.19981446761301372,False
LimbicA-SalVentAttnA,0.00019775514901307275,False
LimbicA-SalVentAttnB,0.2270871041997234,False
LimbicA-SomMotA,-0.09791624343546144,False
LimbicA-SomMotB,-0.10687928692372856,False
LimbicA-TempPar,0.03861195386962937,False
LimbicA-VisCent,0.03029061819948062,False
LimbicA-VisPeri,-0.03883198055315051,False
LimbicB-LimbicB,0.2856246428334289,True
LimbicB-SalVentAttnA,0.0549647148097179,False
LimbicB-SalVentAttnB,0.31332594342945436,False
LimbicB-SomMotA,-0.111964458653333,False
LimbicB-SomMotB,-0.08732990856305184,False
LimbicB-TempPar,0.028225837537052576,False
LimbicB-VisCent,0.03409899061099187,False
LimbicB-VisPeri,-0.06851073606823746,False
SalVentAttnA-SalVentAttnA,0.07696423370116925,True
SalVentAttnA-SalVentAttnB,0.06201182962339331,False
SalVentAttnA-SomMotA,0.0064544078293727975,False
SalVentAttnA-SomMotB,0.054044579853503374,False
SalVentAttnA-TempPar,-0.060614976838902435,False
SalVentAttnA-VisCent,0.0024500756039088165,False
SalVentAttnA-VisPeri,0.03078755144978117,False
SalVentAttnB-SalVentAttnB,0.32889796047347314,True
SalVentAttnB-SomMotA,-0.12203968256485388,False
SalVentAttnB-SomMotB,-0.10360439676019742,False
SalVentAttnB-TempPar,0.009845562864088527,False
SalVentAttnB-VisCent,0.02771512233376995,False
SalVentAttnB-VisPeri,-0.05625613088931563,False
SomMotA-SomMotA,0.19310095068970132,True
SomMotA-SomMotB,0.09523660049465009,False
SomMotA-TempPar,-0.08503956013837155,False
SomMotA-VisCent,0.05934912099682561,False
SomMotA-VisPeri,0.1979184978151377,False
SomMotB-SomMotB,0.1875019681557825,True
SomMotB-TempPar,-0.14423222692318272,False
SomMotB-VisCent,0.011252368373702236,False
SomMotB-VisPeri,0.06386846637567066,False
TempPar-TempPar,0.5448909905991702,True
TempPar-VisCent,0.005203922358434018,False
TempPar-VisPeri,-0.07483097692828543,False
VisCent-VisCent,0.06391278556412056,True
VisCent-VisPeri,0.06781694856722717,False
VisPeri-VisPeri,0.28549485682518044,True
