network_connection,fc,within_network
ContA-ContA,0.29338413787522183,True
ContA-ContB,0.1837029033771583,False
ContA-ContC,0.14385629500056207,False
ContA-DefaultA,0.14525618670839704,False
ContA-DefaultB,0.1524194542104041,False
ContA-DefaultC,0.06431958373132059,False
ContA-DorsAttnA,-0.02861539689346195,False
ContA-DorsAttnB,0.04010362262967003,False
ContA-LimbicA,0.26509250694421016,False
ContA-LimbicB,0.16449694106330323,False
ContA-SalVentAttnA,0.001019949692446118,False
ContA-SalVentAttnB,0.14830032555020564,False
ContA-SomMotA,-0.10024859504540783,False
ContA-SomMotB,-0.09131730415096255,False
ContA-TempPar,0.015391038183368113,False
ContA-VisCent,-0.028864162969273237,False
ContA-VisPeri,-0.09265224167851066,False
ContB-ContB,0.21152824926354388,True
ContB-ContC,0.09213706289015772,False
ContB-DefaultA,0.05876144799345892,False
ContB-DefaultB,0.0903285022773902,False
ContB-DefaultC,0.11129515004294262,False
ContB-DorsAttnA,0.010462160832136264,False
ContB-DorsAttnB,0.04356818903684534,False
ContB-LimbicA,0.13246670374683034,False
ContB-LimbicB,0.05482444382426087,False
ContB-SalVentAttnA,-0.02052762515431874,False
ContB-SalVentAttnB,0.03776450522195454,False
ContB-SomMotA,-0.09976278396687423,False
ContB-SomMotB,-0.06944964302960076,False
ContB-TempPar,0.11694613517064217,False
ContB-VisCent,-0.0322058479068272,False
ContB-VisPeri,-0.11544133130079301,False
ContC-ContC,0.3092577878837937,True
ContC-DefaultA,0.27286879546247517,False
ContC-DefaultB,0.18428203835691703,False
ContC-DefaultC,-0.025021904818139984,False
ContC-DorsAttnA,-0.061948505694776515,False
ContC-DorsAttnB,0.0036345896844672304,False
ContC-LimbicA,0.19097027720086432,False
ContC-LimbicB,0.20828803821711117,False
ContC-SalVentAttnA,0.010420395111473694,False
ContC-SalVentAttnB,0.17663693726061175,False
ContC-SomMotA,-0.06795172762150109,False
ContC-SomMotB,-0.08975926588430601,False
ContC-TempPar,-0.08685068628650298,False
ContC-VisCent,-0.001906898734344949,False
ContC-VisPeri,-0.06046036976441064,False
DefaultA-DefaultA,0.27008283361962104,True
DefaultA-DefaultB,0.19515501361526455,False
DefaultA-DefaultC,-0.023848358622349602,False
DefaultA-DorsAttnA,-0.04984517687256136,False
DefaultA-DorsAttnB,0.00019420210347881027,False
DefaultA-LimbicA,0.18770954356437894,False
DefaultA-LimbicB,0.20098620406843695,False
DefaultA-SalVentAttnA,0.020861110826895544,False
DefaultA-SalVentAttnB,0.16810560356025595,False
DefaultA-SomMotA,-0.05732812080869724,False
DefaultA-SomMotB,-0.07478661324663084,False
DefaultA-TempPar,-0.10697592223365811,False
DefaultA-VisCent,0.0035195961685130267,False
DefaultA-VisPeri,-0.05690950996753828,False
DefaultB-DefaultB,0.22203503106751774,True
DefaultB-DefaultC,0.14817340372189763,False
DefaultB-DorsAttnA,-0.09581058569637217,False
DefaultB-DorsAttnB,-0.0291331321951799,False
DefaultB-LimbicA,0.15799021534588692,False
DefaultB-LimbicB,0.17016265623784532,False
DefaultB-SalVentAttnA,0.00015826947656831666,False
DefaultB-SalVentAttnB,0.12574291718242564,False
DefaultB-SomMotA,-0.08705053539616478,False
DefaultB-SomMotB,-0.0762588303581348,False
DefaultB-TempPar,0.010012723962950056,False
DefaultB-VisCent,0.000141669355999144,False
DefaultB-VisPeri,-0.08361054088462168,False
DefaultC-DefaultC,0.36422184362728477,True
DefaultC-DorsAttnA,-0.10968048820837649,False
DefaultC-DorsAttnB,-0.03502635370129159,False
DefaultC-LimbicA,0.006197815114468985,False
DefaultC-LimbicB,0.02937749125169211,False
DefaultC-SalVentAttnA,-0.033966167256234095,False
DefaultC-SalVentAttnB,-0.008246990304785892,False
DefaultC-SomMotA,-0.09907320413902526,False
DefaultC-SomMotB,-0.06867109726085247,False
DefaultC-TempPar,0.29056003065235037,False
DefaultC-VisCent,-0.003371359113768305,False
DefaultC-VisPeri,-0.0945681941618083,False
DorsAttnA-DorsAttnA,0.26194832190732587,True
DorsAttnA-DorsAttnB,0.1622709087461349,False
DorsAttnA-LimbicA,-0.011550315379296452,False
DorsAttnA-LimbicB,-0.07238327276762428,False
DorsAttnA-SalVentAttnA,0.052548175582265155,False
DorsAttnA-SalVentAttnB,-0.015749484618264697,False
DorsAttnA-SomMotA,0.025062586707695008,False
DorsAttnA-SomMotB,0.06521304278254675,False
DorsAttnA-TempPar,-0.06534967723280352,False
DorsAttnA-VisCent,-0.0031758670437613294,False
DorsAttnA-VisPeri,0.0152531991290007,False
DorsAttnB-DorsAttnB,0.15825897923919682,True
DorsAttnB-LimbicA,0.057284552626909124,False
DorsAttnB-LimbicB,0.03067779932418483,False
DorsAttnB-SalVentAttnA,0.06865398619957862,False
DorsAttnB-SalVentAttnB,0.06993773905354307,False
DorsAttnB-SomMotA,-0.013357358964263818,False
DorsAttnB-SomMotB,0.012052282299632719,False
DorsAttnB-TempPar,-0.025731972176288496,False
DorsAttnB-VisCent,0.009475999331902761,False
DorsAttnB-VisPeri,0.002444722832739662,False
LimbicA-LimbicA,0.3010262964523679,True
LimbicA-LimbicB,0.25309050834387115,False
LimbicA-SalVentAttnA,0.04902453209735532,False
LimbicA-SalVentAttnB,0.2406920047474974,False
LimbicA-SomMotA,-0.1011160703945793,False
LimbicA-SomMotB,-0.062054318883215484,False
LimbicA-TempPar,-0.08895450181015369,False
LimbicA-VisCent,-0.014254449664098615,False
LimbicA-VisPeri,-0.10331985268569314,False
LimbicB-LimbicB,0.2956964155750721,True
LimbicB-SalVentAttnA,0.0807746649897825,False
LimbicB-SalVentAttnB,0.27810635309689086,False
LimbicB-SomMotA,-0.08231846811370891,False
LimbicB-SomMotB,-0.032864667613078144,False
LimbicB-TempPar,-0.11795833214743588,False
LimbicB-VisCent,0.01635867066108127,False
LimbicB-VisPeri,-0.05891773605906317,False
SalVentAttnA-SalVentAttnA,0.09510111262678966,True
SalVentAttnA-SalVentAttnB,0.10479495173003824,False
SalVentAttnA-SomMotA,0.0017524916527662663,False
SalVentAttnA-SomMotB,0.048869890377893695,False
SalVentAttnA-TempPar,-0.06764342669596184,False
SalVentAttnA-VisCent,0.008288414279371182,False
SalVentAttnA-VisPeri,0.027517655209223873,False
SalVentAttnB-SalVentAttnB,0.2803992525741829,True
SalVentAttnB-SomMotA,-0.06944965563442687,False
SalVentAttnB-SomMotB,-0.023715831300199774,False
SalVentAttnB-TempPar,-0.11215246078458772,False
SalVentAttnB-VisCent,0.006384582553575896,False
SalVentAttnB-VisPeri,-0.03362495022850002,False
SomMotA-SomMotA,0.16610686997086416,True
SomMotA-SomMotB,0.05868950648926444,False
SomMotA-TempPar,-0.06449803897524563,False
SomMotA-VisCent,0.06827814785505293,False
SomMotA-VisPeri,0.16970125389269514,False
SomMotB-SomMotB,0.12657932100871402,True
SomMotB-TempPar,-0.07050049104117756,False
SomMotB-VisCent,0.026227363049485437,False
SomMotB-VisPeri,0.062060425489258546,False
TempPar-TempPar,0.49871467355883653,True
TempPar-VisCent,-0.04347990155910953,False
TempPar-VisPeri,-0.07858749424803035,False
VisCent-VisCent,0.08381818128399857,True
VisCent-VisPeri,0.08771569275006053,False
VisPeri-VisPeri,0.2583564206369326,True
