network_connection,fc,within_network
ContA-ContA,0.18965651137576509,True
ContA-ContB,0.14799734401088405,False
ContA-ContC,0.11304969399891236,False
ContA-DefaultA,0.12046271828009307,False
ContA-DefaultB,0.1100033210838638,False
ContA-DefaultC,0.07823374545840668,False
ContA-DorsAttnA,0.026181929602823603,False
ContA-DorsAttnB,0.10519393169360283,False
ContA-LimbicA,0.1942012723897757,False
ContA-LimbicB,0.13863227557863,False
ContA-SalVentAttnA,0.04796002896295244,False
ContA-SalVentAttnB,0.14961634292994658,False
ContA-SomMotA,-0.04092138775453335,False
ContA-SomMotB,-0.010736932995200997,False
ContA-TempPar,0.03893909490463782,False
ContA-VisCent,0.07080500577608248,False
ContA-VisPeri,-0.03529744022922312,False
ContB-ContB,0.24004915543946106,True
ContB-ContC,0.11570433498086871,False
ContB-DefaultA,0.10312925785901382,False
ContB-DefaultB,0.11437014431351356,False
ContB-DefaultC,0.157744969185163,False
ContB-DorsAttnA,0.06810722384654481,False
ContB-DorsAttnB,0.10151055932281433,False
ContB-LimbicA,0.1375001997899419,False
ContB-LimbicB,0.04143409471104653,False
ContB-SalVentAttnA,-0.030692629358368903,False
ContB-SalVentAttnB,0.04249778671239212,False
ContB-SomMotA,-0.007697083592537739,False
ContB-SomMotB,-0.035311205819506045,False
ContB-TempPar,0.19493911308454567,False
ContB-VisCent,0.10297093177074351,False
ContB-VisPeri,-0.03045316743613159,False
ContC-ContC,0.23668560111107814,True
ContC-DefaultA,0.22563334938451907,False
ContC-DefaultB,0.11892489499838362,False
ContC-DefaultC,-0.01954137969812191,False
ContC-DorsAttnA,0.04679901905011435,False
ContC-DorsAttnB,0.1070151227504566,False
ContC-LimbicA,0.168152690341427,False
ContC-LimbicB,0.16162855508651008,False
ContC-SalVentAttnA,0.04888274049685372,False
ContC-SalVentAttnB,0.18263769110977093,False
ContC-SomMotA,0.04973120506674531,False
ContC-SomMotB,-0.004059728910586025,False
ContC-TempPar,-0.026798441356952325,False
ContC-VisCent,0.1165575292295876,False
ContC-VisPeri,0.06529925223368895,False
DefaultA-DefaultA,0.24586101587411818,True
DefaultA-DefaultB,0.15549547995139876,False
DefaultA-DefaultC,-0.017123656217459603,False
DefaultA-DorsAttnA,0.03828200505574236,False
DefaultA-DorsAttnB,0.08727716127735552,False
DefaultA-LimbicA,0.15433472478080235,False
DefaultA-LimbicB,0.15298381491578233,False
DefaultA-SalVentAttnA,0.04820910164597854,False
DefaultA-SalVentAttnB,0.15832454947074104,False
DefaultA-SomMotA,0.0517146808761369,False
DefaultA-SomMotB,-0.0019306642401825866,False
DefaultA-TempPar,-0.027119024455131892,False
DefaultA-VisCent,0.12448010695415625,False
DefaultA-VisPeri,0.056224692757035385,False
DefaultB-DefaultB,0.18036718045061517,True
DefaultB-DefaultC,0.15445254226718633,False
DefaultB-DorsAttnA,0.0011278177741784255,False
DefaultB-DorsAttnB,0.014153726255986257,False
DefaultB-LimbicA,0.10529157734632714,False
DefaultB-LimbicB,0.08554001261799928,False
DefaultB-SalVentAttnA,0.002750072321651774,False
DefaultB-SalVentAttnB,0.07358867435909533,False
DefaultB-SomMotA,-0.0033861341603687125,False
DefaultB-SomMotB,0.0023709906318833194,False
DefaultB-TempPar,0.06742294663663866,False
DefaultB-VisCent,0.07381563079434332,False
DefaultB-VisPeri,-0.010576079590444806,False
DefaultC-DefaultC,0.3723634848269586,True
DefaultC-DorsAttnA,-0.03211861224620271,False
DefaultC-DorsAttnB,-0.02977514997354506,False
DefaultC-LimbicA,0.04212601172573879,False
DefaultC-LimbicB,-0.013106557589528889,False
DefaultC-SalVentAttnA,-0.05135492469849599,False
DefaultC-SalVentAttnB,-0.0397807901185626,False
DefaultC-SomMotA,-0.0865539079105377,False
DefaultC-SomMotB,-0.008899530945578915,False
DefaultC-TempPar,0.30479217770348477,False
DefaultC-VisCent,-0.0011331668899544854,False
DefaultC-VisPeri,-0.12477672536472188,False
DorsAttnA-DorsAttnA,0.20385657811935998,True
DorsAttnA-DorsAttnB,0.13950647345800973,False
DorsAttnA-LimbicA,0.052520345867232796,False
DorsAttnA-LimbicB,0.020267776208796794,False
DorsAttnA-SalVentAttnA,0.042053419966081126,False
DorsAttnA-SalVentAttnB,0.05882961679650758,False
DorsAttnA-SomMotA,0.08691064258115618,False
DorsAttnA-SomMotB,0.04896716355330128,False
DorsAttnA-TempPar,-0.0387411564147364,False
DorsAttnA-VisCent,0.0871940282277128,False
DorsAttnA-VisPeri,0.0834967280194444,False
DorsAttnB-DorsAttnB,0.22593662318933908,True
DorsAttnB-LimbicA,0.14116713071154396,False
DorsAttnB-LimbicB,0.11382889936883175,False
DorsAttnB-SalVentAttnA,0.08305329140930741,False
DorsAttnB-SalVentAttnB,0.16845031175002315,False
DorsAttnB-SomMotA,0.05443093846762329,False
DorsAttnB-SomMotB,-0.019741835112092248,False
DorsAttnB-TempPar,-0.02375221923511463,False
DorsAttnB-VisCent,0.12035517315978077,False
DorsAttnB-VisPeri,0.07568323633706418,False
LimbicA-LimbicA,0.21113654344245694,True
LimbicA-LimbicB,0.17721678490968654,False
LimbicA-SalVentAttnA,0.07343715851673528,False
LimbicA-SalVentAttnB,0.20464109247975718,False
LimbicA-SomMotA,-0.019805479741410642,False
LimbicA-SomMotB,-0.01678997160081788,False
LimbicA-TempPar,0.005141538426722237,False
LimbicA-VisCent,0.0871389331163557,False
LimbicA-VisPeri,-0.004425946429899501,False
LimbicB-LimbicB,0.205114329559649,True
LimbicB-SalVentAttnA,0.11070180961062956,False
LimbicB-SalVentAttnB,0.24718883767753624,False
LimbicB-SomMotA,-0.023484756496669243,False
LimbicB-SomMotB,0.01901021267898759,False
LimbicB-TempPar,-0.08297498502239467,False
LimbicB-VisCent,0.06361792605364512,False
LimbicB-VisPeri,0.003144164461878846,False
SalVentAttnA-SalVentAttnA,0.10617522460051046,True
SalVentAttnA-SalVentAttnB,0.142140700304524,False
SalVentAttnA-SomMotA,0.018191275764779375,False
SalVentAttnA-SomMotB,0.0408593815090294,False
SalVentAttnA-TempPar,-0.10252733595266232,False
SalVentAttnA-VisCent,0.029436070017594886,False
SalVentAttnA-VisPeri,0.046220483193274146,False
SalVentAttnB-SalVentAttnB,0.2954978316278767,True
SalVentAttnB-SomMotA,-0.029076533276833367,False
SalVentAttnB-SomMotB,0.006575279542349848,False
SalVentAttnB-TempPar,-0.10053169783816497,False
SalVentAttnB-VisCent,0.05908285300797947,False
SalVentAttnB-VisPeri,0.010225937756700122,False
SomMotA-SomMotA,0.23891313410855824,True
SomMotA-SomMotB,0.07935391703812789,False
SomMotA-TempPar,-0.06034653555132412,False
SomMotA-VisCent,0.16698488836102604,False
SomMotA-VisPeri,0.24265065846737335,False
SomMotB-SomMotB,0.13360897551429982,True
SomMotB-TempPar,-0.0558469528181031,False
SomMotB-VisCent,0.049944723686739405,False
SomMotB-VisPeri,0.06333450694145036,False
TempPar-TempPar,0.46542666317061143,True
TempPar-VisCent,-0.005679032502359667,False
TempPar-VisPeri,-0.10450571919476219,False
VisCent-VisCent,0.2033052621121148,True
VisCent-VisPeri,0.16956782780449237,False
VisPeri-VisPeri,0.2853644596982777,True
