network_connection,fc,within_network
ContA-ContA,0.12444561403824762,True
ContA-ContB,0.1231305295272802,False
ContA-ContC,0.10987831569443128,False
ContA-DefaultA,0.11236534353651506,False
ContA-DefaultB,0.1335085258352763,False
ContA-DefaultC,0.14924908559046018,False
ContA-DorsAttnA,-0.027999114961085984,False
ContA-DorsAttnB,0.023224510672627964,False
ContA-LimbicA,0.13969443721954605,False
ContA-LimbicB,0.13108973763354076,False
ContA-SalVentAttnA,0.010405512158088177,False
ContA-SalVentAttnB,0.10680687731947935,False
ContA-SomMotA,-0.09223767925882688,False
ContA-SomMotB,-0.05204434774552586,False
ContA-TempPar,0.12276778012352589,False
ContA-VisCent,-0.009110380351905548,False
ContA-VisPeri,-0.10323668952708856,False
ContB-ContB,0.18013654013173472,True
ContB-ContC,0.11702909496036137,False
ContB-DefaultA,0.11379406037627612,False
ContB-DefaultB,0.15586764602896597,False
ContB-DefaultC,0.2277962480166052,False
ContB-DorsAttnA,-0.026385134293429344,False
ContB-DorsAttnB,0.009033399570122846,False
ContB-LimbicA,0.12408989890745703,False
ContB-LimbicB,0.09099323026550347,False
ContB-SalVentAttnA,0.0013186674720383322,False
ContB-SalVentAttnB,0.0672636012698945,False
ContB-SomMotA,-0.10604469079910482,False
ContB-SomMotB,-0.0669072819833726,False
ContB-TempPar,0.19755006624054375,False
ContB-VisCent,-0.016770717931748457,False
ContB-VisPeri,-0.1462823924040455,False
ContC-ContC,0.14869925844021553,True
ContC-DefaultA,0.1485096034077128,False
ContC-DefaultB,0.15029091971746647,False
ContC-DefaultC,0.1572568277829136,False
ContC-DorsAttnA,-0.027658474605055192,False
ContC-DorsAttnB,0.03623655910493995,False
ContC-LimbicA,0.1378349510630126,False
ContC-LimbicB,0.14742296489038312,False
ContC-SalVentAttnA,0.01382013893311267,False
ContC-SalVentAttnB,0.11831877957414483,False
ContC-SomMotA,-0.05516956288424478,False
ContC-SomMotB,-0.034619148130465495,False
ContC-TempPar,0.12125666713605825,False
ContC-VisCent,0.03147223314855081,False
ContC-VisPeri,-0.05823659673520674,False
DefaultA-DefaultA,0.1513476404224159,True
DefaultA-DefaultB,0.172127463479112,False
DefaultA-DefaultC,0.15917022906942238,False
DefaultA-DorsAttnA,-0.03192136811904027,False
DefaultA-DorsAttnB,0.022298891656601552,False
DefaultA-LimbicA,0.12729724353412547,False
DefaultA-LimbicB,0.1333800821201347,False
DefaultA-SalVentAttnA,0.005052505005699518,False
DefaultA-SalVentAttnB,0.09535826325777343,False
DefaultA-SomMotA,-0.06119667549984661,False
DefaultA-SomMotB,-0.04436590916989591,False
DefaultA-TempPar,0.11705126939043227,False
DefaultA-VisCent,0.021397107416977097,False
DefaultA-VisPeri,-0.06984049995366713,False
DefaultB-DefaultB,0.2604090497929354,True
DefaultB-DefaultC,0.26735915243205954,False
DefaultB-DorsAttnA,-0.06589033123809236,False
DefaultB-DorsAttnB,-0.01583600818501801,False
DefaultB-LimbicA,0.1247215136537793,False
DefaultB-LimbicB,0.10436860580764663,False
DefaultB-SalVentAttnA,-0.033840668697842795,False
DefaultB-SalVentAttnB,0.048487790423062914,False
DefaultB-SomMotA,-0.10423396582419639,False
DefaultB-SomMotB,-0.07604626013186777,False
DefaultB-TempPar,0.234238831689374,False
DefaultB-VisCent,-0.019958750543796765,False
DefaultB-VisPeri,-0.11085818376993206,False
DefaultC-DefaultC,0.36403375648167735,True
DefaultC-DorsAttnA,-0.07555243231802036,False
DefaultC-DorsAttnB,-0.01703814943152433,False
DefaultC-LimbicA,0.14620399212858182,False
DefaultC-LimbicB,0.10898102448764037,False
DefaultC-SalVentAttnA,-0.023667482872023065,False
DefaultC-SalVentAttnB,0.06379573390629745,False
DefaultC-SomMotA,-0.14436518319462052,False
DefaultC-SomMotB,-0.1035136356401223,False
DefaultC-TempPar,0.3380864632764166,False
DefaultC-VisCent,-0.035082239379568274,False
DefaultC-VisPeri,-0.16679880079316592,False
DorsAttnA-DorsAttnA,0.09470773686486084,True
DorsAttnA-DorsAttnB,0.03353808282517883,False
DorsAttnA-LimbicA,-0.01912229747651515,False
DorsAttnA-LimbicB,-0.014467558480811347,False
DorsAttnA-SalVentAttnA,0.03434906294139076,False
DorsAttnA-SalVentAttnB,0.010344488932476158,False
DorsAttnA-SomMotA,0.03752417590601157,False
DorsAttnA-SomMotB,0.05759610262068491,False
DorsAttnA-TempPar,-0.057427622703748904,False
DorsAttnA-VisCent,0.01935889854438431,False
DorsAttnA-VisPeri,0.020488167923023787,False
DorsAttnB-DorsAttnB,0.04773531363467691,True
DorsAttnB-LimbicA,0.04295956634706996,False
DorsAttnB-LimbicB,0.05733550931802407,False
DorsAttnB-SalVentAttnA,0.03107778886791283,False
DorsAttnB-SalVentAttnB,0.06707769293873987,False
DorsAttnB-SomMotA,0.009640129085661859,False
DorsAttnB-SomMotB,0.00217254471845227,False
DorsAttnB-TempPar,-0.03046200410471771,False
DorsAttnB-VisCent,0.03722192704114901,False
DorsAttnB-VisPeri,0.01433098317972584,False
LimbicA-LimbicA,0.17145215355505622,True
LimbicA-LimbicB,0.17195980066523867,False
LimbicA-SalVentAttnA,0.02726429931031946,False
LimbicA-SalVentAttnB,0.15246792173057885,False
LimbicA-SomMotA,-0.08743585115499238,False
LimbicA-SomMotB,-0.043646097589401515,False
LimbicA-TempPar,0.1135139322304437,False
LimbicA-VisCent,0.009584092631072905,False
LimbicA-VisPeri,-0.10340603930715014,False
LimbicB-LimbicB,0.21027866964074482,True
LimbicB-SalVentAttnA,0.048903467897383056,False
LimbicB-SalVentAttnB,0.19456850553906166,False
LimbicB-SomMotA,-0.06576702245803107,False
LimbicB-SomMotB,-0.009534726384620471,False
LimbicB-TempPar,0.078263688946567,False
LimbicB-VisCent,0.04416172624161285,False
LimbicB-VisPeri,-0.06336967649458762,False
SalVentAttnA-SalVentAttnA,0.03985066687410478,True
SalVentAttnA-SalVentAttnB,0.06172460550053878,False
SalVentAttnA-SomMotA,0.00472939526483518,False
SalVentAttnA-SomMotB,0.024052565126349294,False
SalVentAttnA-TempPar,-0.033103894467687967,False
SalVentAttnA-VisCent,0.020657562757504865,False
SalVentAttnA-VisPeri,0.0069857126668776606,False
SalVentAttnB-SalVentAttnB,0.18748525078984776,True
SalVentAttnB-SomMotA,-0.05477874211142706,False
SalVentAttnB-SomMotB,-0.008278275104771398,False
SalVentAttnB-TempPar,0.039662822985466785,False
SalVentAttnB-VisCent,0.03612479520601669,False
SalVentAttnB-VisPeri,-0.053289033564444144,False
SomMotA-SomMotA,0.11672048063980861,True
SomMotA-SomMotB,0.0706332575601417,False
SomMotA-TempPar,-0.12920057403447285,False
SomMotA-VisCent,0.057151282544544754,False
SomMotA-VisPeri,0.14206197445033847,False
SomMotB-SomMotB,0.09467940639596047,True
SomMotB-TempPar,-0.07862505330326143,False
SomMotB-VisCent,0.03168779533782437,False
SomMotB-VisPeri,0.07293168550040925,False
TempPar-TempPar,0.37395603783350084,True
TempPar-VisCent,-0.05608588364307939,False
TempPar-VisPeri,-0.15013469635608037,False
VisCent-VisCent,0.06132598258474355,True
VisCent-VisPeri,0.06967110771052724,False
VisPeri-VisPeri,0.21264475014485074,True
