network_connection,fc,within_network
ContA-ContA,0.371063773460813,True
ContA-ContB,0.21708065337536325,False
ContA-ContC,0.26194241958342446,False
ContA-DefaultA,0.2888915543435394,False
ContA-DefaultB,0.2245542306360406,False
ContA-DefaultC,0.10470176604650831,False
ContA-DorsAttnA,-0.08448748807304148,False
ContA-DorsAttnB,0.0770438415615402,False
ContA-LimbicA,0.3830133314365439,False
ContA-LimbicB,0.3133133161054926,False
ContA-SalVentAttnA,0.012967297496875061,False
ContA-SalVentAttnB,0.2812805511092332,False
ContA-SomMotA,-0.19519796520161162,False
ContA-SomMotB,-0.1634652956557884,False
ContA-TempPar,0.007461571534076574,False
ContA-VisCent,0.009833727883786766,False
ContA-VisPeri,-0.1511044327555309,False
ContB-ContB,0.22221508634542933,True
ContB-ContC,0.1940512096471984,False
ContB-DefaultA,0.17583786745115434,False
ContB-DefaultB,0.18435459353889294,False
ContB-DefaultC,0.16410383744396448,False
ContB-DorsAttnA,-0.021779171241090047,False
ContB-DorsAttnB,0.048672100035222245,False
ContB-LimbicA,0.20635252802923915,False
ContB-LimbicB,0.11795132808504459,False
ContB-SalVentAttnA,-0.03878934882407251,False
ContB-SalVentAttnB,0.06924448344644693,False
ContB-SomMotA,-0.13847259922282534,False
ContB-SomMotB,-0.08338453530478762,False
ContB-TempPar,0.11119615459654797,False
ContB-VisCent,0.01774514196982251,False
ContB-VisPeri,-0.17572386998245793,False
ContC-ContC,0.42846583766037744,True
ContC-DefaultA,0.4252704617915613,False
ContC-DefaultB,0.32262914335836806,False
ContC-DefaultC,0.07504776384784356,False
ContC-DorsAttnA,-0.0728084427832876,False
ContC-DorsAttnB,0.03931331126601603,False
ContC-LimbicA,0.2947235530704567,False
ContC-LimbicB,0.25392510995236206,False
ContC-SalVentAttnA,-0.006702020039641672,False
ContC-SalVentAttnB,0.231533863280159,False
ContC-SomMotA,-0.09766884212335217,False
ContC-SomMotB,-0.13613395705124673,False
ContC-TempPar,-0.027590699706110746,False
ContC-VisCent,0.061976962776580366,False
ContC-VisPeri,-0.08606027717176036,False
DefaultA-DefaultA,0.4481447189991363,True
DefaultA-DefaultB,0.35134246803386115,False
DefaultA-DefaultC,0.0871336497743737,False
DefaultA-DorsAttnA,-0.10004732201553801,False
DefaultA-DorsAttnB,0.024443482512796585,False
DefaultA-LimbicA,0.3090838549643571,False
DefaultA-LimbicB,0.28484271598315,False
DefaultA-SalVentAttnA,0.005965870167623175,False
DefaultA-SalVentAttnB,0.26557519266782104,False
DefaultA-SomMotA,-0.11728742943280682,False
DefaultA-SomMotB,-0.1467857058299886,False
DefaultA-TempPar,-0.03087794534589726,False
DefaultA-VisCent,0.05356761536508802,False
DefaultA-VisPeri,-0.09894310889879836,False
DefaultB-DefaultB,0.35415106053322826,True
DefaultB-DefaultC,0.2457203303113606,False
DefaultB-DorsAttnA,-0.11538670991324301,False
DefaultB-DorsAttnB,-0.019592858187011782,False
DefaultB-LimbicA,0.22000977629414667,False
DefaultB-LimbicB,0.18249442198960264,False
DefaultB-SalVentAttnA,-0.021576665242088195,False
DefaultB-SalVentAttnB,0.14998555410906197,False
DefaultB-SomMotA,-0.12458473460364014,False
DefaultB-SomMotB,-0.1257751405652075,False
DefaultB-TempPar,0.10192794567271862,False
DefaultB-VisCent,0.03497034929277595,False
DefaultB-VisPeri,-0.13249584290761804,False
DefaultC-DefaultC,0.448177689039634,True
DefaultC-DorsAttnA,-0.15837410672226654,False
DefaultC-DorsAttnB,-0.05172018636873668,False
DefaultC-LimbicA,0.06448595595880696,False
DefaultC-LimbicB,0.07256702919037208,False
DefaultC-SalVentAttnA,-0.04626931734238723,False
DefaultC-SalVentAttnB,0.0036551302881639926,False
DefaultC-SomMotA,-0.14393795931786038,False
DefaultC-SomMotB,-0.08531490643430859,False
DefaultC-TempPar,0.3432427895012017,False
DefaultC-VisCent,0.011903299538528447,False
DefaultC-VisPeri,-0.17739711670787303,False
DorsAttnA-DorsAttnA,0.26513785893145786,True
DorsAttnA-DorsAttnB,0.11676154316516653,False
DorsAttnA-LimbicA,-0.02791921631908191,False
DorsAttnA-LimbicB,-0.09873075561520331,False
DorsAttnA-SalVentAttnA,0.02035659033394305,False
DorsAttnA-SalVentAttnB,-0.06820139255997652,False
DorsAttnA-SomMotA,0.030500420646783263,False
DorsAttnA-SomMotB,0.07457781058622,False
DorsAttnA-TempPar,-0.1380291099844329,False
DorsAttnA-VisCent,-0.014117837713516263,False
DorsAttnA-VisPeri,0.010465777764849964,False
DorsAttnB-DorsAttnB,0.1537111990202788,True
DorsAttnB-LimbicA,0.1390614764753321,False
DorsAttnB-LimbicB,0.10685134777435994,False
DorsAttnB-SalVentAttnA,0.0295686488221984,False
DorsAttnB-SalVentAttnB,0.1112262345150628,False
DorsAttnB-SomMotA,-0.04176183350425161,False
DorsAttnB-SomMotB,-0.034602318092484555,False
DorsAttnB-TempPar,-0.10126423158310312,False
DorsAttnB-VisCent,0.035132909666474955,False
DorsAttnB-VisPeri,-0.007563667967937477,False
LimbicA-LimbicA,0.4325555296598286,True
LimbicA-LimbicB,0.3715865856328631,False
LimbicA-SalVentAttnA,0.03695163409690919,False
LimbicA-SalVentAttnB,0.3454204371494814,False
LimbicA-SomMotA,-0.20866627940839352,False
LimbicA-SomMotB,-0.17309922192243507,False
LimbicA-TempPar,-0.06119233067656194,False
LimbicA-VisCent,0.021258160223282283,False
LimbicA-VisPeri,-0.1482125731730025,False
LimbicB-LimbicB,0.4201000387938774,True
LimbicB-SalVentAttnA,0.06728772914276793,False
LimbicB-SalVentAttnB,0.408654202433744,False
LimbicB-SomMotA,-0.1821301473046785,False
LimbicB-SomMotB,-0.16651505387448307,False
LimbicB-TempPar,-0.04165535291409198,False
LimbicB-VisCent,0.03710295007199823,False
LimbicB-VisPeri,-0.09895910028378764,False
SalVentAttnA-SalVentAttnA,0.050292936645923145,True
SalVentAttnA-SalVentAttnB,0.0967450527720511,False
SalVentAttnA-SomMotA,-0.013274854655090047,False
SalVentAttnA-SomMotB,-0.012779371558630672,False
SalVentAttnA-TempPar,-0.05502616224193895,False
SalVentAttnA-VisCent,-0.00860475528550185,False
SalVentAttnA-VisPeri,0.031127408101861494,False
SalVentAttnB-SalVentAttnB,0.4123878180117158,True
SalVentAttnB-SomMotA,-0.16972557566063562,False
SalVentAttnB-SomMotB,-0.16390833519182482,False
SalVentAttnB-TempPar,-0.089673417249445,False
SalVentAttnB-VisCent,0.013639265320139411,False
SalVentAttnB-VisPeri,-0.060652537671323684,False
SomMotA-SomMotA,0.23258625280596482,True
SomMotA-SomMotB,0.12257050597706458,False
SomMotA-TempPar,-0.103440360121744,False
SomMotA-VisCent,0.06918554236022124,False
SomMotA-VisPeri,0.2390039664673526,False
SomMotB-SomMotB,0.17537519964070977,True
SomMotB-TempPar,-0.05233987044534386,False
SomMotB-VisCent,0.02900132141623141,False
SomMotB-VisPeri,0.03967875397786242,False
TempPar-TempPar,0.452334791888608,True
TempPar-VisCent,-0.034950571377808444,False
TempPar-VisPeri,-0.1486268770271882,False
VisCent-VisCent,0.09325762297272928,True
VisCent-VisPeri,0.08632818829487562,False
VisPeri-VisPeri,0.3695550629010921,True
