network_connection,fc,within_network
ContA-ContA,0.24120059915837333,True
ContA-ContB,0.15237107684547774,False
ContA-ContC,0.09339960857749291,False
ContA-DefaultA,0.11288739465748511,False
ContA-DefaultB,0.11864552323948513,False
ContA-DefaultC,0.05235506800179175,False
ContA-DorsAttnA,-0.05866917626046619,False
ContA-DorsAttnB,0.006952367223348519,False
ContA-LimbicA,0.24683137191264756,False
ContA-LimbicB,0.1551778051216417,False
ContA-SalVentAttnA,0.0024732023843407167,False
ContA-SalVentAttnB,0.1811578190314365,False
ContA-SomMotA,-0.17126462016437644,False
ContA-SomMotB,-0.06541039309006334,False
ContA-TempPar,0.017778200305360932,False
ContA-VisCent,-0.03564394152041856,False
ContA-VisPeri,-0.18162230523288192,False
ContB-ContB,0.15729308281721027,True
ContB-ContC,0.09246315736286322,False
ContB-DefaultA,0.06868355586299399,False
ContB-DefaultB,0.0804263694477522,False
ContB-DefaultC,0.0865704249514434,False
ContB-DorsAttnA,0.004865467227644988,False
ContB-DorsAttnB,0.02614347575595765,False
ContB-LimbicA,0.1416479542406748,False
ContB-LimbicB,0.08730313272794306,False
ContB-SalVentAttnA,-0.007308146555222649,False
ContB-SalVentAttnB,0.09570471464318073,False
ContB-SomMotA,-0.14286375390698244,False
ContB-SomMotB,-0.04122567177057726,False
ContB-TempPar,0.07047895018444504,False
ContB-VisCent,-0.05520546283893375,False
ContB-VisPeri,-0.19165654625287898,False
ContC-ContC,0.13765178225466412,True
ContC-DefaultA,0.10035786225373762,False
ContC-DefaultB,0.08104099213300157,False
ContC-DefaultC,0.036854445964420494,False
ContC-DorsAttnA,-0.030809014733202036,False
ContC-DorsAttnB,0.02573451181005248,False
ContC-LimbicA,0.1026748672274945,False
ContC-LimbicB,0.10770205204194006,False
ContC-SalVentAttnA,0.020355203930832347,False
ContC-SalVentAttnB,0.12931635188493443,False
ContC-SomMotA,-0.08384994978528423,False
ContC-SomMotB,-0.051885991911596915,False
ContC-TempPar,0.009167696010352961,False
ContC-VisCent,-0.029157681488886065,False
ContC-VisPeri,-0.09175233394646891,False
DefaultA-DefaultA,0.12007267528725472,True
DefaultA-DefaultB,0.10099661219841265,False
DefaultA-DefaultC,0.04154434912095148,False
DefaultA-DorsAttnA,-0.037346764450013815,False
DefaultA-DorsAttnB,-0.008297230263178662,False
DefaultA-LimbicA,0.11150116866579284,False
DefaultA-LimbicB,0.10875105970297981,False
DefaultA-SalVentAttnA,0.013584733991918755,False
DefaultA-SalVentAttnB,0.12221886595242104,False
DefaultA-SomMotA,-0.10192553523068412,False
DefaultA-SomMotB,-0.04484550928272895,False
DefaultA-TempPar,0.02355207532659789,False
DefaultA-VisCent,-0.025383654272665836,False
DefaultA-VisPeri,-0.109846738688585,False
DefaultB-DefaultB,0.11676137756362548,True
DefaultB-DefaultC,0.11124053285791777,False
DefaultB-DorsAttnA,-0.04971360618730972,False
DefaultB-DorsAttnB,-0.025331418764487926,False
DefaultB-LimbicA,0.09877604518085858,False
DefaultB-LimbicB,0.08882569848862275,False
DefaultB-SalVentAttnA,-0.0004590869449023345,False
DefaultB-SalVentAttnB,0.09347907321568114,False
DefaultB-SomMotA,-0.0959569234459445,False
DefaultB-SomMotB,-0.03493513467459674,False
DefaultB-TempPar,0.057993783778100036,False
DefaultB-VisCent,-0.026010105069196293,False
DefaultB-VisPeri,-0.11717417645345814,False
DefaultC-DefaultC,0.2563838595565493,True
DefaultC-DorsAttnA,-0.037405450116337675,False
DefaultC-DorsAttnB,-0.04516717694280734,False
DefaultC-LimbicA,0.022739790846466466,False
DefaultC-LimbicB,0.020766460728994143,False
DefaultC-SalVentAttnA,-0.01577054790181132,False
DefaultC-SalVentAttnB,0.007042780265734632,False
DefaultC-SomMotA,-0.08181206758281402,False
DefaultC-SomMotB,-0.03396539148770525,False
DefaultC-TempPar,0.1934963937957136,False
DefaultC-VisCent,-0.051005883236308856,False
DefaultC-VisPeri,-0.12313289819342434,False
DorsAttnA-DorsAttnA,0.17919116149031203,True
DorsAttnA-DorsAttnB,0.05441162282631164,False
DorsAttnA-LimbicA,-0.033026369497726485,False
DorsAttnA-LimbicB,-0.04709822523396466,False
DorsAttnA-SalVentAttnA,0.013609765093846832,False
DorsAttnA-SalVentAttnB,-0.03739421802123917,False
DorsAttnA-SomMotA,-0.023227845177136257,False
DorsAttnA-SomMotB,0.010928492015015084,False
DorsAttnA-TempPar,-0.010390715664592463,False
DorsAttnA-VisCent,-0.054089291528034274,False
DorsAttnA-VisPeri,-0.057324727843985394,False
DorsAttnB-DorsAttnB,0.0816535530803687,True
DorsAttnB-LimbicA,0.03176326572009897,False
