network_connection,fc,within_network
ContA-ContA,0.3196105668457843,True
ContA-ContB,0.2654350599867206,False
ContA-ContC,0.16494851117485118,False
ContA-DefaultA,0.145286664971164,False
ContA-DefaultB,0.2666226584057347,False
ContA-DefaultC,0.1434713643937224,False
ContA-DorsAttnA,-0.03480536358364687,False
ContA-DorsAttnB,0.11757262148892438,False
ContA-LimbicA,0.274603424249391,False
ContA-LimbicB,0.15406049068295571,False
ContA-SalVentAttnA,-0.09715038641606685,False
ContA-SalVentAttnB,0.0845526778528703,False
ContA-SomMotA,0.06406449691196742,False
ContA-SomMotB,-0.060036951598962655,False
ContA-TempPar,0.07267626656098117,False
ContA-VisCent,0.15151908092439903,False
ContA-VisPeri,0.05355278585230555,False
ContB-ContB,0.35112805186045115,True
ContB-ContC,0.20174318048447526,False
ContB-DefaultA,0.14571888279611414,False
ContB-DefaultB,0.26647380625069056,False
ContB-DefaultC,0.17426637495906985,False
ContB-DorsAttnA,0.05496421373669571,False
ContB-DorsAttnB,0.15628548464200814,False
ContB-LimbicA,0.222657798598346,False
ContB-LimbicB,0.12430187580677703,False
ContB-SalVentAttnA,-0.08375078519727075,False
ContB-SalVentAttnB,0.04859864346764768,False
ContB-SomMotA,0.04095046427562463,False
ContB-SomMotB,-0.07343073410970556,False
ContB-TempPar,0.21975126667390213,False
ContB-VisCent,0.15863344827604794,False
ContB-VisPeri,0.0473105425624283,False
ContC-ContC,0.309201063310301,True
ContC-DefaultA,0.23796922894412184,False
ContC-DefaultB,0.24558873347098753,False
ContC-DefaultC,0.10056098767948786,False
ContC-DorsAttnA,0.0042452349281045425,False
ContC-DorsAttnB,0.12297890478606402,False
ContC-LimbicA,0.21365124844149755,False
ContC-LimbicB,0.21921894577945336,False
ContC-SalVentAttnA,0.007562521042016194,False
ContC-SalVentAttnB,0.18956515022580456,False
ContC-SomMotA,0.0025261103755023447,False
ContC-SomMotB,-0.07525269092252893,False
ContC-TempPar,0.06396645021948401,False
ContC-VisCent,0.13150129104024766,False
ContC-VisPeri,0.05091132921511135,False
DefaultA-DefaultA,0.2058394749137843,True
DefaultA-DefaultB,0.21498514262553586,False
DefaultA-DefaultC,0.08646181528745217,False
DefaultA-DorsAttnA,-0.026003247969255138,False
DefaultA-DorsAttnB,0.09757031424456933,False
DefaultA-LimbicA,0.1810581152724107,False
DefaultA-LimbicB,0.1953659797793002,False
DefaultA-SalVentAttnA,0.012921132349517672,False
DefaultA-SalVentAttnB,0.17689416563812252,False
DefaultA-SomMotA,-0.0074971872475803,False
DefaultA-SomMotB,-0.05731666340689582,False
DefaultA-TempPar,0.027470321799199383,False
DefaultA-VisCent,0.12248563902106115,False
DefaultA-VisPeri,0.020562001365210032,False
DefaultB-DefaultB,0.36436015456410714,True
DefaultB-DefaultC,0.2533572074920245,False
DefaultB-DorsAttnA,-0.032525210005973845,False
DefaultB-DorsAttnB,0.11123362044229665,False
DefaultB-LimbicA,0.2520293698622163,False
DefaultB-LimbicB,0.1924228725923622,False
DefaultB-SalVentAttnA,-0.059978308269694684,False
DefaultB-SalVentAttnB,0.10585161252048758,False
DefaultB-SomMotA,0.03366398247620999,False
DefaultB-SomMotB,-0.06337786593942493,False
DefaultB-TempPar,0.13876706372984962,False
DefaultB-VisCent,0.1677222660242332,False
DefaultB-VisPeri,0.04999157564837578,False
DefaultC-DefaultC,0.24413943020582854,True
DefaultC-DorsAttnA,-0.025806434138437643,False
DefaultC-DorsAttnB,0.04487751286986868,False
DefaultC-LimbicA,0.12048472248202774,False
DefaultC-LimbicB,0.07299360770709626,False
DefaultC-SalVentAttnA,-0.05452436945721601,False
DefaultC-SalVentAttnB,-0.010446171891467014,False
DefaultC-SomMotA,0.00787561312984325,False
DefaultC-SomMotB,-0.043498921951626836,False
DefaultC-TempPar,0.19247609461217025,False
DefaultC-VisCent,0.09752585170168716,False
DefaultC-VisPeri,-0.005897965264998368,False
DorsAttnA-DorsAttnA,0.19873728368681995,True
DorsAttnA-DorsAttnB,0.06192595137653649,False
DorsAttnA-LimbicA,-0.030132560957610494,False
DorsAttnA-LimbicB,-0.06131195007057613,False
DorsAttnA-SalVentAttnA,0.03461745383861847,False
DorsAttnA-SalVentAttnB,-0.023871613630342278,False
DorsAttnA-SomMotA,0.02716167771055501,False
DorsAttnA-SomMotB,0.015847554924453756,False
DorsAttnA-TempPar,0.07252604370599516,False
DorsAttnA-VisCent,0.004954607228754361,False
DorsAttnA-VisPeri,0.0727566598387881,False
DorsAttnB-DorsAttnB,0.14646398657726148,True
DorsAttnB-LimbicA,0.1085298546618611,False
DorsAttnB-LimbicB,0.08227318815718777,False
DorsAttnB-SalVentAttnA,0.002777120988060866,False
DorsAttnB-SalVentAttnB,0.07906652518111348,False
DorsAttnB-SomMotA,0.05915257669185135,False
DorsAttnB-SomMotB,-0.0384085759134395,False
DorsAttnB-TempPar,0.05137534353429091,False
DorsAttnB-VisCent,0.1262333256383276,False
