network_connection,fc,within_network
ContA-ContA,0.1445320783638399,True
ContA-ContB,0.10194813769970802,False
ContA-ContC,0.06414197746353807,False
ContA-DefaultA,0.08191416288555808,False
ContA-DefaultB,0.05438256226249958,False
ContA-DefaultC,0.010853985788501353,False
ContA-DorsAttnA,0.01947123382036227,False
ContA-DorsAttnB,0.05578835418242824,False
ContA-LimbicA,0.14963939484153221,False
ContA-LimbicB,0.12070445450174828,False
ContA-SalVentAttnA,0.03320139878997872,False
ContA-SalVentAttnB,0.11579484803442287,False
ContA-SomMotA,-0.0965392446421906,False
ContA-SomMotB,-0.034912174522132994,False
ContA-TempPar,-0.003993977234976444,False
ContA-VisCent,-0.03715420859111257,False
ContA-VisPeri,-0.059282554452030345,False
ContB-ContB,0.1868024338871808,True
ContB-ContC,0.1486830652010587,False
ContB-DefaultA,0.12174731890431097,False
ContB-DefaultB,0.12348954920083839,False
ContB-DefaultC,0.16188983190260395,False
ContB-DorsAttnA,-0.03941159420061826,False
ContB-DorsAttnB,0.026748566547202045,False
ContB-LimbicA,0.09848122877389039,False
ContB-LimbicB,0.11119633804673747,False
ContB-SalVentAttnA,-0.030200858655556488,False
ContB-SalVentAttnB,0.06441827113869976,False
ContB-SomMotA,-0.12506000370571355,False
ContB-SomMotB,-0.08685402825649516,False
ContB-TempPar,0.17790184274561444,False
ContB-VisCent,-0.02816248391506178,False
ContB-VisPeri,-0.14635403917179898,False
ContC-ContC,0.27337358032936276,True
ContC-DefaultA,0.24005576321206545,False
ContC-DefaultB,0.18570835421333384,False
ContC-DefaultC,0.11786279056038615,False
ContC-DorsAttnA,-0.12310391270524966,False
ContC-DorsAttnB,-0.04243207855658974,False
ContC-LimbicA,0.07470419648949184,False
ContC-LimbicB,0.16595867285868593,False
ContC-SalVentAttnA,-0.03924278295563411,False
ContC-SalVentAttnB,0.0965378868899656,False
ContC-SomMotA,-0.08332889646727365,False
ContC-SomMotB,-0.10153763335500754,False
ContC-TempPar,0.12774531983883045,False
ContC-VisCent,-0.01291997924724609,False
ContC-VisPeri,-0.1279844746144354,False
DefaultA-DefaultA,0.2364061287179092,True
DefaultA-DefaultB,0.17732226386075778,False
DefaultA-DefaultC,0.08119133735682474,False
DefaultA-DorsAttnA,-0.10171984554989329,False
DefaultA-DorsAttnB,-0.030088842144669763,False
DefaultA-LimbicA,0.08837616499983075,False
DefaultA-LimbicB,0.16200965853351562,False
DefaultA-SalVentAttnA,-0.015752920580319338,False
DefaultA-SalVentAttnB,0.10550535694526245,False
DefaultA-SomMotA,-0.0826840081421544,False
DefaultA-SomMotB,-0.08237178703725277,False
DefaultA-TempPar,0.09647315983977693,False
DefaultA-VisCent,-0.016818947150599128,False
DefaultA-VisPeri,-0.11237342039257667,False
DefaultB-DefaultB,0.21321500329166612,True
DefaultB-DefaultC,0.2738739215288895,False
DefaultB-DorsAttnA,-0.14460516755099978,False
DefaultB-DorsAttnB,-0.05094812101649958,False
DefaultB-LimbicA,0.04573996103938328,False
DefaultB-LimbicB,0.1273372433619798,False
DefaultB-SalVentAttnA,-0.031811681005456185,False
DefaultB-SalVentAttnB,0.07132499499760492,False
DefaultB-SomMotA,-0.10085912617517596,False
DefaultB-SomMotB,-0.09585889468436062,False
DefaultB-TempPar,0.21082054389179675,False
DefaultB-VisCent,-0.029208677706926787,False
DefaultB-VisPeri,-0.12425398945226857,False
DefaultC-DefaultC,0.6000292191337818,True
DefaultC-DorsAttnA,-0.2334430567858181,False
DefaultC-DorsAttnB,-0.07547663728434122,False
DefaultC-LimbicA,-0.014668000271640039,False
DefaultC-LimbicB,0.06955320399723745,False
DefaultC-SalVentAttnA,-0.07032723430933562,False
DefaultC-SalVentAttnB,0.021806720566702804,False
DefaultC-SomMotA,-0.14441903452582308,False
DefaultC-SomMotB,-0.15230286677352395,False
DefaultC-TempPar,0.5041241930321413,False
DefaultC-VisCent,-0.06561302857594557,False
DefaultC-VisPeri,-0.1563381969138598,False
DorsAttnA-DorsAttnA,0.2405753174786188,True
DorsAttnA-DorsAttnB,0.11219791393333514,False
DorsAttnA-LimbicA,0.02962781277201006,False
DorsAttnA-LimbicB,-0.05129405708230925,False
DorsAttnA-SalVentAttnA,0.05596894410644899,False
DorsAttnA-SalVentAttnB,-0.02123953202771843,False
DorsAttnA-SomMotA,0.019838594330987357,False
DorsAttnA-SomMotB,0.0845248395597905,False
DorsAttnA-TempPar,-0.2598009650252244,False
DorsAttnA-VisCent,0.011821645033707586,False
DorsAttnA-VisPeri,0.015590584212298723,False
DorsAttnB-DorsAttnB,0.08668683901292003,True
DorsAttnB-LimbicA,0.0654820453585964,False
DorsAttnB-LimbicB,0.025747040327694502,False
DorsAttnB-SalVentAttnA,0.03753635119242013,False
DorsAttnB-SalVentAttnB,0.038492454961077595,False
DorsAttnB-SomMotA,-0.02694592672195756,False
DorsAttnB-SomMotB,0.006216735225817005,False
DorsAttnB-TempPar,-0.10611435253170498,False
DorsAttnB-VisCent,-0.005619132020459207,False
DorsAttnB-VisPeri,-0.009378998046885093,False
LimbicA-LimbicA,0.14775459876918037,True
LimbicA-LimbicB,0.14772604230596623,False
LimbicA-SalVentAttnA,0.04077872131942254,False
LimbicA-SalVentAttnB,0.13861472304004302,False
LimbicA-SomMotA,-0.09943685704087346,False
LimbicA-SomMotB,-0.03500791356171933,False
LimbicA-TempPar,-0.040225959578171426,False
LimbicA-VisCent,-0.0303224894559492,False
LimbicA-VisPeri,-0.06560518703627483,False
LimbicB-LimbicB,0.2269308509113424,True
LimbicB-SalVentAttnA,0.03370019862774103,False
LimbicB-SalVentAttnB,0.1853008359488307,False
LimbicB-SomMotA,-0.11452505332066003,False
LimbicB-SomMotB,-0.061657386996197355,False
LimbicB-TempPar,0.0023958168177266896,False
LimbicB-VisCent,0.0009445290658009265,False
LimbicB-VisPeri,-0.10432327372306553,False
SalVentAttnA-SalVentAttnA,0.05617949922630291,True
SalVentAttnA-SalVentAttnB,0.04897357311178562,False
SalVentAttnA-SomMotA,-0.013891744518760026,False
SalVentAttnA-SomMotB,0.03476053987574367,False
SalVentAttnA-TempPar,-0.09660210273593617,False
SalVentAttnA-VisCent,-0.005868045628619938,False
SalVentAttnA-VisPeri,0.017401182202747587,False
SalVentAttnB-SalVentAttnB,0.1623212264409751,True
SalVentAttnB-SomMotA,-0.09098581758950136,False
SalVentAttnB-SomMotB,-0.03991791949721339,False
SalVentAttnB-TempPar,-0.03807752380846566,False
SalVentAttnB-VisCent,-0.015505705084928142,False
SalVentAttnB-VisPeri,-0.0291762774318778,False
SomMotA-SomMotA,0.14554367300816143,True
SomMotA-SomMotB,0.06138778559555447,False
SomMotA-TempPar,-0.10138942523054378,False
SomMotA-VisCent,0.05416136315925348,False
SomMotA-VisPeri,0.1346900400361069,False
SomMotB-SomMotB,0.11438668692228662,True
SomMotB-TempPar,-0.16619289439757287,False
SomMotB-VisCent,0.03589115970375486,False
SomMotB-VisPeri,0.07827540293856235,False
TempPar-TempPar,0.6748284247769204,True
TempPar-VisCent,-0.08432427065531552,False
TempPar-VisPeri,-0.15761099969225165,False
VisCent-VisCent,0.07422474505603546,True
VisCent-VisPeri,0.03953666695601014,False
VisPeri-VisPeri,0.22030236644325885,True
