network_connection,fc,within_network
ContA-ContA,0.21758072885513663,True
ContA-ContB,0.12599502937324825,False
ContA-ContC,0.08610008699286824,False
ContA-DefaultA,0.09728928822939908,False
ContA-DefaultB,0.14050528711409718,False
ContA-DefaultC,0.13433590736502604,False
ContA-DorsAttnA,-0.09259320788244127,False
ContA-DorsAttnB,0.007399706501936864,False
ContA-LimbicA,0.21978062053291716,False
ContA-LimbicB,0.12487994184913152,False
ContA-SalVentAttnA,-0.000577134716517278,False
ContA-SalVentAttnB,0.1236289988805697,False
ContA-SomMotA,-0.1012499692933039,False
ContA-SomMotB,-0.08509624023744619,False
ContA-TempPar,0.046373440759169327,False
ContA-VisCent,-0.027719315695551222,False
ContA-VisPeri,-0.08501511270359759,False
ContB-ContB,0.1278919528133155,True
ContB-ContC,0.07990439488217398,False
ContB-DefaultA,0.04869738955949343,False
ContB-DefaultB,0.08102394535439421,False
ContB-DefaultC,0.14400542412954398,False
ContB-DorsAttnA,-0.04334437684993224,False
ContB-DorsAttnB,0.05106019370332828,False
ContB-LimbicA,0.1116496432083288,False
ContB-LimbicB,0.04926269142378835,False
ContB-SalVentAttnA,-0.017771847681310023,False
ContB-SalVentAttnB,0.04139674571034971,False
ContB-SomMotA,-0.07557274854534161,False
ContB-SomMotB,-0.08405805754777444,False
ContB-TempPar,0.16376998258245862,False
ContB-VisCent,-0.006559067504206103,False
ContB-VisPeri,-0.07964735561461128,False
ContC-ContC,0.1849781254249399,True
ContC-DefaultA,0.1607778278541359,False
ContC-DefaultB,0.12142538349140485,False
ContC-DefaultC,0.06790238109500733,False
ContC-DorsAttnA,-0.061072532277000866,False
ContC-DorsAttnB,0.03937919570425542,False
ContC-LimbicA,0.10802114096695714,False
ContC-LimbicB,0.11345865933513923,False
ContC-SalVentAttnA,-0.0028291976776930487,False
ContC-SalVentAttnB,0.09601555868892699,False
ContC-SomMotA,-0.03288528926757717,False
ContC-SomMotB,-0.07580918867412903,False
ContC-TempPar,0.05035821899280388,False
ContC-VisCent,0.029461831079863672,False
ContC-VisPeri,-0.022569048235333705,False
DefaultA-DefaultA,0.20123842651197402,True
DefaultA-DefaultB,0.1771651162918622,False
DefaultA-DefaultC,0.09498268886755676,False
DefaultA-DorsAttnA,-0.09047899221690962,False
DefaultA-DorsAttnB,-0.0030381010679652355,False
DefaultA-LimbicA,0.10874483402128593,False
DefaultA-LimbicB,0.14261878518963467,False
DefaultA-SalVentAttnA,-0.0038087226622853646,False
DefaultA-SalVentAttnB,0.10740771694347756,False
DefaultA-SomMotA,-0.060802822943748586,False
DefaultA-SomMotB,-0.0706138160098404,False
DefaultA-TempPar,0.05118738695409203,False
DefaultA-VisCent,0.024874890219027373,False
DefaultA-VisPeri,-0.04913170952076673,False
DefaultB-DefaultB,0.2733335574468472,True
DefaultB-DefaultC,0.25791317440588385,False
DefaultB-DorsAttnA,-0.12569877222999207,False
DefaultB-DorsAttnB,-0.03895439268295497,False
DefaultB-LimbicA,0.12448162387355469,False
DefaultB-LimbicB,0.1182928594321742,False
DefaultB-SalVentAttnA,-0.022050218899679702,False
DefaultB-SalVentAttnB,0.05794524844512364,False
DefaultB-SomMotA,-0.1118997270815554,False
DefaultB-SomMotB,-0.0936024765892999,False
DefaultB-TempPar,0.1285494805702195,False
DefaultB-VisCent,-0.00576641492445339,False
DefaultB-VisPeri,-0.10391576291532152,False
DefaultC-DefaultC,0.385766012401133,True
DefaultC-DorsAttnA,-0.14038465778191656,False
DefaultC-DorsAttnB,-0.041963060394670446,False
DefaultC-LimbicA,0.09147271659073047,False
DefaultC-LimbicB,0.05384766184657568,False
DefaultC-SalVentAttnA,-0.059227426986369326,False
DefaultC-SalVentAttnB,-0.029421156931976913,False
DefaultC-SomMotA,-0.1408639467999276,False
DefaultC-SomMotB,-0.13013121040975367,False
DefaultC-TempPar,0.3449096766959046,False
DefaultC-VisCent,-0.03176705976017615,False
DefaultC-VisPeri,-0.15845914664148936,False
DorsAttnA-DorsAttnA,0.260098048923242,True
DorsAttnA-DorsAttnB,0.09870513081312378,False
DorsAttnA-LimbicA,-0.06924734322326238,False
DorsAttnA-LimbicB,-0.07923643229165032,False
DorsAttnA-SalVentAttnA,0.03678771353434348,False
