network_connection,fc,within_network
ContA-ContA,0.29639691175915256,True
ContA-ContB,0.18295774804437046,False
ContA-ContC,0.19564606089517544,False
ContA-DefaultA,0.19353464431827672,False
ContA-DefaultB,0.23629014321730712,False
ContA-DefaultC,0.0740989666490654,False
ContA-DorsAttnA,-0.07472043356053057,False
ContA-DorsAttnB,0.01295693284158247,False
ContA-LimbicA,0.25033382596440557,False
ContA-LimbicB,0.17204664208009146,False
ContA-SalVentAttnA,-0.0027905227123725617,False
ContA-SalVentAttnB,0.15036776095400609,False
ContA-SomMotA,-0.11465588788024239,False
ContA-SomMotB,-0.10188525843378164,False
ContA-TempPar,0.06901699081925043,False
ContA-VisCent,-0.015218661603944682,False
ContA-VisPeri,-0.07993358934934865,False
ContB-ContB,0.2573732291297417,True
ContB-ContC,0.23178096417775695,False
ContB-DefaultA,0.16296059692531153,False
ContB-DefaultB,0.14565748655123423,False
ContB-DefaultC,0.08070207969493981,False
ContB-DorsAttnA,0.004460275398648597,False
ContB-DorsAttnB,0.09225857788907514,False
ContB-LimbicA,0.14909337106183737,False
ContB-LimbicB,0.11182678022202566,False
ContB-SalVentAttnA,0.007547223171058112,False
ContB-SalVentAttnB,0.08900876177967448,False
ContB-SomMotA,-0.09018300250572348,False
ContB-SomMotB,-0.0818544940701222,False
ContB-TempPar,0.2365822927177842,False
ContB-VisCent,0.010176089880926402,False
ContB-VisPeri,-0.09854616040627,False
ContC-ContC,0.42130308480242856,True
ContC-DefaultA,0.3393031691881201,False
ContC-DefaultB,0.27741214803921677,False
ContC-DefaultC,0.07804467767200916,False
ContC-DorsAttnA,-0.07880759717335807,False
ContC-DorsAttnB,0.04660831480434479,False
ContC-LimbicA,0.19935331894965655,False
ContC-LimbicB,0.258219199749902,False
ContC-SalVentAttnA,0.0368737032040896,False
ContC-SalVentAttnB,0.22136889815597766,False
ContC-SomMotA,-0.09672229308703871,False
ContC-SomMotB,-0.06486960951171608,False
ContC-TempPar,0.10401968756709762,False
ContC-VisCent,0.008246136002384113,False
ContC-VisPeri,-0.07548395857625503,False
DefaultA-DefaultA,0.328152821275508,True
DefaultA-DefaultB,0.2892282851157758,False
DefaultA-DefaultC,0.06694988766729576,False
DefaultA-DorsAttnA,-0.11233694954490035,False
DefaultA-DorsAttnB,0.028128551791030014,False
DefaultA-LimbicA,0.18805241189745425,False
DefaultA-LimbicB,0.25958335056873816,False
DefaultA-SalVentAttnA,0.0318369388515966,False
DefaultA-SalVentAttnB,0.21224293140447917,False
DefaultA-SomMotA,-0.10300397056302538,False
DefaultA-SomMotB,-0.06358557135723852,False
DefaultA-TempPar,0.032169564117909326,False
DefaultA-VisCent,0.04622559829804853,False
DefaultA-VisPeri,-0.10199379398915796,False
DefaultB-DefaultB,0.36709055618257525,True
DefaultB-DefaultC,0.22761010718378902,False
DefaultB-DorsAttnA,-0.16063041112464133,False
DefaultB-DorsAttnB,-0.050386825710601275,False
DefaultB-LimbicA,0.20350562268108424,False
DefaultB-LimbicB,0.2502159088879821,False
DefaultB-SalVentAttnA,-0.0019508254237704011,False
DefaultB-SalVentAttnB,0.16638110242727733,False
DefaultB-SomMotA,-0.16509797967606998,False
DefaultB-SomMotB,-0.08903697332150515,False
DefaultB-TempPar,0.050943739723905264,False
DefaultB-VisCent,-0.02019844557103808,False
DefaultB-VisPeri,-0.15059573958045375,False
DefaultC-DefaultC,0.3354450417605748,True
DefaultC-DorsAttnA,-0.12464059597197152,False
DefaultC-DorsAttnB,-0.08972271391097009,False
DefaultC-LimbicA,0.05734241785845915,False
DefaultC-LimbicB,0.09492048716329204,False
DefaultC-SalVentAttnA,-0.03854000474344939,False
DefaultC-SalVentAttnB,-0.017103560986276696,False
DefaultC-SomMotA,-0.13841781913390455,False
DefaultC-SomMotB,-0.05964657395734851,False
DefaultC-TempPar,0.19942022397914658,False
DefaultC-VisCent,-0.05495668892916009,False
DefaultC-VisPeri,-0.14339682388011632,False
DorsAttnA-DorsAttnA,0.2313550570618247,True
DorsAttnA-DorsAttnB,0.10042570833620756,False
DorsAttnA-LimbicA,-0.05666851288711105,False
DorsAttnA-LimbicB,-0.11969788675218587,False
DorsAttnA-SalVentAttnA,0.040318007247461464,False
DorsAttnA-SalVentAttnB,-0.021067546337747715,False
DorsAttnA-SomMotA,0.07134855187706886,False
DorsAttnA-SomMotB,0.07340195522422642,False
DorsAttnA-TempPar,-0.0034109972326710446,False
DorsAttnA-VisCent,-0.014910999884318182,False
DorsAttnA-VisPeri,0.048382805675502995,False
DorsAttnB-DorsAttnB,0.1545666358993559,True
DorsAttnB-LimbicA,0.01574342879402399,False
DorsAttnB-LimbicB,0.005883941921934662,False
DorsAttnB-SalVentAttnA,0.029298294541373886,False
DorsAttnB-SalVentAttnB,0.05167356963346801,False
DorsAttnB-SomMotA,0.03140710711939429,False
DorsAttnB-SomMotB,-0.007881856195955782,False
DorsAttnB-TempPar,0.06336399161836698,False
DorsAttnB-VisCent,0.07707236326989882,False
DorsAttnB-VisPeri,-0.005213844178497159,False
LimbicA-LimbicA,0.22303467788280387,True
LimbicA-LimbicB,0.1876352595440589,False
