network_connection,fc,within_network
ContA-ContA,0.2723222212854968,True
ContA-ContB,0.1840089515478688,False
ContA-ContC,0.14983272648365045,False
ContA-DefaultA,0.18069934702058657,False
ContA-DefaultB,0.13872276921635185,False
ContA-DefaultC,0.01787365258573493,False
ContA-DorsAttnA,0.003930232652817976,False
ContA-DorsAttnB,0.0930538115062511,False
ContA-LimbicA,0.2633239530814432,False
ContA-LimbicB,0.1679904181727124,False
ContA-SalVentAttnA,0.015082898374460516,False
ContA-SalVentAttnB,0.15010885118289025,False
ContA-SomMotA,-0.05518839318783658,False
ContA-SomMotB,-0.04366107001922243,False
ContA-TempPar,-0.01473850564414713,False
ContA-VisCent,0.07956771751737096,False
ContA-VisPeri,-0.03275547174216013,False
ContB-ContB,0.21523470624822044,True
ContB-ContC,0.10236844008085667,False
ContB-DefaultA,0.10792649724283054,False
ContB-DefaultB,0.08687260453264303,False
ContB-DefaultC,0.03924838976438467,False
ContB-DorsAttnA,0.020448459276554035,False
ContB-DorsAttnB,0.07669008458548066,False
ContB-LimbicA,0.142644227658162,False
ContB-LimbicB,0.05932383870043852,False
ContB-SalVentAttnA,-0.029574978556718118,False
ContB-SalVentAttnB,0.0257275858694614,False
ContB-SomMotA,-0.05385497092846605,False
ContB-SomMotB,-0.05724530749846335,False
ContB-TempPar,0.07799657564015297,False
ContB-VisCent,0.059234181504015604,False
ContB-VisPeri,-0.06642965294120019,False
ContC-ContC,0.33446271403839684,True
ContC-DefaultA,0.28615960643316046,False
ContC-DefaultB,0.19306663501390423,False
ContC-DefaultC,0.024905841091506033,False
ContC-DorsAttnA,-0.009605774910876101,False
ContC-DorsAttnB,0.09512160874234561,False
ContC-LimbicA,0.1903508953834526,False
ContC-LimbicB,0.23045967295505473,False
ContC-SalVentAttnA,0.046928630894436454,False
ContC-SalVentAttnB,0.20631909545333707,False
ContC-SomMotA,0.013030385593477977,False
ContC-SomMotB,0.007421417198476988,False
ContC-TempPar,-0.07495027076494794,False
ContC-VisCent,0.10269614660269911,False
ContC-VisPeri,0.07271752797974172,False
