network_connection,fc,within_network
ContA-ContA,0.2590487424314,True
ContA-ContB,0.15664221157805616,False
ContA-ContC,0.11859226448094334,False
ContA-DefaultA,0.11068166501993341,False
ContA-DefaultB,0.14205860833283596,False
ContA-DefaultC,0.12642557384073974,False
ContA-DorsAttnA,-0.04334934850938178,False
ContA-DorsAttnB,0.003325191957339098,False
ContA-LimbicA,0.22817052227180368,False
ContA-LimbicB,0.2326528874610104,False
ContA-SalVentAttnA,0.01355586171151061,False
ContA-SalVentAttnB,0.20064589065839714,False
ContA-SomMotA,-0.18778448864148395,False
ContA-SomMotB,-0.06398866200695802,False
ContA-TempPar,-0.005868705594834174,False
ContA-VisCent,0.00025224058611171926,False
ContA-VisPeri,-0.1539735307431789,False
ContB-ContB,0.17926300258744154,True
ContB-ContC,0.10182036988593642,False
ContB-DefaultA,0.07269103092052366,False
ContB-DefaultB,0.0953830822569344,False
ContB-DefaultC,0.1274033728197564,False
ContB-DorsAttnA,0.027005668469396473,False
ContB-DorsAttnB,0.03149782131570772,False
ContB-LimbicA,0.13099227832582283,False
ContB-LimbicB,0.1039573223898157,False
ContB-SalVentAttnA,-0.030287243468395196,False
ContB-SalVentAttnB,0.08540361832541399,False
ContB-SomMotA,-0.13760835666225188,False
ContB-SomMotB,-0.04360613074905972,False
ContB-TempPar,0.08928511276648629,False
ContB-VisCent,0.0036386630209152117,False
ContB-VisPeri,-0.14963557694546292,False
ContC-ContC,0.1559228427022562,True
ContC-DefaultA,0.134146423838617,False
ContC-DefaultB,0.089147889297738,False
ContC-DefaultC,0.023507615495299602,False
ContC-DorsAttnA,-0.02040886338435226,False
ContC-DorsAttnB,0.01274882048343792,False
ContC-LimbicA,0.1359473852008007,False
ContC-LimbicB,0.15690973165229358,False
ContC-SalVentAttnA,0.0005776370940391744,False
ContC-SalVentAttnB,0.14836505075802928,False
ContC-SomMotA,-0.11508582676838752,False
ContC-SomMotB,-0.07583137204960036,False
ContC-TempPar,-0.025011319679761543,False
ContC-VisCent,-0.019253210080809005,False
ContC-VisPeri,-0.11627208876970758,False
DefaultA-DefaultA,0.13776399759112098,True
DefaultA-DefaultB,0.10482145664381244,False
DefaultA-DefaultC,0.042465877537181757,False
DefaultA-DorsAttnA,-0.03276134152334422,False
DefaultA-DorsAttnB,-0.00023483683603979237,False
DefaultA-LimbicA,0.11881915586048988,False
DefaultA-LimbicB,0.14931956830164003,False
DefaultA-SalVentAttnA,0.012659211066444725,False
DefaultA-SalVentAttnB,0.14056176832791473,False
DefaultA-SomMotA,-0.107326333833913,False
DefaultA-SomMotB,-0.0709045002344959,False
DefaultA-TempPar,-0.018000818294287728,False
DefaultA-VisCent,-0.014862182878782116,False
DefaultA-VisPeri,-0.10707831405734036,False
DefaultB-DefaultB,0.1772044732009543,True
DefaultB-DefaultC,0.24229824843561595,False
DefaultB-DorsAttnA,-0.09056330710346872,False
DefaultB-DorsAttnB,-0.03638579681327234,False
DefaultB-LimbicA,0.10499136119617036,False
DefaultB-LimbicB,0.15646923346838768,False
DefaultB-SalVentAttnA,-0.01096471105643694,False
DefaultB-SalVentAttnB,0.11892100033066696,False
DefaultB-SomMotA,-0.14411464043156513,False
DefaultB-SomMotB,-0.07569666845932417,False
DefaultB-TempPar,0.07809005226257335,False
DefaultB-VisCent,-0.014532835138633618,False
DefaultB-VisPeri,-0.114772016788619,False
DefaultC-DefaultC,0.5076536710126168,True
DefaultC-DorsAttnA,-0.14408106412950708,False
DefaultC-DorsAttnB,-0.06692366440744052,False
DefaultC-LimbicA,0.04747576569326957,False
DefaultC-LimbicB,0.11841566349742065,False
DefaultC-SalVentAttnA,-0.06265886350208062,False
DefaultC-SalVentAttnB,0.039817338900848175,False
DefaultC-SomMotA,-0.1816283976677112,False
DefaultC-SomMotB,-0.08312455506203091,False
DefaultC-TempPar,0.31476036299091387,False
DefaultC-VisCent,-0.0066043515977699235,False
DefaultC-VisPeri,-0.14894933296563398,False
DorsAttnA-DorsAttnA,0.19973865965103693,True
DorsAttnA-DorsAttnB,0.10037915473512295,False
DorsAttnA-LimbicA,0.004805469215228131,False
DorsAttnA-LimbicB,-0.07998555389019071,False
DorsAttnA-SalVentAttnA,0.004666117212083052,False
DorsAttnA-SalVentAttnB,-0.017734908849856387,False
DorsAttnA-SomMotA,0.04735660644675649,False
DorsAttnA-SomMotB,0.023408107264764912,False
DorsAttnA-TempPar,-0.03704301419663625,False
DorsAttnA-VisCent,-0.001431192907991137,False
DorsAttnA-VisPeri,0.012667948521759214,False
DorsAttnB-DorsAttnB,0.07289596858774793,True
DorsAttnB-LimbicA,0.025785214511955718,False
DorsAttnB-LimbicB,-0.002782983038527191,False
DorsAttnB-SalVentAttnA,-0.0024251328170297615,False
DorsAttnB-SalVentAttnB,0.019584013442517437,False
DorsAttnB-SomMotA,0.0098073176365125,False
DorsAttnB-SomMotB,-0.012110643290829623,False
DorsAttnB-TempPar,-0.02215437435979812,False
DorsAttnB-VisCent,0.011668234617613854,False
DorsAttnB-VisPeri,-0.0014393909541585894,False
LimbicA-LimbicA,0.23118833711149903,True
LimbicA-LimbicB,0.23298054155727946,False
LimbicA-SalVentAttnA,0.02507246532279018,False
LimbicA-SalVentAttnB,0.22454023474433538,False
