network_connection,fc,within_network
ContA-ContA,0.24716317527897758,True
ContA-ContB,0.1436273717260712,False
ContA-ContC,0.1891266433823858,False
ContA-DefaultA,0.21672923705701347,False
ContA-DefaultB,0.10986512892907922,False
ContA-DefaultC,-0.17608541195480382,False
ContA-DorsAttnA,0.018200347822408498,False
ContA-DorsAttnB,0.04691130801538141,False
ContA-LimbicA,0.2838757643108792,False
ContA-LimbicB,0.15998292106722317,False
ContA-SalVentAttnA,0.018631801751506683,False
ContA-SalVentAttnB,0.17179210514027565,False
ContA-SomMotA,-0.07748043794160706,False
ContA-SomMotB,-0.026337187117117192,False
ContA-TempPar,-0.21078696676041808,False
ContA-VisCent,0.0180681098452784,False
ContA-VisPeri,-0.1422831748891022,False
ContB-ContB,0.14625987718445072,True
ContB-ContC,0.16451112543585047,False
ContB-DefaultA,0.17415077789839845,False
ContB-DefaultB,0.12340587086215678,False
ContB-DefaultC,-0.030191960041296387,False
ContB-DorsAttnA,-0.014713215075884642,False
ContB-DorsAttnB,0.024341587703616222,False
ContB-LimbicA,0.14488393134936287,False
ContB-LimbicB,0.08618760457193375,False
ContB-SalVentAttnA,-0.012944112529387517,False
ContB-SalVentAttnB,0.08070934555998531,False
ContB-SomMotA,-0.06629970815026003,False
ContB-SomMotB,-0.05180551040801138,False
ContB-TempPar,-0.04294241384298326,False
ContB-VisCent,0.02139724994876584,False
ContB-VisPeri,-0.09299362880795703,False
ContC-ContC,0.33663380777123053,True
ContC-DefaultA,0.3372232750879185,False
ContC-DefaultB,0.1758434864646412,False
ContC-DefaultC,-0.18048039345790629,False
ContC-DorsAttnA,-0.04081919863446221,False
ContC-DorsAttnB,0.029429346729812622,False
ContC-LimbicA,0.23372626608520924,False
ContC-LimbicB,0.1720503857467722,False
ContC-SalVentAttnA,0.0013744790525300084,False
ContC-SalVentAttnB,0.175864303137256,False
ContC-SomMotA,-0.07100679711546103,False
ContC-SomMotB,-0.08610847361758259,False
ContC-TempPar,-0.18527071958220728,False
ContC-VisCent,0.029706084951851026,False
ContC-VisPeri,-0.09182460565405767,False
DefaultA-DefaultA,0.35823616382255624,True
DefaultA-DefaultB,0.20299592380900472,False
DefaultA-DefaultC,-0.17077048926236252,False
DefaultA-DorsAttnA,-0.06606492152159005,False
DefaultA-DorsAttnB,0.018866345971339668,False
DefaultA-LimbicA,0.2599670121804901,False
DefaultA-LimbicB,0.20697206484709602,False
DefaultA-SalVentAttnA,0.010187996853187603,False
DefaultA-SalVentAttnB,0.20210658443632348,False
DefaultA-SomMotA,-0.08640585636737902,False
DefaultA-SomMotB,-0.08564578419372212,False
DefaultA-TempPar,-0.19461912078067622,False
DefaultA-VisCent,0.034810125490223796,False
DefaultA-VisPeri,-0.12701290799798332,False
DefaultB-DefaultB,0.18936122634688818,True
DefaultB-DefaultC,0.07363083223505293,False
DefaultB-DorsAttnA,-0.07482376647412925,False
DefaultB-DorsAttnB,0.006085629299707971,False
DefaultB-LimbicA,0.11363938987363659,False
DefaultB-LimbicB,0.1232791127539353,False
