network_connection,fc,within_network
ContA-ContA,0.1829258689787321,True
ContA-ContB,0.13297903244470338,False
ContA-ContC,0.13558101717340668,False
ContA-DefaultA,0.12972048758674867,False
ContA-DefaultB,0.13140974946046396,False
ContA-DefaultC,0.0872735960776791,False
ContA-DorsAttnA,-0.002657196613354013,False
ContA-DorsAttnB,0.03818358973026848,False
ContA-LimbicA,0.19858602211077409,False
ContA-LimbicB,0.14257544434716396,False
ContA-SalVentAttnA,0.04668778080782628,False
ContA-SalVentAttnB,0.1593356818291118,False
ContA-SomMotA,-0.04558484935288357,False
ContA-SomMotB,0.00899141658409088,False
ContA-TempPar,0.0411917869725013,False
ContA-VisCent,0.022853692701159237,False
ContA-VisPeri,-0.04121983878683355,False
ContB-ContB,0.18112669135966586,True
ContB-ContC,0.16483410381963579,False
ContB-DefaultA,0.1463553147903625,False
ContB-DefaultB,0.16751176807024631,False
ContB-DefaultC,0.1702019321525368,False
ContB-DorsAttnA,-0.006826043777816504,False
ContB-DorsAttnB,0.05069315209172012,False
ContB-LimbicA,0.15207546442358796,False
ContB-LimbicB,0.15433367022159222,False
ContB-SalVentAttnA,0.023248366890424456,False
ContB-SalVentAttnB,0.11758712348085537,False
ContB-SomMotA,-0.024809216597940817,False
ContB-SomMotB,0.018781199337529437,False
ContB-TempPar,0.14515759531145223,False
ContB-VisCent,0.06443012286362955,False
ContB-VisPeri,-0.03698347519421367,False
ContC-ContC,0.2739563891390282,True
ContC-DefaultA,0.25074169128212775,False
ContC-DefaultB,0.23738517708486465,False
ContC-DefaultC,0.0808790322856574,False
ContC-DorsAttnA,0.017918533855225193,False
ContC-DorsAttnB,0.03801016652465576,False
ContC-LimbicA,0.1923655493158496,False
ContC-LimbicB,0.18834740406897402,False
ContC-SalVentAttnA,0.03162643946959434,False
ContC-SalVentAttnB,0.19298524398393213,False
ContC-SomMotA,-0.027418720943700244,False
ContC-SomMotB,0.009535569295664901,False
ContC-TempPar,0.0670485828827536,False
ContC-VisCent,0.004072290533074724,False
ContC-VisPeri,-0.02171538237285475,False
DefaultA-DefaultA,0.24676014229076382,True
DefaultA-DefaultB,0.24361276595866083,False
DefaultA-DefaultC,0.08239401370768486,False
DefaultA-DorsAttnA,0.01048737350403851,False
DefaultA-DorsAttnB,0.021893595844552537,False
DefaultA-LimbicA,0.18371941218690999,False
DefaultA-LimbicB,0.1757323135812191,False
DefaultA-SalVentAttnA,0.037843324897450445,False
DefaultA-SalVentAttnB,0.18093876034286438,False
DefaultA-SomMotA,-0.041395233561797896,False
DefaultA-SomMotB,0.0028931736573515926,False
DefaultA-TempPar,0.05930595852701027,False
DefaultA-VisCent,0.00015929525202395298,False
DefaultA-VisPeri,-0.048703209403028455,False
DefaultB-DefaultB,0.2829336735872629,True
DefaultB-DefaultC,0.16523220981578313,False
DefaultB-DorsAttnA,0.01321770372653965,False
DefaultB-DorsAttnB,0.010465003386099245,False
DefaultB-LimbicA,0.18115880257831501,False
DefaultB-LimbicB,0.1742054366335814,False
DefaultB-SalVentAttnA,0.026296285947504074,False
DefaultB-SalVentAttnB,0.16708637839295157,False
DefaultB-SomMotA,-0.05380879314030871,False
DefaultB-SomMotB,0.013776262433579316,False
DefaultB-TempPar,0.12798027813897414,False
DefaultB-VisCent,-0.012494832322546551,False
DefaultB-VisPeri,-0.057902007523851884,False
DefaultC-DefaultC,0.3135727416342646,True
DefaultC-DorsAttnA,-0.04028307248380068,False
DefaultC-DorsAttnB,0.048715961688735314,False
DefaultC-LimbicA,0.09500438802221266,False
DefaultC-LimbicB,0.1335259705856885,False
DefaultC-SalVentAttnA,0.020767569880735935,False
DefaultC-SalVentAttnB,0.08536590467431952,False
DefaultC-SomMotA,-0.054024025014339734,False
DefaultC-SomMotB,-0.0034954479978440527,False
DefaultC-TempPar,0.28463849966214505,False
DefaultC-VisCent,0.07131669879430377,False
DefaultC-VisPeri,-0.06080982621832271,False
DorsAttnA-DorsAttnA,0.20123101359326298,True
DorsAttnA-DorsAttnB,0.0623971570053465,False
DorsAttnA-LimbicA,0.04141006025673689,False
DorsAttnA-LimbicB,0.022048508573622904,False
DorsAttnA-SalVentAttnA,0.033321340674043,False
DorsAttnA-SalVentAttnB,0.04377241183403549,False
DorsAttnA-SomMotA,0.02895073587826301,False
DorsAttnA-SomMotB,0.08123661208853979,False
DorsAttnA-TempPar,-0.01538758520824503,False
DorsAttnA-VisCent,-0.05146375485000326,False
