network_connection,fc,within_network
ContA-ContA,0.22744883415084005,True
ContA-ContB,0.23102700679381427,False
ContA-ContC,0.21227845422612568,False
ContA-DefaultA,0.18857692420456393,False
ContA-DefaultB,0.21014713832130905,False
ContA-DefaultC,0.1603925389679271,False
ContA-DorsAttnA,-0.04533931042088838,False
ContA-DorsAttnB,0.08019533498751745,False
ContA-LimbicA,0.24446973498763314,False
ContA-LimbicB,0.13503948353983777,False
ContA-SalVentAttnA,-0.018004874804798437,False
ContA-SalVentAttnB,0.11519251242498392,False
ContA-SomMotA,-0.10076802666345144,False
ContA-SomMotB,-0.09751043532053093,False
ContA-TempPar,0.16944370302090672,False
ContA-VisCent,-0.001449706843045579,False
ContA-VisPeri,-0.10727040677010607,False
ContB-ContB,0.3011705128609092,True
ContB-ContC,0.24655642382890955,False
ContB-DefaultA,0.2027208259106977,False
ContB-DefaultB,0.25980975654046656,False
ContB-DefaultC,0.23298647764004263,False
ContB-DorsAttnA,-0.03475753802818945,False
ContB-DorsAttnB,0.08426238866403281,False
ContB-LimbicA,0.22687347640968317,False
ContB-LimbicB,0.09667956960646192,False
ContB-SalVentAttnA,-0.05272829330836218,False
ContB-SalVentAttnB,0.052971066902418006,False
ContB-SomMotA,-0.10846026455883451,False
ContB-SomMotB,-0.11955671022936482,False
ContB-TempPar,0.2352956580139541,False
ContB-VisCent,0.010092462036720658,False
ContB-VisPeri,-0.1272467286160063,False
ContC-ContC,0.3454068473477947,True
ContC-DefaultA,0.27494554320945186,False
ContC-DefaultB,0.26809796122140833,False
ContC-DefaultC,0.18240816175255767,False
ContC-DorsAttnA,-0.05709055180476567,False
ContC-DorsAttnB,0.103466717818642,False
ContC-LimbicA,0.2569565342960678,False
ContC-LimbicB,0.15425771534692062,False
ContC-SalVentAttnA,-0.027446098918709576,False
ContC-SalVentAttnB,0.1369110103212132,False
ContC-SomMotA,-0.06558166894072431,False
ContC-SomMotB,-0.11894335278480977,False
ContC-TempPar,0.17673482505122065,False
ContC-VisCent,0.0433565573691654,False
ContC-VisPeri,-0.06328525321108805,False
DefaultA-DefaultA,0.24463161689053087,True
DefaultA-DefaultB,0.22965675434466423,False
DefaultA-DefaultC,0.13799508572275332,False
DefaultA-DorsAttnA,-0.053751165565724374,False
DefaultA-DorsAttnB,0.08126922252872203,False
DefaultA-LimbicA,0.2165241520438512,False
DefaultA-LimbicB,0.1453472525367142,False
DefaultA-SalVentAttnA,-0.013464660704513102,False
DefaultA-SalVentAttnB,0.12521885726343412,False
DefaultA-SomMotA,-0.07352330549261063,False
DefaultA-SomMotB,-0.09809232987457407,False
DefaultA-TempPar,0.13267826212463416,False
DefaultA-VisCent,0.022234559842914125,False
DefaultA-VisPeri,-0.07616430046102331,False
DefaultB-DefaultB,0.29232186585267744,True
DefaultB-DefaultC,0.2658574246492105,False
DefaultB-DorsAttnA,-0.08051128499088543,False
DefaultB-DorsAttnB,0.05956927724271063,False
DefaultB-LimbicA,0.21596842241283035,False
DefaultB-LimbicB,0.10477572404409698,False
DefaultB-SalVentAttnA,-0.045478274007626815,False
DefaultB-SalVentAttnB,0.06748869863746375,False
DefaultB-SomMotA,-0.0874312315360457,False
DefaultB-SomMotB,-0.12168245774456168,False
DefaultB-TempPar,0.2554546173998284,False
DefaultB-VisCent,0.015413258020833464,False
DefaultB-VisPeri,-0.09231957548087096,False
