network_connection,fc,within_network
ContA-ContA,0.27498097041994274,True
ContA-ContB,0.22517253014864924,False
ContA-ContC,0.15196717361493356,False
ContA-DefaultA,0.15535605166211733,False
ContA-DefaultB,0.15795887507366088,False
ContA-DefaultC,0.02348129419330317,False
ContA-DorsAttnA,0.03687140904170169,False
ContA-DorsAttnB,0.06927400701430415,False
ContA-LimbicA,0.25865448705085836,False
ContA-LimbicB,0.12752469128075516,False
ContA-SalVentAttnA,-0.017972171670151443,False
ContA-SalVentAttnB,0.12129332683167128,False
ContA-SomMotA,-0.06524480430215598,False
ContA-SomMotB,0.0002035098736693075,False
ContA-TempPar,0.008121272908351582,False
ContA-VisCent,0.04127367477646074,False
ContA-VisPeri,-0.09228612112998912,False
ContB-ContB,0.3109177790635006,True
ContB-ContC,0.15428914799293944,False
ContB-DefaultA,0.1471157368741908,False
ContB-DefaultB,0.21700720378849644,False
ContB-DefaultC,0.17666612636125412,False
ContB-DorsAttnA,0.0037912179285226714,False
ContB-DorsAttnB,0.07273795296164783,False
ContB-LimbicA,0.19996284611021525,False
ContB-LimbicB,0.08752944243657287,False
ContB-SalVentAttnA,-0.07006490035812286,False
ContB-SalVentAttnB,0.04190251741993816,False
ContB-SomMotA,-0.10809366523015584,False
ContB-SomMotB,-0.04562513180447481,False
ContB-TempPar,0.20376080913220426,False
ContB-VisCent,0.04512019423688252,False
ContB-VisPeri,-0.13732225176779303,False
ContC-ContC,0.31301013201395206,True
ContC-DefaultA,0.3607339434091731,False
ContC-DefaultB,0.2665358150525389,False
ContC-DefaultC,-0.0009070151868055861,False
ContC-DorsAttnA,-0.05530183017157875,False
ContC-DorsAttnB,0.0023192408393476753,False
ContC-LimbicA,0.18016183306813488,False
ContC-LimbicB,0.12854132765660242,False
ContC-SalVentAttnA,-0.007329110620935065,False
ContC-SalVentAttnB,0.08434971567809312,False
ContC-SomMotA,0.00836692567212726,False
ContC-SomMotB,-0.03895179228143143,False
ContC-TempPar,-0.05690135851368533,False
ContC-VisCent,0.05707633390818805,False
ContC-VisPeri,-0.019452095142981036,False
DefaultA-DefaultA,0.4085994828040521,True
DefaultA-DefaultB,0.31027475455328724,False
DefaultA-DefaultC,-0.009119652525776196,False
DefaultA-DorsAttnA,-0.061783904108627365,False
DefaultA-DorsAttnB,-0.0080707650283451,False
DefaultA-LimbicA,0.1922007121100744,False
DefaultA-LimbicB,0.13562684632007294,False
DefaultA-SalVentAttnA,-0.004777937866635164,False
DefaultA-SalVentAttnB,0.08565087391280879,False
DefaultA-SomMotA,0.00975934044392637,False
DefaultA-SomMotB,-0.0482751795322815,False
DefaultA-TempPar,-0.08832169075938659,False
DefaultA-VisCent,0.062036315181673574,False
DefaultA-VisPeri,-0.01290741780049972,False
DefaultB-DefaultB,0.32772386065918774,True
DefaultB-DefaultC,0.18040321618917657,False
DefaultB-DorsAttnA,-0.06938146956510319,False
DefaultB-DorsAttnB,-0.0032966521024208125,False
DefaultB-LimbicA,0.17816693988123847,False
DefaultB-LimbicB,0.12621591739368374,False
DefaultB-SalVentAttnA,-0.026926368264013685,False
DefaultB-SalVentAttnB,0.07622615282132571,False
DefaultB-SomMotA,-0.05781300387013903,False
DefaultB-SomMotB,-0.05328887871482529,False
DefaultB-TempPar,0.07749423095779617,False
DefaultB-VisCent,0.04168603746883839,False
DefaultB-VisPeri,-0.06573097939606276,False
DefaultC-DefaultC,0.4236693919148891,True
DefaultC-DorsAttnA,-0.06625777196896991,False
DefaultC-DorsAttnB,0.01929638611253743,False
DefaultC-LimbicA,0.02470912219378236,False
DefaultC-LimbicB,0.0836103983669615,False
DefaultC-SalVentAttnA,-0.008958544240539075,False
DefaultC-SalVentAttnB,0.06825413093902695,False
DefaultC-SomMotA,-0.1015863878281045,False
DefaultC-SomMotB,-0.015455704047501838,False
DefaultC-TempPar,0.37450655681782846,False
DefaultC-VisCent,0.018316373380852735,False
DefaultC-VisPeri,-0.09146964182592254,False
DorsAttnA-DorsAttnA,0.2878920798187952,True
DorsAttnA-DorsAttnB,0.12302065889347218,False
DorsAttnA-LimbicA,0.03203462300381424,False
DorsAttnA-LimbicB,-0.023396961701167854,False
DorsAttnA-SalVentAttnA,0.0516940975086225,False
DorsAttnA-SalVentAttnB,-0.0019133977204527114,False
DorsAttnA-SomMotA,0.08044883663721417,False
DorsAttnA-SomMotB,0.10832297322358654,False
DorsAttnA-TempPar,-0.07167452547925218,False
DorsAttnA-VisCent,0.030578089271548075,False
DorsAttnA-VisPeri,0.03191080890440035,False
DorsAttnB-DorsAttnB,0.13187314986655777,True
DorsAttnB-LimbicA,0.0677822783405123,False
DorsAttnB-LimbicB,0.05645074311136312,False
DorsAttnB-SalVentAttnA,0.019576405226340802,False
DorsAttnB-SalVentAttnB,0.0716840449521455,False
DorsAttnB-SomMotA,0.010725201871357379,False
DorsAttnB-SomMotB,8.081266671208543e-05,False
DorsAttnB-TempPar,0.03866567134741711,False
DorsAttnB-VisCent,0.04971115083271137,False
DorsAttnB-VisPeri,-0.005321488585153419,False
LimbicA-LimbicA,0.23595043936750726,True
LimbicA-LimbicB,0.14265138152716775,False
LimbicA-SalVentAttnA,-0.00795625299926464,False
LimbicA-SalVentAttnB,0.13084054210487275,False
LimbicA-SomMotA,-0.07279407563244829,False
LimbicA-SomMotB,-0.021909306188306513,False
LimbicA-TempPar,-0.010320581325219335,False
LimbicA-VisCent,0.03262644946735245,False
LimbicA-VisPeri,-0.09948590588041066,False
LimbicB-LimbicB,0.14280635827726054,True
LimbicB-SalVentAttnA,0.0342146874364322,False
