network_connection,fc,within_network
ContA-ContA,0.3477133671674166,True
ContA-ContB,0.1525601148504039,False
ContA-ContC,0.09018262665121678,False
ContA-DefaultA,0.1522209150998561,False
ContA-DefaultB,0.15283430869138334,False
ContA-DefaultC,0.12246102749246131,False
ContA-DorsAttnA,-0.1319923966699546,False
ContA-DorsAttnB,0.08080550636866907,False
ContA-LimbicA,0.29746429773117106,False
ContA-LimbicB,0.27197642050317483,False
ContA-SalVentAttnA,0.04035934419043978,False
ContA-SalVentAttnB,0.2835041861975575,False
ContA-SomMotA,-0.2106167466931534,False
ContA-SomMotB,-0.13022234499886726,False
ContA-TempPar,0.021410815455815344,False
ContA-VisCent,-0.026689085801973905,False
ContA-VisPeri,-0.21565015565502946,False
ContB-ContB,0.1928407407356181,True
ContB-ContC,0.06707630143674559,False
ContB-DefaultA,0.06280679951645497,False
ContB-DefaultB,0.09575419370843166,False
ContB-DefaultC,0.11971689665609893,False
ContB-DorsAttnA,-0.052542340869398414,False
ContB-DorsAttnB,0.05878617375163808,False
ContB-LimbicA,0.11893439753256806,False
ContB-LimbicB,0.07431073960815755,False
ContB-SalVentAttnA,-0.037058828845543554,False
ContB-SalVentAttnB,0.035691249904425355,False
ContB-SomMotA,-0.08813963908609694,False
ContB-SomMotB,-0.08251439255082231,False
ContB-TempPar,0.10864286497400824,False
ContB-VisCent,0.008037424328718006,False
ContB-VisPeri,-0.11342334738032803,False
ContC-ContC,0.25175700013591606,True
ContC-DefaultA,0.2387095529587309,False
ContC-DefaultB,0.1118986321470013,False
ContC-DefaultC,-0.09765707407375208,False
ContC-DorsAttnA,-0.07920189880660498,False
ContC-DorsAttnB,0.041327762210128544,False
ContC-LimbicA,0.11060638875608361,False
ContC-LimbicB,0.14898218838824812,False
ContC-SalVentAttnA,0.005142371551929728,False
ContC-SalVentAttnB,0.12836390849014578,False
ContC-SomMotA,0.010909685755945371,False
ContC-SomMotB,-0.07058207873416716,False
ContC-TempPar,-0.0829298232554279,False
ContC-VisCent,0.05512950941841495,False
ContC-VisPeri,-0.0030023402424372366,False
DefaultA-DefaultA,0.2614714907922511,True
DefaultA-DefaultB,0.16394234720350187,False
DefaultA-DefaultC,-0.02926502112567821,False
DefaultA-DorsAttnA,-0.1283764543301601,False
DefaultA-DorsAttnB,0.04391961607083003,False
DefaultA-LimbicA,0.16042985162460574,False
DefaultA-LimbicB,0.21845921584266073,False
DefaultA-SalVentAttnA,0.02059289680731508,False
DefaultA-SalVentAttnB,0.20036463668619883,False
DefaultA-SomMotA,-0.04590169806699728,False
DefaultA-SomMotB,-0.09647503628202274,False
DefaultA-TempPar,-0.047724497993810414,False
DefaultA-VisCent,0.03949780370510192,False
DefaultA-VisPeri,-0.06355865445069299,False
DefaultB-DefaultB,0.20762533517382892,True
DefaultB-DefaultC,0.218283408464204,False
DefaultB-DorsAttnA,-0.16964219684257423,False
DefaultB-DorsAttnB,0.007909582122451185,False
