network_connection,fc,within_network
ContA-ContA,0.35649126785958396,True
ContA-ContB,0.18919878916801094,False
ContA-ContC,0.0848493086853214,False
ContA-DefaultA,0.06918229479197045,False
ContA-DefaultB,0.12364321015983325,False
ContA-DefaultC,0.06806052835879893,False
ContA-DorsAttnA,-0.007015280829299274,False
ContA-DorsAttnB,0.044657456054712746,False
ContA-LimbicA,0.3559666115902098,False
ContA-LimbicB,0.2350716838776222,False
ContA-SalVentAttnA,0.060514103828510905,False
ContA-SalVentAttnB,0.23966838882176358,False
ContA-SomMotA,-0.2002950990044538,False
ContA-SomMotB,-0.017242278473948835,False
ContA-TempPar,0.009004895317777248,False
ContA-VisCent,-0.028955053456717544,False
ContA-VisPeri,-0.20902576716602783,False
ContB-ContB,0.2203383809743983,True
ContB-ContC,0.07053570490752821,False
ContB-DefaultA,0.018902142366075448,False
ContB-DefaultB,0.0984821776922906,False
ContB-DefaultC,0.15643307175076993,False
ContB-DorsAttnA,-0.007100783687244904,False
ContB-DorsAttnB,0.0377663863605999,False
ContB-LimbicA,0.1705312926596527,False
ContB-LimbicB,0.11564341949314935,False
ContB-SalVentAttnA,-0.005208319838091233,False
ContB-SalVentAttnB,0.06618709941646012,False
ContB-SomMotA,-0.11177377977956694,False
ContB-SomMotB,-0.008043079201743476,False
ContB-TempPar,0.11433360352430738,False
ContB-VisCent,0.021066715177464227,False
ContB-VisPeri,-0.13704347458109464,False
ContC-ContC,0.21777542850089263,True
ContC-DefaultA,0.167034938636808,False
ContC-DefaultB,0.11003168065798162,False
ContC-DefaultC,0.033237635829499276,False
ContC-DorsAttnA,-0.0613861099691206,False
ContC-DorsAttnB,0.0048074514150012,False
ContC-LimbicA,0.12443803524749392,False
ContC-LimbicB,0.1845414955757918,False
ContC-SalVentAttnA,0.0341280236574402,False
ContC-SalVentAttnB,0.1933174681360384,False
ContC-SomMotA,-0.05111292938893463,False
ContC-SomMotB,-0.029327041524560154,False
ContC-TempPar,0.012594554062315804,False
ContC-VisCent,-0.01593668030661789,False
ContC-VisPeri,-0.05977346685696174,False
DefaultA-DefaultA,0.17376808256108509,True
DefaultA-DefaultB,0.11356990517709871,False
DefaultA-DefaultC,0.017538151643777276,False
DefaultA-DorsAttnA,-0.06990971766372167,False
DefaultA-DorsAttnB,-0.007733502751577115,False
DefaultA-LimbicA,0.0866688140221366,False
DefaultA-LimbicB,0.16949521358897277,False
DefaultA-SalVentAttnA,0.03462264839014365,False
DefaultA-SalVentAttnB,0.18165076349977563,False
DefaultA-SomMotA,-0.05581783555963044,False
DefaultA-SomMotB,-0.028483460861056194,False
DefaultA-TempPar,0.01125448567641702,False
DefaultA-VisCent,-0.006756289543466547,False
DefaultA-VisPeri,-0.07266770228729796,False
DefaultB-DefaultB,0.19759865212411407,True
DefaultB-DefaultC,0.18822077287984168,False
DefaultB-DorsAttnA,-0.09925707575597749,False
DefaultB-DorsAttnB,-0.039721123406916276,False
DefaultB-LimbicA,0.10718755167350388,False
DefaultB-LimbicB,0.15043670710785736,False
DefaultB-SalVentAttnA,0.008112316049402692,False
DefaultB-SalVentAttnB,0.12779640671612558,False
DefaultB-SomMotA,-0.10279407862978981,False
DefaultB-SomMotB,-0.02773831189931637,False
DefaultB-TempPar,0.04809231000295151,False
DefaultB-VisCent,-0.01943022785587681,False
DefaultB-VisPeri,-0.10756815908171091,False
DefaultC-DefaultC,0.3545869978424388,True
DefaultC-DorsAttnA,-0.094225197197501,False
DefaultC-DorsAttnB,-0.036134718990808966,False
DefaultC-LimbicA,0.02809083822586856,False
DefaultC-LimbicB,0.05063775531057703,False
DefaultC-SalVentAttnA,-0.042913064481888356,False
DefaultC-SalVentAttnB,-0.0037429281161747196,False
DefaultC-SomMotA,-0.08658531736481526,False
