network_connection,fc,within_network
ContA-ContA,0.23276608290972153,True
ContA-ContB,0.23134979600281294,False
ContA-ContC,0.20515066171044913,False
ContA-DefaultA,0.16811852718181328,False
ContA-DefaultB,0.11334570100814113,False
ContA-DefaultC,-0.08237070899307912,False
ContA-DorsAttnA,-0.06344614776416366,False
ContA-DorsAttnB,0.03791703914981138,False
ContA-LimbicA,0.21141486183734898,False
ContA-LimbicB,0.08397692908216349,False
ContA-SalVentAttnA,-0.029748752261400203,False
ContA-SalVentAttnB,0.0705980183652335,False
ContA-SomMotA,-0.03745181837681476,False
ContA-SomMotB,-0.09441328861410112,False
ContA-TempPar,-0.08821609603691516,False
ContA-VisCent,0.05569566934296444,False
ContA-VisPeri,0.011302178965851629,False
ContB-ContB,0.29091781104242526,True
ContB-ContC,0.22443300668704122,False
ContB-DefaultA,0.15591818587633266,False
ContB-DefaultB,0.13995502532406237,False
ContB-DefaultC,0.018967004356098348,False
ContB-DorsAttnA,-0.06098524977705193,False
ContB-DorsAttnB,0.03807733388339224,False
ContB-LimbicA,0.18533652165081327,False
ContB-LimbicB,0.045219453064777024,False
ContB-SalVentAttnA,-0.05687912790049407,False
ContB-SalVentAttnB,0.015081164990356905,False
ContB-SomMotA,-0.04186404085194341,False
ContB-SomMotB,-0.10990753584673245,False
ContB-TempPar,0.005987318816767029,False
ContB-VisCent,0.06480431903256671,False
ContB-VisPeri,-0.00106228871424882,False
ContC-ContC,0.25444265225562906,True
ContC-DefaultA,0.2150224694417386,False
ContC-DefaultB,0.123051902480404,False
ContC-DefaultC,-0.10878344812616013,False
ContC-DorsAttnA,-0.0749779865497818,False
ContC-DorsAttnB,0.02072307144563599,False
ContC-LimbicA,0.19936597170468104,False
ContC-LimbicB,0.0880782320945415,False
ContC-SalVentAttnA,-0.041573262979699294,False
ContC-SalVentAttnB,0.062450837087697046,False
ContC-SomMotA,-0.033146003801598885,False
ContC-SomMotB,-0.09564464586049501,False
ContC-TempPar,-0.125793144590935,False
ContC-VisCent,0.06876112123349495,False
ContC-VisPeri,0.006313612278842657,False
DefaultA-DefaultA,0.19233742930330688,True
DefaultA-DefaultB,0.11438459900890338,False
DefaultA-DefaultC,-0.09450005652562635,False
DefaultA-DorsAttnA,-0.09243479890457461,False
DefaultA-DorsAttnB,0.008351372434991773,False
DefaultA-LimbicA,0.16174246751753207,False
DefaultA-LimbicB,0.09965467947526623,False
DefaultA-SalVentAttnA,-0.020400370743343055,False
DefaultA-SalVentAttnB,0.08688041360811465,False
DefaultA-SomMotA,-0.05491680808304562,False
DefaultA-SomMotB,-0.0793890382598741,False
DefaultA-TempPar,-0.11646585930732008,False
DefaultA-VisCent,0.046857297252571074,False
DefaultA-VisPeri,-0.02143924157130837,False
DefaultB-DefaultB,0.1258941361236416,True
DefaultB-DefaultC,0.10402770544057051,False
DefaultB-DorsAttnA,-0.09641028327942598,False
DefaultB-DorsAttnB,-0.011830371075937261,False
DefaultB-LimbicA,0.08286135713813891,False
DefaultB-LimbicB,0.045348658155594884,False
DefaultB-SalVentAttnA,-0.03268689390894071,False
DefaultB-SalVentAttnB,0.030588008359951117,False
DefaultB-SomMotA,-0.061595765659607164,False
DefaultB-SomMotB,-0.07150515094122921,False
DefaultB-TempPar,0.043314380072835904,False
DefaultB-VisCent,0.029332710895878734,False
