network_connection,fc,within_network
ContA-ContA,0.15541704831349096,True
ContA-ContB,0.06256683716783361,False
ContA-ContC,0.05145387285192319,False
ContA-DefaultA,0.06732406844843397,False
ContA-DefaultB,0.08895177689188104,False
ContA-DefaultC,0.05313924973407417,False
ContA-DorsAttnA,0.04315603115791838,False
ContA-DorsAttnB,0.03467812667345166,False
ContA-LimbicA,0.14339006633690113,False
ContA-LimbicB,0.0797997821431623,False
ContA-SalVentAttnA,0.03821435411081654,False
ContA-SalVentAttnB,0.1039163756618861,False
ContA-SomMotA,-0.012166665875041649,False
ContA-SomMotB,0.048843918372207445,False
ContA-TempPar,0.02413048524074465,False
ContA-VisCent,0.02523174782551812,False
ContA-VisPeri,-0.012609483371298595,False
ContB-ContB,0.16299511546867157,True
ContB-ContC,0.06570742245930232,False
ContB-DefaultA,0.02828905540878201,False
ContB-DefaultB,0.09492897311200567,False
ContB-DefaultC,0.21475592157855067,False
ContB-DorsAttnA,0.06428242588427652,False
ContB-DorsAttnB,0.05039540993282296,False
ContB-LimbicA,0.033283573877885504,False
ContB-LimbicB,0.03947976507919231,False
ContB-SalVentAttnA,0.007803361120111387,False
ContB-SalVentAttnB,0.011181153637342319,False
ContB-SomMotA,-0.01794487149570052,False
ContB-SomMotB,0.03996462930488003,False
ContB-TempPar,0.1379319557267282,False
ContB-VisCent,0.05878472983103095,False
ContB-VisPeri,-0.032545777425453004,False
ContC-ContC,0.17112155934819226,True
ContC-DefaultA,0.12686923664839928,False
ContC-DefaultB,0.09676651632043927,False
ContC-DefaultC,0.043820551466912175,False
ContC-DorsAttnA,0.009993848575068387,False
ContC-DorsAttnB,0.03210611018664678,False
ContC-LimbicA,0.06329770320199844,False
ContC-LimbicB,0.10481849830902357,False
ContC-SalVentAttnA,0.04253984229949369,False
ContC-SalVentAttnB,0.10267862422446854,False
ContC-SomMotA,0.015850286466046363,False
ContC-SomMotB,0.02704482857607423,False
ContC-TempPar,0.004860763753659108,False
ContC-VisCent,0.043693329904104176,False
ContC-VisPeri,0.02310090107190075,False
DefaultA-DefaultA,0.12097240032646008,True
DefaultA-DefaultB,0.09589104511233969,False
DefaultA-DefaultC,0.010343416246503907,False
DefaultA-DorsAttnA,0.006167550265094314,False
DefaultA-DorsAttnB,0.021680036466741597,False
DefaultA-LimbicA,0.07819017761199679,False
DefaultA-LimbicB,0.10050969243323976,False
DefaultA-SalVentAttnA,0.04307884615113852,False
DefaultA-SalVentAttnB,0.11086930563929566,False
DefaultA-SomMotA,0.021598885999433815,False
DefaultA-SomMotB,0.034040022974409515,False
DefaultA-TempPar,-0.010609099861891801,False
DefaultA-VisCent,0.03712581653745592,False
DefaultA-VisPeri,0.03842284278074736,False
DefaultB-DefaultB,0.15197488384822208,True
DefaultB-DefaultC,0.18996739766321047,False
DefaultB-DorsAttnA,0.012604335071767026,False
DefaultB-DorsAttnB,0.018677727223515996,False
DefaultB-LimbicA,0.06638252999221891,False
DefaultB-LimbicB,0.09090781311085848,False
DefaultB-SalVentAttnA,0.03668323913678365,False
DefaultB-SalVentAttnB,0.09504288211814542,False
DefaultB-SomMotA,0.001261144147432219,False
DefaultB-SomMotB,0.03876424375498174,False
DefaultB-TempPar,0.08854924285366335,False
DefaultB-VisCent,0.04167559783267436,False
DefaultB-VisPeri,0.011997193651391236,False
