network_connection,fc,within_network
ContA-ContA,0.2155967666961449,True
ContA-ContB,0.1896299272239595,False
ContA-ContC,0.17415151873601506,False
ContA-DefaultA,0.17729329552222312,False
ContA-DefaultB,0.15373845432549185,False
ContA-DefaultC,-0.04005953472380372,False
ContA-DorsAttnA,-0.02568136208516722,False
ContA-DorsAttnB,0.05541827850979087,False
ContA-LimbicA,0.22065076745577833,False
ContA-LimbicB,0.13605815878332017,False
ContA-SalVentAttnA,-0.006488504752490486,False
ContA-SalVentAttnB,0.10065080712528064,False
ContA-SomMotA,0.029760535648555915,False
ContA-SomMotB,-0.03518811870249616,False
ContA-TempPar,-0.10346480112464058,False
ContA-VisCent,0.06532591060698355,False
ContA-VisPeri,0.022604582383527628,False
ContB-ContB,0.27357255319873974,True
ContB-ContC,0.17618040682155583,False
ContB-DefaultA,0.1400808246624365,False
ContB-DefaultB,0.1206512372194167,False
ContB-DefaultC,0.010312352632360178,False
ContB-DorsAttnA,-0.00388273357472724,False
ContB-DorsAttnB,0.08019149114715932,False
ContB-LimbicA,0.16605430902013313,False
ContB-LimbicB,0.054505886530903117,False
ContB-SalVentAttnA,-0.05370328694531552,False
ContB-SalVentAttnB,0.00045734104634808346,False
ContB-SomMotA,0.04552117836613148,False
ContB-SomMotB,-0.0694584214047896,False
ContB-TempPar,0.01931151109329346,False
ContB-VisCent,0.08608948778461753,False
ContB-VisPeri,0.032411635890630404,False
ContC-ContC,0.31673668829775947,True
ContC-DefaultA,0.3068729745381057,False
ContC-DefaultB,0.18294399059120195,False
ContC-DefaultC,-0.10781821344108984,False
ContC-DorsAttnA,-0.039809349164470965,False
ContC-DorsAttnB,0.06599252496800372,False
ContC-LimbicA,0.20898626285530256,False
ContC-LimbicB,0.17784660386502862,False
ContC-SalVentAttnA,0.006103571426202561,False
ContC-SalVentAttnB,0.12256515229741571,False
ContC-SomMotA,0.09688700990136365,False
ContC-SomMotB,-0.005115837520421048,False
ContC-TempPar,-0.10543707045285479,False
ContC-VisCent,0.10805088312634782,False
ContC-VisPeri,0.09852702025495119,False
DefaultA-DefaultA,0.3271346709675245,True
DefaultA-DefaultB,0.20416299321463285,False
DefaultA-DefaultC,-0.11457358687898099,False
DefaultA-DorsAttnA,-0.06356774736898621,False
DefaultA-DorsAttnB,0.047359467133732965,False
DefaultA-LimbicA,0.201417290040049,False
DefaultA-LimbicB,0.1969775766051525,False
DefaultA-SalVentAttnA,0.006750492073838464,False
DefaultA-SalVentAttnB,0.13361873482246744,False
DefaultA-SomMotA,0.09164564342016142,False
DefaultA-SomMotB,0.0014190829816520404,False
DefaultA-TempPar,-0.13638558416780255,False
DefaultA-VisCent,0.11443555541366156,False
DefaultA-VisPeri,0.08256657476677239,False
DefaultB-DefaultB,0.21948326180570946,True
DefaultB-DefaultC,0.0910140964825197,False
DefaultB-DorsAttnA,-0.07047786290893208,False
DefaultB-DorsAttnB,-0.011913789188232828,False
DefaultB-LimbicA,0.15975402387893414,False
DefaultB-LimbicB,0.14684235779412844,False
DefaultB-SalVentAttnA,-0.008907819383600933,False
DefaultB-SalVentAttnB,0.09496062408284003,False
DefaultB-SomMotA,-0.01987290216676618,False
DefaultB-SomMotB,-0.031455226037137365,False
DefaultB-TempPar,-0.0933168473370542,False
DefaultB-VisCent,0.02691665055838564,False
DefaultB-VisPeri,-0.025029985332056776,False
DefaultC-DefaultC,0.40585874694807716,True
DefaultC-DorsAttnA,-0.059759180731483605,False
DefaultC-DorsAttnB,-0.11403959487956847,False
DefaultC-LimbicA,-0.07915149583441423,False
DefaultC-LimbicB,-0.0185209508275162,False
DefaultC-SalVentAttnA,-0.030737951083058088,False
DefaultC-SalVentAttnB,-0.029907586076124194,False
DefaultC-SomMotA,-0.1867804054671276,False
DefaultC-SomMotB,-0.045143243856679116,False
DefaultC-TempPar,0.2034059582722726,False
DefaultC-VisCent,-0.11388449334356156,False
DefaultC-VisPeri,-0.18556903768771715,False
DorsAttnA-DorsAttnA,0.2479454625764552,True
DorsAttnA-DorsAttnB,0.06291265161464596,False
DorsAttnA-LimbicA,-0.027669744404727747,False
DorsAttnA-LimbicB,-0.08032144024873034,False
DorsAttnA-SalVentAttnA,0.04171378007703057,False
DorsAttnA-SalVentAttnB,-0.02721517154317499,False
DorsAttnA-SomMotA,0.03495555927069296,False
DorsAttnA-SomMotB,0.07294214382587655,False
DorsAttnA-TempPar,-0.03122811038539461,False
DorsAttnA-VisCent,-0.01647064621600844,False
DorsAttnA-VisPeri,0.018896320645699762,False
DorsAttnB-DorsAttnB,0.09902019758755909,True
DorsAttnB-LimbicA,0.05950502840715218,False
DorsAttnB-LimbicB,0.022298497676056774,False
DorsAttnB-SalVentAttnA,0.019970267042868448,False
DorsAttnB-SalVentAttnB,0.03923947952809154,False
DorsAttnB-SomMotA,0.058371133390079016,False
DorsAttnB-SomMotB,0.001401198246088029,False
DorsAttnB-TempPar,-0.048197876630841525,False
DorsAttnB-VisCent,0.05835638133691906,False
DorsAttnB-VisPeri,0.06075559638449247,False
LimbicA-LimbicA,0.22272615399946702,True
LimbicA-LimbicB,0.1657589808265911,False
LimbicA-SalVentAttnA,0.01114881981311928,False
LimbicA-SalVentAttnB,0.12939114044310845,False
LimbicA-SomMotA,0.042876851220284694,False
LimbicA-SomMotB,-0.021551953826684803,False
LimbicA-TempPar,-0.14725906843500286,False
LimbicA-VisCent,0.06889909245509981,False
LimbicA-VisPeri,0.041406514166037314,False
LimbicB-LimbicB,0.22259251035140756,True
LimbicB-SalVentAttnA,0.05107146341107402,False
LimbicB-SalVentAttnB,0.2040393226902496,False
LimbicB-SomMotA,-0.02153611798710355,False
LimbicB-SomMotB,0.012858582682669279,False
LimbicB-TempPar,-0.12893232581570027,False
LimbicB-VisCent,0.037529316295337185,False
LimbicB-VisPeri,-0.008497390753833893,False
SalVentAttnA-SalVentAttnA,0.08154140961880357,True
SalVentAttnA-SalVentAttnB,0.08319941822883854,False
SalVentAttnA-SomMotA,0.0041273143519233715,False
SalVentAttnA-SomMotB,0.06582584729785938,False
SalVentAttnA-TempPar,-0.05491983241723379,False
SalVentAttnA-VisCent,-0.018183423187201873,False
SalVentAttnA-VisPeri,0.017852403975935554,False
SalVentAttnB-SalVentAttnB,0.2202711814632995,True
SalVentAttnB-SomMotA,-0.028212440705387174,False
SalVentAttnB-SomMotB,0.03175634077862421,False
SalVentAttnB-TempPar,-0.11942320810527983,False
SalVentAttnB-VisCent,0.00760612028203184,False
SalVentAttnB-VisPeri,-0.0039080662131839375,False
SomMotA-SomMotA,0.19859892876680266,True
SomMotA-SomMotB,0.06721340275870216,False
SomMotA-TempPar,-0.07817817297533035,False
SomMotA-VisCent,0.1372370689066593,False
SomMotA-VisPeri,0.2101794693717154,False
SomMotB-SomMotB,0.11701783100008707,True
SomMotB-TempPar,-0.046029779588222755,False
SomMotB-VisCent,0.034924479489541416,False
SomMotB-VisPeri,0.07284043674810968,False
TempPar-TempPar,0.4047741785222667,True
TempPar-VisCent,-0.06732352357696593,False
TempPar-VisPeri,-0.08433708242523417,False
VisCent-VisCent,0.14426605119400457,True
VisCent-VisPeri,0.13521643152880916,False
VisPeri-VisPeri,0.24791098652215604,True
