network_connection,fc,within_network
ContA-ContA,0.2462576695912109,True
ContA-ContB,0.13415010526799667,False
ContA-ContC,0.03648333626369948,False
ContA-DefaultA,0.10260590541910355,False
ContA-DefaultB,0.12149641793538644,False
ContA-DefaultC,0.029404396724528443,False
ContA-DorsAttnA,0.07756731734068578,False
ContA-DorsAttnB,0.05932039943795238,False
ContA-LimbicA,0.25406568320750617,False
ContA-LimbicB,0.10432911320514553,False
ContA-SalVentAttnA,0.059374094334127075,False
ContA-SalVentAttnB,0.16898656862959324,False
ContA-SomMotA,-0.0787142728122586,False
ContA-SomMotB,-0.022359402120270443,False
ContA-TempPar,0.006149279667291845,False
ContA-VisCent,-0.08409570158116542,False
ContA-VisPeri,-0.060424617446238726,False
ContB-ContB,0.16244299919066849,True
ContB-ContC,0.09034718074359331,False
ContB-DefaultA,0.055387473168508325,False
ContB-DefaultB,0.08243819400884846,False
ContB-DefaultC,0.12321968512607126,False
ContB-DorsAttnA,0.07974870985521489,False
ContB-DorsAttnB,0.08402751215825466,False
ContB-LimbicA,0.10062821442482804,False
ContB-LimbicB,0.04266559265987091,False
ContB-SalVentAttnA,0.03506476243501159,False
ContB-SalVentAttnB,0.07168443646807648,False
ContB-SomMotA,-0.030754154476768197,False
ContB-SomMotB,0.010383877311300345,False
ContB-TempPar,0.1422729102218361,False
ContB-VisCent,-0.006142214462465356,False
ContB-VisPeri,-0.03189216014691034,False
ContC-ContC,0.19356492161962652,True
ContC-DefaultA,0.12704712161189222,False
ContC-DefaultB,0.08095698939674169,False
ContC-DefaultC,0.009973930944224092,False
ContC-DorsAttnA,-0.0031700333415442873,False
ContC-DorsAttnB,0.04153780305241652,False
ContC-LimbicA,0.07150976747964274,False
ContC-LimbicB,0.09514366610685276,False
ContC-SalVentAttnA,0.024044167990860982,False
ContC-SalVentAttnB,0.08951418665241513,False
ContC-SomMotA,0.02004354201615075,False
ContC-SomMotB,0.03293297839869802,False
ContC-TempPar,0.036141065872814904,False
ContC-VisCent,0.056294922586152256,False
ContC-VisPeri,0.060914427059034625,False
DefaultA-DefaultA,0.17055106260350314,True
DefaultA-DefaultB,0.16992011639758253,False
DefaultA-DefaultC,0.04645570848739699,False
DefaultA-DorsAttnA,-0.013736758300476316,False
DefaultA-DorsAttnB,0.007411108732008297,False
DefaultA-LimbicA,0.1223558736967989,False
DefaultA-LimbicB,0.13661128141349388,False
DefaultA-SalVentAttnA,0.031254027966755846,False
DefaultA-SalVentAttnB,0.11804521185584935,False
DefaultA-SomMotA,-0.017711166744934267,False
DefaultA-SomMotB,0.03227698975015338,False
DefaultA-TempPar,-0.026125197267400747,False
DefaultA-VisCent,0.03896322637372507,False
DefaultA-VisPeri,0.014294176161558422,False
DefaultB-DefaultB,0.2495916307990655,True
DefaultB-DefaultC,0.19150324879237982,False
DefaultB-DorsAttnA,-0.01773359666453727,False
DefaultB-DorsAttnB,-0.009198639699825139,False
DefaultB-LimbicA,0.09497558670676655,False
DefaultB-LimbicB,0.12162832308315119,False
DefaultB-SalVentAttnA,0.020843473905152718,False
DefaultB-SalVentAttnB,0.06717904431434932,False
DefaultB-SomMotA,-0.042719487710106155,False
DefaultB-SomMotB,0.04067136802443774,False
DefaultB-TempPar,0.03268183753241223,False
DefaultB-VisCent,0.03090673885869252,False
DefaultB-VisPeri,-0.04597176600297469,False
DefaultC-DefaultC,0.38974513061118565,True
DefaultC-DorsAttnA,-0.0005885900724356857,False
DefaultC-DorsAttnB,0.01230177310929426,False
DefaultC-LimbicA,-0.04534412700036095,False
DefaultC-LimbicB,0.016650869538425487,False
DefaultC-SalVentAttnA,0.011323175891940063,False
DefaultC-SalVentAttnB,-0.04962390488228459,False
DefaultC-SomMotA,0.010653638701463023,False
DefaultC-SomMotB,0.10181440601109504,False
DefaultC-TempPar,0.26609693094165,False
DefaultC-VisCent,0.09580085494593837,False
DefaultC-VisPeri,-0.030111063571168065,False
DorsAttnA-DorsAttnA,0.22672361558109133,True
DorsAttnA-DorsAttnB,0.0934872995044265,False
DorsAttnA-LimbicA,0.049240543765176586,False
DorsAttnA-LimbicB,-0.0341246176479552,False
DorsAttnA-SalVentAttnA,0.06527490371310386,False
DorsAttnA-SalVentAttnB,0.047338158637937125,False
DorsAttnA-SomMotA,0.01944947402064252,False
DorsAttnA-SomMotB,0.06597778537819234,False
DorsAttnA-TempPar,0.05776586817414197,False
DorsAttnA-VisCent,-0.03935664879188274,False
DorsAttnA-VisPeri,0.004679042915898592,False
DorsAttnB-DorsAttnB,0.10996230766758716,True
DorsAttnB-LimbicA,0.04926142961176038,False
DorsAttnB-LimbicB,0.010816092648698431,False
DorsAttnB-SalVentAttnA,0.049037952123849315,False
DorsAttnB-SalVentAttnB,0.06848448455425316,False
DorsAttnB-SomMotA,0.026436886758992372,False
DorsAttnB-SomMotB,0.00921298207275501,False
DorsAttnB-TempPar,0.08363921946166415,False
DorsAttnB-VisCent,0.024374074099787767,False
DorsAttnB-VisPeri,0.023815725809405115,False
LimbicA-LimbicA,0.2918448941928389,True
LimbicA-LimbicB,0.14241814234837766,False
LimbicA-SalVentAttnA,0.0651093934410873,False
LimbicA-SalVentAttnB,0.21894005406996345,False
LimbicA-SomMotA,-0.0794646992191556,False
LimbicA-SomMotB,-0.01963222828632367,False
LimbicA-TempPar,-0.07337070854341235,False
LimbicA-VisCent,-0.09320114231433509,False
LimbicA-VisPeri,-0.05397191168584016,False
LimbicB-LimbicB,0.19300907422940425,True
LimbicB-SalVentAttnA,0.07272914189957627,False
LimbicB-SalVentAttnB,0.18665194898891313,False
LimbicB-SomMotA,-0.061513484572978595,False
LimbicB-SomMotB,0.01979293476845847,False
LimbicB-TempPar,-0.0737838483533307,False
LimbicB-VisCent,0.030615601375656585,False
LimbicB-VisPeri,-0.050289043637806445,False
SalVentAttnA-SalVentAttnA,0.07701500301813428,True
SalVentAttnA-SalVentAttnB,0.10636356722168004,False
SalVentAttnA-SomMotA,-0.001992400605442278,False
SalVentAttnA-SomMotB,0.04970157477838146,False
SalVentAttnA-TempPar,-0.008849709852523473,False
SalVentAttnA-VisCent,0.005227441891034825,False
SalVentAttnA-VisPeri,-0.0013534723116070994,False
SalVentAttnB-SalVentAttnB,0.23699253693630803,True
SalVentAttnB-SomMotA,-0.07266500763906317,False
SalVentAttnB-SomMotB,-0.000156994500309114,False
SalVentAttnB-TempPar,-0.06385251186267127,False
SalVentAttnB-VisCent,-0.026689759169597673,False
SalVentAttnB-VisPeri,-0.038595186434837545,False
SomMotA-SomMotA,0.16526690728955087,True
SomMotA-SomMotB,0.11500000718660587,False
SomMotA-TempPar,0.037272876751301864,False
SomMotA-VisCent,0.1203965200201095,False
SomMotA-VisPeri,0.19288716309657453,False
SomMotB-SomMotB,0.18578573528997483,True
SomMotB-TempPar,0.04512827297679773,False
SomMotB-VisCent,0.11596586294124434,False
SomMotB-VisPeri,0.12821741147858268,False
TempPar-TempPar,0.5340050787621959,True
TempPar-VisCent,0.07211577996171516,False
TempPar-VisPeri,0.06337128990289707,False
VisCent-VisCent,0.18620693991811757,True
VisCent-VisPeri,0.15192078663317596,False
VisPeri-VisPeri,0.3184018496466015,True
