network_connection,fc,within_network
ContA-ContA,0.34227628074263466,True
ContA-ContB,0.17732156440076002,False
ContA-ContC,0.06546438524407702,False
ContA-DefaultA,0.09243917814580674,False
ContA-DefaultB,0.09271101123677995,False
ContA-DefaultC,0.012557216886580555,False
ContA-DorsAttnA,-0.05761290183064245,False
ContA-DorsAttnB,0.07150692204250318,False
ContA-LimbicA,0.32493550604052457,False
ContA-LimbicB,0.20982789838418092,False
ContA-SalVentAttnA,0.0041826179568255585,False
ContA-SalVentAttnB,0.2079070508857552,False
ContA-SomMotA,-0.1137518708912623,False
ContA-SomMotB,-0.054417055572834126,False
ContA-TempPar,-0.010243397948991588,False
ContA-VisCent,-0.028353954722423316,False
ContA-VisPeri,-0.1463671152185494,False
ContB-ContB,0.1864085690096502,True
ContB-ContC,0.049602995221649744,False
ContB-DefaultA,0.0474915568424544,False
ContB-DefaultB,0.09953463070199944,False
ContB-DefaultC,0.14029413442890776,False
ContB-DorsAttnA,-0.03681741562918122,False
ContB-DorsAttnB,0.059903447245426775,False
ContB-LimbicA,0.14036634588752617,False
ContB-LimbicB,0.08893537076597434,False
ContB-SalVentAttnA,-0.04694462420778281,False
ContB-SalVentAttnB,0.04729906702705577,False
ContB-SomMotA,-0.0783155871925106,False
ContB-SomMotB,-0.04170410870338805,False
ContB-TempPar,0.1070768969352718,False
ContB-VisCent,0.007771846110621239,False
ContB-VisPeri,-0.10558934440949976,False
ContC-ContC,0.2372148951273509,True
ContC-DefaultA,0.16926334411635086,False
ContC-DefaultB,0.05663012746084536,False
ContC-DefaultC,-0.05894345190007774,False
ContC-DorsAttnA,-0.037444977628778436,False
ContC-DorsAttnB,0.03794212409190018,False
ContC-LimbicA,0.1220065860207286,False
ContC-LimbicB,0.14423343453785498,False
ContC-SalVentAttnA,0.034554587510113664,False
ContC-SalVentAttnB,0.17673628488546267,False
ContC-SomMotA,-0.024954363440553805,False
ContC-SomMotB,-0.05653465759698358,False
ContC-TempPar,-0.07852417034158755,False
ContC-VisCent,0.006218557389204704,False
ContC-VisPeri,-0.033267666921826144,False
DefaultA-DefaultA,0.17814400672063269,True
DefaultA-DefaultB,0.10249134055350971,False
DefaultA-DefaultC,-0.04263548583111798,False
DefaultA-DorsAttnA,-0.026106246078985297,False
DefaultA-DorsAttnB,0.037848779602922406,False
DefaultA-LimbicA,0.10693398113410289,False
DefaultA-LimbicB,0.10274144405862887,False
DefaultA-SalVentAttnA,0.007250254015723439,False
DefaultA-SalVentAttnB,0.10161728016309637,False
DefaultA-SomMotA,-0.005474806651438805,False
DefaultA-SomMotB,-0.03517314166918066,False
DefaultA-TempPar,-0.0742957800199747,False
DefaultA-VisCent,0.02152201530401695,False
DefaultA-VisPeri,-0.02247537480281762,False
DefaultB-DefaultB,0.17684051158995795,True
DefaultB-DefaultC,0.19083282971082866,False
DefaultB-DorsAttnA,-0.07304376907915225,False
DefaultB-DorsAttnB,-0.0030551650909806465,False
DefaultB-LimbicA,0.052180492140625666,False
DefaultB-LimbicB,0.054960504624839306,False
DefaultB-SalVentAttnA,-0.03589234588624538,False
DefaultB-SalVentAttnB,0.022037534746296054,False
DefaultB-SomMotA,-0.05103058983122916,False
DefaultB-SomMotB,-0.04338133405438639,False
DefaultB-TempPar,0.08323656199163935,False
DefaultB-VisCent,0.0052522845578115394,False
DefaultB-VisPeri,-0.06593864479671117,False
DefaultC-DefaultC,0.4708061360837966,True
DefaultC-DorsAttnA,-0.12076418087584352,False
DefaultC-DorsAttnB,-0.024793354305222667,False
DefaultC-LimbicA,-0.052756266997967066,False
DefaultC-LimbicB,-0.01954685793066178,False
DefaultC-SalVentAttnA,-0.08017541531999224,False
DefaultC-SalVentAttnB,-0.09210101851257922,False
DefaultC-SomMotA,-0.0720559139105613,False
DefaultC-SomMotB,-0.042721540158394404,False
DefaultC-TempPar,0.32473205697892893,False
DefaultC-VisCent,0.01909134604233968,False
DefaultC-VisPeri,-0.0641453920893602,False
DorsAttnA-DorsAttnA,0.2265405092738973,True
DorsAttnA-DorsAttnB,0.0790169961232983,False
DorsAttnA-LimbicA,-0.03873291368722126,False
DorsAttnA-LimbicB,-0.04450551346103791,False
DorsAttnA-SalVentAttnA,0.039173081251009614,False
DorsAttnA-SalVentAttnB,-0.031874974216336546,False
DorsAttnA-SomMotA,0.022064795352521524,False
DorsAttnA-SomMotB,0.05276516084329421,False
DorsAttnA-TempPar,-0.08550852680228624,False
DorsAttnA-VisCent,0.00639000514582962,False
DorsAttnA-VisPeri,-0.0005154149360695503,False
DorsAttnB-DorsAttnB,0.14065039071088464,True
DorsAttnB-LimbicA,0.09192608567126825,False
DorsAttnB-LimbicB,0.0712383434734981,False
DorsAttnB-SalVentAttnA,0.023108663840351987,False
DorsAttnB-SalVentAttnB,0.08055513674978622,False
