network_connection,fc,within_network
ContA-ContA,0.279046111135601,True
ContA-ContB,0.20491131114680886,False
ContA-ContC,0.16433898738594044,False
ContA-DefaultA,0.1706969137802305,False
ContA-DefaultB,0.12278105190713495,False
ContA-DefaultC,0.010322244086426891,False
ContA-DorsAttnA,-0.005936329246284624,False
ContA-DorsAttnB,0.08033740066265231,False
ContA-LimbicA,0.27251372363853554,False
ContA-LimbicB,0.1778717893917788,False
ContA-SalVentAttnA,-0.001789523796195319,False
ContA-SalVentAttnB,0.1528214142565001,False
ContA-SomMotA,-0.009122044149772988,False
ContA-SomMotB,-0.06548801807198616,False
ContA-TempPar,0.056500697544450564,False
ContA-VisCent,0.08285833193949484,False
ContA-VisPeri,0.04218379413856167,False
ContB-ContB,0.21885078273284037,True
ContB-ContC,0.1136851788040691,False
ContB-DefaultA,0.08808162148195198,False
ContB-DefaultB,0.06743801527201274,False
ContB-DefaultC,0.05536537424281022,False
ContB-DorsAttnA,0.017365893110405185,False
ContB-DorsAttnB,0.09134183926480333,False
ContB-LimbicA,0.1890808415730578,False
ContB-LimbicB,0.10383502942502074,False
ContB-SalVentAttnA,-0.033266391461284975,False
ContB-SalVentAttnB,0.06328690681829144,False
ContB-SomMotA,-0.04147887443159003,False
ContB-SomMotB,-0.07611859267894329,False
ContB-TempPar,0.13580678446789576,False
ContB-VisCent,0.05048707473107608,False
ContB-VisPeri,-0.025167758326466567,False
ContC-ContC,0.31931040941897937,True
ContC-DefaultA,0.3072119615084069,False
ContC-DefaultB,0.20181940408813284,False
ContC-DefaultC,-0.02312257005270984,False
ContC-DorsAttnA,-0.057986661154542735,False
ContC-DorsAttnB,0.05048210419977956,False
ContC-LimbicA,0.2067085547402737,False
ContC-LimbicB,0.2367799669533102,False
ContC-SalVentAttnA,0.036052540477002994,False
ContC-SalVentAttnB,0.20732148339679235,False
ContC-SomMotA,0.06449826776793152,False
ContC-SomMotB,-0.026004738598927497,False
ContC-TempPar,0.007863290128298549,False
ContC-VisCent,0.11379382883561297,False
ContC-VisPeri,0.12366564362265214,False
DefaultA-DefaultA,0.3266156152524768,True
DefaultA-DefaultB,0.23512962511279448,False
DefaultA-DefaultC,-0.013263958581839368,False
DefaultA-DorsAttnA,-0.06438417390772369,False
DefaultA-DorsAttnB,0.03527443681204881,False
DefaultA-LimbicA,0.20054498660811132,False
DefaultA-LimbicB,0.23940993221101875,False
DefaultA-SalVentAttnA,0.0448313399980181,False
DefaultA-SalVentAttnB,0.19849654703297237,False
DefaultA-SomMotA,0.08187077666313568,False
DefaultA-SomMotB,-0.012074632879958042,False
DefaultA-TempPar,-0.010994288254182869,False
DefaultA-VisCent,0.1310903349142654,False
DefaultA-VisPeri,0.13854043051481643,False
DefaultB-DefaultB,0.23523849439847333,True
DefaultB-DefaultC,0.12569871314578268,False
DefaultB-DorsAttnA,-0.08687328545195391,False
DefaultB-DorsAttnB,-0.01013739151547495,False
DefaultB-LimbicA,0.12907580414632347,False
DefaultB-LimbicB,0.16365883949204477,False
DefaultB-SalVentAttnA,0.01775396940729382,False
DefaultB-SalVentAttnB,0.11903764341844258,False
DefaultB-SomMotA,0.03349509270736266,False
DefaultB-SomMotB,0.005627508457870918,False
DefaultB-TempPar,0.06561552671935615,False
DefaultB-VisCent,0.08733775250885377,False
DefaultB-VisPeri,0.07069711083258297,False
DefaultC-DefaultC,0.2728919101601838,True
DefaultC-DorsAttnA,-0.07900143270719197,False
DefaultC-DorsAttnB,-0.02768544463001478,False
DefaultC-LimbicA,0.0038769844827868704,False
DefaultC-LimbicB,0.02779961644536994,False
DefaultC-SalVentAttnA,-0.029251386921269336,False
DefaultC-SalVentAttnB,-0.0025346360022798836,False
DefaultC-SomMotA,-0.09089014212344895,False
DefaultC-SomMotB,-0.0047678828319994366,False
DefaultC-TempPar,0.22339369591637276,False
DefaultC-VisCent,-0.011163886846768821,False
DefaultC-VisPeri,-0.09480708102204888,False
