network_connection,fc,within_network
ContA-ContA,0.19387793222827965,True
ContA-ContB,0.10765027197040257,False
ContA-ContC,0.15177861986462585,False
ContA-DefaultA,0.17735409161927504,False
ContA-DefaultB,0.1257407404428964,False
ContA-DefaultC,-0.03608871214428297,False
ContA-DorsAttnA,-0.04095031141622193,False
ContA-DorsAttnB,0.08310482872718618,False
ContA-LimbicA,0.22746063884415932,False
ContA-LimbicB,0.1682135946226707,False
ContA-SalVentAttnA,0.029916554272134393,False
ContA-SalVentAttnB,0.18195748139782275,False
ContA-SomMotA,-0.06302306936906572,False
ContA-SomMotB,-0.04383603162256148,False
ContA-TempPar,-0.0772505856571211,False
ContA-VisCent,0.06338721158232903,False
ContA-VisPeri,-0.031685803806953156,False
ContB-ContB,0.12048213571104273,True
ContB-ContC,0.1392101771315218,False
ContB-DefaultA,0.12653657783264194,False
ContB-DefaultB,0.10954478918816707,False
ContB-DefaultC,0.027827924633858758,False
ContB-DorsAttnA,0.005376829689638186,False
ContB-DorsAttnB,0.07827192080826464,False
ContB-LimbicA,0.11216828420505397,False
ContB-LimbicB,0.11027654541184517,False
ContB-SalVentAttnA,0.02293110406263898,False
ContB-SalVentAttnB,0.09605687007566456,False
ContB-SomMotA,-0.03506943284641091,False
ContB-SomMotB,-0.030203789308271795,False
ContB-TempPar,-0.005037835565709172,False
ContB-VisCent,0.06451032159345799,False
ContB-VisPeri,-0.01684153138473533,False
ContC-ContC,0.3290295140419906,True
ContC-DefaultA,0.29960025466991924,False
ContC-DefaultB,0.19423443478415028,False
ContC-DefaultC,-0.03759487951970411,False
ContC-DorsAttnA,-0.07155846828182634,False
ContC-DorsAttnB,0.06816906763031373,False
ContC-LimbicA,0.20327513865582594,False
ContC-LimbicB,0.1971832387084394,False
ContC-SalVentAttnA,0.04476118593651425,False
ContC-SalVentAttnB,0.20779759188934507,False
ContC-SomMotA,-0.04188457131708433,False
ContC-SomMotB,-0.08491537910817386,False
ContC-TempPar,-0.10361397880747047,False
ContC-VisCent,0.07697372325104249,False
ContC-VisPeri,0.007060180346489975,False
DefaultA-DefaultA,0.33154712666373404,True
DefaultA-DefaultB,0.2406276986607536,False
DefaultA-DefaultC,-0.05804440126328468,False
DefaultA-DorsAttnA,-0.10081899237054667,False
DefaultA-DorsAttnB,0.062169865469945275,False
DefaultA-LimbicA,0.21295455072679725,False
DefaultA-LimbicB,0.2036973646141803,False
DefaultA-SalVentAttnA,0.022331660979547238,False
DefaultA-SalVentAttnB,0.17454362235619442,False
DefaultA-SomMotA,-0.041926661287136034,False
DefaultA-SomMotB,-0.09763604531272459,False
DefaultA-TempPar,-0.14203832220743073,False
DefaultA-VisCent,0.09021259364883187,False
DefaultA-VisPeri,-0.011038440666741686,False
DefaultB-DefaultB,0.23724741304844052,True
DefaultB-DefaultC,0.10988560745722589,False
DefaultB-DorsAttnA,-0.12414231417172247,False
DefaultB-DorsAttnB,0.01332745946807287,False
DefaultB-LimbicA,0.13513218621100406,False
DefaultB-LimbicB,0.16156877210913628,False
DefaultB-SalVentAttnA,0.02305346578332003,False
DefaultB-SalVentAttnB,0.1274723791574467,False
DefaultB-SomMotA,-0.06308636022811155,False
DefaultB-SomMotB,-0.0777681444478144,False
DefaultB-TempPar,-0.07133852802273402,False
DefaultB-VisCent,0.055619706270783255,False
DefaultB-VisPeri,-0.04443812280363289,False
DefaultC-DefaultC,0.38140785236115265,True
DefaultC-DorsAttnA,-0.11095792246624855,False
DefaultC-DorsAttnB,-0.08292044581306066,False
DefaultC-LimbicA,-0.04624873415224182,False
DefaultC-LimbicB,0.030080908633398053,False
DefaultC-SalVentAttnA,0.03118499580403592,False
DefaultC-SalVentAttnB,0.03614474806301433,False
DefaultC-SomMotA,-0.06880199775593163,False
DefaultC-SomMotB,-0.0011682668843175704,False
DefaultC-TempPar,0.2072179885157724,False
DefaultC-VisCent,-0.0378278614588303,False
DefaultC-VisPeri,-0.0635123264101664,False
DorsAttnA-DorsAttnA,0.2948855360798158,True
DorsAttnA-DorsAttnB,0.10967396982491455,False
DorsAttnA-LimbicA,-0.046257713577539404,False
DorsAttnA-LimbicB,-0.07391600718491825,False
DorsAttnA-SalVentAttnA,0.019783801498143027,False
DorsAttnA-SalVentAttnB,-0.06739928861842698,False
DorsAttnA-SomMotA,0.09095845632853033,False
DorsAttnA-SomMotB,0.10273169640002137,False
