network_connection,fc,within_network
ContA-ContA,0.20397482348795312,True
ContA-ContB,0.1747071850779592,False
ContA-ContC,0.10567174242318586,False
ContA-DefaultA,0.1102173256325748,False
ContA-DefaultB,0.12803027120885888,False
ContA-DefaultC,0.11594827935831156,False
ContA-DorsAttnA,0.009092089244183464,False
ContA-DorsAttnB,0.03475470973180016,False
ContA-LimbicA,0.21177398871364142,False
ContA-LimbicB,0.09349915382332986,False
ContA-SalVentAttnA,-0.04667574973909906,False
ContA-SalVentAttnB,0.10261066492559918,False
ContA-SomMotA,-0.11589750621479095,False
ContA-SomMotB,-0.08647442707801777,False
ContA-TempPar,0.10021849688534597,False
ContA-VisCent,0.009779309564705328,False
ContA-VisPeri,-0.17908518258588926,False
ContB-ContB,0.19970143494817977,True
ContB-ContC,0.16275332587976277,False
ContB-DefaultA,0.1553652152985296,False
ContB-DefaultB,0.1871275264906866,False
ContB-DefaultC,0.1873796946960809,False
ContB-DorsAttnA,-0.009882541350522921,False
ContB-DorsAttnB,0.031023525674552355,False
ContB-LimbicA,0.1944873633457544,False
ContB-LimbicB,0.09271853120945284,False
ContB-SalVentAttnA,-0.06758826186463653,False
ContB-SalVentAttnB,0.07754763204541809,False
ContB-SomMotA,-0.12267626288290794,False
ContB-SomMotB,-0.11473076387415028,False
ContB-TempPar,0.17462256492479866,False
ContB-VisCent,0.01486550628054921,False
ContB-VisPeri,-0.19689699243563297,False
ContC-ContC,0.2197728287767073,True
ContC-DefaultA,0.21714082156784176,False
ContC-DefaultB,0.2237967995870139,False
ContC-DefaultC,0.19301473762024335,False
ContC-DorsAttnA,-0.10026901814343224,False
ContC-DorsAttnB,-0.001365663755346358,False
ContC-LimbicA,0.13007770571488123,False
ContC-LimbicB,0.1395071874521882,False
ContC-SalVentAttnA,-0.04258847632911033,False
ContC-SalVentAttnB,0.1109705162804793,False
ContC-SomMotA,-0.08964890446454946,False
ContC-SomMotB,-0.10808114415818366,False
ContC-TempPar,0.2155717786405447,False
ContC-VisCent,0.0269287699379233,False
ContC-VisPeri,-0.15342906207585777,False
DefaultA-DefaultA,0.22303646447196127,True
DefaultA-DefaultB,0.24845411687904959,False
DefaultA-DefaultC,0.21343875338172788,False
DefaultA-DorsAttnA,-0.1012236472028389,False
DefaultA-DorsAttnB,-0.009072624224506763,False
DefaultA-LimbicA,0.117140167624892,False
DefaultA-LimbicB,0.11429215444112667,False
DefaultA-SalVentAttnA,-0.05479882066072807,False
DefaultA-SalVentAttnB,0.07698635338099212,False
DefaultA-SomMotA,-0.08601686842810884,False
DefaultA-SomMotB,-0.11648128845528732,False
DefaultA-TempPar,0.2464293367236074,False
DefaultA-VisCent,0.028753054036098943,False
DefaultA-VisPeri,-0.1495585701119776,False
DefaultB-DefaultB,0.3252142878527338,True
