network_connection,fc,within_network
ContA-ContA,0.3054045341374029,True
ContA-ContB,0.1522162494622704,False
ContA-ContC,0.0760277863417533,False
ContA-DefaultA,0.11872895156562664,False
ContA-DefaultB,0.10537183970665685,False
ContA-DefaultC,0.046198139208610385,False
ContA-DorsAttnA,-0.029566326603712747,False
ContA-DorsAttnB,0.043752396201714665,False
ContA-LimbicA,0.28045729953406495,False
ContA-LimbicB,0.22712657416611096,False
ContA-SalVentAttnA,0.01886218193667498,False
ContA-SalVentAttnB,0.27813406045721295,False
ContA-SomMotA,-0.19993750087879822,False
ContA-SomMotB,-0.07803857064788779,False
ContA-TempPar,0.043761646306019336,False
ContA-VisCent,-0.01975364783088544,False
ContA-VisPeri,-0.17763661905605063,False
ContB-ContB,0.16691780014461854,True
ContB-ContC,0.09703042194431744,False
ContB-DefaultA,0.07217775827231333,False
ContB-DefaultB,0.09841200574043295,False
ContB-DefaultC,0.1038862006707722,False
ContB-DorsAttnA,0.019924737504849015,False
ContB-DorsAttnB,0.05442944759900663,False
ContB-LimbicA,0.13410627810033898,False
ContB-LimbicB,0.09572839821319046,False
ContB-SalVentAttnA,-0.027985532040784557,False
ContB-SalVentAttnB,0.10513075137657567,False
ContB-SomMotA,-0.13187292068301035,False
ContB-SomMotB,-0.05862369192596683,False
ContB-TempPar,0.07774847386194819,False
ContB-VisCent,-0.018422761052667123,False
ContB-VisPeri,-0.13811159817257032,False
ContC-ContC,0.188191693814703,True
ContC-DefaultA,0.1659344435095361,False
ContC-DefaultB,0.12938764012186832,False
ContC-DefaultC,0.016942953434485087,False
ContC-DorsAttnA,-0.05272104797488566,False
ContC-DorsAttnB,0.00559542128423447,False
ContC-LimbicA,0.10394075858417291,False
ContC-LimbicB,0.12300338877822536,False
ContC-SalVentAttnA,0.003504615326306635,False
ContC-SalVentAttnB,0.12120968343140878,False
ContC-SomMotA,-0.06335278596415361,False
ContC-SomMotB,-0.06332336590303755,False
ContC-TempPar,0.016120055180927514,False
ContC-VisCent,0.002508326987848223,False
ContC-VisPeri,-0.06547680000205026,False
DefaultA-DefaultA,0.18748444354210356,True
DefaultA-DefaultB,0.16091024265226966,False
DefaultA-DefaultC,0.02427380149656759,False
DefaultA-DorsAttnA,-0.047741610054162095,False
DefaultA-DorsAttnB,0.002229948981418709,False
DefaultA-LimbicA,0.13570641917016793,False
DefaultA-LimbicB,0.1484878208686267,False
DefaultA-SalVentAttnA,0.021587767036557976,False
DefaultA-SalVentAttnB,0.15933284696681982,False
DefaultA-SomMotA,-0.09191088290363367,False
DefaultA-SomMotB,-0.06839169093941085,False
DefaultA-TempPar,0.0213485196422989,False
DefaultA-VisCent,0.0015504547219460994,False
DefaultA-VisPeri,-0.0857980704579529,False
DefaultB-DefaultB,0.21841507382456707,True
DefaultB-DefaultC,0.1878854987111319,False
DefaultB-DorsAttnA,-0.05506223379011632,False
DefaultB-DorsAttnB,-0.007281850971793994,False
DefaultB-LimbicA,0.1161018547529436,False
DefaultB-LimbicB,0.12000859665229956,False
DefaultB-SalVentAttnA,-0.011212801218010757,False
DefaultB-SalVentAttnB,0.11937929021041771,False
DefaultB-SomMotA,-0.11432645838634303,False
DefaultB-SomMotB,-0.08160293213331572,False
DefaultB-TempPar,0.13054703580576077,False
DefaultB-VisCent,-0.014382626385690584,False
DefaultB-VisPeri,-0.11463459417707013,False
DefaultC-DefaultC,0.4595125642713367,True
DefaultC-DorsAttnA,-0.04122845019611746,False
DefaultC-DorsAttnB,0.0029947739400961425,False
DefaultC-LimbicA,0.04866682442797744,False
DefaultC-LimbicB,0.06956635805520096,False
DefaultC-SalVentAttnA,-0.035265716232608935,False
DefaultC-SalVentAttnB,0.052037030517470585,False
DefaultC-SomMotA,-0.1340868247571375,False
DefaultC-SomMotB,-0.04167533887361291,False
DefaultC-TempPar,0.39056624844149734,False
DefaultC-VisCent,-0.01740657488115231,False
DefaultC-VisPeri,-0.12840542825735024,False
DorsAttnA-DorsAttnA,0.19608568415094826,True
DorsAttnA-DorsAttnB,0.10547445057644085,False
DorsAttnA-LimbicA,-0.011896079266457605,False
DorsAttnA-LimbicB,-0.05421392518081981,False
DorsAttnA-SalVentAttnA,0.03469629509618946,False
DorsAttnA-SalVentAttnB,-0.010008632179112499,False
DorsAttnA-SomMotA,-0.008572782901632148,False
DorsAttnA-SomMotB,0.005783733839042706,False
DorsAttnA-TempPar,-0.07100697025453913,False
DorsAttnA-VisCent,-0.017623620624331614,False
DorsAttnA-VisPeri,-0.0037763109292864336,False
DorsAttnB-DorsAttnB,0.12670096872089448,True
DorsAttnB-LimbicA,0.05499021001349578,False
DorsAttnB-LimbicB,0.043938012226460814,False
DorsAttnB-SalVentAttnA,0.016043819395110046,False
DorsAttnB-SalVentAttnB,0.06570205734461139,False
DorsAttnB-SomMotA,-0.040201630893639935,False
DorsAttnB-SomMotB,-0.029348867286280177,False
DorsAttnB-TempPar,-0.05076407743135184,False
DorsAttnB-VisCent,0.01938493557783292,False
DorsAttnB-VisPeri,-0.018745024747771635,False
LimbicA-LimbicA,0.2662591284867529,True
LimbicA-LimbicB,0.22666760431016814,False
LimbicA-SalVentAttnA,0.030214974860594906,False
LimbicA-SalVentAttnB,0.28523376551801777,False
LimbicA-SomMotA,-0.20630034108419018,False
LimbicA-SomMotB,-0.08691095933346298,False
LimbicA-TempPar,0.03502615805297942,False
LimbicA-VisCent,-0.026997975723481466,False
LimbicA-VisPeri,-0.17872083521379906,False
LimbicB-LimbicB,0.300962481836263,True
LimbicB-SalVentAttnA,0.06440934839684624,False
LimbicB-SalVentAttnB,0.33117652809717335,False
LimbicB-SomMotA,-0.1898029059018569,False
LimbicB-SomMotB,-0.07068169761571409,False
LimbicB-TempPar,0.054346855331535986,False
LimbicB-VisCent,0.004561022807651033,False
LimbicB-VisPeri,-0.15798627191310596,False
SalVentAttnA-SalVentAttnA,0.07831511746885034,True
SalVentAttnA-SalVentAttnB,0.08745284317808709,False
SalVentAttnA-SomMotA,-0.006611333565949365,False
SalVentAttnA-SomMotB,0.006432016469267833,False
SalVentAttnA-TempPar,-0.028639620905106813,False
SalVentAttnA-VisCent,0.0024674478160441674,False
SalVentAttnA-VisPeri,0.012930770875129853,False
SalVentAttnB-SalVentAttnB,0.38451805422918023,True
SalVentAttnB-SomMotA,-0.2319771707824509,False
SalVentAttnB-SomMotB,-0.09001679073477238,False
SalVentAttnB-TempPar,0.04345097587761472,False
SalVentAttnB-VisCent,-0.01729550672880886,False
SalVentAttnB-VisPeri,-0.18506787414177964,False
SomMotA-SomMotA,0.25304637687305453,True
SomMotA-SomMotB,0.09988605679765372,False
SomMotA-TempPar,-0.10357356204685,False
SomMotA-VisCent,0.06457701313361447,False
SomMotA-VisPeri,0.23950439534382664,False
SomMotB-SomMotB,0.11734288178820353,True
SomMotB-TempPar,-0.021207867876499496,False
SomMotB-VisCent,0.051635194434086575,False
SomMotB-VisPeri,0.10648564963479099,False
TempPar-TempPar,0.43748594603485036,True
TempPar-VisCent,-0.023454801645459305,False
TempPar-VisPeri,-0.10178993187220185,False
VisCent-VisCent,0.06560131441112269,True
VisCent-VisPeri,0.07994789803187004,False
VisPeri-VisPeri,0.2604040763012399,True
