network_connection,fc,within_network
ContA-ContA,0.36263562420355727,True
ContA-ContB,0.24083178297437874,False
ContA-ContC,0.12650664310162676,False
ContA-DefaultA,0.13876304555381727,False
ContA-DefaultB,0.13406260622651722,False
ContA-DefaultC,0.1192753982744675,False
ContA-DorsAttnA,-0.09216680911514448,False
ContA-DorsAttnB,0.10696829566388855,False
ContA-LimbicA,0.3594175873497203,False
ContA-LimbicB,0.28551621272211375,False
ContA-SalVentAttnA,0.048154820977781815,False
ContA-SalVentAttnB,0.2775895138244769,False
ContA-SomMotA,-0.18400386629240853,False
ContA-SomMotB,-0.08023568448396548,False
ContA-TempPar,0.08123502276900112,False
ContA-VisCent,-0.007343314567525314,False
ContA-VisPeri,-0.21721097417293117,False
ContB-ContB,0.29134084376277314,True
ContB-ContC,0.12795176640420794,False
ContB-DefaultA,0.06925915202492892,False
ContB-DefaultB,0.14057032784169876,False
ContB-DefaultC,0.268736123833816,False
ContB-DorsAttnA,-0.04586743255787028,False
ContB-DorsAttnB,0.12061221437158572,False
ContB-LimbicA,0.2165378334055985,False
ContB-LimbicB,0.2049910580192222,False
ContB-SalVentAttnA,0.017096016674535332,False
ContB-SalVentAttnB,0.15922900559283779,False
ContB-SomMotA,-0.1712583180135267,False
ContB-SomMotB,-0.0900245177364013,False
ContB-TempPar,0.26775434614877536,False
ContB-VisCent,0.004301542127408064,False
ContB-VisPeri,-0.1997132580286364,False
ContC-ContC,0.2214741967280284,True
ContC-DefaultA,0.16247050662084028,False
ContC-DefaultB,0.09467218668875987,False
ContC-DefaultC,0.06396616634287425,False
ContC-DorsAttnA,-0.058329641001282136,False
ContC-DorsAttnB,0.04620091016307396,False
ContC-LimbicA,0.15201415165804305,False
ContC-LimbicB,0.1752374142875268,False
ContC-SalVentAttnA,0.026758458738776733,False
ContC-SalVentAttnB,0.16569212466167224,False
ContC-SomMotA,-0.08950958397430249,False
ContC-SomMotB,-0.05442935715885846,False
ContC-TempPar,0.035604164959289926,False
ContC-VisCent,0.011785143043343537,False
ContC-VisPeri,-0.10041522937032352,False
DefaultA-DefaultA,0.17152077272157304,True
DefaultA-DefaultB,0.09724978212431523,False
DefaultA-DefaultC,0.009549008062478713,False
DefaultA-DorsAttnA,-0.0467843768987582,False
DefaultA-DorsAttnB,0.026641535088475558,False
DefaultA-LimbicA,0.15650349858622606,False
DefaultA-LimbicB,0.16461519074912628,False
DefaultA-SalVentAttnA,0.030601594969564733,False
DefaultA-SalVentAttnB,0.16993654499086114,False
DefaultA-SomMotA,-0.07378764320228667,False
DefaultA-SomMotB,-0.030650192110991216,False
DefaultA-TempPar,-0.03589320346421493,False
DefaultA-VisCent,0.007914320851460144,False
DefaultA-VisPeri,-0.09487390173394224,False
DefaultB-DefaultB,0.14457229485259246,True
DefaultB-DefaultC,0.22139065422817789,False
DefaultB-DorsAttnA,-0.07749316457812097,False
DefaultB-DorsAttnB,0.03178896196198739,False
