network_connection,fc,within_network
ContA-ContA,0.29902654823929653,True
ContA-ContB,0.133259690651144,False
ContA-ContC,0.1772053876208258,False
ContA-DefaultA,0.2114462553776375,False
ContA-DefaultB,0.18884677372385172,False
ContA-DefaultC,0.0905111843838554,False
ContA-DorsAttnA,-0.05107709798388131,False
ContA-DorsAttnB,0.06610754694352021,False
ContA-LimbicA,0.33458174522579104,False
ContA-LimbicB,0.23735032889915564,False
ContA-SalVentAttnA,0.06299054433893901,False
ContA-SalVentAttnB,0.23357038579577538,False
ContA-SomMotA,-0.022386338893033257,False
ContA-SomMotB,-0.022860842179234456,False
ContA-TempPar,-0.022353035054934536,False
ContA-VisCent,0.06662643460406215,False
ContA-VisPeri,0.03625536230619244,False
ContB-ContB,0.18342300576229328,True
ContB-ContC,0.09912781888087512,False
ContB-DefaultA,0.07547976322555902,False
ContB-DefaultB,0.05726125703926235,False
ContB-DefaultC,0.12005268073683903,False
ContB-DorsAttnA,0.05503723695518164,False
ContB-DorsAttnB,0.12523674381517863,False
ContB-LimbicA,0.12742105295066405,False
ContB-LimbicB,0.06393380557542286,False
ContB-SalVentAttnA,0.014751677696656048,False
ContB-SalVentAttnB,0.06745864518417934,False
ContB-SomMotA,-0.008014019764703397,False
ContB-SomMotB,-0.006825063394523509,False
ContB-TempPar,0.1858409576715416,False
ContB-VisCent,0.07943330037281338,False
ContB-VisPeri,-0.0039660288845386055,False
ContC-ContC,0.4236316183370132,True
ContC-DefaultA,0.3820434653540346,False
ContC-DefaultB,0.2445011322845376,False
ContC-DefaultC,0.013929470010868738,False
ContC-DorsAttnA,-0.020466809218647547,False
ContC-DorsAttnB,0.14376597862789167,False
ContC-LimbicA,0.29823467971236656,False
ContC-LimbicB,0.33409230115403815,False
ContC-SalVentAttnA,0.11962156519279361,False
ContC-SalVentAttnB,0.33482975666528875,False
ContC-SomMotA,0.11230573641678036,False
ContC-SomMotB,0.04717319345486892,False
ContC-TempPar,-0.08041056862394427,False
ContC-VisCent,0.1713729482400001,False
ContC-VisPeri,0.18030001871069992,False
DefaultA-DefaultA,0.38427342420077676,True
DefaultA-DefaultB,0.2987380784447206,False
DefaultA-DefaultC,0.044711632169215115,False
DefaultA-DorsAttnA,-0.06729546311507147,False
DefaultA-DorsAttnB,0.10075148456407208,False
DefaultA-LimbicA,0.2970171098791713,False
DefaultA-LimbicB,0.3451076139773392,False
DefaultA-SalVentAttnA,0.09626007182141005,False
DefaultA-SalVentAttnB,0.3222112005578611,False
DefaultA-SomMotA,0.08184650173850451,False
DefaultA-SomMotB,0.033737033760972625,False
DefaultA-TempPar,-0.09299511268242178,False
DefaultA-VisCent,0.16496085451665352,False
DefaultA-VisPeri,0.147622757064711,False
DefaultB-DefaultB,0.3494132171312648,True
DefaultB-DefaultC,0.19064291040029724,False
DefaultB-DorsAttnA,-0.09350189502072309,False
DefaultB-DorsAttnB,0.009546398891257553,False
DefaultB-LimbicA,0.21288387390193805,False
DefaultB-LimbicB,0.2549182944657717,False
DefaultB-SalVentAttnA,0.03797689895272891,False
DefaultB-SalVentAttnB,0.2093166316258266,False
DefaultB-SomMotA,0.022762906812923676,False
DefaultB-SomMotB,0.026037461057661172,False
DefaultB-TempPar,-0.03863072379759838,False
DefaultB-VisCent,0.12413528505636183,False
DefaultB-VisPeri,0.050717165643019174,False
DefaultC-DefaultC,0.31715976458345624,True
DefaultC-DorsAttnA,-0.03270626232621346,False
DefaultC-DorsAttnB,-0.011348332303095569,False
DefaultC-LimbicA,0.04444139047197526,False
DefaultC-LimbicB,0.024152577379233743,False
DefaultC-SalVentAttnA,-0.0483021021250602,False
DefaultC-SalVentAttnB,-0.01591171183033247,False
DefaultC-SomMotA,-0.07751661471409935,False
DefaultC-SomMotB,-0.019154510717202682,False
DefaultC-TempPar,0.23953767838086115,False
DefaultC-VisCent,0.025018052593610715,False
DefaultC-VisPeri,-0.12069348535283231,False
DorsAttnA-DorsAttnA,0.28148777568335626,True
DorsAttnA-DorsAttnB,0.15337076147947573,False
DorsAttnA-LimbicA,-0.019184468993612154,False
DorsAttnA-LimbicB,-0.08191130739236964,False
DorsAttnA-SalVentAttnA,0.05264357668072451,False
DorsAttnA-SalVentAttnB,-0.012112300672798549,False
DorsAttnA-SomMotA,0.07640011709665281,False
DorsAttnA-SomMotB,0.09821617095191078,False
DorsAttnA-TempPar,0.034798930248968865,False
DorsAttnA-VisCent,0.02881388828797448,False
DorsAttnA-VisPeri,0.015100896818910409,False
DorsAttnB-DorsAttnB,0.2197619265120846,True
DorsAttnB-LimbicA,0.11387163128434633,False
DorsAttnB-LimbicB,0.07872291935245336,False
DorsAttnB-SalVentAttnA,0.08244510603155959,False
DorsAttnB-SalVentAttnB,0.12742593952155643,False
DorsAttnB-SomMotA,0.10131854686109792,False
DorsAttnB-SomMotB,0.04302706923572593,False
DorsAttnB-TempPar,0.07412729807569052,False
DorsAttnB-VisCent,0.13469262232887486,False
DorsAttnB-VisPeri,0.1199912425462641,False
LimbicA-LimbicA,0.4164736495445237,True
LimbicA-LimbicB,0.318079028789769,False
LimbicA-SalVentAttnA,0.10402929662602271,False
LimbicA-SalVentAttnB,0.33106569911866335,False
LimbicA-SomMotA,0.027793426911496746,False
LimbicA-SomMotB,0.001493222241832425,False
LimbicA-TempPar,-0.09122874816066576,False
LimbicA-VisCent,0.10180230649819796,False
LimbicA-VisPeri,0.09278810061887208,False
LimbicB-LimbicB,0.35804041457117775,True
