network_connection,fc,within_network
ContA-ContA,0.23046006351037354,True
ContA-ContB,0.18399301080733282,False
ContA-ContC,0.19903587573401169,False
ContA-DefaultA,0.19112480386515976,False
ContA-DefaultB,0.11763098419970658,False
ContA-DefaultC,-0.010196383663339647,False
ContA-DorsAttnA,-0.0326229214896363,False
ContA-DorsAttnB,0.07980523158475185,False
ContA-LimbicA,0.24071995678230382,False
ContA-LimbicB,0.16217243455721728,False
ContA-SalVentAttnA,-0.011486041638265729,False
ContA-SalVentAttnB,0.19283877731081692,False
ContA-SomMotA,-0.07872230677005618,False
ContA-SomMotB,-0.12914146541469898,False
ContA-TempPar,0.006552640653798688,False
ContA-VisCent,0.042844233982052664,False
ContA-VisPeri,-0.06854338400986369,False
ContB-ContB,0.2858553276748154,True
ContB-ContC,0.18905565723232162,False
ContB-DefaultA,0.16476405568021546,False
ContB-DefaultB,0.14767483104567528,False
ContB-DefaultC,0.09287138945667435,False
ContB-DorsAttnA,-0.0627812819279287,False
ContB-DorsAttnB,0.06634133063201296,False
ContB-LimbicA,0.1661340549464595,False
ContB-LimbicB,0.048840213209361175,False
ContB-SalVentAttnA,-0.07860428872782331,False
ContB-SalVentAttnB,0.05510714844375315,False
ContB-SomMotA,-0.061721087637319774,False
ContB-SomMotB,-0.17134085856454392,False
ContB-TempPar,0.148771550964349,False
ContB-VisCent,0.06564918740179518,False
ContB-VisPeri,-0.05497042014626121,False
ContC-ContC,0.38194715057249107,True
ContC-DefaultA,0.33583088073494793,False
ContC-DefaultB,0.16150307152390883,False
ContC-DefaultC,-0.05476123382024118,False
ContC-DorsAttnA,-0.04963588417201641,False
ContC-DorsAttnB,0.10812517382301173,False
ContC-LimbicA,0.22624087854665603,False
ContC-LimbicB,0.17838541256701604,False
ContC-SalVentAttnA,-0.013362392511557557,False
ContC-SalVentAttnB,0.2196907471872499,False
ContC-SomMotA,-0.026945051054387797,False
ContC-SomMotB,-0.1808091537509341,False
ContC-TempPar,-0.0022287406255444907,False
ContC-VisCent,0.07983118459281155,False
ContC-VisPeri,0.005653653468691129,False
DefaultA-DefaultA,0.31294108307798985,True
DefaultA-DefaultB,0.17807630343703704,False
DefaultA-DefaultC,-0.02341942469358125,False
DefaultA-DorsAttnA,-0.06196212208345741,False
DefaultA-DorsAttnB,0.08957536692735323,False
DefaultA-LimbicA,0.20737790906161768,False
DefaultA-LimbicB,0.1723510721875623,False
DefaultA-SalVentAttnA,-0.013846622065612105,False
DefaultA-SalVentAttnB,0.20099938317190774,False
DefaultA-SomMotA,-0.04285660653772803,False
DefaultA-SomMotB,-0.17143756537422122,False
DefaultA-TempPar,0.011970054278308875,False
DefaultA-VisCent,0.07316897615407833,False
DefaultA-VisPeri,-0.01749685300769026,False
DefaultB-DefaultB,0.20072150729405464,True
DefaultB-DefaultC,0.15714592085841694,False
DefaultB-DorsAttnA,-0.10863390775916132,False
DefaultB-DorsAttnB,0.005681063494412846,False
DefaultB-LimbicA,0.10571093138445635,False
DefaultB-LimbicB,0.08734956933709571,False
DefaultB-SalVentAttnA,-0.050696707284185905,False
DefaultB-SalVentAttnB,0.08641367933718351,False
DefaultB-SomMotA,-0.08535345188266377,False
DefaultB-SomMotB,-0.13155841285028022,False
DefaultB-TempPar,0.09517246775963918,False
DefaultB-VisCent,0.03011638579521132,False
DefaultB-VisPeri,-0.07522513094509001,False
DefaultC-DefaultC,0.31680299861800215,True
DefaultC-DorsAttnA,-0.13157426999737853,False
DefaultC-DorsAttnB,-0.07277804139551453,False
DefaultC-LimbicA,-0.03941137463783279,False
DefaultC-LimbicB,-0.007888603126222053,False
DefaultC-SalVentAttnA,-0.05937403413602579,False
DefaultC-SalVentAttnB,-0.043225738089141263,False
DefaultC-SomMotA,-0.1296662559748702,False
DefaultC-SomMotB,-0.06266704596717207,False
DefaultC-TempPar,0.2255694927258064,False
DefaultC-VisCent,-0.036067188197365915,False
DefaultC-VisPeri,-0.13692389518953815,False
DorsAttnA-DorsAttnA,0.24652589703872507,True
DorsAttnA-DorsAttnB,0.08386566575874418,False
DorsAttnA-LimbicA,-0.011181208826629648,False
DorsAttnA-LimbicB,-0.05491404780339795,False
DorsAttnA-SalVentAttnA,0.060177911770898276,False
DorsAttnA-SalVentAttnB,-0.036686475012748396,False
DorsAttnA-SomMotA,0.03273412168106826,False
DorsAttnA-SomMotB,0.06930027235687297,False
DorsAttnA-TempPar,-0.12573745191977578,False
DorsAttnA-VisCent,-0.011015914954851531,False
DorsAttnA-VisPeri,0.011188792344644639,False
DorsAttnB-DorsAttnB,0.10804856209936949,True
DorsAttnB-LimbicA,0.09830213274808984,False
DorsAttnB-LimbicB,0.06376503649406128,False
DorsAttnB-SalVentAttnA,0.019834429214798208,False
DorsAttnB-SalVentAttnB,0.09130797096120641,False
DorsAttnB-SomMotA,0.0026335661980306825,False
DorsAttnB-SomMotB,-0.0622906699283076,False
DorsAttnB-TempPar,-0.03987242083060482,False
DorsAttnB-VisCent,0.037822273412926294,False
DorsAttnB-VisPeri,0.008410618955295868,False
LimbicA-LimbicA,0.25680917336154646,True
LimbicA-LimbicB,0.1988945468272294,False
LimbicA-SalVentAttnA,0.004325277636443274,False
LimbicA-SalVentAttnB,0.22572769617137153,False
LimbicA-SomMotA,-0.08092997350653189,False
LimbicA-SomMotB,-0.12212967846932833,False
LimbicA-TempPar,-0.019987757415818506,False
LimbicA-VisCent,0.03972615328436056,False
LimbicA-VisPeri,-0.07965405174693366,False
LimbicB-LimbicB,0.26734391817905123,True
LimbicB-SalVentAttnA,0.07479880619003806,False
LimbicB-SalVentAttnB,0.31143992314105373,False
LimbicB-SomMotA,-0.1196089542557918,False
LimbicB-SomMotB,-0.07306527980136143,False
LimbicB-TempPar,-0.06777571576768608,False
LimbicB-VisCent,-0.002268703375297844,False
LimbicB-VisPeri,-0.10894109809388197,False
SalVentAttnA-SalVentAttnA,0.09916093341998615,True
SalVentAttnA-SalVentAttnB,0.10647950669076649,False
SalVentAttnA-SomMotA,-0.03147634292860591,False
SalVentAttnA-SomMotB,0.04657583748131427,False
SalVentAttnA-TempPar,-0.11119555585987394,False
SalVentAttnA-VisCent,-0.0431409666395222,False
SalVentAttnA-VisPeri,-0.01155994703717608,False
SalVentAttnB-SalVentAttnB,0.38953570037737395,True
SalVentAttnB-SomMotA,-0.13127734207408814,False
SalVentAttnB-SomMotB,-0.10430017378244627,False
SalVentAttnB-TempPar,-0.09226551167918562,False
SalVentAttnB-VisCent,-0.02198159058660294,False
SalVentAttnB-VisPeri,-0.0859278772562562,False
SomMotA-SomMotA,0.18142351084372546,True
SomMotA-SomMotB,0.05662656105721851,False
SomMotA-TempPar,-0.0725122513637739,False
SomMotA-VisCent,0.07446335412649074,False
SomMotA-VisPeri,0.19457969511768916,False
SomMotB-SomMotB,0.19445843140356697,True
SomMotB-TempPar,-0.13414519955391505,False
SomMotB-VisCent,-0.026066171571239544,False
SomMotB-VisPeri,0.023776383118215016,False
TempPar-TempPar,0.41139467766477394,True
TempPar-VisCent,-0.014026701021667176,False
TempPar-VisPeri,-0.07769980405397503,False
VisCent-VisCent,0.09358195789713664,True
VisCent-VisPeri,0.06933131379613738,False
VisPeri-VisPeri,0.2683692345185424,True
