network_connection,fc,within_network
ContA-ContA,0.2650857843475023,True
ContA-ContB,0.15338738893521986,False
ContA-ContC,0.10889617752388782,False
ContA-DefaultA,0.11144183282770402,False
ContA-DefaultB,0.16864844344016547,False
ContA-DefaultC,0.08752123087622142,False
ContA-DorsAttnA,-0.08001661110335931,False
ContA-DorsAttnB,0.009266508296225766,False
ContA-LimbicA,0.2722648765052233,False
ContA-LimbicB,0.1215413043942833,False
ContA-SalVentAttnA,-0.0433487209105966,False
ContA-SalVentAttnB,0.12706597937487507,False
ContA-SomMotA,-0.1527972303118496,False
ContA-SomMotB,-0.11677874598532602,False
ContA-TempPar,0.018251630920628252,False
ContA-VisCent,-0.05592839417090377,False
ContA-VisPeri,-0.16097915943307423,False
ContB-ContB,0.18267131017814406,True
ContB-ContC,0.12602596024296578,False
ContB-DefaultA,0.09666777678096189,False
ContB-DefaultB,0.15908602250967252,False
ContB-DefaultC,0.1783715556091872,False
ContB-DorsAttnA,-0.06455094025025472,False
ContB-DorsAttnB,0.009014003782317344,False
ContB-LimbicA,0.13786453099001966,False
ContB-LimbicB,0.0738323026079112,False
ContB-SalVentAttnA,-0.06392400852795302,False
ContB-SalVentAttnB,0.028072120939030623,False
ContB-SomMotA,-0.15088349670854215,False
ContB-SomMotB,-0.10287253536651991,False
ContB-TempPar,0.1664978088455648,False
ContB-VisCent,-0.02381894978463484,False
ContB-VisPeri,-0.16487892079100613,False
ContC-ContC,0.2567901673942334,True
ContC-DefaultA,0.24261704973469464,False
ContC-DefaultB,0.20268186014580858,False
ContC-DefaultC,0.04705515844691331,False
ContC-DorsAttnA,-0.11847509236884661,False
ContC-DorsAttnB,-0.002414126494375597,False
ContC-LimbicA,0.13993694881804794,False
ContC-LimbicB,0.15781803278545312,False
ContC-SalVentAttnA,-0.017973123843484273,False
ContC-SalVentAttnB,0.11144374884587616,False
ContC-SomMotA,-0.09244935904893242,False
ContC-SomMotB,-0.09031038581817574,False
ContC-TempPar,-0.00838655480566847,False
ContC-VisCent,0.016920038595428892,False
ContC-VisPeri,-0.08994646258357743,False
DefaultA-DefaultA,0.26748168769538494,True
DefaultA-DefaultB,0.2610953429813614,False
DefaultA-DefaultC,0.06400420009343892,False
DefaultA-DorsAttnA,-0.12662339113958992,False
DefaultA-DorsAttnB,-0.03602131235019222,False
DefaultA-LimbicA,0.13648402455161207,False
DefaultA-LimbicB,0.14845118252795694,False
DefaultA-SalVentAttnA,-0.02888744301293917,False
DefaultA-SalVentAttnB,0.10124253607341582,False
DefaultA-SomMotA,-0.09825869250770329,False
DefaultA-SomMotB,-0.09876639470665871,False
DefaultA-TempPar,-0.03024387195059254,False
DefaultA-VisCent,0.020086041684719155,False
DefaultA-VisPeri,-0.09358660039028535,False
DefaultB-DefaultB,0.4106934300453098,True
DefaultB-DefaultC,0.30580750730290757,False
DefaultB-DorsAttnA,-0.2028417387421096,False
DefaultB-DorsAttnB,-0.10934904907943467,False
DefaultB-LimbicA,0.1679422864550452,False
DefaultB-LimbicB,0.11782513937396777,False
DefaultB-SalVentAttnA,-0.10472528088097871,False
DefaultB-SalVentAttnB,0.03292841136877937,False
DefaultB-SomMotA,-0.1903261525984088,False
DefaultB-SomMotB,-0.18081660542171968,False
DefaultB-TempPar,0.14027679243397725,False
DefaultB-VisCent,-0.03186834392259794,False
DefaultB-VisPeri,-0.1736685111196941,False
DefaultC-DefaultC,0.49446275013119306,True
DefaultC-DorsAttnA,-0.1883339256353642,False
DefaultC-DorsAttnB,-0.12262956416957571,False
DefaultC-LimbicA,0.055503271314678346,False
DefaultC-LimbicB,0.004596239148023083,False
DefaultC-SalVentAttnA,-0.15301081466983724,False
DefaultC-SalVentAttnB,-0.09248210710678748,False
DefaultC-SomMotA,-0.2126360718485067,False
DefaultC-SomMotB,-0.19288347615931445,False
DefaultC-TempPar,0.44133416833601563,False
DefaultC-VisCent,-0.06381631406802145,False
DefaultC-VisPeri,-0.19686142834444276,False
DorsAttnA-DorsAttnA,0.31042454087490395,True
DorsAttnA-DorsAttnB,0.12453760260317503,False
DorsAttnA-LimbicA,-0.06539571455143038,False
DorsAttnA-LimbicB,-0.11263575400593677,False
DorsAttnA-SalVentAttnA,0.07131986991676344,False
DorsAttnA-SalVentAttnB,-0.02224204482988991,False
DorsAttnA-SomMotA,0.07588179539616599,False
DorsAttnA-SomMotB,0.12295498251011602,False
DorsAttnA-TempPar,-0.13844482358732813,False
DorsAttnA-VisCent,-0.01581511154325791,False
DorsAttnA-VisPeri,0.03819741229965969,False
DorsAttnB-DorsAttnB,0.14281724247866878,True
DorsAttnB-LimbicA,0.017143907710414366,False
DorsAttnB-LimbicB,0.0072724311210072695,False
DorsAttnB-SalVentAttnA,0.048945040767111994,False
DorsAttnB-SalVentAttnB,0.058651236977370506,False
DorsAttnB-SomMotA,0.04018498684494066,False
DorsAttnB-SomMotB,0.031862750945168314,False
DorsAttnB-TempPar,-0.101316495931035,False
DorsAttnB-VisCent,0.00846047959019817,False
DorsAttnB-VisPeri,0.037183735122720905,False
LimbicA-LimbicA,0.2782546110239647,True
LimbicA-LimbicB,0.1364084804008356,False
LimbicA-SalVentAttnA,-0.030779717316722882,False
LimbicA-SalVentAttnB,0.15393574459262926,False
LimbicA-SomMotA,-0.145405320696083,False
LimbicA-SomMotB,-0.10813410699955257,False
LimbicA-TempPar,-0.030096498697959922,False
LimbicA-VisCent,-0.05667506732896022,False
LimbicA-VisPeri,-0.15893054374006824,False
LimbicB-LimbicB,0.1769065995983155,True
LimbicB-SalVentAttnA,0.03199644329328273,False
LimbicB-SalVentAttnB,0.1628886148664214,False
LimbicB-SomMotA,-0.07681237300377299,False
LimbicB-SomMotB,-0.04039465519253667,False
LimbicB-TempPar,-0.04736677064490793,False
LimbicB-VisCent,0.02525319954430523,False
LimbicB-VisPeri,-0.08243379353605784,False
SalVentAttnA-SalVentAttnA,0.09786579600626248,True
SalVentAttnA-SalVentAttnB,0.07527207875245819,False
SalVentAttnA-SomMotA,0.06039485853746816,False
SalVentAttnA-SomMotB,0.0901656848752169,False
SalVentAttnA-TempPar,-0.14318357675980947,False
SalVentAttnA-VisCent,0.01392958721177965,False
SalVentAttnA-VisPeri,0.04883239376614879,False
SalVentAttnB-SalVentAttnB,0.2068047624210444,True
SalVentAttnB-SomMotA,-0.0498310910892542,False
SalVentAttnB-SomMotB,-0.010707347956111616,False
SalVentAttnB-TempPar,-0.1327503826774831,False
SalVentAttnB-VisCent,-0.00704145582397775,False
SalVentAttnB-VisPeri,-0.03814722739715166,False
SomMotA-SomMotA,0.20271564421973517,True
SomMotA-SomMotB,0.1213206197483393,False
SomMotA-TempPar,-0.16764070569407474,False
SomMotA-VisCent,0.05938807011027754,False
SomMotA-VisPeri,0.21730955719973047,False
SomMotB-SomMotB,0.16306140678841316,True
SomMotB-TempPar,-0.1576176362502381,False
SomMotB-VisCent,0.05751083233923902,False
SomMotB-VisPeri,0.09155368482901248,False
TempPar-TempPar,0.5513848057480963,True
TempPar-VisCent,-0.05807224526338265,False
TempPar-VisPeri,-0.1607742378672643,False
VisCent-VisCent,0.08601157287837927,True
VisCent-VisPeri,0.058526993459757516,False
VisPeri-VisPeri,0.28502791032238417,True
