network_connection,fc,within_network
ContA-ContA,0.1853888515202986,True
ContA-ContB,0.13053662981804623,False
ContA-ContC,0.12463435842038617,False
ContA-DefaultA,0.12327825411741668,False
ContA-DefaultB,0.1358250600438011,False
ContA-DefaultC,0.10894030495796876,False
ContA-DorsAttnA,-0.022731372407091926,False
ContA-DorsAttnB,0.020144068529081613,False
ContA-LimbicA,0.17041213260238125,False
ContA-LimbicB,0.12231200701014934,False
ContA-SalVentAttnA,0.00879455266191843,False
ContA-SalVentAttnB,0.13475799022337884,False
ContA-SomMotA,-0.05558455883495623,False
ContA-SomMotB,-0.05660593747254107,False
ContA-TempPar,0.07664642414319896,False
ContA-VisCent,-0.005966909748770154,False
ContA-VisPeri,-0.040421855969435594,False
ContB-ContB,0.14727005288475525,True
ContB-ContC,0.09810811768946148,False
ContB-DefaultA,0.08294090194431292,False
ContB-DefaultB,0.10965241025958065,False
ContB-DefaultC,0.13459842340461098,False
ContB-DorsAttnA,-0.031806706351004285,False
ContB-DorsAttnB,0.007371862170344669,False
ContB-LimbicA,0.10230741178304951,False
ContB-LimbicB,0.05792923508595876,False
ContB-SalVentAttnA,-0.01455274682815096,False
ContB-SalVentAttnB,0.05770145999060399,False
ContB-SomMotA,-0.04721479228606967,False
ContB-SomMotB,-0.0475560891805853,False
ContB-TempPar,0.1637268687269669,False
ContB-VisCent,-0.0035434968954188937,False
ContB-VisPeri,-0.040672752499964646,False
ContC-ContC,0.23477078419725544,True
ContC-DefaultA,0.24813763678394304,False
ContC-DefaultB,0.22800085451272445,False
ContC-DefaultC,0.13545706252155734,False
ContC-DorsAttnA,-0.07629526455657593,False
ContC-DorsAttnB,-0.0042452842563874904,False
ContC-LimbicA,0.1346136823969213,False
ContC-LimbicB,0.14014141167829705,False
ContC-SalVentAttnA,0.001103493109766642,False
ContC-SalVentAttnB,0.14544137363252133,False
ContC-SomMotA,-0.0044277176849682074,False
ContC-SomMotB,-0.063183690319383,False
ContC-TempPar,0.09889490919779563,False
ContC-VisCent,0.025037016142119495,False
ContC-VisPeri,0.013580894423227735,False
DefaultA-DefaultA,0.2671668321579566,True
DefaultA-DefaultB,0.25487066473969827,False
DefaultA-DefaultC,0.14501900959063685,False
DefaultA-DorsAttnA,-0.07998984761522386,False
DefaultA-DorsAttnB,-0.007178520214163901,False
DefaultA-LimbicA,0.1269434229166828,False
DefaultA-LimbicB,0.1358452100401655,False
DefaultA-SalVentAttnA,-0.007208658051638857,False
DefaultA-SalVentAttnB,0.13651926161888867,False
DefaultA-SomMotA,0.0033204405331188906,False
DefaultA-SomMotB,-0.06200627217377556,False
DefaultA-TempPar,0.09849532022774646,False
DefaultA-VisCent,0.032357756543031295,False
DefaultA-VisPeri,0.006709173665672212,False
DefaultB-DefaultB,0.30910935947471846,True
DefaultB-DefaultC,0.28929978667076783,False
DefaultB-DorsAttnA,-0.11198450335127225,False
DefaultB-DorsAttnB,-0.03552486572972319,False
DefaultB-LimbicA,0.12898919382569446,False
DefaultB-LimbicB,0.1209533086278772,False
DefaultB-SalVentAttnA,-0.03135468439530807,False
DefaultB-SalVentAttnB,0.11134248736297475,False
DefaultB-SomMotA,-0.01831656942303224,False
DefaultB-SomMotB,-0.08310663106036875,False
DefaultB-TempPar,0.17251500698381902,False
DefaultB-VisCent,0.023167459178988534,False
DefaultB-VisPeri,-0.002897551518998804,False
DefaultC-DefaultC,0.44675727647930746,True
DefaultC-DorsAttnA,-0.12963529071534832,False
DefaultC-DorsAttnB,-0.05174166648590457,False
DefaultC-LimbicA,0.08527028269368905,False
DefaultC-LimbicB,0.10802747974365934,False
DefaultC-SalVentAttnA,-0.038784389565485515,False
DefaultC-SalVentAttnB,0.067085841038866,False
DefaultC-SomMotA,-0.03660086356455474,False
DefaultC-SomMotB,-0.08545650365811354,False
DefaultC-TempPar,0.27997258544015013,False
DefaultC-VisCent,0.027571516234344146,False
DefaultC-VisPeri,0.009442294588482546,False
DorsAttnA-DorsAttnA,0.23009690496330862,True
DorsAttnA-DorsAttnB,0.10153302479232278,False
DorsAttnA-LimbicA,-0.008219301462778798,False
DorsAttnA-LimbicB,-0.03984690962492497,False
DorsAttnA-SalVentAttnA,0.05324385898567983,False
DorsAttnA-SalVentAttnB,-0.003829465837797587,False
DorsAttnA-SomMotA,0.01379230486589679,False
DorsAttnA-SomMotB,0.05115807162240431,False
DorsAttnA-TempPar,-0.11663636589616978,False
DorsAttnA-VisCent,-0.02159881727944216,False
DorsAttnA-VisPeri,-0.003270210740079749,False
DorsAttnB-DorsAttnB,0.09184576415023267,True
DorsAttnB-LimbicA,0.019128006088963263,False
DorsAttnB-LimbicB,0.03529018940858799,False
DorsAttnB-SalVentAttnA,0.039832676349687825,False
DorsAttnB-SalVentAttnB,0.05964198088020942,False
DorsAttnB-SomMotA,0.025397748085670795,False
DorsAttnB-SomMotB,0.00015054926804904798,False
DorsAttnB-TempPar,-0.06655750103087968,False
DorsAttnB-VisCent,0.02144223597046161,False
DorsAttnB-VisPeri,0.030095665116819915,False
LimbicA-LimbicA,0.17105618055617428,True
LimbicA-LimbicB,0.11045694572454315,False
LimbicA-SalVentAttnA,0.008252551666475934,False
LimbicA-SalVentAttnB,0.12915465477402635,False
LimbicA-SomMotA,-0.047499582107012876,False
LimbicA-SomMotB,-0.046503414058549394,False
LimbicA-TempPar,0.058693841480785575,False
LimbicA-VisCent,-0.012864268896690604,False
LimbicA-VisPeri,-0.032902023076762994,False
LimbicB-LimbicB,0.23492771593093958,True
LimbicB-SalVentAttnA,0.0643420049745051,False
LimbicB-SalVentAttnB,0.22601690104882277,False
LimbicB-SomMotA,-0.03160684726600916,False
LimbicB-SomMotB,-0.01893165485453033,False
LimbicB-TempPar,-0.0436127745606248,False
LimbicB-VisCent,0.04167129233774704,False
LimbicB-VisPeri,-0.0018920080076734237,False
SalVentAttnA-SalVentAttnA,0.057667627052386025,True
SalVentAttnA-SalVentAttnB,0.0753418914518218,False
SalVentAttnA-SomMotA,0.009139836281923329,False
SalVentAttnA-SomMotB,0.031249794693628163,False
SalVentAttnA-TempPar,-0.08363590823526591,False
SalVentAttnA-VisCent,0.015970985785972565,False
SalVentAttnA-VisPeri,0.023337104342475663,False
SalVentAttnB-SalVentAttnB,0.23633923027834508,True
SalVentAttnB-SomMotA,-0.01967695141606006,False
SalVentAttnB-SomMotB,-0.02539570213614693,False
SalVentAttnB-TempPar,-0.05317034439662337,False
SalVentAttnB-VisCent,0.03789104083196966,False
