network_connection,fc,within_network
ContA-ContA,0.3070702327436739,True
ContA-ContB,0.17803260352761405,False
ContA-ContC,0.19701233722561934,False
ContA-DefaultA,0.2085938903745308,False
ContA-DefaultB,0.1868437076212103,False
ContA-DefaultC,0.05716329908387198,False
ContA-DorsAttnA,-0.0648810928629431,False
ContA-DorsAttnB,0.057077472653500674,False
ContA-LimbicA,0.26996973495209736,False
ContA-LimbicB,0.18292781704694044,False
ContA-SalVentAttnA,0.007393364468938544,False
ContA-SalVentAttnB,0.18504192277928286,False
ContA-SomMotA,-0.07771067503731387,False
ContA-SomMotB,-0.05613775749680673,False
ContA-TempPar,0.035673668254018964,False
ContA-VisCent,0.04274837419721908,False
ContA-VisPeri,-0.06612388932205303,False
ContB-ContB,0.23214679949996153,True
ContB-ContC,0.17454121554224053,False
ContB-DefaultA,0.15977833925545623,False
ContB-DefaultB,0.18311186741121102,False
ContB-DefaultC,0.1731850767050635,False
ContB-DorsAttnA,-0.004336477488904717,False
ContB-DorsAttnB,0.05697883643838484,False
ContB-LimbicA,0.12190138686253864,False
ContB-LimbicB,0.08659073914706865,False
ContB-SalVentAttnA,-0.014859768172141389,False
ContB-SalVentAttnB,0.06906960217297828,False
ContB-SomMotA,-0.08039937129736302,False
ContB-SomMotB,-0.0598138275205989,False
ContB-TempPar,0.17135415940413812,False
ContB-VisCent,0.04818712467625668,False
ContB-VisPeri,-0.09494882845944307,False
ContC-ContC,0.36457296838255177,True
ContC-DefaultA,0.35538383782673844,False
ContC-DefaultB,0.27842746804505464,False
ContC-DefaultC,0.05980572133579122,False
ContC-DorsAttnA,-0.10736922907380352,False
ContC-DorsAttnB,0.031136224179844067,False
ContC-LimbicA,0.20375745425109665,False
ContC-LimbicB,0.19435453788673818,False
ContC-SalVentAttnA,0.0004143701918984335,False
ContC-SalVentAttnB,0.17880515482085083,False
ContC-SomMotA,-0.0394569342782866,False
ContC-SomMotB,-0.07745068345722264,False
ContC-TempPar,0.06276182650755557,False
ContC-VisCent,0.05202039255158103,False
ContC-VisPeri,-0.03282294306353043,False
DefaultA-DefaultA,0.38675372306597816,True
DefaultA-DefaultB,0.3126413455513411,False
DefaultA-DefaultC,0.04588121498050322,False
DefaultA-DorsAttnA,-0.10308575160539722,False
DefaultA-DorsAttnB,0.01622181800648313,False
DefaultA-LimbicA,0.20994568612116965,False
DefaultA-LimbicB,0.17116303564629054,False
DefaultA-SalVentAttnA,-0.023001955719354737,False
DefaultA-SalVentAttnB,0.14230395954849012,False
DefaultA-SomMotA,-0.00906403119940971,False
DefaultA-SomMotB,-0.07508740468942886,False
DefaultA-TempPar,0.046146301966179845,False
DefaultA-VisCent,0.06588839226794399,False
DefaultA-VisPeri,-0.011198640116066349,False
DefaultB-DefaultB,0.3238910894055308,True
DefaultB-DefaultC,0.19157404459676822,False
DefaultB-DorsAttnA,-0.10146152509326224,False
DefaultB-DorsAttnB,0.002108976890357373,False
DefaultB-LimbicA,0.15557903234815929,False
DefaultB-LimbicB,0.1141299218775051,False
DefaultB-SalVentAttnA,-0.04757963970894672,False
DefaultB-SalVentAttnB,0.07539869729245338,False
DefaultB-SomMotA,-0.02617480757178213,False
DefaultB-SomMotB,-0.08448544147148582,False
DefaultB-TempPar,0.12746881750606534,False
DefaultB-VisCent,0.0577169734381042,False
DefaultB-VisPeri,-0.05358952425700418,False
DefaultC-DefaultC,0.4086906964057745,True
DefaultC-DorsAttnA,-0.057159978063927745,False
DefaultC-DorsAttnB,-0.001269342355471413,False
DefaultC-LimbicA,0.014394484640435905,False
DefaultC-LimbicB,0.054877431652059355,False
DefaultC-SalVentAttnA,-0.0257780809297319,False
DefaultC-SalVentAttnB,0.012147657410578574,False
DefaultC-SomMotA,-0.0794666064876761,False
DefaultC-SomMotB,-0.058291615244767135,False
DefaultC-TempPar,0.3103975978296663,False
DefaultC-VisCent,0.017795369579683484,False
DefaultC-VisPeri,-0.12563221531061422,False
DorsAttnA-DorsAttnA,0.2828421115287358,True
DorsAttnA-DorsAttnB,0.1089615793537566,False
DorsAttnA-LimbicA,-0.0605055490242632,False
DorsAttnA-LimbicB,-0.08014992750009053,False
DorsAttnA-SalVentAttnA,0.05491846267663118,False
DorsAttnA-SalVentAttnB,-0.03963474653197032,False
DorsAttnA-SomMotA,0.028339804019584865,False
DorsAttnA-SomMotB,0.10081326095938244,False
DorsAttnA-TempPar,-0.07067896090459223,False
DorsAttnA-VisCent,0.012211120502203028,False
DorsAttnA-VisPeri,0.04911386938888325,False
DorsAttnB-DorsAttnB,0.1122038221466202,True
DorsAttnB-LimbicA,0.05942237495373557,False
DorsAttnB-LimbicB,0.07333739052472663,False
DorsAttnB-SalVentAttnA,0.06398745464755184,False
DorsAttnB-SalVentAttnB,0.1012965366206547,False
DorsAttnB-SomMotA,-0.025447767014115615,False
DorsAttnB-SomMotB,0.022649370107756965,False
DorsAttnB-TempPar,-0.028266355459567953,False
DorsAttnB-VisCent,0.03133803308115216,False
DorsAttnB-VisPeri,0.017776661876505406,False
LimbicA-LimbicA,0.24469742843325434,True
LimbicA-LimbicB,0.2068901970215797,False
LimbicA-SalVentAttnA,0.027425885205316226,False
LimbicA-SalVentAttnB,0.21066179037091667,False
LimbicA-SomMotA,-0.05497608159929394,False
LimbicA-SomMotB,-0.03549899663424145,False
LimbicA-TempPar,-0.011204009338748738,False
LimbicA-VisCent,0.038211203215719615,False
LimbicA-VisPeri,-0.03750407469211731,False
LimbicB-LimbicB,0.28298625955746975,True
LimbicB-SalVentAttnA,0.08011091944346599,False
LimbicB-SalVentAttnB,0.3013221814466796,False
LimbicB-SomMotA,-0.10094754321031685,False
LimbicB-SomMotB,-0.02620784843879073,False
LimbicB-TempPar,0.0034873213242797435,False
LimbicB-VisCent,0.028412138314005565,False
LimbicB-VisPeri,-0.046413722010776017,False
SalVentAttnA-SalVentAttnA,0.0921920951495018,True
SalVentAttnA-SalVentAttnB,0.11317938797802729,False
SalVentAttnA-SomMotA,-0.015862890480413634,False
SalVentAttnA-SomMotB,0.05753005879013036,False
SalVentAttnA-TempPar,-0.0541812894033554,False
SalVentAttnA-VisCent,0.0005306223725617338,False
SalVentAttnA-VisPeri,0.04450571905485929,False
SalVentAttnB-SalVentAttnB,0.31857773811946166,True
SalVentAttnB-SomMotA,-0.11787362136784416,False
SalVentAttnB-SomMotB,-0.02400134752372932,False
SalVentAttnB-TempPar,-0.038262074624840596,False
SalVentAttnB-VisCent,0.01235568515881181,False
SalVentAttnB-VisPeri,-0.03872549415426424,False
SomMotA-SomMotA,0.2261015241324607,True
SomMotA-SomMotB,0.10383671863125908,False
SomMotA-TempPar,-0.09139895062831509,False
SomMotA-VisCent,0.09721267419220644,False
SomMotA-VisPeri,0.22046772881445517,False
SomMotB-SomMotB,0.15274088298958546,True
SomMotB-TempPar,-0.08754092574944837,False
SomMotB-VisCent,0.04343036037679259,False
SomMotB-VisPeri,0.11769748072739405,False
TempPar-TempPar,0.4237816913286526,True
TempPar-VisCent,-0.01335090984306681,False
TempPar-VisPeri,-0.13876179599713173,False
VisCent-VisCent,0.09667843534651406,True
VisCent-VisPeri,0.10330663509149597,False
VisPeri-VisPeri,0.2898061100415778,True
