network_connection,fc,within_network
ContA-ContA,0.204068926043114,True
ContA-ContB,0.10641040148819877,False
ContA-ContC,0.03639114607880647,False
ContA-DefaultA,0.07221551264946764,False
ContA-DefaultB,0.0781385314913234,False
ContA-DefaultC,0.022939948639122073,False
ContA-DorsAttnA,-0.035756778525301736,False
ContA-DorsAttnB,0.027996394861843157,False
ContA-LimbicA,0.1657943713462036,False
ContA-LimbicB,0.1292680553382237,False
ContA-SalVentAttnA,0.014906947128952096,False
ContA-SalVentAttnB,0.12574283202906264,False
ContA-SomMotA,-0.09200069781783105,False
ContA-SomMotB,-0.018894469748726262,False
ContA-TempPar,-0.014553704100134873,False
ContA-VisCent,0.012580462328145995,False
ContA-VisPeri,-0.07298248255424156,False
ContB-ContB,0.145686980297713,True
ContB-ContC,0.03288256046364763,False
ContB-DefaultA,0.023078749256952538,False
ContB-DefaultB,0.09039818898939585,False
ContB-DefaultC,0.16709758989934348,False
ContB-DorsAttnA,0.0060444977336628755,False
ContB-DorsAttnB,0.05394868628431222,False
ContB-LimbicA,0.08325003856786317,False
ContB-LimbicB,0.0567205721712372,False
ContB-SalVentAttnA,-0.011690463323664146,False
ContB-SalVentAttnB,0.05078991323217059,False
ContB-SomMotA,-0.07409828223436801,False
ContB-SomMotB,-0.020458233027742568,False
ContB-TempPar,0.1230456723669789,False
ContB-VisCent,0.02777885810988087,False
ContB-VisPeri,-0.08094929137734232,False
ContC-ContC,0.11037414319612125,True
ContC-DefaultA,0.08717534223531642,False
ContC-DefaultB,0.024022570862628958,False
ContC-DefaultC,-0.06448635524537846,False
ContC-DorsAttnA,-0.02669304067996139,False
ContC-DorsAttnB,0.004114182279748101,False
ContC-LimbicA,0.05732870123115107,False
ContC-LimbicB,0.0727156166917866,False
ContC-SalVentAttnA,0.018741114316797477,False
ContC-SalVentAttnB,0.0642856100472349,False
ContC-SomMotA,-0.030957017096342753,False
ContC-SomMotB,-0.019600348392256266,False
ContC-TempPar,-0.05150679127310171,False
ContC-VisCent,-0.005767963962136545,False
ContC-VisPeri,-0.04272236008313617,False
DefaultA-DefaultA,0.09881365116104504,True
DefaultA-DefaultB,0.0463597134034023,False
DefaultA-DefaultC,-0.04556344396375767,False
DefaultA-DorsAttnA,-0.06329965571331317,False
DefaultA-DorsAttnB,-0.01986432268553816,False
DefaultA-LimbicA,0.07105542138361474,False
DefaultA-LimbicB,0.08920080746577216,False
DefaultA-SalVentAttnA,0.014425661207116686,False
DefaultA-SalVentAttnB,0.0669504557136092,False
DefaultA-SomMotA,-0.052800390166632495,False
DefaultA-SomMotB,-0.025619884195455325,False
DefaultA-TempPar,-0.03351195509388095,False
DefaultA-VisCent,-0.021244351105256788,False
DefaultA-VisPeri,-0.05573452423470808,False
DefaultB-DefaultB,0.10924285941826346,True
DefaultB-DefaultC,0.18659525815035793,False
DefaultB-DorsAttnA,-0.052347141622282205,False
DefaultB-DorsAttnB,-0.003393449414099569,False
DefaultB-LimbicA,0.0422605400671403,False
DefaultB-LimbicB,0.048731424001839115,False
DefaultB-SalVentAttnA,-0.00920148578484089,False
DefaultB-SalVentAttnB,0.025009664509519178,False
DefaultB-SomMotA,-0.07112497584064185,False
DefaultB-SomMotB,-0.028383023294490745,False
DefaultB-TempPar,0.13202284980912724,False
DefaultB-VisCent,-0.012066071065311811,False
DefaultB-VisPeri,-0.07096877319655667,False
DefaultC-DefaultC,0.5398089364855273,True
DefaultC-DorsAttnA,-0.0334800290844371,False
DefaultC-DorsAttnB,0.023907361928190828,False
DefaultC-LimbicA,-0.03639804215402744,False
DefaultC-LimbicB,-0.04152589369091325,False
DefaultC-SalVentAttnA,-0.04379031303056854,False
DefaultC-SalVentAttnB,-0.07125029631786269,False
DefaultC-SomMotA,-0.09860136103160161,False
DefaultC-SomMotB,-0.052304641023587235,False
DefaultC-TempPar,0.43770845683355597,False
DefaultC-VisCent,-0.01338269861322304,False
DefaultC-VisPeri,-0.0914695989228552,False
DorsAttnA-DorsAttnA,0.18427380066111212,True
DorsAttnA-DorsAttnB,0.08625051015188767,False
DorsAttnA-LimbicA,0.01156026895930326,False
DorsAttnA-LimbicB,-0.057752585889927203,False
DorsAttnA-SalVentAttnA,0.0037614476258158273,False
DorsAttnA-SalVentAttnB,-0.0122223125081565,False
DorsAttnA-SomMotA,0.04245078261546821,False
DorsAttnA-SomMotB,0.05183266735400368,False
DorsAttnA-TempPar,-0.03349714514130149,False
DorsAttnA-VisCent,0.045038417803129796,False
DorsAttnA-VisPeri,0.013319100882165676,False
DorsAttnB-DorsAttnB,0.07916336978790506,True
DorsAttnB-LimbicA,0.04184339626509251,False
DorsAttnB-LimbicB,0.010762355550469987,False
DorsAttnB-SalVentAttnA,0.005161831558011811,False
DorsAttnB-SalVentAttnB,0.03648818994231593,False
DorsAttnB-SomMotA,-0.020232476363836384,False
DorsAttnB-SomMotB,-0.005418512278870973,False
DorsAttnB-TempPar,0.008831887054978444,False
DorsAttnB-VisCent,0.03039184188992054,False
DorsAttnB-VisPeri,-0.024006479413336907,False
LimbicA-LimbicA,0.1615686005435842,True
LimbicA-LimbicB,0.10804405111821382,False
LimbicA-SalVentAttnA,0.0192008519001744,False
LimbicA-SalVentAttnB,0.1202081219661962,False
LimbicA-SomMotA,-0.07250840709072948,False
LimbicA-SomMotB,-0.009307152587725099,False
LimbicA-TempPar,-0.05281556939090138,False
LimbicA-VisCent,0.01069035756165678,False
LimbicA-VisPeri,-0.07461823995592486,False
LimbicB-LimbicB,0.13892360381734906,True
LimbicB-SalVentAttnA,0.03266424246617252,False
LimbicB-SalVentAttnB,0.12978139908906808,False
LimbicB-SomMotA,-0.07264034816810777,False
LimbicB-SomMotB,-0.01962446064517473,False
LimbicB-TempPar,-0.058397030469502224,False
LimbicB-VisCent,0.009850757659894068,False
LimbicB-VisPeri,-0.07115244865094959,False
SalVentAttnA-SalVentAttnA,0.027416526252503903,True
SalVentAttnA-SalVentAttnB,0.03614353450010653,False
SalVentAttnA-SomMotA,-0.008468101256066519,False
SalVentAttnA-SomMotB,0.007166442938202625,False
SalVentAttnA-TempPar,-0.04067041331630857,False
SalVentAttnA-VisCent,-0.0010838965648751766,False
SalVentAttnA-VisPeri,-0.009825113586726464,False
SalVentAttnB-SalVentAttnB,0.13012405553184056,True
SalVentAttnB-SomMotA,-0.06542819119302322,False
SalVentAttnB-SomMotB,-0.012759252618814798,False
SalVentAttnB-TempPar,-0.08259186555702568,False
SalVentAttnB-VisCent,0.012786160449957798,False
SalVentAttnB-VisPeri,-0.05696104252317095,False
SomMotA-SomMotA,0.11608400219039225,True
SomMotA-SomMotB,0.059644498247283,False
SomMotA-TempPar,-0.07396986224091046,False
SomMotA-VisCent,0.03196021418555041,False
SomMotA-VisPeri,0.11556744203968318,False
SomMotB-SomMotB,0.07171668127747008,True
SomMotB-TempPar,-0.05971996627025134,False
SomMotB-VisCent,0.03313154230261737,False
SomMotB-VisPeri,0.046261406888089975,False
TempPar-TempPar,0.4389293392103551,True
TempPar-VisCent,-0.025219599349010826,False
TempPar-VisPeri,-0.07036377662661286,False
VisCent-VisCent,0.05399495678590017,True
VisCent-VisPeri,0.02883918446736914,False
VisPeri-VisPeri,0.1693670431578633,True
